"gene_name","hsa","mfu","mma","mmu","mpi","rsi","n_species"
"MAN1A2",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4
"DHRS3",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
"MIR6730",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"PRUNE1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"UBAP2L",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5
"YY1AP1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"KCTD3",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"USP48",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4
"MIR3115",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"KDM1A",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3
"NUDC",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
"SRSF4",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"RNF19B",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3
"STK40",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"SCMH1",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5
"FGGY",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3
"RERE",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5
"PDCD11",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
"EIF3A",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
"CUL2",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
"DLG5",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4
"MYOF",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"TEAD1",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
"INSC",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"LDLRAD3",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CREB3L1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"PSMC3",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"DPP3",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CLNS1A",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
"RSF1",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
"CORO1C",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"ACACB",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5
"MIR4498",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"GCN1",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
"RNF10",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,4
"LRP6",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4
"ERC1",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5
"LMBR1L",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
"CSRNP2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"RAB3IP",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3
"PCCA",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4
"NALCN",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"KPNA3",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"DYNC1H1",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"PPP1R13B",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4
"RBM23",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2
"PNN",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"MIA2",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2
"SOS2",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
"ZFYVE26",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
"MAP3K9",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
"CEP128",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
"SETD3",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,4
"CHSY1",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4
"RMDN3",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
"CHP1",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
"GALK2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"MAP2K1",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3
"CHD2",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5
"CREBBP",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4
"VPS35",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"TXNL4B",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
