"gene_id","gene_name"
"ENSMFUG00182000100004","novel_gene_3607_5d71f2e7"
"ENSMFUG00040017100004","novel_gene_3057_5d71f2e7"
"ENSMFUG00040004700004","novel_gene_2942_5d71f2e7"
"ENSMFUG00040020800004","novel_gene_3106_5d71f2e7"
"ENSMFUG00040008900004","novel_gene_3138_5d71f2e7"
"ENSMFUG00040020900004","novel_gene_3163_5d71f2e7"
"ENSMFUG00040003200004","novel_gene_2934_5d71f2e7"
"ENSMFUG00040021700004","novel_gene_3115_5d71f2e7"
"ENSMFUG00040006400004","novel_gene_2961_5d71f2e7"
"ENSMFUG00040015400004","novel_gene_3174_5d71f2e7"
"ENSMFUG00040015800004","novel_gene_3048_5d71f2e7"
"ENSMFUG00040005300004","novel_gene_2946_5d71f2e7"
"ENSMFUG00040025000004","novel_gene_3130_5d71f2e7"
"ENSMFUG00040003100004","novel_gene_2933_5d71f2e7"
"ENSMFUG00040022300004","novel_gene_3122_5d71f2e7"
"ENSMFUG00040020600004","novel_gene_3091_5d71f2e7"
"ENSMFUG00040007200004","novel_gene_2967_5d71f2e7"
"ENSMFUG00040011100004","novel_gene_3002_5d71f2e7"
"ENSMFUG00040006300004","novel_gene_2960_5d71f2e7"
"ENSMFUG00040003400004","novel_gene_2935_5d71f2e7"
"ENSMFUG00040015300004","novel_gene_3044_5d71f2e7"
"ENSMFUG00040017000004","novel_gene_3056_5d71f2e7"
"ENSMFUG00040004300004","novel_gene_2940_5d71f2e7"
"ENSMFUG00040000200094","novel_gene_2923_5d71f2e7"
"ENSMFUG00040018500004","novel_gene_3068_5d71f2e7"
"ENSMFUG00040021000004","novel_gene_3110_5d71f2e7"
"ENSMFUG00040015100174","novel_gene_3041_5d71f2e7"
"ENSMFUG00040019800004","novel_gene_3077_5d71f2e7"
"ENSMFUG00040007600004","novel_gene_2968_5d71f2e7"
"ENSMFUG00040022100004","novel_gene_3118_5d71f2e7"
"ENSMFUG00040019300004","novel_gene_3175_5d71f2e7"
"ENSMFUG00040009100034","novel_gene_2983_5d71f2e7"
"ENSMFUG00040008600004","novel_gene_2977_5d71f2e7"
"ENSMFUG00040017200004","novel_gene_3059_5d71f2e7"
"ENSMFUG00064000300004","novel_gene_3530_5d71f2e7"
"ENSMFUG00064000500004","novel_gene_3531_5d71f2e7"
"ENSMFUG00064002900004","novel_gene_3540_5d71f2e7"
"ENSMFUG00064004400004","novel_gene_3556_5d71f2e7"
"ENSMFUG00064003400004","novel_gene_3543_5d71f2e7"
"ENSMFUG00064002700004","novel_gene_3539_5d71f2e7"
"ENSMFUG00064002500004","novel_gene_3537_5d71f2e7"
"ENSMFUG00064007400084","novel_gene_3548_5d71f2e7"
"ENSMFUG00052003400004","novel_gene_3301_5d71f2e7"
"ENSMFUG00052006600004","novel_gene_3339_5d71f2e7"
"ENSMFUG00052007300004","novel_gene_3347_5d71f2e7"
"ENSMFUG00052007500004","novel_gene_3354_5d71f2e7"
"ENSMFUG00052003000004","novel_gene_3293_5d71f2e7"
"ENSMFUG00052001300004","novel_gene_3281_5d71f2e7"
"ENSMFUG00052010000004","novel_gene_3363_5d71f2e7"
"ENSMFUG00052010900004","novel_gene_3365_5d71f2e7"
"ENSMFUG00052000400004","novel_gene_3379_5d71f2e7"
"ENSMFUG00052005400004","novel_gene_3319_5d71f2e7"
"ENSMFUG00052004600004","novel_gene_3419_5d71f2e7"
"ENSMFUG00052006800004","novel_gene_3340_5d71f2e7"
"ENSMFUG00052006500004","novel_gene_3338_5d71f2e7"
"ENSMFUG00052006900004","novel_gene_3341_5d71f2e7"
"ENSMFUG00052003500004","novel_gene_3302_5d71f2e7"
"ENSMFUG00052001700004","novel_gene_3286_5d71f2e7"
"ENSMFUG00052006300004","novel_gene_3376_5d71f2e7"
"ENSMFUG00052006400004","novel_gene_3337_5d71f2e7"
"ENSMFUG00052000500004","novel_gene_3266_5d71f2e7"
"ENSMFUG00052000900004","novel_gene_3273_5d71f2e7"
"ENSMFUG00052000700004","novel_gene_3271_5d71f2e7"
"ENSMFUG00052003600004","novel_gene_3303_5d71f2e7"
"ENSMFUG00052006100004","novel_gene_3331_5d71f2e7"
"ENSMFUG00025029100004","novel_gene_2351_5d71f2e7"
"ENSMFUG00025022300244","novel_gene_427_5d846b90"
"ENSMFUG00025022200244","novel_gene_2471_5d71f2e7"
"ENSMFUG00025030500004","novel_gene_2375_5d71f2e7"
"ENSMFUG00025025100244","novel_gene_450_5d769ab4"
"ENSMFUG00025029500004","novel_gene_2363_5d71f2e7"
"ENSMFUG00025020000004","novel_gene_2538_5d71f2e7"
"ENSMFUG00025031200004","novel_gene_2380_5d71f2e7"
"ENSMFUG00025019100004","novel_gene_2221_5d71f2e7"
"ENSMFUG00025024000084","novel_gene_2288_5d71f2e7"
"ENSMFUG00025012500004","novel_gene_2174_5d71f2e7"
"ENSMFUG00025019400244","novel_gene_425_5d846b90"
"ENSMFUG00025023500004","novel_gene_2284_5d71f2e7"
"ENSMFUG00025003700004","novel_gene_2114_5d71f2e7"
"ENSMFUG00025031400004","novel_gene_2383_5d71f2e7"
"ENSMFUG00025011000004","novel_gene_2160_5d71f2e7"
"ENSMFUG00025031800004","novel_gene_2389_5d71f2e7"
"ENSMFUG00025019500244","novel_gene_446_5d769ab4"
"ENSMFUG00025010600004","novel_gene_2157_5d71f2e7"
"ENSMFUG00025033700004","novel_gene_2425_5d71f2e7"
"ENSMFUG00025005500004","novel_gene_2127_5d71f2e7"
"ENSMFUG00025028000004","novel_gene_2333_5d71f2e7"
"ENSMFUG00025006600004","novel_gene_2137_5d71f2e7"
"ENSMFUG00025021600004","novel_gene_2432_5d71f2e7"
"ENSMFUG00025006400004","novel_gene_2135_5d71f2e7"
