"gene_id","gene_name"
"ENSMPIG00078000100244","evm.TU.scaffold0078.1"
"ENSMPIG00025015723243","ZRSR2"
"ENSMPIG00025008201243","evm.TU.scaffold0025.90"
"ENSMPIG00025006124243","GK"
"ENSMPIG00025005200234","evm.TU.scaffold0025.52"
"ENSMPIG00025019602113","evm.TU.scaffold0025.223"
"ENSMPIG00025010623243","PRDX4"
"ENSMPIG00025001901243","evm.TU.scaffold0025.17"
"ENSMPIG00025007100244","evm.TU.scaffold0025.70"
"ENSMPIG00025018723243","ARHGAP6"
"ENSMPIG00025002600044","evm.TU.scaffold0025.23"
"ENSMPIG00025017022243","GLRA2"
"ENSMPIG00025019900244","evm.TU.scaffold0025.226"
"ENSMPIG00025000600244","evm.TU.scaffold0025.6"
"ENSMPIG00025012103243","evm.TU.scaffold0025.139"
"ENSMPIG00025013322243","CDKL5"
"ENSMPIG00025010524241","ACOT9"
"ENSMPIG00025012924241","ADGRG2"
"ENSMPIG00025008100244","evm.TU.scaffold0025.88"
"ENSMPIG00025011824241","CNKSR2"
"ENSMPIG00025010124241","KLHL15"
"ENSMPIG00025003300244","evm.TU.scaffold0025.30"
"ENSMPIG00025015424241","GRPR"
"ENSMPIG00025011100184","evm.TU.scaffold0025.126"
"ENSMPIG00025003100244","evm.TU.scaffold0025.28"
"ENSMPIG00025015210113","CLDN34"
"ENSMPIG00025014301243","evm.TU.scaffold0025.163"
"ENSMPIG00025009100224","evm.TU.scaffold0025.101"
"ENSMPIG00025011900164","evm.TU.scaffold0025.137"
"ENSMPIG00025017423233","OFD1"
"ENSMPIG00025002000214","gene_16259"
"ENSMPIG00025016024241","ACE2"
"ENSMPIG00025015000114","evm.TU.scaffold0025.171"
"ENSMPIG00025007300244","evm.TU.scaffold0025.72"
"ENSMPIG00025006223233","CXorf21"
"ENSMPIG00025019321243","CLCN4"
"ENSMPIG00025019820203","GPR143"
"ENSMPIG00025010024243","EIF2S3"
"ENSMPIG00025003800244","evm.TU.scaffold0025.38"
"ENSMPIG00025005000244","evm.TU.scaffold0025.50"
"ENSMPIG00025004701243","evm.TU.scaffold0025.47"
"ENSMPIG00025004300194","evm.TU.scaffold0025.43"
"ENSMPIG00025002109243","SPACA4"
"ENSMPIG00025013710142","SCML1"
"ENSMPIG00025009321243","ARX"
"ENSMPIG00025016424241","PIGA"
"ENSMPIG00025000400244","evm.TU.scaffold0025.4"
"ENSMPIG00025003200244","evm.TU.scaffold0025.29"
"ENSMPIG00025005801243","evm.TU.scaffold0025.57"
"ENSMPIG00025006024241","TAB3"
"ENSMPIG00025007500204","evm.TU.scaffold0025.78"
"ENSMPIG00025013510103","BEND2"
"ENSMPIG00025006500244","evm.TU.scaffold0025.63"
"ENSMPIG00025019512123","SAMT2"
"ENSMPIG00025007600244","evm.TU.scaffold0025.79"
"ENSMPIG00025006406243","MAGEB4"
"ENSMPIG00025006901243","evm.TU.scaffold0025.68"
"ENSMPIG00025003000224","evm.TU.scaffold0025.27"
"ENSMPIG00025004500224","evm.TU.scaffold0025.45"
"ENSMPIG00025019720243","SHROOM2"
"ENSMPIG00025018624241","MSL3"
"ENSMPIG00025009724243","PDK3"
"ENSMPIG00025012520243","MAP3K15"
"ENSMPIG00025018118243","PRPS2"
"ENSMPIG00025013917243","NHS"
"ENSMPIG00025014124241","REPS2"
"ENSMPIG00025004000214","evm.TU.scaffold0025.40"
"ENSMPIG00025019100244","evm.TU.scaffold0025.218"
"ENSMPIG00025017323243","GPM6B"
"ENSMPIG00025001400214","evm.TU.scaffold0025.14"
"ENSMPIG00025000300244","evm.TU.scaffold0025.3"
"ENSMPIG00025010324241","APOO"
"ENSMPIG00025011523233","MBTPS2"
"ENSMPIG00025015500244","evm.TU.scaffold0025.176"
"ENSMPIG00025004400244","evm.TU.scaffold0025.44"
"ENSMPIG00025007401243","evm.TU.scaffold0025.73"
"ENSMPIG00025004200224","evm.TU.scaffold0025.42"
"ENSMPIG00025001100244","evm.TU.scaffold0025.11"
"ENSMPIG00025014007243","NHS"
"ENSMPIG00025003600244","evm.TU.scaffold0025.35"
"ENSMPIG00025011623233","SMPX"
"ENSMPIG00025013623233","RAI2"
"ENSMPIG00025014700244","evm.TU.scaffold0025.167"
"ENSMPIG00025017100234","evm.TU.scaffold0025.192"
"ENSMPIG00025018022243","TLR7"
"ENSMPIG00025018501013","evm.TU.scaffold0025.212"
"ENSMPIG00025000100244","evm.TU.scaffold0025.1"
"ENSMPIG00025013224241","RS1"
"ENSMPIG00025004601213","evm.TU.scaffold0025.46"
"ENSMPIG00025012424241","SH3KBP1"
"ENSMPIG00025002224243","CFAP47"
"ENSMPIG00025008706243","MAGEB5"
"ENSMPIG00025005700244","evm.TU.scaffold0025.56"
"ENSMPIG00025004800244","evm.TU.scaffold0025.48"
"ENSMPIG00025015621243","AP1S2"
