"gene_id","gene_name"
"ENSMPIG00025018800244","novel_gene_402_627a1eab"
"ENSMPIG00025018300244","novel_gene_60_627a1eab"
"ENSMPIG00025013800244","novel_gene_11_62831269"
"ENSMPIG00025009600244","novel_gene_122_627a1eab"
"ENSMPIG00025005400244","novel_gene_128_62831269"
"ENSMPIG00006064400244","novel_gene_417_62831269"
"ENSMPIG00006024500024","novel_gene_647_627a1eab"
"ENSMPIG00006022900044","novel_gene_604_627a1eab"
"ENSMPIG00006043700084","novel_gene_984_627a1eab"
"ENSMPIG00006031401013","novel_gene_721_627a1eab"
"ENSMPIG00006041400244","novel_gene_351_62831269"
"ENSMPIG00006031600084","novel_gene_726_627a1eab"
"ENSMPIG00006015100244","novel_gene_1543_627a1eab"
"ENSMPIG00006050900244","novel_gene_402_62831269"
"ENSMPIG00006027200244","novel_gene_1789_627a1eab"
"ENSMPIG00006060900244","novel_gene_1886_627a1eab"
"ENSMPIG00006045700174","novel_gene_1698_627a1eab"
"ENSMPIG00006018801243","novel_gene_338_62831269"
"ENSMPIG00006044900244","novel_gene_1617_627a1eab"
"ENSMPIG00006063300174","novel_gene_1359_627a1eab"
"ENSMPIG00006027300244","novel_gene_385_62831269"
"ENSMPIG00006026700244","novel_gene_341_62831269"
"ENSMPIG00006045300244","novel_gene_357_62831269"
"ENSMPIG00006048800054","novel_gene_1087_627a1eab"
"ENSMPIG00006046300244","novel_gene_1842_627a1eab"
"ENSMPIG00006038300224","novel_gene_1601_627a1eab"
"ENSMPIG00006018700244","novel_gene_1551_627a1eab"
"ENSMPIG00006060800174","novel_gene_1306_627a1eab"
"ENSMPIG00006064300244","novel_gene_1900_627a1eab"
"ENSMPIG00006017000034","novel_gene_465_627a1eab"
"ENSMPIG00006037300244","novel_gene_347_62831269"
"ENSMPIG00006059600174","novel_gene_1418_627a1eab"
"ENSMPIG00006012500244","novel_gene_333_62831269"
"ENSMPIG00006061700244","novel_gene_1889_627a1eab"
"ENSMPIG00006061000244","novel_gene_413_62831269"
"ENSMPIG00006055100244","novel_gene_1658_627a1eab"
"ENSMPIG00008011600244","novel_gene_416_62831269"
"ENSMPIG00008044400244","novel_gene_433_62831269"
"ENSMPIG00008070600244","novel_gene_484_62831269"
"ENSMPIG00008053700244","novel_gene_1194_627a1eab"
"ENSMPIG00008075100064","novel_gene_1595_627a1eab"
"ENSMPIG00008077200244","novel_gene_444_62831269"
"ENSMPIG00008051900174","novel_gene_1163_627a1eab"
"ENSMPIG00008073300244","novel_gene_488_62831269"
"ENSMPIG00008043000244","novel_gene_999_627a1eab"
"ENSMPIG00008019100244","novel_gene_1920_627a1eab"
"ENSMPIG00008074500244","novel_gene_489_62831269"
"ENSMPIG00008038100174","novel_gene_866_627a1eab"
"ENSMPIG00008079000244","novel_gene_492_62831269"
"ENSMPIG00008024200244","novel_gene_1930_627a1eab"
"ENSMPIG00008018300244","novel_gene_453_62831269"
"ENSMPIG00008061400164","novel_gene_1376_627a1eab"
"ENSMPIG00008021700244","novel_gene_512_627a1eab"
"ENSMPIG00008024300244","novel_gene_426_62831269"
"ENSMPIG00020010100244","novel_gene_852_627a1eab"
"ENSMPIG00020004100244","novel_gene_248_62831269"
"ENSMPIG00020027000244","novel_gene_304_62831269"
"ENSMPIG00020024800244","novel_gene_301_62831269"
"ENSMPIG00020012200014","novel_gene_369_627a1eab"
"ENSMPIG00020001800244","novel_gene_246_62831269"
"ENSMPIG00020012400114","novel_gene_768_627a1eab"
"ENSMPIG00020010500024","novel_gene_855_627a1eab"
"ENSMPIG00018019600244","novel_gene_406_627a1eab"
"ENSMPIG00018020700244","novel_gene_156_62831269"
"ENSMPIG00018023300244","novel_gene_160_627a1eab"
"ENSMPIG00018011100244","novel_gene_38_62831269"
"ENSMPIG00018026500244","novel_gene_175_627a1eab"
"ENSMPIG00018023900244","novel_gene_164_627a1eab"
"ENSMPIG00018023100244","novel_gene_61_62831269"
"ENSMPIG00018008700244","novel_gene_140_62831269"
"ENSMPIG00018023400244","novel_gene_65_62831269"
"ENSMPIG00018000600044","novel_gene_1534_627a1eab"
"ENSMPIG00018009800244","novel_gene_358_627a1eab"
"ENSMPIG00007053000064","novel_gene_282_627a1eab"
"ENSMPIG00007042600174","novel_gene_1181_627a1eab"
"ENSMPIG00007064300084","novel_gene_1587_627a1eab"
"ENSMPIG00007034300244","novel_gene_2071_627a1eab"
"ENSMPIG00007081400244","novel_gene_2200_627a1eab"
"ENSMPIG00007085200244","novel_gene_468_62831269"
"ENSMPIG00007046000094","novel_gene_466_627a1eab"
"ENSMPIG00007064700244","novel_gene_327_627a1eab"
"ENSMPIG00007074200164","novel_gene_1734_627a1eab"
"ENSMPIG00007037300154","novel_gene_1997_627a1eab_novel_gene_467_627a1eab"
"ENSMPIG00007080300234","novel_gene_465_62831269"
"ENSMPIG00007043500034","novel_gene_1185_627a1eab"
"ENSMPIG00007039104233","novel_gene_1989_627a1eab"
"ENSMPIG00007066500174","novel_gene_1604_627a1eab"
"ENSMPIG00007079100164","novel_gene_1800_627a1eab"
"ENSMPIG00007039800244","novel_gene_2078_627a1eab"
"ENSMPIG00007056301173","novel_gene_2232_627a1eab"
"ENSMPIG00007082100244","novel_gene_158_62831269"
"ENSMPIG00007046300244","novel_gene_1248_627a1eab"
"ENSMPIG00007042000244","novel_gene_244_627a1eab"
"ENSMPIG00007053800244","novel_gene_108_62831269"
"ENSMPIG00007062000244","novel_gene_457_62831269"
"ENSMPIG00007060300104","novel_gene_2142_627a1eab"
"ENSMPIG00007032900174","novel_gene_1033_627a1eab"
"ENSMPIG00007070600244","novel_gene_2171_627a1eab"
"ENSMPIG00007040900244","novel_gene_230_627a1eab"
"ENSMPIG00007064900244","novel_gene_1591_627a1eab"
"ENSMPIG00007042400244","novel_gene_99_62831269"
"ENSMPIG00007073300224","novel_gene_148_62831269"
"ENSMPIG00007061700244","novel_gene_316_627a1eab"
"ENSMPIG00029038200114","novel_gene_1407_627a1eab"
"ENSMPIG00029009800244","novel_gene_772_627a1eab"
"ENSMPIG00029029804041","novel_gene_1220_627a1eab"
"ENSMPIG00029018300244","novel_gene_288_62831269"
"ENSMPIG00029032003131","novel_gene_1298_627a1eab"
"ENSMPIG00029047302243","novel_gene_883_627a1eab"
"ENSMPIG00036003300144","novel_gene_2332_627a1eab"
"ENSMPIG00034004600164","novel_gene_2149_627a1eab"
"ENSMPIG00034006500064","novel_gene_2170_627a1eab"
"ENSMPIG00034003403241","novel_gene_2056_627a1eab"
"ENSMPIG00034003500244","novel_gene_498_62831269"
"ENSMPIG00013046800244","novel_gene_250_627a1eab"
"ENSMPIG00013044000174","novel_gene_1960_627a1eab"
"ENSMPIG00013018600244","novel_gene_40_62831269"
"ENSMPIG00013034301013","novel_gene_1361_627a1eab"
"ENSMPIG00013042000244","novel_gene_189_62831269"
"ENSMPIG00013010701243","novel_gene_168_62831269"
"ENSMPIG00013019601013","novel_gene_1114_627a1eab"
"ENSMPIG00013020700244","novel_gene_181_62831269"
"ENSMPIG00013052800244","novel_gene_106_62831269"
"ENSMPIG00013010900234","novel_gene_57_627a1eab"
"ENSMPIG00013048500174","novel_gene_1571_627a1eab"
"ENSMPIG00013010800234","novel_gene_22_62831269"
"ENSMPIG00013021200244","novel_gene_121_627a1eab"
"ENSMPIG00013037500074","novel_gene_1438_627a1eab"
"ENSMPIG00013010100244","novel_gene_18_62831269"
"ENSMPIG00013005101113","novel_gene_831_627a1eab"
"ENSMPIG00013050200244","novel_gene_579_627a1eab"
"ENSMPIG00013012100244","novel_gene_455_627a1eab"
"ENSMPIG00016039900244","novel_gene_262_627a1eab"
"ENSMPIG00016032300244","novel_gene_368_62831269"
"ENSMPIG00016027400244","novel_gene_194_627a1eab"
"ENSMPIG00016031300244","novel_gene_1150_627a1eab"
"ENSMPIG00016032200244","novel_gene_1700_627a1eab"
"ENSMPIG00016032500244","novel_gene_1178_627a1eab"
"ENSMPIG00016016200244","novel_gene_52_62831269"
"ENSMPIG00016007700244","novel_gene_345_62831269"
"ENSMPIG00016024400244","novel_gene_365_62831269"
"ENSMPIG00016031500174","novel_gene_1158_627a1eab"
"ENSMPIG00016018400244","novel_gene_362_62831269"
"ENSMPIG00016046300244","novel_gene_1744_627a1eab"
"ENSMPIG00016046400244","novel_gene_373_62831269"
"ENSMPIG00016036900234","novel_gene_1719_627a1eab"
"ENSMPIG00016014700244","novel_gene_1644_627a1eab"
"ENSMPIG00016018300244","novel_gene_1657_627a1eab"
"ENSMPIG00016023300234","novel_gene_70_62831269"
"ENSMPIG00016004700164","novel_gene_524_627a1eab"
"ENSMPIG00016047200244","novel_gene_1746_627a1eab"
"ENSMPIG00015053300244","novel_gene_355_62831269"
"ENSMPIG00015058000034","novel_gene_1360_627a1eab"
"ENSMPIG00015036000174","novel_gene_892_627a1eab"
"ENSMPIG00015050600244","novel_gene_1638_627a1eab"
"ENSMPIG00015054600244","novel_gene_1659_627a1eab"
"ENSMPIG00015044800244","novel_gene_1607_627a1eab"
"ENSMPIG00015052700244","novel_gene_1854_627a1eab"
"ENSMPIG00015034000244","novel_gene_1578_627a1eab"
"ENSMPIG00015057800174","novel_gene_1356_627a1eab"
"ENSMPIG00015056400244","novel_gene_361_62831269"
"ENSMPIG00015014000244","novel_gene_326_62831269"
"ENSMPIG00015049300244","novel_gene_1627_627a1eab"
"ENSMPIG00015031700094","novel_gene_791_627a1eab"
"ENSMPIG00015050700244","novel_gene_350_62831269"
"ENSMPIG00015048800244","novel_gene_1845_627a1eab"
"ENSMPIG00047000200244","novel_gene_547_62831269"
"ENSMPIG00028006400244","novel_gene_294_627a1eab"
"ENSMPIG00028006300244","novel_gene_110_62831269"
"ENSMPIG00028001203123","novel_gene_40_627a1eab"
"ENSMPIG00028003101043","novel_gene_252_627a1eab"
"ENSMPIG00028006800244","novel_gene_270_627a1eab"
"ENSMPIG00002020200244","novel_gene_51_62831269"
"ENSMPIG00002027400194","novel_gene_461_62831269"
"ENSMPIG00002070200244","novel_gene_2226_627a1eab"
"ENSMPIG00002060200034","novel_gene_1592_627a1eab"
"ENSMPIG00002068500244","novel_gene_328_627a1eab"
"ENSMPIG00002008400244","novel_gene_26_62831269"
"ENSMPIG00002053200174","novel_gene_1520_627a1eab"
"ENSMPIG00002067801173","novel_gene_1680_627a1eab"
"ENSMPIG00002068000244","novel_gene_476_62831269"
"ENSMPIG00002073600174","novel_gene_337_627a1eab"
"ENSMPIG00002061600244","novel_gene_310_627a1eab"
"ENSMPIG00002064700244","novel_gene_126_62831269"
"ENSMPIG00002069900244","novel_gene_134_62831269"
"ENSMPIG00002044801243","novel_gene_95_62831269"
"ENSMPIG00002067400244","novel_gene_475_62831269"
"ENSMPIG00002088600244","novel_gene_151_62831269"
"ENSMPIG00002051101243","novel_gene_471_62831269"
"ENSMPIG00002045300244","novel_gene_2189_627a1eab"
"ENSMPIG00002060000044","novel_gene_1590_627a1eab"
"ENSMPIG00002084700244","novel_gene_2260_627a1eab"
"ENSMPIG00002024400244","novel_gene_60_62831269"
"ENSMPIG00002051000244","novel_gene_2207_627a1eab"
"ENSMPIG00002068800084","novel_gene_1686_627a1eab"
"ENSMPIG00002077200244","novel_gene_2245_627a1eab"
"ENSMPIG00002063000244","novel_gene_124_62831269"
"ENSMPIG00002041600034","novel_gene_1295_627a1eab"
"ENSMPIG00002036500104","novel_gene_1208_627a1eab"
"ENSMPIG00002044700244","novel_gene_245_627a1eab"
"ENSMPIG00002077900114","novel_gene_348_627a1eab"
"ENSMPIG00002027300194","novel_gene_2133_627a1eab"
"ENSMPIG00002056700234","novel_gene_474_62831269"
"ENSMPIG00002081700244","novel_gene_356_627a1eab"
"ENSMPIG00002018104041","novel_gene_119_627a1eab"
"ENSMPIG00042000700164","novel_gene_2455_627a1eab"
"ENSMPIG00042000600244","novel_gene_545_62831269"
"ENSMPIG00026004200104","novel_gene_26_627a1eab"
"ENSMPIG00026006000244","novel_gene_16_62831269"
"ENSMPIG00026005901033","novel_gene_309_627a1eab"
"ENSMPIG00026006900244","novel_gene_17_62831269"
"ENSMPIG00026008600174","novel_gene_352_627a1eab"
"ENSMPIG00026007800244","novel_gene_43_62831269"
"ENSMPIG00026006100244","novel_gene_37_627a1eab"
"ENSMPIG00005032800174","novel_gene_1557_627a1eab"
"ENSMPIG00005070500234","novel_gene_280_62831269"
"ENSMPIG00005001108243","novel_gene_595_627a1eab"
"ENSMPIG00005003000234","novel_gene_23_627a1eab"
"ENSMPIG00005102901013","novel_gene_460_627a1eab"
"ENSMPIG00005038502031","novel_gene_1623_627a1eab"
"ENSMPIG00005012100244","novel_gene_219_62831269"
"ENSMPIG00005052000244","novel_gene_747_627a1eab"
"ENSMPIG00005137500244","novel_gene_1042_627a1eab"
"ENSMPIG00005050100014","novel_gene_1803_627a1eab"
"ENSMPIG00005024902051","novel_gene_1493_627a1eab"
"ENSMPIG00005064400244","novel_gene_793_627a1eab"
"ENSMPIG00005017600244","novel_gene_664_627a1eab"
"ENSMPIG00005003100234","novel_gene_8_62831269"
"ENSMPIG00005065400244","novel_gene_121_62831269"
"ENSMPIG00005090100174","novel_gene_2377_627a1eab"
"ENSMPIG00005011400244","novel_gene_83_627a1eab"
"ENSMPIG00005070600234","novel_gene_818_627a1eab"
"ENSMPIG00005011000244","novel_gene_645_627a1eab"
"ENSMPIG00005056100244","novel_gene_766_627a1eab"
"ENSMPIG00005025400244","novel_gene_234_62831269"
"ENSMPIG00005054501043","novel_gene_1862_627a1eab"
