"","circ_id","mmu1","mmu2","mmu3"
"1","1:10104232|10105388",NA,1,NA
"2","1:10115300|10117751",NA,NA,2
"3","1:10145084|10152571",NA,NA,4
"4","1:10145084|10156177",2,NA,NA
"5","1:10152477|10166238",5,NA,NA
"6","1:10258981|10259903",4,1,7
"7","1:104875236|104875428",NA,NA,3
"8","1:105580828|105583757",NA,2,NA
"9","1:105647176|105655713",NA,NA,5
"10","1:105747594|105755460",NA,1,NA
"11","1:105752724|105755460",NA,NA,7
"12","1:105928660|105933816",2,2,NA
"13","1:105928660|105939544",4,4,NA
"14","1:105928660|105951488",NA,NA,2
"15","1:105928660|105955261",NA,NA,2
"16","1:105949455|105951488",NA,NA,2
"17","1:106209092|106214846",NA,2,NA
"18","1:106291970|106314251",NA,1,NA
"19","1:106303890|106308152",NA,2,1
"20","1:106700131|106719519",NA,NA,1
"21","1:106714432|106719519",2,7,14
"22","1:118466995|118518279",2,NA,NA
"23","1:118470831|118475758",NA,NA,6
"24","1:118470831|118479886",NA,NA,1
"25","1:119495525|119506807",1,NA,NA
"26","1:119526734|119537016",3,NA,1
"27","1:119535716|119537016",NA,NA,4
"28","1:119545093|119549694",2,NA,NA
"29","1:119950240|119950415",NA,NA,1
"30","1:121234592|121247701",1,NA,NA
"31","1:121247325|121247701",NA,1,1
"32","1:121373368|121390914",3,NA,NA
"33","1:121383799|121390914",NA,1,NA
"34","1:127234370|127248502",1,NA,NA
"35","1:127325243|127339997",NA,NA,2
"36","1:127719341|127727290",NA,1,NA
"37","1:127719341|127729413",NA,NA,2
"38","1:127801816|127817025",NA,2,NA
"39","1:127816892|127818833",3,4,5
"40","1:127852464|127855858",8,6,NA
"41","1:127915733|127927197",NA,NA,1
"42","1:128079480|128081136",NA,NA,1
"43","1:128079480|128095744",1,NA,NA
"44","1:128121196|128139096",NA,NA,5
"45","1:128179939|128183974",1,NA,NA
"46","1:128186568|128187274",3,NA,1
"47","1:128265852|128281307",NA,NA,2
"48","1:128276105|128281307",NA,NA,1
"49","1:128301673|128304049",NA,NA,1
"50","1:128319007|128343148",NA,NA,1
"51","1:130626924|130633238",NA,NA,1
"52","1:130633113|130635938",NA,NA,5
"53","1:130634162|130642313",NA,NA,1
"54","1:131024832|131025025",4,NA,NA
"55","1:131085928|131088361",NA,NA,3
"56","1:131283248|131284643",NA,3,NA
"57","1:131846742|131857500",NA,NA,1
"58","1:131980117|131981962",NA,NA,1
"59","1:13226593|13237330",NA,NA,2
"60","1:13230384|13237330",5,NA,NA
"61","1:132361836|132362225",3,NA,NA
"62","1:132417325|132418323",NA,1,NA
"63","1:13291530|13294937",24,24,35
"64","1:13291530|13356249",38,42,121
"65","1:13291530|13369946",NA,NA,2
"66","1:132993949|132998156",NA,NA,1
"67","1:133021393|133022572",NA,3,NA
"68","1:133212617|133213124",NA,NA,4
"69","1:133313731|133316735",NA,NA,4
"70","1:133566777|133566981",NA,1,NA
"71","1:133573464|133575267",NA,NA,5
"72","1:134280092|134283454",NA,NA,2
"73","1:134280092|134288662",NA,NA,5
"74","1:134350658|134352660",NA,1,NA
"75","1:134395388|134411591",NA,NA,2
"76","1:134532179|134533613",NA,NA,4
"77","1:134535425|134541749",NA,NA,3
"78","1:134547297|134548760",2,1,NA
"79","1:134797805|134807483",1,NA,3
"80","1:134949512|134955005",1,NA,NA
"81","1:135199266|135200216",NA,3,NA
"82","1:135199266|135205275",NA,NA,5
"83","1:135232167|135236936",4,6,11
"84","1:135321873|135327941",NA,2,NA
"85","1:135346974|135348091",NA,NA,2
"86","1:135708900|135711168",2,NA,NA
"87","1:136352532|136361603",1,NA,NA
"88","1:13642026|13646676",NA,4,NA
"89","1:138460474|138472081",NA,NA,5
"90","1:138460474|138489523",NA,NA,2
"91","1:138471940|138489523",1,NA,NA
"92","1:138950842|138969781",1,NA,NA
"93","1:138967737|138990709",NA,5,27
"94","1:138981083|138990709",26,9,61
"95","1:138982278|138990709",NA,4,NA
"96","1:138990598|139018293",NA,NA,2
"97","1:139008910|139018293",NA,NA,1
"98","1:139008910|139038223",7,1,13
"99","1:139018191|139038223",2,NA,NA
"100","1:143491040|143493178",NA,1,2
"101","1:143543362|143553593",5,3,8
"102","1:143553376|143575060",NA,1,NA
"103","1:149776850|149778193",1,NA,NA
"104","1:149776850|149797887",3,NA,NA
"105","1:150282212|150283328",NA,NA,12
"106","1:150303870|150305296",7,3,8
"107","1:151225126|151226860",NA,NA,3
"108","1:151260067|151276924",NA,NA,2
"109","1:151309544|151311592",NA,1,NA
"110","1:151327798|151328906",NA,NA,1
