"","circ_id","mmu1","mmu2","mmu3"
"1","1:100406082|100412463",NA,4,NA
"2","1:100846238|100846806",NA,2,NA
"3","1:10104232|10105388",NA,2,NA
"4","1:10115300|10117751",NA,NA,2
"5","1:10145084|10152571",NA,NA,2
"6","1:10145084|10156177",4,NA,NA
"7","1:10152477|10166238",5,NA,NA
"8","1:102455233|102455394",NA,2,NA
"9","1:10258981|10259903",4,NA,5
"10","1:10264541|10269153",NA,2,NA
"11","1:105647176|105655713",NA,NA,4
"12","1:105712799|105737180",NA,NA,2
"13","1:105752724|105755460",NA,NA,7
"14","1:105928660|105933816",NA,3,NA
"15","1:105928660|105939544",4,2,NA
"16","1:105928660|105955261",NA,NA,2
"17","1:105949455|105951488",NA,NA,2
"18","1:106209092|106214846",NA,2,NA
"19","1:106303890|106308152",NA,2,NA
"20","1:114977088|114977319",NA,NA,5
"21","1:118470831|118475758",NA,NA,7
"22","1:119526734|119537016",3,NA,2
"23","1:119535716|119537016",NA,NA,7
"24","1:119545093|119549694",2,NA,NA
"25","1:120982472|120982849",2,NA,NA
"26","1:121373368|121390914",3,NA,NA
"27","1:125751439|125751590",NA,NA,2
"28","1:127238160|127238375",NA,NA,3
"29","1:127325243|127339997",NA,NA,4
"30","1:127719341|127727290",NA,2,NA
"31","1:127719341|127729413",NA,NA,2
"32","1:127719341|127731396",NA,NA,2
"33","1:127852464|127855858",NA,3,NA
"34","1:127915733|127927197",NA,NA,2
"35","1:128186568|128187274",3,NA,2
"36","1:128265852|128281307",NA,NA,2
"37","1:128648650|128648815",NA,2,NA
"38","1:129638012|129638164",4,NA,NA
"39","1:130609885|130611807",NA,NA,2
"40","1:130609885|130611810",NA,NA,2
"41","1:130633113|130635938",NA,NA,5
"42","1:131085928|131088361",NA,NA,6
"43","1:131283248|131284643",NA,3,NA
"44","1:131682305|131682591",NA,NA,12
"45","1:131891430|131891674",3,NA,NA
"46","1:132245159|132252811",4,NA,NA
"47","1:13226593|13237330",NA,NA,2
"48","1:13230384|13237330",5,NA,NA
"49","1:132361836|132362225",3,NA,NA
"50","1:132417325|132418323",NA,2,NA
"51","1:13291530|13294937",14,16,24
"52","1:13291530|13356249",12,11,37
"53","1:13291530|13369946",NA,NA,2
"54","1:133021393|133022572",NA,6,2
"55","1:133033740|133033918",2,NA,NA
"56","1:133212617|133213124",NA,NA,4
"57","1:133403669|133403865",3,NA,NA
"58","1:133573464|133575267",NA,NA,5
"59","1:134226459|134226626",NA,NA,2
"60","1:134226463|134226630",NA,NA,3
"61","1:13433773|13433942",NA,2,NA
"62","1:134395388|134411591",NA,NA,2
"63","1:134532179|134533613",NA,NA,2
"64","1:134535425|134541749",NA,NA,6
"65","1:134547297|134548760",4,NA,NA
"66","1:134797805|134807483",2,NA,3
"67","1:135199266|135205275",NA,NA,5
"68","1:135232167|135236936",NA,6,3
"69","1:135321873|135327941",NA,2,NA
"70","1:135346974|135348091",NA,NA,2
"71","1:135652332|135652489",NA,2,NA
"72","1:135679084|135679295",10,NA,NA
"73","1:135679440|135679755",2,NA,NA
"74","1:135708900|135711168",2,NA,NA
"75","1:135958461|135958635",2,NA,NA
"76","1:136352532|136361603",2,NA,NA
"77","1:137857203|137857689",5,NA,NA
"78","1:137925863|137926046",4,NA,NA
"79","1:138460474|138472081",NA,NA,4
"80","1:138460474|138489523",NA,NA,2
"81","1:138471940|138489523",2,NA,NA
"82","1:138967737|138990709",NA,2,5
"83","1:138981083|138990709",21,4,23
"84","1:138986804|139038223",2,NA,5
"85","1:138990598|139018293",NA,NA,2
"86","1:139008910|139038223",5,NA,13
"87","1:139018191|139038223",2,NA,NA
"88","1:143407707|143407878",NA,2,NA
"89","1:143491040|143493178",NA,NA,2
"90","1:143543362|143553593",NA,NA,5
"91","1:149776850|149797887",3,NA,NA
"92","1:150303870|150305296",7,3,7
"93","1:151225126|151226860",NA,NA,6
"94","1:151260067|151276924",NA,NA,2
"95","1:151348822|151354376",NA,NA,4
"96","1:151351890|151354376",4,NA,4
"97","1:151791232|151882518",NA,NA,3
"98","1:151856176|151882518",NA,4,9
"99","1:151856176|151883043",NA,NA,2
"100","1:151882295|151882518",NA,4,NA
"101","1:152476452|152476627",NA,3,NA
"102","1:153115000|153116241",3,NA,6
"103","1:153352169|153354724",NA,4,NA
"104","1:153358487|153359618",NA,NA,6
"105","1:155049731|155053694",NA,NA,2
"106","1:155049731|155073181",36,10,129
"107","1:155477199|155491718",NA,NA,2
"108","1:155477199|155500704",NA,NA,6
"109","1:155722855|155724473",NA,NA,2
"110","1:155828899|155838306",NA,NA,2
"111","1:155834306|155838306",NA,NA,4
"112","1:156529968|156533737",NA,NA,2
"113","1:157114300|157126834",4,NA,NA
"114","1:157373768|157382422",NA,NA,3
"115","1:160528281|160530030",10,4,10
"116","1:160767564|160768564",2,NA,NA
"117","1:160907833|160907998",2,NA,NA
"118","1:161071144|161074983",NA,NA,3
"119","1:161345272|161354772",NA,NA,5
"120","1:161570778|161570935",2,NA,NA
"121","1:163761047|163762386",4,NA,6
"122","1:16510546|16556374",NA,4,NA
"123","1:16510546|16579632",8,2,7
"124","1:16533258|16556374",5,2,NA
"125","1:16533258|16579632",NA,NA,5
"126","1:165420959|165436173",NA,NA,2
"127","1:165429318|165436173",NA,3,5
"128","1:165432178|165436173",19,5,36
"129","1:165458665|165459033",NA,NA,4
"130","1:165738856|165740918",NA,NA,2
"131","1:166160331|166160581",6,NA,NA
"132","1:16652150|16655655",4,3,NA
"133","1:16652150|16672577",NA,NA,7
"134","1:167055300|167065217",NA,NA,3
"135","1:167057461|167065217",6,NA,NA
"136","1:167062260|167065217",33,7,49
"137","1:169969677|169994517",NA,NA,5
"138","1:169984492|169994517",NA,NA,9
"139","1:169986319|169994517",NA,NA,2
"140","1:170146306|170156876",NA,NA,3
"141","1:170614914|170627314",NA,NA,3
"142","1:170662388|170669381",NA,2,NA
"143","1:170676685|170682758",NA,NA,2
"144","1:171679369|171679702",3,NA,NA
"145","1:171898817|171901985",NA,NA,7
"146","1:171944492|171944863",NA,2,NA
"147","1:172001509|172015027",3,3,33
"148","1:172311847|172312537",NA,NA,2
"149","1:172333339|172334311",NA,NA,3
"150","1:176930527|176937304",NA,NA,2
"151","1:177037541|177076447",2,NA,NA
"152","1:178161451|178163723",NA,NA,2
"153","1:178798133|178798409",6,NA,NA
"154","1:178871301|178877943",NA,4,8
"155","1:179232847|179239350",NA,NA,3
"156","1:179406902|179420431",NA,NA,4
"157","1:179435719|179435903",5,NA,NA
"158","1:179826926|179867765",NA,NA,10
"159","1:180006141|180006849",NA,NA,3
"160","1:180240238|180241565",NA,NA,2
"161","1:180560730|180564415",NA,NA,2
"162","1:180560730|180566202",6,NA,14
"163","1:180561941|180566202",3,NA,NA
"164","1:180564256|180566202",NA,NA,6
"165","1:181010333|181030725",NA,NA,3
"166","1:181011291|181011961",4,NA,NA
"167","1:181011815|181013632",4,NA,4
"168","1:181783958|181789484",NA,NA,3
"169","1:181826000|181826359",2,NA,NA
"170","1:182204487|182204653",4,NA,NA
"171","1:183132406|183135483",NA,2,NA
"172","1:183139566|183139756",3,NA,NA
"173","1:183165791|183166287",2,NA,NA
"174","1:183207397|183209012",2,NA,NA
"175","1:183208885|183209604",NA,3,2
"176","1:184564772|184566225",NA,NA,4
"177","1:184564772|184573624",NA,NA,3
"178","1:184987941|184991724",NA,NA,3
"179","1:184990694|184999476",NA,NA,2
"180","1:184999097|184999476",3,6,18
"181","1:185105114|185111098",NA,2,NA
"182","1:185118442|185129464",8,NA,26
"183","1:185130590|185133865",NA,NA,2
"184","1:185146526|185148148",NA,NA,4
"185","1:186293825|186294173",2,NA,NA
"186","1:186361079|186365007",NA,NA,5
"187","1:186362806|186382095",NA,NA,2
"188","1:186383059|186383223",NA,2,NA
"189","1:186468312|186472060",7,2,14
"190","1:186885808|186886012",2,NA,NA
"191","1:188706262|188710849",4,NA,NA
"192","1:189518832|189530878",NA,NA,4
"193","1:190541079|190566295",7,NA,NA
"194","1:190566202|190576799",NA,3,NA
"195","1:190600769|190631768",NA,NA,2
"196","1:190603788|190604148",9,NA,NA
"197","1:190603788|190631768",2,NA,11
"198","1:190617530|190631768",5,4,11
"199","1:190665063|190675084",NA,NA,3
"200","1:191077173|191079101",NA,NA,12
"201","1:191314510|191315437",NA,NA,12
"202","1:191314510|191318773",4,NA,NA
"203","1:191481651|191495783",NA,4,9
"204","1:191544485|191544651",NA,NA,2
"205","1:191807838|191810327",3,NA,11
"206","1:192805945|192810854",3,NA,NA
"207","1:192843992|192848135",3,NA,NA
"208","1:193016723|193016941",NA,NA,2
"209","1:193021113|193023209",NA,NA,5
"210","1:193659947|193660295",3,NA,NA
"211","1:24724477|24732082",NA,NA,4
"212","1:24750592|24770980",NA,NA,4
"213","1:25119426|25119606",3,NA,NA
"214","1:30859161|30860395",NA,NA,7
"215","1:30876185|30902336",NA,NA,7
"216","1:33551096|33553298",NA,NA,2
"217","1:33551096|33572444",2,NA,NA
"218","1:33667475|33669514",2,7,2
"219","1:33822121|33825613",NA,NA,5
"220","1:34159591|34159741",NA,4,NA
"221","1:34501782|34507442",NA,NA,5
"222","1:34858672|34859090",NA,NA,2
"223","1:35155551|35155701",NA,2,NA
"224","1:35508131|35508296",NA,2,NA
"225","1:35673340|35673502",NA,2,NA
"226","1:36103352|36103515",4,NA,NA
"227","1:36221550|36225049",NA,2,2
"228","1:36266564|36274023",NA,NA,8
"229","1:36459782|36460014",NA,NA,2
"230","1:37426778|37438001",NA,NA,2
"231","1:37470373|37476559",NA,NA,2
"232","1:37495670|37503615",4,NA,NA
"233","1:37529340|37537821",6,6,8
"234","1:37529340|37575485",NA,NA,2
"235","1:37664479|37664647",2,NA,NA
"236","1:37840800|37858721",NA,NA,5
"237","1:38122784|38147548",NA,NA,2
"238","1:38146648|38147548",9,12,52
"239","1:39209570|39209814",NA,NA,2
"240","1:39290030|39302456",6,NA,NA
"241","1:39326548|39339814",9,2,21
"242","1:39326548|39352149",NA,NA,4
"243","1:39412807|39420643",NA,NA,6
"244","1:39428388|39430368",NA,NA,3
"245","1:39428388|39442004",3,NA,5
"246","1:39430197|39431335",5,NA,NA
"247","1:39441763|39445951",NA,2,NA
"248","1:39594558|39604413",2,NA,2
"249","1:39599773|39604413",NA,NA,3
"250","1:39603128|39604413",NA,NA,5
"251","1:40013086|40029459",NA,NA,5
"252","1:40639929|40642112",2,NA,NA
"253","1:40639929|40642230",2,2,NA
"254","1:41382842|41383041",NA,NA,2
"255","1:42926866|42938709",NA,NA,6
"256","1:43106633|43115112",2,NA,2
"257","1:43548780|43572953",7,NA,6
"258","1:43996595|44011847",NA,NA,3
"259","1:44793502|44820266",NA,2,NA
"260","1:45583613|45583822",NA,NA,3
"261","1:46197729|46197888",2,NA,NA
"262","1:4909609|4911355",NA,NA,3
"263","1:5159231|5168356",10,NA,7
"264","1:5159231|5171346",3,2,9
"265","1:5159231|5187710",NA,NA,4
"266","1:5159231|5194692",NA,2,NA
"267","1:5165837|5171346",NA,NA,5
"268","1:5165837|5214074",NA,NA,2
"269","1:52235323|52251525",NA,NA,4
"270","1:52251361|52254853",NA,NA,4
"271","1:52518396|52529914",NA,NA,4
"272","1:52747322|52748914",NA,4,21
"273","1:53295787|53321251",NA,3,3
"274","1:54802803|54806143",5,NA,NA
"275","1:55339245|55394898",NA,NA,2
"276","1:55379631|55394898",NA,3,NA
"277","1:58451805|58453660",NA,NA,2
"278","1:58456171|58456542",22,6,13
"279","1:58458825|58461093",NA,NA,2
"280","1:58578717|58596532",NA,NA,3
"281","1:58587797|58597216",NA,3,NA
"282","1:58863073|58872933",NA,NA,3
