k,species_combo,exact_region_count,inclusive_intersection_count,contains_ACACA_exact,contains_ACACA_inclusive
1,hsa,12218,26644,False,True
1,mma,2946,15644,False,True
1,mmu,4344,17030,False,True
1,mfu,136,3160,False,True
1,mpi,82,2275,False,True
1,rsi,64,1500,False,True
2,hsa;mma,1685,12426,False,True
2,hsa;mmu,1647,12455,False,True
2,hsa;mfu,28,2954,False,True
2,hsa;mpi,17,2139,False,True
2,hsa;rsi,5,1431,False,True
2,mma;mmu,207,10746,False,True
2,mma;mfu,20,2779,False,True
2,mma;mpi,9,2025,False,True
2,mma;rsi,0,1335,False,True
2,mmu;mfu,5,2779,False,True
2,mmu;mpi,3,2028,False,True
2,mmu;rsi,0,1374,False,True
2,mfu;mpi,13,1355,False,True
2,mfu;rsi,0,851,False,True
2,mpi;rsi,0,703,False,True
3,hsa;mma;mmu,6883,10523,False,True
3,hsa;mma;mfu,93,2727,False,True
3,hsa;mma;mpi,46,1987,False,True
3,hsa;mma;rsi,22,1330,False,True
3,hsa;mmu;mfu,99,2762,False,True
3,hsa;mmu;mpi,45,2016,False,True
3,hsa;mmu;rsi,49,1370,False,True
3,hsa;mfu;mpi,16,1316,False,True
3,hsa;mfu;rsi,2,847,False,True
3,hsa;mpi;rsi,0,699,False,True
3,mma;mmu;mfu,6,2593,False,True
3,mma;mmu;mpi,3,1906,False,True
3,mma;mmu;rsi,1,1280,False,True
3,mma;mfu;mpi,19,1262,False,True
3,mma;mfu;rsi,0,814,False,True
3,mma;mpi;rsi,0,676,False,True
3,mmu;mfu;mpi,0,1266,False,True
3,mmu;mfu;rsi,0,820,False,True
3,mmu;mpi;rsi,0,683,False,True
3,mfu;mpi;rsi,0,553,False,True
4,hsa;mma;mmu;mfu,1120,2581,False,True
4,hsa;mma;mmu;mpi,565,1897,False,True
4,hsa;mma;mmu;rsi,358,1276,False,True
4,hsa;mma;mfu;mpi,25,1236,False,True
4,hsa;mma;mfu;rsi,13,810,False,True
4,hsa;mma;mpi;rsi,4,672,False,True
4,hsa;mmu;mfu;mpi,47,1260,False,True
4,hsa;mmu;mfu;rsi,18,817,False,True
4,hsa;mmu;mpi;rsi,10,680,False,True
4,hsa;mfu;mpi;rsi,0,549,False,True
4,mma;mmu;mfu;mpi,3,1202,False,True
4,mma;mmu;mfu;rsi,0,785,False,True
4,mma;mmu;mpi;rsi,0,656,False,True
4,mma;mfu;mpi;rsi,1,536,False,True
4,mmu;mfu;mpi;rsi,0,537,False,True
5,hsa;mma;mmu;mfu;mpi,679,1196,False,True
5,hsa;mma;mmu;mfu;rsi,265,782,False,True
5,hsa;mma;mmu;mpi;rsi,136,653,False,True
5,hsa;mma;mfu;mpi;rsi,15,532,False,True
5,hsa;mmu;mfu;mpi;rsi,17,534,False,True
5,mma;mmu;mfu;mpi;rsi,3,520,False,True
6,hsa;mma;mmu;mfu;mpi;rsi,517,517,True,True
