k,species_combo,intersection_gene_count,contains_ACACA
6,hsa;mma;mmu;mfu;mpi;rsi,9,False
5,hsa;mma;mmu;mfu;mpi,11,False
5,hsa;mma;mmu;mfu;rsi,10,False
5,hsa;mma;mmu;mpi;rsi,10,False
5,hsa;mma;mfu;mpi;rsi,10,False
5,hsa;mmu;mfu;mpi;rsi,21,False
5,mma;mmu;mfu;mpi;rsi,53,False
4,hsa;mma;mmu;mfu,12,False
4,hsa;mma;mmu;mpi,14,False
4,hsa;mma;mmu;rsi,12,False
4,hsa;mma;mfu;mpi,15,False
4,hsa;mma;mfu;rsi,14,False
4,hsa;mma;mpi;rsi,11,False
4,hsa;mmu;mfu;mpi,25,False
4,hsa;mmu;mfu;rsi,26,False
4,hsa;mmu;mpi;rsi,22,False
4,hsa;mfu;mpi;rsi,26,False
4,mma;mmu;mfu;mpi,64,False
4,mma;mmu;mfu;rsi,62,False
4,mma;mmu;mpi;rsi,60,False
4,mma;mfu;mpi;rsi,89,False
4,mmu;mfu;mpi;rsi,282,False
3,hsa;mma;mmu,17,False
3,hsa;mma;mfu,19,False
3,hsa;mma;mpi,19,False
3,hsa;mma;rsi,16,False
3,hsa;mmu;mfu,34,False
3,hsa;mmu;mpi,30,False
3,hsa;mmu;rsi,31,False
3,hsa;mfu;mpi,45,False
3,hsa;mfu;rsi,43,False
3,hsa;mpi;rsi,28,False
3,mma;mmu;mfu,80,False
3,mma;mmu;mpi,74,False
3,mma;mmu;rsi,80,False
3,mma;mfu;mpi,136,False
3,mma;mfu;rsi,107,False
3,mma;mpi;rsi,102,False
3,mmu;mfu;mpi,434,False
3,mmu;mfu;rsi,359,False
3,mmu;mpi;rsi,326,True
3,mfu;mpi;rsi,552,False
2,hsa;mma,28,False
2,hsa;mmu,48,False
2,hsa;mfu,73,False
2,hsa;mpi,60,False
2,hsa;rsi,55,False
2,mma;mmu,110,False
2,mma;mfu,181,False
2,mma;mpi,169,False
2,mma;rsi,139,False
2,mmu;mfu,659,False
2,mmu;mpi,555,True
2,mmu;rsi,476,True
2,mfu;mpi,1354,False
2,mfu;rsi,850,False
2,mpi;rsi,703,True
