k,species_combo,exact_region_count,inclusive_intersection_count,contains_ACACA_exact,contains_ACACA_inclusive
1,hsa,48,154,False,False
1,mma,62,307,False,False
1,mmu,358,1224,False,True
1,mfu,1332,3159,False,False
1,mpi,668,2275,False,True
1,rsi,412,1500,False,True
2,hsa;mma,3,28,False,False
2,hsa;mmu,4,48,False,False
2,hsa;mfu,7,73,False,False
2,hsa;mpi,8,60,False,False
2,hsa;rsi,6,55,False,False
2,mma;mmu,8,110,False,False
2,mma;mfu,20,181,False,False
2,mma;mpi,16,169,False,False
2,mma;rsi,8,139,False,False
2,mmu;mfu,137,659,False,False
2,mmu;mpi,72,555,False,True
2,mmu;rsi,59,476,False,True
2,mfu;mpi,602,1354,False,False
2,mfu;rsi,203,850,False,False
2,mpi;rsi,100,703,False,True
3,hsa;mma;mmu,1,17,False,False
3,hsa;mma;mfu,0,19,False,False
3,hsa;mma;mpi,1,19,False,False
3,hsa;mma;rsi,0,16,False,False
3,hsa;mmu;mfu,4,34,False,False
3,hsa;mmu;mpi,2,30,False,False
3,hsa;mmu;rsi,3,31,False,False
3,hsa;mfu;mpi,12,45,False,False
3,hsa;mfu;rsi,9,43,False,False
3,hsa;mpi;rsi,1,28,False,False
3,mma;mmu;mfu,7,80,False,False
3,mma;mmu;mpi,1,74,False,False
3,mma;mmu;rsi,10,80,False,False
3,mma;mfu;mpi,33,136,False,False
3,mma;mfu;rsi,6,107,False,False
3,mma;mpi;rsi,6,102,False,False
3,mmu;mfu;mpi,139,434,False,False
3,mmu;mfu;rsi,64,359,False,False
3,mmu;mpi;rsi,37,326,True,True
3,mfu;mpi;rsi,230,552,False,False
4,hsa;mma;mmu;mfu,0,12,False,False
4,hsa;mma;mmu;mpi,2,14,False,False
4,hsa;mma;mmu;rsi,1,12,False,False
4,hsa;mma;mfu;mpi,3,15,False,False
4,hsa;mma;mfu;rsi,3,14,False,False
4,hsa;mma;mpi;rsi,0,11,False,False
4,hsa;mmu;mfu;mpi,2,25,False,False
4,hsa;mmu;mfu;rsi,4,26,False,False
4,hsa;mmu;mpi;rsi,0,22,False,False
4,hsa;mfu;mpi;rsi,4,26,False,False
4,mma;mmu;mfu;mpi,9,64,False,False
4,mma;mmu;mfu;rsi,8,62,False,False
4,mma;mmu;mpi;rsi,6,60,False,False
4,mma;mfu;mpi;rsi,35,89,False,False
4,mmu;mfu;mpi;rsi,217,282,False,False
5,hsa;mma;mmu;mfu;mpi,2,11,False,False
5,hsa;mma;mmu;mfu;rsi,1,10,False,False
5,hsa;mma;mmu;mpi;rsi,1,10,False,False
5,hsa;mma;mfu;mpi;rsi,1,10,False,False
5,hsa;mmu;mfu;mpi;rsi,12,21,False,False
5,mma;mmu;mfu;mpi;rsi,44,53,False,False
6,hsa;mma;mmu;mfu;mpi;rsi,9,9,False,False
