"","circ_id","mma1","mma2","mma3"
"1","1:100007729|100007915",NA,NA,14
"2","1:100169129|100201391",5,NA,NA
"3","1:100703499|100706628",2,NA,NA
"4","1:103657523|103659696",1,NA,NA
"5","1:106311979|106314354",3,NA,NA
"6","1:106342693|106364395",2,NA,NA
"7","1:106740136|106829790",4,NA,NA
"8","1:106805484|106868467",NA,NA,11
"9","1:106829695|106868467",22,NA,NA
"10","1:106849970|106868467",32,37,NA
"11","1:106855779|106868467",NA,NA,8
"12","1:106864988|106868467",NA,NA,35
"13","1:109478241|109491082",17,NA,NA
"14","1:109799272|109799473",NA,17,NA
"15","1:110268257|110269335",10,NA,NA
"16","1:110304225|110305395",12,NA,NA
"17","1:110362532|110392216",1,NA,NA
"18","1:110387402|110392216",13,NA,NA
"19","1:110484376|110484849",4,NA,NA
"20","1:111119247|111120591",5,NA,NA
"21","1:111557151|111564471",6,NA,NA
"22","1:111592884|111599248",3,NA,NA
"23","1:111592884|111611519",4,NA,NA
"24","1:111592884|111628246",3,NA,NA
"25","1:111592884|111633204",13,NA,NA
"26","1:111592884|111654330",6,NA,NA
"27","1:111592884|111668985",3,NA,NA
"28","1:113902955|113906163",2,NA,NA
"29","1:11492803|11792237",NA,28,NA
"30","1:114972852|114974495",18,NA,NA
"31","1:115302491|115309429",1,NA,NA
"32","1:115302491|115313882",5,NA,NA
"33","1:115308846|115313882",2,NA,NA
"34","1:11550342|11557853",NA,NA,22
"35","1:11622810|11687576",9,NA,NA
"36","1:116540769|116564949",4,NA,NA
"37","1:123137040|123157260",3,NA,NA
"38","1:123654865|123656037",NA,37,NA
"39","1:123941027|123951477",11,NA,NA
"40","1:124279167|124286513",6,NA,NA
"41","1:12481663|12486214",8,NA,NA
"42","1:126839983|126913482",11,NA,NA
"43","1:127049053|127075410",9,NA,NA
"44","1:127365771|127381217",12,NA,NA
"45","1:128987595|128996905",23,NA,NA
"46","1:130592038|130613832",10,NA,NA
"47","1:131341841|131343279",NA,NA,22
"48","1:131453560|131453790",7,NA,NA
"49","1:13203960|13207415",9,NA,NA
"50","1:132318696|132318866",NA,NA,14
"51","1:132422733|132459642",NA,42,NA
"52","1:132459452|132485503",4,NA,NA
