"","circ_id","hsa1","hsa2","hsa3"
"1","1:100064984|100065128",NA,NA,"3.000"
"2","1:100185569|100185788",NA,NA,"2.000"
"3","1:10275427|10278128",NA,"3.000",NA
"4","1:102896448|102896663","1.000",NA,NA
"5","1:10365099|10365648",NA,"4.000",NA
"6","1:10371140|10375373",NA,NA,"1.000"
"7","1:10403070|10404279",NA,"13.000","1.000"
"8","1:10403070|10408140",NA,NA,"3.000"
"9","1:10440346|10442441",NA,NA,"4.000"
"10","1:10467189|10469338",NA,NA,"1.000"
"11","1:107596211|107617632",NA,"2.000",NA
"12","1:10784391|10784536",NA,NA,"2.000"
"13","1:108145593|108145779",NA,"3.000",NA
"14","1:108702201|108702372",NA,"5.000",NA
"15","1:108991253|109004715",NA,"2.000",NA
"16","1:109230877|109231786",NA,"2.000",NA
"17","1:109340723|109345878",NA,"5.000",NA
"18","1:109469485|109469666",NA,NA,"1.000"
"19","1:109767796|109767931",NA,NA,"1.000"
"20","1:109938939|109939074",NA,NA,"1.000"
"21","1:11016781|11016970",NA,NA,"1.000"
"22","1:110686823|110687097","3.000",NA,NA
"23","1:111888767|111888936",NA,"1.000",NA
"24","1:112097427|112097596",NA,"8.000",NA
"25","1:112996840|112999109",NA,NA,"1.000"
"26","1:113799271|113799438",NA,NA,"2.000"
"27","1:113825141|113834439",NA,"4.000",NA
"28","1:113829591|113834439",NA,"3.000",NA
"29","1:114015210|114015382",NA,NA,"1.000"
"30","1:115875984|115876120",NA,"1.000",NA
"31","1:116279460|116279619",NA,NA,"7.000"
"32","1:117235568|117235894",NA,"2.000",NA
"33","1:117402185|117405645",NA,"5.000",NA
"34","1:117402185|117414831","1.000","2.000",NA
"35","1:117402185|117420649",NA,"9.000",NA
"36","1:117402185|117442325",NA,"4.000",NA
"37","1:117412433|117412813","1.000","1.000",NA
"38","1:117756459|117756712","1.000",NA,NA
"39","1:117911993|117918736",NA,"1.000",NA
"40","1:118629998|118630347",NA,NA,"1.000"
"41","1:118789604|118789772","1.000",NA,NA
"42","1:119442773|119443134",NA,NA,"1.000"
"43","1:119469290|119469470",NA,"7.000",NA
"44","1:119475621|119476003",NA,NA,"1.000"
"45","1:12001400|12002103",NA,"2.000",NA
"46","1:12017055|12017204",NA,NA,"1.000"
"47","1:121067261|121067466",NA,"2.000",NA
"48","1:1223243|1223968",NA,"24.000","10.000"
"49","1:12578717|12579412",NA,"8.000","1.000"
"50","1:13715540|13742157",NA,"7.000",NA
"51","1:13715540|13749487",NA,"2.000",NA
"52","1:13778417|13782831",NA,"5.000",NA
"53","1:14038958|14039106",NA,"2.000",NA
"54","1:14099236|14099605","3.000",NA,NA
"55","1:14300734|14300924",NA,NA,"9.000"
"56","1:14389721|14389897",NA,NA,"1.000"
"57","1:145839889|145841071",NA,"7.000",NA
"58","1:14650969|14651149",NA,NA,"2.000"
"59","1:14658017|14658289","1.000",NA,NA
"60","1:147252622|147256562",NA,NA,"3.000"
"61","1:147477170|147477329",NA,NA,"2.000"
"62","1:147487464|147487668","1.000",NA,NA
"63","1:14764513|14764687",NA,"4.000",NA
"64","1:14856872|14857015",NA,NA,"5.000"
"65","1:14903279|14903457",NA,"3.000",NA
"66","1:14944356|14960875",NA,NA,"3.000"
"67","1:149959683|149964349",NA,"6.000",NA
"68","1:150302186|150302359",NA,NA,"1.000"
"69","1:150393512|150393699","1.000",NA,NA
"70","1:150492410|150496908",NA,"5.000",NA
"71","1:150508158|150510002",NA,NA,"7.000"
"72","1:150968201|150968394",NA,"8.000",NA
"73","1:151024610|151025673","1.000",NA,"4.000"
"74","1:151024610|151027327",NA,"6.000",NA
"75","1:151038503|151039026",NA,"4.000",NA
"76","1:151117391|151118139",NA,NA,"1.000"
"77","1:151242122|151242567",NA,NA,"1.000"
"78","1:151315572|151316509",NA,"5.000",NA
"79","1:151525641|151527107",NA,NA,"3.000"
"80","1:151956224|151956359",NA,"1.000",NA
"81","1:153677271|153677459",NA,NA,"1.000"
"82","1:154172907|154173201",NA,"4.000",NA
"83","1:154234590|154235291",NA,"27.000",NA
"84","1:154251040|154251653",NA,"2.000",NA
"85","1:154991538|154991713",NA,NA,"1.000"
"86","1:155218366|155218536",NA,NA,"2.000"
"87","1:155389441|155389576","2.000",NA,NA
"88","1:155675009|155679512",NA,"1.000","2.000"
"89","1:155676547|155679512",NA,"30.000","6.000"
"90","1:155820605|155827028",NA,"5.000",NA
"91","1:155921374|155923687",NA,"4.000",NA
"92","1:156105919|156106268","1.000",NA,NA
"93","1:156324971|156334918",NA,NA,"2.000"
"94","1:15638306|15643650",NA,"3.000",NA
"95","1:156433573|156433728","1.000",NA,NA
"96","1:156562524|156562713",NA,NA,"2.000"
"97","1:156665638|156665785",NA,"1.000",NA
"98","1:156732831|156732975",NA,"1.000",NA
"99","1:156807689|156808027",NA,NA,"4.000"
"100","1:156842814|156842957",NA,NA,"1.000"
"101","1:15688241|15688380",NA,"3.000",NA
"102","1:15694010|15694949",NA,"6.000",NA
"103","1:156951572|156955799",NA,"4.000",NA
"104","1:15701007|15701200",NA,"2.000",NA
"105","1:158001814|158002197",NA,NA,"1.000"
"106","1:158066861|158067062",NA,NA,"1.000"
"107","1:158651541|158651731",NA,"1.000",NA
"108","1:15911100|15916279",NA,"2.000",NA
"109","1:159144220|159144419",NA,NA,"1.000"
"110","1:159183659|159183827",NA,NA,"2.000"
"111","1:15942330|15942528","1.000",NA,NA
"112","1:160110265|160111176",NA,"2.000","1.000"
"113","1:160195173|160195320",NA,NA,"1.000"
"114","1:160317353|160332557",NA,"1.000",NA
"115","1:160978708|160978866",NA,"1.000",NA
"116","1:161102047|161102375",NA,"3.000",NA
"117","1:161201717|161201866",NA,NA,"1.000"
"118","1:161223066|161223251",NA,NA,"1.000"
"119","1:161226825|161226976",NA,"5.000",NA
"120","1:161770798|161784096",NA,"3.000",NA
"121","1:162080594|162080739",NA,"4.000",NA
"122","1:16208900|16209038",NA,NA,"3.000"
"123","1:162287343|162300706",NA,NA,"3.000"
"124","1:163415410|163415569",NA,NA,"1.000"
"125","1:164067150|164067317",NA,NA,"1.000"
"126","1:164419277|164419455",NA,"3.000",NA
"127","1:164438332|164438510",NA,NA,"1.000"
"128","1:164518413|164518572","1.000",NA,NA
"129","1:164523192|164523366",NA,NA,"1.000"
"130","1:164659639|164659965",NA,NA,"2.000"
"131","1:16508670|16661419","1.000",NA,NA
"132","1:165149931|165153119",NA,NA,"2.000"
"133","1:165609724|165609995",NA,"1.000",NA
"134","1:165741822|165742007",NA,NA,"3.000"
"135","1:165743166|165754274",NA,"2.000",NA
"136","1:165743166|165754990",NA,"4.000",NA
"137","1:16621792|16621963",NA,NA,"1.000"
"138","1:16637035|16637223",NA,NA,"1.000"
"139","1:166566564|166566743",NA,NA,"1.000"
"140","1:166862202|166863921",NA,"6.000",NA
"141","1:1669663|1734835","1.000",NA,NA
"142","1:167217021|167217174","1.000",NA,NA
"143","1:1676063|1676846",NA,NA,"1.000"
"144","1:168112625|168112798",NA,NA,"2.000"
"145","1:168231513|168236770",NA,"5.000",NA
"146","1:168382797|168382950",NA,NA,"1.000"
"147","1:169540994|169541426",NA,"4.000",NA
"148","1:16975053|16975255","1.000",NA,NA
