"","circ_id","mpi1","mpi2","mpi3"
"1","scaffold0001:100203689|100204207","7.000","10.000","9.000"
"2","scaffold0001:100759284|100759686","8.000","8.000","1.000"
"3","scaffold0001:101732347|101764456","3.000","8.000","6.000"
"4","scaffold0001:101745651|101752789","1.000","6.000","3.000"
"5","scaffold0001:101764318|101805092","10.000","2.000","5.000"
"6","scaffold0001:102052286|102058439","4.000","15.000","7.000"
"7","scaffold0001:102597334|102600962","6.000","33.000","18.000"
"8","scaffold0001:105448308|105451257","13.000","16.000","13.000"
"9","scaffold0001:105535894|105552281","14.000","54.000","18.000"
"10","scaffold0001:105545041|105552281","21.000","26.000","12.000"
"11","scaffold0001:105551185|105552281","4.000","5.000","3.000"
"12","scaffold0001:106780112|106781528","2.000","4.000","4.000"
"13","scaffold0001:106987476|107032325","31.000","40.000","25.000"
"14","scaffold0001:107030243|107032325","2.000","1.000","3.000"
"15","scaffold0001:107132937|107133577","5.000","4.000","2.000"
"16","scaffold0001:107430334|107431589","2.000","21.000","4.000"
"17","scaffold0001:107605756|107613704","37.000","56.000","33.000"
"18","scaffold0001:107605756|107640364","5.000","2.000","3.000"
"19","scaffold0001:108099482|108114190","9.000","14.000","8.000"
"20","scaffold0001:108451003|108455427","3.000","6.000","5.000"
"21","scaffold0001:108454018|108455427","58.000","76.000","40.000"
"22","scaffold0001:108543417|108546555","7.000","4.000","4.000"
"23","scaffold0001:108596631|108603647","9.000","10.000","12.000"
"24","scaffold0001:108912748|108913051","4.000","4.000","4.000"
"25","scaffold0001:110917571|110921335","5.000","6.000","4.000"
"26","scaffold0001:111739567|111741355","15.000","43.000","19.000"
"27","scaffold0001:111739567|111762816","50.000","30.000","19.000"
"28","scaffold0001:111857139|111858074","67.000","79.000","43.000"
"29","scaffold0001:112222775|112227446","4.000","8.000","2.000"
"30","scaffold0001:112553618|112558183","48.000","151.000","76.000"
"31","scaffold0001:112590308|112598110","10.000","3.000","2.000"
"32","scaffold0001:112594017|112598110","13.000","3.000","4.000"
"33","scaffold0001:112898553|112906290","9.000","8.000","10.000"
"34","scaffold0001:113802721|113810698","18.000","41.000","8.000"
"35","scaffold0001:113822631|113824795","4.000","9.000","3.000"
"36","scaffold0001:113853226|113858294","1.000","4.000","4.000"
"37","scaffold0001:113879748|113888329","4.000","10.000","9.000"
"38","scaffold0001:114001179|114009040","11.000","32.000","16.000"
"39","scaffold0001:114031253|114051769","9.000","14.000","3.000"
"40","scaffold0001:116015222|116096230","5.000","3.000","3.000"
"41","scaffold0001:117462448|117470129","6.000","6.000","2.000"
"42","scaffold0001:117465316|117470129","34.000","51.000","20.000"
"43","scaffold0001:117602102|117603101","8.000","11.000","9.000"
"44","scaffold0001:117824746|117825092","15.000","22.000","23.000"
"45","scaffold0001:118060297|118062675","8.000","6.000","8.000"
"46","scaffold0001:118228378|118228920","123.000","230.000","231.000"
"47","scaffold0001:118266196|118270966","4.000","1.000","6.000"
"48","scaffold0001:118672269|118672450","8.000","4.000","9.000"
"49","scaffold0001:118960435|118962496","15.000","11.000","8.000"
"50","scaffold0001:118961931|118962496","25.000","12.000","44.000"
"51","scaffold0001:119022478|119022663","138.000","34.000","38.000"
"52","scaffold0001:119022478|119035045","2.000","12.000","10.000"
"53","scaffold0001:119060497|119063412","7.000","7.000","12.000"
"54","scaffold0001:119066970|119072927","1.000","5.000","2.000"
"55","scaffold0001:119366169|119366602","196.000","286.000","225.000"
"56","scaffold0001:119386021|119403372","18.000","72.000","47.000"
"57","scaffold0001:119399046|119405562","47.000","28.000","76.000"
"58","scaffold0001:119435139|119437963","1.000","34.000","4.000"
"59","scaffold0001:120559559|120560705","1.000","4.000","5.000"
"60","scaffold0001:122018636|122022741","6.000","2.000","3.000"
"61","scaffold0001:122258977|122260572","69.000","105.000","69.000"
"62","scaffold0001:123500740|123503462","4.000","3.000","7.000"
"63","scaffold0001:123661364|123663810","8.000","7.000","16.000"
"64","scaffold0001:123668201|123669978","63.000","54.000","33.000"
"65","scaffold0001:123735702|123738497","3.000","2.000","5.000"
"66","scaffold0001:123799937|123801342","17.000","31.000","1.000"
"67","scaffold0001:123803493|123804909","1.000","1.000","2.000"
"68","scaffold0001:123844056|123844720","25.000","21.000","13.000"
"69","scaffold0001:123844056|123847095","12.000","11.000","9.000"
"70","scaffold0001:124020877|124061537","39.000","51.000","24.000"
"71","scaffold0001:124029715|124061537","10.000","5.000","2.000"
"72","scaffold0001:124127798|124133322","4.000","1.000","3.000"
"73","scaffold0001:124169788|124180275","5.000","13.000","11.000"
"74","scaffold0001:124199980|124200462","3.000","10.000","8.000"
"75","scaffold0001:124335401|124340252","12.000","20.000","12.000"
"76","scaffold0001:124343583|124344375","9.000","2.000","6.000"
"77","scaffold0001:124354956|124361556","55.000","42.000","9.000"
"78","scaffold0001:124354956|124370056","22.000","86.000","48.000"
"79","scaffold0001:124356261|124359698","4.000","6.000","6.000"
"80","scaffold0001:124359594|124361556","12.000","16.000","16.000"
"81","scaffold0001:124361419|124370056","10.000","3.000","2.000"
"82","scaffold0001:124366067|124370056","6.000","10.000","3.000"
"83","scaffold0001:124369145|124370056","11.000","48.000","33.000"
"84","scaffold0001:124644057|124645829","11.000","20.000","11.000"
"85","scaffold0001:124644057|124658646","11.000","7.000","2.000"
"86","scaffold0001:124644057|124658650","4.000","5.000","4.000"
"87","scaffold0001:124644958|124658646","5.000","1.000","2.000"
"88","scaffold0001:124651552|124658646","7.000","9.000","8.000"
"89","scaffold0001:124651552|124658650","2.000","2.000","1.000"
"90","scaffold0001:124970323|124971416","8.000","16.000","15.000"
"91","scaffold0001:125052970|125056530","5.000","2.000","4.000"
"92","scaffold0001:125218830|125236616","9.000","14.000","6.000"
"93","scaffold0001:125236480|125270953","9.000","8.000","7.000"
"94","scaffold0001:125539865|125543293","45.000","49.000","50.000"
"95","scaffold0001:125544076|125545101","129.000","151.000","199.000"
"96","scaffold0001:125767603|125767982","7.000","28.000","12.000"
"97","scaffold0001:125889711|125902462","11.000","10.000","3.000"
