"","circ_id","mma1","mma2","mma3"
"1","1:100007729|100007915",NA,NA,28
"2","1:100169129|100201391",5,NA,NA
"3","1:100703499|100706628",2,NA,NA
"4","1:103657523|103659696",2,NA,NA
"5","1:104362413|104362560",NA,3,NA
"6","1:104692439|104725863",NA,NA,12
"7","1:106311979|106314354",3,NA,NA
"8","1:106342693|106364395",2,NA,NA
"9","1:106829695|106868467",6,NA,NA
"10","1:106849970|106868467",15,70,NA
"11","1:106855779|106868467",NA,NA,12
"12","1:107178400|107188393",2,NA,NA
"13","1:109478241|109491082",12,NA,NA
"14","1:109509701|109510290",NA,NA,28
"15","1:109749835|109760250",NA,NA,24
"16","1:109799272|109799473",NA,34,NA
"17","1:110304225|110305395",10,NA,NA
"18","1:110387402|110392216",8,NA,NA
"19","1:110425943|110427797",3,NA,NA
"20","1:110465144|110498999",4,NA,NA
"21","1:111517364|111518076",9,NA,NA
"22","1:111592884|111599248",6,NA,NA
"23","1:111592884|111611519",3,NA,NA
"24","1:111592884|111628246",3,NA,NA
"25","1:111592884|111633204",5,NA,NA
"26","1:111592884|111654330",6,NA,NA
"27","1:113246901|113247073",2,NA,NA
"28","1:113902955|113906163",4,NA,NA
"29","1:114221270|114221522",6,NA,NA
"30","1:114451081|114480670",12,NA,NA
"31","1:114972852|114974495",24,NA,NA
"32","1:115302491|115309429",2,NA,NA
"33","1:115302491|115313882",5,NA,NA
"34","1:115308846|115313882",4,NA,NA
"35","1:11550342|11557853",NA,NA,41
"36","1:11622810|11687576",9,NA,NA
"37","1:123137040|123157260",5,NA,NA
"38","1:123269719|123269973",8,NA,NA
"39","1:123654865|123656037",NA,37,NA
"40","1:123941027|123951477",22,NA,NA
"41","1:124130904|124156927",NA,50,NA
"42","1:124279167|124286513",9,NA,NA
"43","1:12481663|12486214",8,NA,NA
"44","1:126319424|126319724",NA,6,NA
"45","1:126839983|126913482",11,NA,NA
"46","1:127049053|127075410",9,NA,NA
"47","1:127365771|127381217",11,NA,NA
"48","1:130592038|130613832",20,NA,NA
"49","1:131453560|131453790",13,NA,NA
"50","1:131453560|131455073",6,NA,NA
"51","1:13203960|13207415",9,NA,NA
"52","1:132318696|132318866",NA,NA,14
