"gene_id","circ_mpi1","circ_mpi2","circ_mpi3","mpi1","mpi2","mpi3"
"ENSMPIG00001000700244",24,25,29,0,0,0
"ENSMPIG00001001300244",3,28,4,4447,5652,4874
"ENSMPIG00001014100244",123,105,81,0,0,0
"ENSMPIG00001020620243",8,4,5,223,156,150
"ENSMPIG00001022900244",17,21,29,0,0,0
"ENSMPIG00001023000244",17,21,29,0,0,0
"ENSMPIG00001023600244",2,16,7,0,0,0
"ENSMPIG00001025100244",54,50,48,0,0,0
"ENSMPIG00001025302243",54,50,48,0,0,0
"ENSMPIG00001028424241",29,55,18,589,718,646
"ENSMPIG00001029124241",1,3,2,1240,1050,1412
"ENSMPIG00001034724241",86,72,74,206,311,330
"ENSMPIG00001042100244",1,9,1,0,0,0
"ENSMPIG00001043000244",67,91,69,0,0,0
"ENSMPIG00001046823233",7,10,4,562,847,854
"ENSMPIG00001048900234",8,35,23,0,0,0
"ENSMPIG00001054300244",8,8,1,0,0,0
"ENSMPIG00001066321243",15,22,23,2130,1975,1499
"ENSMPIG00001070924241",40,23,52,13123,11863,6913
"ENSMPIG00001073223243",196,286,225,1321,1447,1141
"ENSMPIG00001088300244",5,13,11,0,0,0
"ENSMPIG00001088500244",5,13,11,0,0,0
"ENSMPIG00001096400244",79,113,64,0,0,0
"ENSMPIG00001102500244",2,13,2,375,499,409
"ENSMPIG00001103002243",158,191,136,0,0,0
"ENSMPIG00001103200244",158,191,136,0,0,0
"ENSMPIG00001121522243",7,16,1,19625,15758,9796
"ENSMPIG00002002822223",3,4,13,1522,1644,2218
"ENSMPIG00002004524241",52,44,62,696,652,643
"ENSMPIG00002007324241",6,6,9,2881,3193,2036
"ENSMPIG00002008400244",56,96,46,0,0,0
"ENSMPIG00002011024243",277,351,326,5281,5449,4294
"ENSMPIG00002011724241",159,228,172,4568,4389,4033
"ENSMPIG00002014222243",25,73,64,2035,1383,1277
"ENSMPIG00002024400244",5,3,3,0,0,0
"ENSMPIG00002027124241",7,10,13,264,312,507
"ENSMPIG00002030424241",33,60,77,2850,1949,3609
"ENSMPIG00002035405243",23,27,27,10733,13255,8004
"ENSMPIG00002041423243",11,15,14,184,268,199
"ENSMPIG00002041522223",43,29,12,326,377,263
"ENSMPIG00002048321243",12,43,35,6833,6867,8900
"ENSMPIG00002052923233",13,16,23,602,570,743
"ENSMPIG00002057024241",21,32,39,1119,1701,1611
"ENSMPIG00002061600244",12,4,5,0,0,0
"ENSMPIG00002068000244",24,53,45,0,0,0
"ENSMPIG00002069900244",12,24,20,0,0,0
"ENSMPIG00002070100244",12,24,20,0,0,0
"ENSMPIG00002079023243",62,80,13,1385,1614,821
"ENSMPIG00003007620233",20,41,17,34459,39238,25123
"ENSMPIG00003020024241",6,11,7,771,961,906
"ENSMPIG00003020500244",51,20,10,0,0,0
"ENSMPIG00003021524243",8,12,4,904,1196,1049
"ENSMPIG00003032500234",4,7,3,0,0,0
"ENSMPIG00003032623233",4,7,3,0,0,0
"ENSMPIG00003039622243",14,5,12,3367,3676,2473
"ENSMPIG00003044124241",10,15,11,2122,2476,1733
"ENSMPIG00003051600244",1,8,1,0,0,0
"ENSMPIG00003051709243",1,8,1,13,4,11
"ENSMPIG00003057201243",30,32,37,0,0,0
"ENSMPIG00003057300244",30,32,37,0,0,0
"ENSMPIG00003059624241",16,28,15,593,824,896
"ENSMPIG00003062800244",40,41,35,0,0,0
"ENSMPIG00003066524241",6,3,1,803,676,438
"ENSMPIG00003083423233",48,28,55,6330,6098,4055
"ENSMPIG00003097400244",225,334,284,0,0,0
"ENSMPIG00003097500244",225,334,284,173,217,248
"ENSMPIG00003097923233",31,31,17,846,882,667
"ENSMPIG00003101621243",12,14,6,135,151,119
"ENSMPIG00004001100244",82,109,99,0,0,0
"ENSMPIG00004001400244",8,14,8,0,0,0
"ENSMPIG00004003824241",23,25,12,662,830,825
"ENSMPIG00004010024243",15,13,23,485,494,558
"ENSMPIG00004012021233",3,8,7,0,0,0
"ENSMPIG00004012100234",3,8,7,0,0,0
"ENSMPIG00004024923243",11,8,10,5318,5200,5325
"ENSMPIG00004039520203",6,4,3,55,64,36
"ENSMPIG00004042022223",2,4,6,306,357,277
"ENSMPIG00004042623233",17,38,24,5167,5315,5665
"ENSMPIG00004049224241",16,44,27,1608,2260,2147
"ENSMPIG00004049414153",9,15,9,28,38,29
"ENSMPIG00004051124241",418,590,559,250,270,326
"ENSMPIG00004054900244",15,7,16,0,0,0
"ENSMPIG00004055222233",4,24,9,1216,1582,1002
"ENSMPIG00004059524243",14,24,22,625,538,985
"ENSMPIG00004067323243",3,4,2,1354,1679,1807
"ENSMPIG00004067424241",30,31,30,922,1166,835
"ENSMPIG00004070623233",4,10,7,380,420,280
"ENSMPIG00004072324243",3,1,3,1931,2242,2303
