"","chrom","start","end","name","n_reads","strand","n_uniq","uniq_bridges","best_qual_left","best_qual_right","tissues","tiss_counts","edits","anchor_overlap","breakpoints","signal","strandmatch","category"
"1","8",120264865,120272980,"mmu_circ_000001",6,"-",2,6,5,40,"my_test_mmu3",6,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"2","2",24885289,24919668,"mmu_circ_000002",3,"+",1,3,5,5,"my_test_mmu3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"3","6",29366038,29372669,"mmu_circ_000005",3,"+",1,3,5,40,"my_test_mmu3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"4","8",57991119,58005644,"mmu_circ_000008",3,"-",1,3,5,5,"my_test_mmu3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"5","9",3441054,3477962,"mmu_circ_000009",4,"+",3,4,5,40,"my_test_mmu3",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"6","4",150490652,150505201,"mmu_circ_000010",2,"+",2,2,5,40,"my_test_mmu3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"7","4",132736400,132736685,"mmu_circ_000011",3,"-",1,3,40,40,"my_test_mmu3",3,1,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,UNAMBIGUOUS_BP"
"8","9",64632783,64635711,"mmu_circ_000012",3,"-",1,3,40,40,"my_test_mmu3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"9","4",44133639,44137661,"mmu_circ_000013",7,"-",2,7,35,40,"my_test_mmu3",7,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"10","7",58934427,58938528,"mmu_circ_000014",2,"+",1,2,5,5,"my_test_mmu3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
