"gene_id","circ_id"
"ENSMPIG00001000700244","scaffold0001:697840|704141"
"ENSMPIG00001001300244","scaffold0001:1388250|1395817"
"ENSMPIG00001014100244","scaffold0001:42124302|42130785"
"ENSMPIG00001014100244","scaffold0001:42296697|42314870"
"ENSMPIG00001014100244","scaffold0001:42296697|42328921"
"ENSMPIG00001014100244","scaffold0001:42303657|42328921"
"ENSMPIG00001014100244","scaffold0001:42203863|42219201"
"ENSMPIG00001014100244","scaffold0001:42303657|42310430"
"ENSMPIG00001020620243","scaffold0001:51271571|51276794"
"ENSMPIG00001022900244","scaffold0001:55609859|55629274"
"ENSMPIG00001022900244","scaffold0001:55809198|55812481"
"ENSMPIG00001023600244","scaffold0001:56826478|56832903"
"ENSMPIG00001025100244","scaffold0001:59465041|59476372"
"ENSMPIG00001025100244","scaffold0001:59465041|59469120"
"ENSMPIG00001025100244","scaffold0001:59708400|59732866"
"ENSMPIG00001025100244","scaffold0001:59708400|59716191"
"ENSMPIG00001025100244","scaffold0001:59577124|59578052"
"ENSMPIG00001028424241","scaffold0001:64958020|64960231"
"ENSMPIG00001029124241","scaffold0001:65321431|65321678"
"ENSMPIG00001034724241","scaffold0001:71167426|71172125"
"ENSMPIG00001042100244","scaffold0001:79236537|79238450"
"ENSMPIG00001043000244","scaffold0001:80976640|80977465"
"ENSMPIG00001043000244","scaffold0001:80810238|80813725"
"ENSMPIG00001043000244","scaffold0001:80749424|80771039"
"ENSMPIG00001046823233","scaffold0001:84288167|84296665"
"ENSMPIG00001048900234","scaffold0001:86890012|86895971"
"ENSMPIG00001054300244","scaffold0001:100759284|100759686"
"ENSMPIG00001066321243","scaffold0001:117824746|117825092"
"ENSMPIG00001070924241","scaffold0001:118961931|118962496"
"ENSMPIG00001070924241","scaffold0001:118960435|118962496"
"ENSMPIG00001073223243","scaffold0001:119366169|119366602"
"ENSMPIG00001088300244","scaffold0001:124169788|124180275"
"ENSMPIG00001096400244","scaffold0001:127975613|127977748"
"ENSMPIG00001096400244","scaffold0001:127975613|127991019"
"ENSMPIG00001102500244","scaffold0001:138563207|138563990"
"ENSMPIG00001103002243","scaffold0001:138974187|138974965"
"ENSMPIG00001103002243","scaffold0001:139230664|139232049"
"ENSMPIG00001103002243","scaffold0001:139016258|139026238"
"ENSMPIG00001121522243","scaffold0001:153610351|153611733"
"ENSMPIG00002002822223","scaffold0002:1272028|1273910"
"ENSMPIG00002004524241","scaffold0002:1916877|1918661"
"ENSMPIG00002004524241","scaffold0002:1916877|1920370"
"ENSMPIG00002004524241","scaffold0002:1918562|1920370"
"ENSMPIG00002007324241","scaffold0002:4715051|4729699"
"ENSMPIG00002007324241","scaffold0002:4729481|4729699"
"ENSMPIG00002008400244","scaffold0002:6041971|6049058"
"ENSMPIG00002008400244","scaffold0002:5786571|5800822"
"ENSMPIG00002011024243","scaffold0002:7550372|7550683"
