"","seqnames","start","end","width","strand","source","type","score","phase","circ_id","circ_type","bsj","fsj","junc_ratio","gene_id","gene_name","gene_type"
"1","1",1223244,1223968,725,"-","CIRIquant","circRNA",0.3188,NA,"1:1223244|1223968","exon","24.000","41.000","0.539","ENSG00000078808","SDF4","protein_coding"
"2","1",1804419,1806538,2120,"-","CIRIquant","circRNA",0.0531,NA,"1:1804419|1806538","exon","4.000","70.000","0.103","ENSG00000078369","GNB1","protein_coding"
"3","1",1804419,1817875,13457,"-","CIRIquant","circRNA",0.1993,NA,"1:1804419|1817875","exon","15.000","50.000","0.375","ENSG00000078369","GNB1","protein_coding"
"4","1",1815756,1839238,23483,"-","CIRIquant","circRNA",0.0266,NA,"1:1815756|1839238","exon","2.000","43.000","0.085","ENSG00000078369","GNB1","protein_coding"
"5","1",2976422,2977983,1562,"-","CIRIquant","circRNA",0.0266,NA,"1:2976422|2977983","intergenic","2.000","4.000","0.500",NA,NA,NA
"6","1",2976439,2976886,448,"-","CIRIquant","circRNA",0.0399,NA,"1:2976439|2976886","intergenic","3.000","23.000","0.207",NA,NA,NA
"7","1",4322405,4322554,150,"-","CIRIquant","circRNA",0.0531,NA,"1:4322405|4322554","intergenic","4.000","16.000","0.333",NA,NA,NA
"8","1",5298647,5298816,170,"+","CIRIquant","circRNA",0.0133,NA,"1:5298647|5298816","intergenic","1.000","8.000","0.200",NA,NA,NA
"9","1",5978212,5978401,190,"-","CIRIquant","circRNA",0.0266,NA,"1:5978212|5978401","intron","2.000","16.000","0.200","ENSG00000131697","NPHP4","protein_coding"
"10","1",5980051,5980194,144,"-","CIRIquant","circRNA",0.0266,NA,"1:5980051|5980194","intron","2.000","22.000","0.154","ENSG00000131697","NPHP4","protein_coding"
"11","1",8495063,8557523,62461,"-","CIRIquant","circRNA",0.0797,NA,"1:8495063|8557523","exon","6.000","27.000","0.308","ENSG00000142599,ENSG00000221083","RERE","protein_coding,snoRNA"
"12","1",8541214,8557523,16310,"-","CIRIquant","circRNA",0.0399,NA,"1:8541214|8557523","exon","3.000","3.000","0.667","ENSG00000142599","RERE","protein_coding"
"13","1",8614561,8624380,9820,"-","CIRIquant","circRNA",0.0266,NA,"1:8614561|8624380","exon","2.000","7.000","0.364","ENSG00000142599","RERE","protein_coding"
"14","1",8655973,8656441,469,"-","CIRIquant","circRNA",0.0664,NA,"1:8655973|8656441","exon","5.000","43.000","0.189","ENSG00000142599","RERE","protein_coding"
"15","1",8862905,8864015,1111,"-","CIRIquant","circRNA",0.0133,NA,"1:8862905|8864015","exon","1.000","1557.000","0.001","ENSG00000074800","ENO1","protein_coding"
"16","1",9931891,9934860,2970,"-","CIRIquant","circRNA",0.1594,NA,"1:9931891|9934860","exon","12.000","9.000","0.727","ENSG00000162441","LZIC","protein_coding"
"17","1",10275428,10278128,2701,"+","CIRIquant","circRNA",0.0399,NA,"1:10275428|10278128","exon","3.000","5.000","0.545","ENSG00000054523","KIF1B","protein_coding"
"18","1",10365100,10365648,549,"+","CIRIquant","circRNA",0.0531,NA,"1:10365100|10365648","exon","4.000","1.000","0.889","ENSG00000054523","KIF1B","protein_coding"
"19","1",10403071,10404279,1209,"+","CIRIquant","circRNA",0.1727,NA,"1:10403071|10404279","exon","13.000","227.000","0.103","ENSG00000142657","PGD","protein_coding"
"20","1",12001401,12002103,703,"+","CIRIquant","circRNA",0.0266,NA,"1:12001401|12002103","exon","2.000","44.000","0.083","ENSG00000116688","MFN2","protein_coding"
"21","1",12578718,12579412,695,"-","CIRIquant","circRNA",0.1063,NA,"1:12578718|12579412","exon","8.000","17.000","0.485","ENSG00000162496,ENSG00000276830","DHRS3,MIR6730","protein_coding,miRNA"
"22","1",13715541,13742157,26617,"+","CIRIquant","circRNA",0.093,NA,"1:13715541|13742157","exon","7.000","18.000","0.438","ENSG00000116731","PRDM2","protein_coding"
"23","1",13715541,13749487,33947,"+","CIRIquant","circRNA",0.0266,NA,"1:13715541|13749487","exon","2.000","4.000","0.500","ENSG00000116731","PRDM2","protein_coding"
"24","1",13778418,13782831,4414,"+","CIRIquant","circRNA",0.0664,NA,"1:13778418|13782831","exon","5.000","9.000","0.526","ENSG00000116731","PRDM2","protein_coding"
"25","1",14038959,14039106,148,"+","CIRIquant","circRNA",0.0266,NA,"1:14038959|14039106","intron","2.000","17.000","0.190","ENSG00000189337","KAZN","protein_coding"
"26","1",14764514,14764687,174,"-","CIRIquant","circRNA",0.0531,NA,"1:14764514|14764687","antisense","4.000","11.000","0.421","ENSG00000189337","KAZN","protein_coding"
"27","1",14903280,14903457,178,"+","CIRIquant","circRNA",0.0399,NA,"1:14903280|14903457","intron","3.000","8.000","0.429","ENSG00000189337","KAZN","protein_coding"
"28","1",15638307,15643650,5344,"+","CIRIquant","circRNA",0.0399,NA,"1:15638307|15643650","exon","3.000","16.000","0.273","ENSG00000197312","DDI2","protein_coding"
"29","1",15688242,15688380,139,"+","CIRIquant","circRNA",0.0399,NA,"1:15688242|15688380","intron","3.000","4.000","0.600","ENSG00000116786","PLEKHM2","protein_coding"
"30","1",15694011,15694949,939,"+","CIRIquant","circRNA",0.0797,NA,"1:15694011|15694949","intron","6.000","33.000","0.267","ENSG00000116786","PLEKHM2","protein_coding"
"31","1",15701008,15701200,193,"+","CIRIquant","circRNA",0.0266,NA,"1:15701008|15701200","intron","2.000","35.000","0.103","ENSG00000116786","PLEKHM2","protein_coding"
"32","1",15911101,15916279,5179,"+","CIRIquant","circRNA",0.0266,NA,"1:15911101|15916279","exon","2.000","3.000","0.571","ENSG00000065526","SPEN","protein_coding"
"33","1",17580553,17588479,7927,"+","CIRIquant","circRNA",0.093,NA,"1:17580553|17588479","exon","7.000","17.000","0.452","ENSG00000074964","ARHGEF10L","protein_coding"
"34","1",17860565,17860725,161,"-","CIRIquant","circRNA",0.0133,NA,"1:17860565|17860725","intergenic","1.000","24.000","0.077",NA,NA,NA
"35","1",18126183,18126353,171,"+","CIRIquant","circRNA",0.0266,NA,"1:18126183|18126353","intron","2.000","19.000","0.174","ENSG00000117154","IGSF21","protein_coding"
"36","1",18363447,18363638,192,"+","CIRIquant","circRNA",0.0399,NA,"1:18363447|18363638","intron","3.000","66.000","0.083","ENSG00000117154","IGSF21","protein_coding"
"37","1",19174319,19192540,18222,"-","CIRIquant","circRNA",0.0531,NA,"1:19174319|19192540","exon","4.000","16.000","0.333","ENSG00000127481","UBR4","protein_coding"
