,chrom,start,end,name,score,strand,thickStart,thickEnd,itemRgb,exonCount,exonSize,exonOffsets,readNumber,circType,geneName,isoformName,index,flankIntron,FPBcirc,FPBlinear,CIRCscore
1,scaffold0048,148266,148425,circular_RNA/1,0,+,148266,148266,"0,0,0",1,159,0,1,circRNA,ENSMPIG00048000101243,ENSMPIG00048000101243.t1,6,scaffold0048:147595-148266|scaffold0048:148425-148499,0.186632918,0.856315741,0.226976042
2,scaffold0048,150424,154954,circular_RNA/1,0,+,150424,150424,"0,0,0",6,"86,99,161,145,145,182","0,348,528,3437,3690,4348",1,circRNA,ENSMPIG00048000101243,ENSMPIG00048000101243.t1,"9,10,11,12,13,14",scaffold0048:149305-150424|scaffold0048:154954-155495,0.186632918,0.856315741,0.226976042
3,scaffold0048,438715,440295,circular_RNA/79,0,+,438715,438715,"0,0,0",3,"65,75,149","0,146,1431",79,circRNA,ENSMPIG00048000202243,ENSMPIG00048000202243.t2,"19,20,21",scaffold0048:394219-438715|scaffold0048:440295-457518,14.74400051,0.137518992,100.0142443
4,scaffold0048,457518,460924,circular_RNA/2,0,+,457518,457518,"0,0,0",3,"115,188,142","0,2368,3264",2,circRNA,ENSMPIG00048000202243,ENSMPIG00048000202243.t2,"22,23,24",scaffold0048:440295-457518|scaffold0048:460924-470885,0.373265836,0.137518992,2.598077917
5,scaffold0049,172380,187073,circular_RNA/1,1,+,172380,172380,"0,0,0",3,"228,93,159","0,9365,14534",1,circRNA,ENSMPIG00049000224241,ENSMPIG00049000224241.t1,"2,3,4",scaffold0049:95064-172380|scaffold0049:187073-193592,0.186632918,0.053323691,3.10520305
6,scaffold0049,172380,193769,circular_RNA/1,1,+,172380,172380,"0,0,0",4,"228,93,159,177","0,9365,14534,21212",1,circRNA,ENSMPIG00049000224241,ENSMPIG00049000224241.t1,"2,3,4,5",scaffold0049:95064-172380|scaffold0049:193769-221429,0.186632918,0.053323691,3.10520305
7,scaffold0049,304921,326042,circular_RNA/13,1,+,304921,304921,"0,0,0",8,"136,145,119,92,117,171,109,171","0,4092,5717,5931,6139,7590,9323,20950",13,circRNA,ENSMPIG00049000410243,ENSMPIG00049000410243.t1,"2,3,4,5,6,7,8,9",scaffold0049:273827-304921|scaffold0049:326042-348954,2.426227932,0.124421945,18.12373663
8,scaffold0049,304921,314353,circular_RNA/7,0,+,304921,304921,"0,0,0",7,"136,145,119,92,117,171,109","0,4092,5717,5931,6139,7590,9323",7,circRNA,ENSMPIG00049000410243,ENSMPIG00049000410243.t1,"2,3,4,5,6,7,8",scaffold0049:273827-304921|scaffold0049:314353-325871,1.306430425,0.124421945,9.793270159
9,scaffold0049,309013,326042,circular_RNA/5,0,+,309013,309013,"0,0,0",7,"145,119,92,117,171,109,171","0,1625,1839,2047,3498,5231,16858",5,circRNA,ENSMPIG00049000410243,ENSMPIG00049000410243.t1,"3,4,5,6,7,8,9",scaffold0049:305057-309013|scaffold0049:326042-348954,0.933164589,0.124421945,7.016448004
10,scaffold0049,469271,475422,circular_RNA/46,1,+,469271,469271,"0,0,0",4,"102,73,141,102","0,476,1167,6049",46,circRNA,ENSMPIG00049000824241,ENSMPIG00049000824241.t1,"6,7,8,9",scaffold0049:466804-469271|scaffold0049:475422-487869,8.585114223,0.074653167,101.5332859
