"","chrom","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSize","exonOffsets","readNumber","circType","geneName","isoformName","index","flankIntron","FPBcirc","FPBlinear","CIRCscore"
"1","1",4909609,4911355,"circular_RNA/3",1,"+",4909609,4909609,"0,0,0",2,"102,177","0,1569",3,"circRNA","ENSMUSG00000025903","ENSMUST00000134384","7,8","1:4907297-4909609|1:4911355-4917006",0.244711538932,0.336478366032,0.73514413569
"2","1",5159231,5187710,"circular_RNA/3",1,"+",5159231,5159231,"0,0,0",6,"103,90,114,105,54,98","0,4354,6606,9020,12061,28381",3,"circRNA","ENSMUSG00000033793","ENSMUST00000192847","3,4,5,6,7,8","1:5154786-5159231|1:5187710-5194499",0.244711538932,0.761324787789,0.330226051288
"3","1",5159231,5168356,"circular_RNA/12",0,"+",5159231,5159231,"0,0,0",4,"103,90,114,105","0,4354,6606,9020",12,"circRNA","ENSMUSG00000033793","ENSMUST00000192847","3,4,5,6","1:5154786-5159231|1:5168356-5171292",0.978846155729,0.761324787789,1.28201008367
"4","1",5159231,5171346,"circular_RNA/31",0,"+",5159231,5159231,"0,0,0",5,"103,90,114,105,54","0,4354,6606,9020,12061",31,"circRNA","ENSMUSG00000033793","ENSMUST00000192847","3,4,5,6,7","1:5154786-5159231|1:5171346-5187612",2.5286859023,0.761324787789,3.2913319298
"5","1",5165837,5171346,"circular_RNA/24",0,"+",5165837,5165837,"0,0,0",3,"114,105,54","0,2414,5455",24,"circRNA","ENSMUSG00000033793","ENSMUST00000192847","5,6,7","1:5163675-5165837|1:5171346-5187612",1.95769231146,0.761324787789,2.55105546018
"6","1",5165837,5214074,"circular_RNA/2",0,"+",5165837,5165837,"0,0,0",7,"114,105,54,98,193,179,102","0,2414,5455,21775,28662,37469,48135",2,"circRNA","ENSMUSG00000033793","ENSMUST00000192847","5,6,7,8,9,10,11","1:5163675-5165837|1:5214074-5220170",0.163141025955,0.761324787789,0.224472269913
"7","1",5187612,5194692,"circular_RNA/1",0,"+",5187612,5187612,"0,0,0",2,"98,193","0,6887",1,"circRNA","ENSMUSG00000033793","ENSMUST00000192847","8,9","1:5171346-5187612|1:5194692-5203306",0.0815705129774,0.761324787789,0.118718488537
"8","1",6315648,6318033,"circular_RNA/1",1,"+",6315648,6315648,"0,0,0",3,"82,62,104","0,173,2281",1,"circRNA","ENSMUSG00000025907","ENSMUST00000027040","11,12,13","1:6315568-6315648|1:6318033-6318289",0.0815705129774,0.448637821376,0.199657570112
"9","1",7190417,7190839,"circular_RNA/4",1,"+",7190417,7190417,"0,0,0",1,"422","0",4,"circRNA","ENSMUSG00000051285","ENSMUST00000061280","2","1:7159440-7190417|1:7190839-7217860",0.32628205191,0.293653846719,1.10745197383
"10","1",10115300,10117751,"circular_RNA/2",1,"+",10115300,10115300,"0,0,0",2,"109,103","0,2348",2,"circRNA","ENSMUSG00000056763","ENSMUST00000071087","2,3","1:10108569-10115300|1:10117751-10128944",0.163141025955,0.109698276073,1.44647886031
"11","1",10145084,10152571,"circular_RNA/4",0,"+",10145084,10145084,"0,0,0",3,"87,71,94","0,2312,7393",4,"circRNA","ENSMUSG00000056763","ENSMUST00000071087","8,9,10","1:10137045-10145084|1:10152571-10153725",0.32628205191,0.109698276073,2.80941432861
"12","1",10258981,10259903,"circular_RNA/7",1,"-",10258981,10258981,"0,0,0",3,"202,109,240","0,470,682",7,"circRNA","ENSMUSG00000067851","ENSMUST00000088615","13,12,11","1:10254722-10258981|1:10259903-10264481",0.570993590842,0.385806480298,1.46787286152
"13","1",13226593,13237330,"circular_RNA/2",0,"-",13226593,13226593,"0,0,0",4,"166,130,216,211","0,3791,5703,10526",2,"circRNA","ENSMUSG00000005886","ENSMUST00000081713","15,14,13,12","1:13223299-13226593|1:13237330-13244302",0.163141025955,0.0815705129774,1.89079453992
"14","1",13291530,13294937,"circular_RNA/35",0,"-",13291530,13291530,"0,0,0",2,"173,105","0,3302",35,"circRNA","ENSMUSG00000005886","ENSMUST00000081713","4,3","1:13260414-13291530|1:13294937-13356192",2.85496795421,0.0815705129774,31.2870143571
"15","1",13291530,13356249,"circular_RNA/121",0,"-",13291530,13291530,"0,0,0",3,"173,105,57","0,3302,64662",121,"circRNA","ENSMUSG00000005886","ENSMUST00000081713","4,3,2","1:13260414-13291530|1:13356249-13442406",9.87003207026,0.0815705129774,107.89534479
"16","1",13291530,13369946,"circular_RNA/2",0,"-",13291530,13291530,"0,0,0",4,"173,105,57,60","0,3302,64662,78356",2,"circRNA","ENSMUSG00000005886","ENSMUST00000143603","5,4,3,2","1:13260414-13291530|1:13369946-13444161",0.163141025955,0.0815705129774,1.89079453992
"17","1",16510546,16579632,"circular_RNA/32",0,"-",16510546,16510546,"0,0,0",4,"136,160,131,67","0,22712,45697,69019",32,"circRNA","ENSMUSG00000025920","ENSMUST00000162751","5,4,3,2","1:16464434-16510546|1:16579632-16589396",2.61025641528,0.261025641528,9.66792809901
"18","1",16533258,16579632,"circular_RNA/5",0,"-",16533258,16533258,"0,0,0",3,"160,131,67","0,22985,46307",5,"circRNA","ENSMUSG00000025920","ENSMUST00000162751","4,3,2","1:16510682-16533258|1:16579632-16589396",0.407852564887,0.261025641528,1.54174550619
"19","1",16652150,16672577,"circular_RNA/12",0,"-",16652150,16652150,"0,0,0",4,"76,77,103,92","0,3349,16024,20335",12,"circRNA","ENSMUSG00000025939","ENSMUST00000182554","5,4,3,2","1:16614256-16652150|1:16672577-16689460",0.978846155729,0.228397436337,4.14788921778
