"","chrom","start","end","name","n_reads","strand","n_uniq","uniq_bridges","best_qual_left","best_qual_right","tissues","tiss_counts","edits","anchor_overlap","breakpoints","signal","strandmatch","category"
"1","16",31362754,31368967,"mma_circ_000001",25,"+",3,25,5,40,"my_test_mma3",25,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"2","7",126790171,126795429,"mma_circ_000002",46,"+",3,46,37,40,"my_test_mma3",46,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"3","5",107871353,107875336,"mma_circ_000003",12,"+",2,12,5,40,"my_test_mma3",12,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"4","2",80203268,80225676,"mma_circ_000004",2,"+",1,2,40,5,"my_test_mma3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"5","6",90904446,90906940,"mma_circ_000005",46,"-",5,46,40,35,"my_test_mma3",46,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"6","11",108847130,108852582,"mma_circ_000006",54,"+",3,54,40,40,"my_test_mma3",54,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"7","X",104584287,104598330,"mma_circ_000007",17,"+",4,17,40,5,"my_test_mma3",17,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"8","15",76864794,76877250,"mma_circ_000008",25,"-",3,25,40,40,"my_test_mma3",25,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"9","5",153311662,153329317,"mma_circ_000009",142,"+",9,142,40,40,"my_test_mma3",142,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"10","14",104920977,104929659,"mma_circ_000010",28,"-",8,28,37,40,"my_test_mma3",28,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
