"gene_name","hsa","hsa_n_circs","mfu","mfu_n_circs","mma","mma_n_circs","mmu","mmu_n_circs","mpi","mpi_n_circs","rsi","rsi_n_circs"
"NUDC","1:26942659|26943065",1,"",0,"",0,"",0,"scaffold0010:63383465|63383821",1,"",0
"STK40","1:36361220|36362656",1,"",0,"",0,"4:126017508|126019611",1,"",0,"",0
"CLNS1A","11:77624962|77625818",1,"",0,"",0,"",0,"",0,"NW_017738965.1:1966493|1972329",1
"CORO1C","12:108652271|108654410",1,"scaffold0037:9135382|9139482",1,"",0,"",0,"",0,"",0
"LMBR1L","12:49097565|49098105",1,"",0,"",0,"",0,"scaffold0001:125539865|125543293;scaffold0001:125544076|125545101",2,"",0
"CSRNP2","12:51073822|51074082",1,"scaffold0001:51298085|51298382",1,"",0,"",0,"",0,"",0
"RBM23","14:22909482|22911403",1,"",0,"7:84935097|84937348",1,"",0,"",0,"",0
"MIA2","14:39276933|39279537",1,"",0,"7:101388792|101402022",1,"",0,"",0,"",0
"SOS2","14:50150007|50150230",1,"",0,"",0,"",0,"scaffold0004:64371130|64371353",1,"",0
"CHP1","15:41243666|41262883",1,"",0,"",0,"",0,"",0,"NW_017738958.1:2722815|2732784",1
"GALK2","15:49235850|49239367",1,"scaffold0015:15711712|15713409",1,"",0,"",0,"",0,"",0
"VPS35","16:46677314|46679156",1,"scaffold0017:40815426|40817257;scaffold0017:40818439|40824111;scaffold0017:40823759|40824111;scaffold0017:40825664|40826345",4,"",0,"",0,"",0,"",0
"CCDC40","17:80048582|80050283",1,"",0,"",0,"",0,"scaffold0021:1373150|1377351",1,"",0
"FKBP8","19:18537600|18538436;19:18539370|18539720",2,"",0,"",0,"",0,"",0,"NW_017739043.1:2013807|2019661",1
"CCDC9","19:47264602|47264946",1,"",0,"",0,"",0,"scaffold0029:4348250|4349845",1,"",0
"RIF1","2:151414822|151416901",1,"",0,"",0,"",0,"scaffold0012:61583778|61592353;scaffold0012:61586412|61592353",2,"",0
"SEPTIN2","2:241343751|241348191",1,"",0,"",0,"1:93425062|93428281",1,"",0,"",0
"EIF2AK2","2:37119958|37122664",1,"",0,"",0,"",0,"scaffold0016:17998116|18002845",1,"",0
"ZC3H7B","22:41342528|41343576",1,"",0,"",0,"",0,"scaffold0032:4069249|4070896",1,"",0
"MCCC1","3:183070998|183071357",1,"scaffold0003:64277748|64286987;scaffold0003:64295606|64297713",2,"",0,"",0,"",0,"",0
"AFF4","5:132892163|132893118",1,"",0,"",0,"",0,"",0,"NW_017739356.1:3542026|3551669",1
"GPBP1","5:57230845|57231321",1,"scaffold0002:107708642|107711900",1,"",0,"",0,"",0,"",0
"MAP7","6:136388392|136389517",1,"",0,"",0,"10:20106529|20122461;10:20121015|20126226",2,"",0,"",0
"SYNCRIP","6:85618817|85619417",1,"",0,"",0,"",0,"",0,"NW_017739116.1:5294078|5294631",1
"BZW2","7:16681300|16689906",1,"",0,"",0,"12:36168985|36184954",1,"",0,"",0
"COA1","7:43639448|43640649",1,"scaffold0032:19274761|19311116",1,"",0,"",0,"",0,"",0
"GADD45G","9:89605666|89605880",1,"",0,"",0,"",0,"",0,"NW_017739511.1:278401|278615;NW_017739511.1:278401|278845",2
"WWC3","X:10063444|10067490",1,"",0,"X:9641928|9658552",1,"",0,"",0,"",0
"SLC7A1","",0,"scaffold0001:100323660|100333636",1,"",0,"",0,"",0,"NW_017739040.1:9545498|9550150",1
"USPL1","",0,"scaffold0001:101348677|101355544;scaffold0001:101359696|101368117",2,"17:9695256|9695896",1,"",0,"",0,"",0
"MPHOSPH8","",0,"scaffold0001:103966825|103968872",1,"",0,"",0,"scaffold0001:71440634|71443309",1,"",0
"IFT88","",0,"scaffold0001:105545379|105547478;scaffold0001:105597843|105599822",2,"",0,"",0,"",0,"NW_017739579.1:597471|608120;NW_017739579.1:648867|653003",2
"LARGE1","",0,"scaffold0001:10569361|10593086",1,"",0,"",0,"",0,"NW_017738978.1:1781243|1784259",1
"XPO4","",0,"scaffold0001:105745949|105746243;scaffold0001:105783425|105784007",2,"",0,"",0,"scaffold0001:69863894|69864755",1,"",0
"LATS2","",0,"scaffold0001:105890423|105895155",1,"",0,"",0,"scaffold0001:69656915|69658863",1,"",0
"SKA3","",0,"scaffold0001:106050669|106052678;scaffold0001:106050669|106058053;scaffold0001:106090615|106093140;scaffold0001:106090615|106101913;scaffold0001:106093050|106101913;scaffold0001:106096631|106101913",6,"",0,"",0,"scaffold0001:69412335|69412656",1,"",0
"TUBA8","",0,"scaffold0001:108190254|108194218",1,"",0,"",0,"scaffold0001:65752928|65756416",1,"",0
"BCL2L13","",0,"scaffold0001:108744659|108760508;scaffold0001:108744659|108767868;scaffold0001:108744659|108813171;scaffold0001:108760438|108767868",4,"",0,"",0,"",0,"NW_017739390.1:1307407|1353214;NW_017739390.1:1328047|1330590;NW_017739390.1:1328047|1334793;NW_017739390.1:1328047|1353214",4
"CECR2","",0,"scaffold0001:108946233|108955620;scaffold0001:108946233|108964015;scaffold0001:108946233|108969622;scaffold0001:108955536|108969622;scaffold0001:108967072|108969622",5,"",0,"",0,"scaffold0001:66702032|66720121;scaffold0001:66716737|66720121",2,"",0
"HDHD5","",0,"scaffold0001:109362267|109366059;scaffold0001:109362267|109369455",2,"",0,"",0,"scaffold0001:61404368|61415077",1,"",0
"WASHC4","",0,"scaffold0001:13203654|13206196",1,"",0,"",0,"scaffold0001:161757436|161758806;scaffold0001:161757436|161760484;scaffold0001:161798395|161804345;scaffold0001:161799928|161804345",4,"",0
"HCFC2","",0,"scaffold0001:13941523|13941923;scaffold0001:13941523|13944574;scaffold0001:13941523|13945795;scaffold0001:13941523|13951680",4,"",0,"",0,"scaffold0001:161038961|161039361",1,"",0
"HSP90B1","",0,"scaffold0001:14027555|14027873",1,"",0,"",0,"scaffold0001:160934571|160935544",1,"",0
"GNPTAB","",0,"scaffold0001:15482714|15489002;scaffold0001:15504694|15507942",2,"",0,"10:88236513|88250460;10:88236513|88255422;10:88247777|88255422",3,"",0,"",0
"CHPT1","",0,"scaffold0001:15543642|15548650",1,"",0,"",0,"scaffold0001:159521768|159522335;scaffold0001:159524585|159530018",2,"",0
"ANO4","",0,"scaffold0001:16044723|16054270",1,"",0,"10:88948652|88961086;10:89152952|89163195",2,"",0,"",0
"UHRF1BP1L","",0,"scaffold0001:16613477|16615526;scaffold0001:16625189|16626907",2,"",0,"10:89647348|89652083",1,"",0,"",0
"APAF1","",0,"scaffold0001:17506155|17520479;scaffold0001:17511894|17513763",2,"",0,"",0,"scaffold0001:157398184|157414727;scaffold0001:157423363|157425214",2,"",0
"TMPO","",0,"scaffold0001:17612401|17622296",1,"",0,"",0,"scaffold0001:157301414|157311532",1,"",0
"TBC1D22A","",0,"scaffold0001:1872731|1896017;scaffold0001:1872731|1920378;scaffold0001:1872731|1964823;scaffold0001:1895907|1912693;scaffold0001:1912578|1916246;scaffold0001:1912578|1920378;scaffold0001:1912578|1964823;scaffold0001:1961449|1964823",8,"",0,"",0,"scaffold0032:7345562|7350412;scaffold0032:7388064|7394517;scaffold0032:7390426|7394517",3,"",0
"CDK17","",0,"scaffold0001:19264446|19272684;scaffold0001:19264446|19278403",2,"",0,"",0,"",0,"NW_017739006.1:5399852|5404633",1
"CERK","",0,"scaffold0001:2007169|2009324;scaffold0001:2012047|2016763",2,"",0,"",0,"scaffold0032:7294402|7295237",1,"",0
"GRAMD4","",0,"scaffold0001:2060568|2064719",1,"",0,"",0,"scaffold0032:7249204|7251691",1,"",0
"CHD4","",0,"scaffold0001:21511084|21511392",1,"",0,"",0,"scaffold0001:153194515|153196051",1,"",0
"CELSR1","",0,"scaffold0001:2194437|2195076;scaffold0001:2205888|2211605",2,"",0,"",0,"scaffold0032:7123940|7126485;scaffold0032:7130646|7135281;scaffold0032:7149815|7150548",3,"",0
"PPARA","",0,"scaffold0001:2375744|2377094",1,"",0,"",0,"scaffold0032:6997687|7014084",1,"",0
"ETV6","",0,"scaffold0001:24947573|24960283;scaffold0001:24972709|24973252;scaffold0001:24986148|24988447",3,"",0,"6:134043269|134114380",1,"",0,"",0
"ATF7IP","",0,"scaffold0001:27002178|27005228;scaffold0001:27044232|27048631;scaffold0001:27044232|27051080;scaffold0001:27048451|27051080",4,"",0,"",0,"scaffold0001:147791740|147793445",1,"",0
"PLEKHA5","",0,"scaffold0001:30514237|30514702;scaffold0001:30549768|30556104",2,"",0,"6:140532034|140535481",1,"",0,"",0
"C2CD5","",0,"scaffold0001:32557882|32569804;scaffold0001:32557882|32575571",2,"",0,"",0,"",0,"NW_017738931.1:9540010|9543478",1
"BCAT1","",0,"scaffold0001:34529700|34545707;scaffold0001:34557193|34564542;scaffold0001:34559525|34564542",3,"",0,"",0,"scaffold0001:140365548|140381596",1,"",0
"IPO8","",0,"scaffold0001:38956161|38962664",1,"",0,"6:148676474|148678901;6:148698138|148703487;6:148723092|148725983",3,"",0,"",0
"DENND5B","",0,"scaffold0001:39193070|39200752;scaffold0001:39193070|39205013;scaffold0001:39197995|39199101;scaffold0001:39197995|39200752;scaffold0001:39197995|39216992;scaffold0001:39200620|39205013;scaffold0001:39212200|39216992;scaffold0001:39245839|39246506;scaffold0001:39245839|39255933",9,"",0,"",0,"scaffold0001:135788150|135801926;scaffold0001:135825647|135830169;scaffold0001:135867472|135869069",3,"",0
"AMN1","",0,"scaffold0001:39410523|39417528",1,"",0,"",0,"scaffold0001:135619079|135636636;scaffold0001:135631281|135636636",2,"",0
