circ_id,mmu1,mmu2,mmu3,mean_reads,sum_reads,n_detected_reps,tool,is_circAcc1_ACACA,rank
11:84083904|84086513,446.0,685.0,1683.0,938.0,2814.0,3,CIRCexplorer3,True,1
1:87291825|87307730,133.0,131.0,607.0,290.3333333333333,871.0,3,CIRCexplorer3,False,2
7:99584368|99604747,240.0,107.0,475.0,274.0,822.0,3,CIRCexplorer3,False,3
7:144198444|144204291,,118.0,293.0,205.5,411.0,2,CIRCexplorer3,False,4
6:119897070|119897989,171.0,87.0,328.0,195.33333333333334,586.0,3,CIRCexplorer3,False,5
8:85498412|85498944,164.0,48.0,353.0,188.33333333333334,565.0,3,CIRCexplorer3,False,6
11:8468198|8469570,92.0,81.0,276.0,149.66666666666666,449.0,3,CIRCexplorer3,False,7
15:88695499|88696362,100.0,41.0,288.0,143.0,429.0,3,CIRCexplorer3,False,8
14:72889455|72921211,60.0,62.0,294.0,138.66666666666666,416.0,3,CIRCexplorer3,False,9
5:118731397|118731635,79.0,57.0,200.0,112.0,336.0,3,CIRCexplorer3,False,10
2:139884013|139899419,70.0,56.0,194.0,106.66666666666667,320.0,3,CIRCexplorer3,False,11
4:9635900|9639347,84.0,55.0,162.0,100.33333333333333,301.0,3,CIRCexplorer3,False,12
8:79844803|79863292,86.0,28.0,170.0,94.66666666666667,284.0,3,CIRCexplorer3,False,13
6:47553469|47554601,66.0,56.0,161.0,94.33333333333333,283.0,3,CIRCexplorer3,False,14
5:147387462|147391998,53.0,57.0,168.0,92.66666666666667,278.0,3,CIRCexplorer3,False,15
1:155049731|155073181,73.0,22.0,176.0,90.33333333333333,271.0,3,CIRCexplorer3,False,16
17:74213004|74214740,38.0,52.0,179.0,89.66666666666667,269.0,3,CIRCexplorer3,False,17
16:10934658|10946567,70.0,30.0,164.0,88.0,264.0,3,CIRCexplorer3,False,18
3:51215470|51233456,42.0,30.0,182.0,84.66666666666667,254.0,3,CIRCexplorer3,False,19
7:120490818|120491276,43.0,47.0,156.0,82.0,246.0,3,CIRCexplorer3,False,20
12:3667605|3698389,36.0,26.0,167.0,76.33333333333333,229.0,3,CIRCexplorer3,False,21
8:78071268|78091789,80.0,10.0,138.0,76.0,228.0,3,CIRCexplorer3,False,22
17:43156216|43163419,72.0,28.0,127.0,75.66666666666667,227.0,3,CIRCexplorer3,False,23
8:68356768|68361541,30.0,,114.0,72.0,144.0,2,CIRCexplorer3,False,24
4:130445464|130446662,59.0,38.0,115.0,70.66666666666667,212.0,3,CIRCexplorer3,False,25
13:104020650|104025793,80.0,16.0,114.0,70.0,210.0,3,CIRCexplorer3,False,26
5:87925301|87929747,13.0,,125.0,69.0,138.0,2,CIRCexplorer3,False,27
3:84810807|84811386,43.0,22.0,141.0,68.66666666666667,206.0,3,CIRCexplorer3,False,28
1:13291530|13356249,38.0,42.0,121.0,67.0,201.0,3,CIRCexplorer3,False,29
18:67491779|67493312,30.0,33.0,136.0,66.33333333333333,199.0,3,CIRCexplorer3,False,30
9:96474002|96493552,74.0,19.0,101.0,64.66666666666667,194.0,3,CIRCexplorer3,False,31
7:113657774|113659654,80.0,32.0,79.0,63.666666666666664,191.0,3,CIRCexplorer3,False,32
8:96091941|96093050,44.0,18.0,119.0,60.333333333333336,181.0,3,CIRCexplorer3,False,33
9:65701903|65702777,47.0,22.0,111.0,60.0,180.0,3,CIRCexplorer3,False,34
7:120647060|120656622,60.0,10.0,96.0,55.333333333333336,166.0,3,CIRCexplorer3,False,35
2:146866634|146868359,61.0,38.0,66.0,55.0,165.0,3,CIRCexplorer3,False,36
9:96484765|96493552,54.0,25.0,86.0,55.0,165.0,3,CIRCexplorer3,False,37
5:65723331|65751891,63.0,12.0,88.0,54.333333333333336,163.0,3,CIRCexplorer3,False,38
2:68221257|68240485,48.0,6.0,108.0,54.0,162.0,3,CIRCexplorer3,False,39
5:36728639|36729381,31.0,13.0,112.0,52.0,156.0,3,CIRCexplorer3,False,40
11:6263787|6267080,52.0,30.0,74.0,52.0,156.0,3,CIRCexplorer3,False,41
8:3308382|3308934,46.0,12.0,92.0,50.0,150.0,3,CIRCexplorer3,False,42
8:85590686|85591181,39.0,26.0,81.0,48.666666666666664,146.0,3,CIRCexplorer3,False,43
11:98154295|98158684,37.0,28.0,70.0,45.0,135.0,3,CIRCexplorer3,False,44
5:137310135|137310495,37.0,15.0,83.0,45.0,135.0,3,CIRCexplorer3,False,45
11:8428224|8429665,29.0,19.0,87.0,45.0,135.0,3,CIRCexplorer3,False,46
19:45619303|45628960,,10.0,80.0,45.0,90.0,2,CIRCexplorer3,False,47
13:69661008|69664022,27.0,36.0,71.0,44.666666666666664,134.0,3,CIRCexplorer3,False,48
9:66447343|66474185,12.0,,77.0,44.5,89.0,2,CIRCexplorer3,False,49
4:150490652|150523925,34.0,18.0,80.0,44.0,132.0,3,CIRCexplorer3,False,50
