"","chrom","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSize","exonOffsets","readNumber","circType","geneName","isoformName","index","flankIntron","FPBcirc","FPBlinear","CIRCscore"
"1","1",5159231,5194692,"circular_RNA/2",1,"+",5159231,5159231,"0,0,0",7,"103,90,114,105,54,98,193","0,4354,6606,9020,12061,28381,35268",2,"circRNA","ENSMUSG00000033793","ENSMUST00000192847","3,4,5,6,7,8,9","1:5154786-5159231|1:5194692-5203306",0.137418401769,0.635560108181,0.228357359603
"2","1",5159231,5171346,"circular_RNA/9",0,"+",5159231,5159231,"0,0,0",5,"103,90,114,105,54","0,4354,6606,9020,12061",9,"circRNA","ENSMUSG00000033793","ENSMUST00000192847","3,4,5,6,7","1:5154786-5159231|1:5171346-5187612",0.61838280796,0.635560108181,0.97339163309
"3","1",5165837,5171346,"circular_RNA/1",0,"+",5165837,5165837,"0,0,0",3,"114,105,54","0,2414,5455",1,"circRNA","ENSMUSG00000033793","ENSMUST00000192847","5,6,7","1:5163675-5165837|1:5171346-5187612",0.0687092008845,0.635560108181,0.121923891961
"4","1",7190417,7190839,"circular_RNA/1",1,"+",7190417,7190417,"0,0,0",1,"422","0",1,"circRNA","ENSMUSG00000051285","ENSMUST00000061280","2","1:7159440-7190417|1:7190839-7217860",0.0687092008845,0,7.87092008845
"5","1",10104232,10105388,"circular_RNA/1",0,"-",10104232,10104232,"0,0,0",2,"129,235","0,921",1,"circRNA","ENSMUSG00000025917","ENSMUST00000027050","3,2","1:10103548-10104232|1:10105388-10107894",0.0687092008845,0.147234001895,0.50058638676
"6","1",10258981,10259903,"circular_RNA/1",1,"-",10258981,10258981,"0,0,0",3,"202,109,240","0,470,682",1,"circRNA","ENSMUSG00000067851","ENSMUST00000088615","13,12,11","1:10254722-10258981|1:10259903-10264481",0.0687092008845,0.0668521954552,1.02416333611
"7","1",13291530,13294937,"circular_RNA/24",0,"-",13291530,13291530,"0,0,0",2,"173,105","0,3302",24,"circRNA","ENSMUSG00000005886","ENSMUST00000081713","4,3","1:13260414-13291530|1:13294937-13356192",1.64902082123,0.122953306846,12.4782215696
"8","1",13291530,13356249,"circular_RNA/42",0,"-",13291530,13291530,"0,0,0",3,"173,105,57","0,3302,64662",42,"circRNA","ENSMUSG00000005886","ENSMUST00000081713","4,3,2","1:13260414-13291530|1:13356249-13442406",2.88578643715,0.122953306846,21.7804769648
"9","1",13642026,13646676,"circular_RNA/4",0,"-",13642026,13642026,"0,0,0",3,"105,71,85","0,201,4565",4,"circRNA","ENSMUSG00000025935","ENSMUST00000027068","8,7,6","1:13640306-13642026|1:13646676-13648323",0.274836803538,0.638995568226,0.438888672717
"10","1",15901730,15908512,"circular_RNA/1",0,"+",15901730,15901730,"0,0,0",3,"60,89,107","0,1894,6675",1,"circRNA","ENSMUSG00000025925","ENSMUST00000188371","7,8,9","1:15889987-15901730|1:15908512-15913144",0.0687092008845,0.0305374226153,1.94164295129
"11","1",16510546,16556374,"circular_RNA/2",0,"-",16510546,16510546,"0,0,0",3,"136,160,131","0,22712,45697",2,"circRNA","ENSMUSG00000025920","ENSMUST00000162751","5,4,3","1:16464434-16510546|1:16556374-16579565",0.137418401769,0.193635020674,0.723934425823
"12","1",16510546,16579632,"circular_RNA/10",0,"-",16510546,16510546,"0,0,0",4,"136,160,131,67","0,22712,45697,69019",10,"circRNA","ENSMUSG00000025920","ENSMUST00000162751","5,4,3,2","1:16464434-16510546|1:16579632-16589396",0.687092008845,0.193635020674,3.42324226225
"13","1",16533258,16556374,"circular_RNA/2",0,"-",16533258,16533258,"0,0,0",2,"160,131","0,22985",2,"circRNA","ENSMUSG00000025920","ENSMUST00000162751","4,3","1:16510682-16533258|1:16556374-16579565",0.137418401769,0.193635020674,0.723934425823
"14","1",16533258,16579632,"circular_RNA/1",0,"-",16533258,16533258,"0,0,0",3,"160,131,67","0,22985,46307",1,"circRNA","ENSMUSG00000025920","ENSMUST00000162751","4,3,2","1:16510682-16533258|1:16579632-16589396",0.0687092008845,0.193635020674,0.386520946269
"15","1",16652150,16655655,"circular_RNA/3",1,"-",16652150,16652150,"0,0,0",2,"76,156","0,3349",3,"circRNA","ENSMUSG00000025939","ENSMUST00000117146","5,4","1:16641506-16652150|1:16655655-16668174",0.206127602653,0.0274836803538,5.76591200792
"16","1",23414810,23418139,"circular_RNA/1",1,"-",23414810,23414810,"0,0,0",5,"146,67,79,79,87","0,258,441,2996,3242",1,"circRNA","ENSMUSG00000026158","ENSMUST00000027343","6,5,4,3,2","1:23409529-23414810|1:23418139-23421895",0.0687092008845,0.377900604865,0.202910745426
"17","1",30876185,30902336,"circular_RNA/1",1,"-",30876185,30876185,"0,0,0",2,"162,269","0,25882",1,"circRNA","ENSMUSG00000048874","ENSMUST00000186733","3,2","1:30870640-30876185|1:30902336-30912658",0.0687092008845,0.137418401769,0.53391706829
"18","1",33551096,33553298,"circular_RNA/1",0,"-",33551096,33551096,"0,0,0",2,"186,73","0,2129",1,"circRNA","ENSMUSG00000026134","ENSMUST00000027312","10,9","1:33523889-33551096|1:33553298-33572376",0.0687092008845,0,7.87092008845
"19","1",33667475,33669514,"circular_RNA/4",0,"-",33667475,33667475,"0,0,0",2,"138,96","0,1943",4,"circRNA","ENSMUSG00000026134","ENSMUST00000027312","7,6","1:33572444-33667475|1:33669514-33701326",0.274836803538,0,28.4836803538
"20","1",33822121,33825613,"circular_RNA/1",1,"-",33822121,33822121,"0,0,0",3,"151,112,126","0,812,3366",1,"circRNA","ENSMUSG00000042197","ENSMUST00000019861","6,5,4","1:33821275-33822121|1:33825613-33844419",0.0687092008845,0.0687092008845,1
"21","1",36185112,36189240,"circular_RNA/1",0,"-",36185112,36185112,"0,0,0",3,"154,117,115","0,593,4013",1,"circRNA","ENSMUSG00000037470","ENSMUST00000046875","40,39,38","1:36183332-36185112|1:36189240-36190714",0.0687092008845,0.128829751658,0.566947645908
"22","1",36221550,36225049,"circular_RNA/2",1,"-",36221550,36221550,"0,0,0",3,"165,132,136","0,1886,3363",2,"circRNA","ENSMUSG00000037470","ENSMUST00000046875","18,17,16","1:36218760-36221550|1:36225049-36230609",0.137418401769,0.128829751658,1.06186462202
"23","1",36234930,36236716,"circular_RNA/1",0,"-",36234930,36234930,"0,0,0",2,"151,92","0,1694",1,"circRNA","ENSMUSG00000037470","ENSMUST00000046875","13,12","1:36231586-36234930|1:36236716-36240785",0.0687092008845,0.128829751658,0.566947645908
"24","1",36234930,36240846,"circular_RNA/1",0,"-",36234930,36234930,"0,0,0",3,"151,92,61","0,1694,5855",1,"circRNA","ENSMUSG00000037470","ENSMUST00000046875","13,12,11","1:36231586-36234930|1:36240846-36241859",0.0687092008845,0.128829751658,0.566947645908
"25","1",37529340,37537821,"circular_RNA/5",0,"-",37529340,37529340,"0,0,0",3,"134,141,168","0,5613,8313",5,"circRNA","ENSMUSG00000026110","ENSMUST00000042161","4,3,2","1:37505664-37529340|1:37537821-37575119",0.343546004422,0,35.3546004422
"26","1",38146648,38147548,"circular_RNA/18",0,"-",38146648,38146648,"0,0,0",2,"127,64","0,836",18,"circRNA","ENSMUSG00000026082","ENSMUST00000027251","3,2","1:38138102-38146648|1:38147548-38168542",1.23676561592,0.0523498673406,19.9962833779
"27","1",39326548,39339814,"circular_RNA/7",1,"+",39326548,39326548,"0,0,0",3,"149,92,90","0,5219,13176",7,"circRNA","ENSMUSG00000026077","ENSMUST00000056815","3,4,5","1:39302456-39326548|1:39339814-39350921",0.480964406191,0.267965883449,1.76627577492
"28","1",39326548,39351042,"circular_RNA/1",0,"+",39326548,39326548,"0,0,0",4,"149,92,90,121","0,5219,13176,24373",1,"circRNA","ENSMUSG00000026077","ENSMUST00000056815","3,4,5,6","1:39302456-39326548|1:39351042-39352035",0.0687092008845,0.267965883449,0.283161371849
"29","1",39441763,39445951,"circular_RNA/3",1,"-",39441763,39441763,"0,0,0",3,"241,229,119","0,2608,4069",3,"circRNA","ENSMUSG00000003134","ENSMUST00000054462","5,4,3","1:39433353-39441763|1:39445951-39465148",0.206127602653,0.574987523191,0.369456773153
"30","1",39594558,39604413,"circular_RNA/1",0,"-",39594558,39594558,"0,0,0",5,"193,97,83,69,251","0,2837,5215,8570,9604",1,"circRNA","ENSMUSG00000048234","ENSMUST00000062525","6,5,4,3,2","1:39591596-39594558|1:39604413-39615907",0.0687092008845,0.492415939672,0.156661432629
