"","X1","X2","count","values"
"1",TRUE,TRUE,18,"scaffold0009:22152575|22153103, scaffold0007:23745748|23750095, scaffold0008:78465786|78466437, scaffold0012:35400163|35400390, scaffold0013:65634724|65642177, scaffold0022:7463353|7463572, scaffold0027:13964683|13970136, scaffold0048:438715|440295, scaffold0004:48853608|48853940, scaffold0003:34918482|34944456, scaffold0007:91656590|91656785, scaffold0018:38000827|38022993, scaffold0016:15425005|15425276, scaffold0028:12896622|12908373, scaffold0001:127975613|127977748, scaffold0004:2117777|2139336, scaffold0016:22143168|22144730, scaffold0019:42489724|42490357"
"2",FALSE,TRUE,536,"scaffold0015:57420918|57424737, scaffold0017:40646435|40663218, scaffold0005:1311107|1313160, scaffold0014:17165216|17165879, scaffold0004:100366548|100366917, scaffold0008:31909937|31913027, scaffold0002:80313128|80314435, scaffold0015:1290213|1292416, scaffold0015:57420918|57422412, scaffold0023:3183412|3183661, scaffold0006:76683755|76689652, scaffold0001:76016262|76019887, scaffold0004:95927172|95944154, scaffold0002:126337958|126338769, scaffold0005:3251985|3253986, scaffold0007:94828509|94843654, scaffold0015:49469884|49470456, scaffold0012:43199955|43209627, scaffold0002:123947217|123947884, scaffold0003:7357665|7366728, scaffold0005:59679880|59697626, scaffold0027:876625|877778, scaffold0005:29628116|29629583, scaffold0023:24176556|24181472, scaffold0009:42172036|42175594, scaffold0003:100636472|100647439, scaffold0032:7294402|7295237, scaffold0013:671093|675484, scaffold0002:101077771|101081547, scaffold0019:2727069|2727700, scaffold0005:91904629|91904895, scaffold0008:51750994|51775532, scaffold0053:494820|495039, scaffold0022:33971625|33974858, scaffold0013:44288881|44291808, scaffold0005:3184614|3189288, scaffold0006:70594101|70607990, scaffold0022:4128489|4130540, scaffold0011:1410829|1422463, scaffold0005:73567114|73581017, scaffold0013:69176759|69177544, scaffold0002:2643973|2650159, scaffold0005:3036804|3037164, scaffold0002:113440625|113458981, scaffold0013:25387255|25408894, scaffold0007:60585608|60606509, scaffold0006:75148500|75151431, scaffold0003:89762477|89764453, scaffold0015:55859392|55867205, scaffold0007:37714042|37714385, scaffold0016:35150119|35150401, scaffold0019:28896193|28897323, scaffold0003:89714803|89715889, scaffold0002:32909537|32911894, scaffold0002:7550372|7550683, scaffold0019:42450871|42451298, scaffold0044:1866418|1868457, scaffold0019:1287168|1288072, scaffold0005:93931758|93932501, scaffold0012:75275651|75292341, scaffold0017:51614024|51615290, scaffold0007:3208814|3209644, scaffold0007:33865765|33866161, scaffold0017:15184608|15186847, scaffold0003:38060021|38060591, scaffold0031:8634184|8634675, scaffold0013:69712536|69712935, scaffold0022:31612088|31644107, scaffold0006:48861691|48862607, scaffold0017:56158082|56160116, scaffold0001:51050589|51051555, scaffold0012:15710747|15716130, scaffold0011:27386498|27388277, scaffold0008:16856813|16857121, scaffold0014:44091192|44091517, scaffold0003:109541545|109546846, scaffold0028:13178838|13179749, scaffold0013:25591722|25613425, scaffold0016:19394018|19398725, scaffold0015:5769264|5770469, scaffold0027:1356108|1357803, scaffold0004:59745286|59746150, scaffold0004:101951875|101961800, scaffold0010:16921946|16922235, scaffold0002:114281169|114282779, scaffold0023:23823291|23823912, scaffold0020:26862205|26875978, scaffold0027:245532|246215, scaffold0002:113316248|113316558, scaffold0011:27378090|27388277, scaffold0012:10926828|10928206, scaffold0015:8166769|8173491, scaffold0003:7437218|7438048, scaffold0015:55859392|55873628, scaffold0052:114660|116468, scaffold0005:27790344|27790702, scaffold0004:79260469|79260683, scaffold0003:66172070|66174414, scaffold0024:22914992|22915431, scaffold0001:119366169|119366602, scaffold0018:10114940|10116215, scaffold0015:36210885|36211797, scaffold0002:2625460|2650159, scaffold0007:91656590|91742312, scaffold0014:33889995|33906791, scaffold0033:867281|893191, scaffold0001:65400474|65402566, scaffold0001:151773080|151773587, scaffold0010:75678217|75692986, scaffold0014:52975912|52976421, scaffold0008:33580049|33581969, scaffold0017:22212200|22213941, scaffold0012:67924133|67927267, scaffold0019:42316791|42317850, scaffold0027:5445900|5449434, scaffold0001:49594653|49604071, scaffold0008:26657098|26657609, scaffold0023:3174735|3175607, scaffold0004:40499883|40500744, scaffold0010:60703753|60705009, scaffold0001:71537237|71549117, scaffold0003:6151833|6153535, scaffold0012:10980922|10987767, scaffold0002:113004233|113006743, scaffold0003:57587632|57587890, scaffold0022:6139578|6148109, scaffold0005:30404692|30405264, scaffold0013:51891839|51893190, scaffold0004:58853003|58857964, scaffold0007:947422|949272, scaffold0051:242204|243237, scaffold0008:20320718|20348840, scaffold0016:22687222|22691803, scaffold0003:92820923|92839951, scaffold0002:7898352|7899470, scaffold0004:30361415|30366390, scaffold0007:2006713|2007010, scaffold0011:65665467|65673536, scaffold0005:92040501|92040884, scaffold0014:3198869|3206330, scaffold0017:56025368|56030863, scaffold0005:76245478|76247747, scaffold0005:83173148|83173315, scaffold0010:74692680|74693077, scaffold0013:59062384|59063949, scaffold0018:51545769|51552310, scaffold0015:52582550|52594425, scaffold0004:59488310|59488817, scaffold0010:49232044|49239504, scaffold0029:6092716|6092982, scaffold0001:58150638|58150963, scaffold0008:42702093|42707628, scaffold0001:151771285|151773587, scaffold0001:139016258|139026238, scaffold0005:38570982|38571397, scaffold0012:10434988|10436513, scaffold0015:1046274|1051135, scaffold0015:21719544|21725405, scaffold0016:10752191|10771770, scaffold0001:71537237|71541501, scaffold0007:4523775|4552654, scaffold0010:62233341|62233675, scaffold0003:100636472|100662389, scaffold0005:86753880|86754212, scaffold0005:84231488|84232723, scaffold0007:26687107|26719584, scaffold0015:355009|356197, scaffold0026:1359551|1362717, scaffold0007:1949069|1949574, scaffold0016:53732399|53733646, scaffold0046:2059955|2062012, scaffold0031:4049226|4055032, scaffold0002:79025343|79028173, scaffold0015:51589874|51616730, scaffold0006:1257266|1257512, scaffold0008:11040254|11042228, scaffold0015:43277135|43278861, scaffold0023:10368625|10369425, scaffold0008:66410465|66411014, scaffold0027:12760408|12763786, scaffold0001:18489190|18492615, scaffold0023:20803635|20804280, scaffold0004:1621382|1633419, scaffold0014:53343399|53345018, scaffold0018:16358713|16363890, scaffold0020:7539293|7540648, scaffold0022:2765637|2772001, scaffold0001:125544076|125545101, scaffold0001:17837041|17864064, scaffold0005:53523281|53527618, scaffold0007:26687107|26687376, scaffold0024:1020936|1021916, scaffold0037:2859158|2865446, scaffold0003:92820923|92824964, scaffold0013:73052821|73053811, scaffold0017:13873060|13878943, scaffold0034:5930949|5931501, scaffold0022:2789473|2797477, scaffold0001:118228378|118228920, scaffold0015:31814050|31839705, scaffold0004:17494158|17499311, scaffold0019:848306|849195, scaffold0029:13752619|13753439, scaffold0004:52727592|52727898, scaffold0026:483882|484593, scaffold0004:41767114|41767507, scaffold0008:61326493|61328303, scaffold0001:53757439|53761354, scaffold0022:11501122|11501711, scaffold0003:63796655|63799580, scaffold0012:46104405|46108884, scaffold0016:11877331|11879751, scaffold0032:2191454|2192528, scaffold0038:966693|967029, scaffold0051:623509|624031, scaffold0006:34445034|34450280, scaffold0006:94393131|94409265, scaffold0011:12129318|12131874, scaffold0012:36370718|36371682, scaffold0007:12745346|12745986, scaffold0013:14506008|14506823, scaffold0019:30265396|30267562, scaffold0041:2862111|2863688, scaffold0002:232000|232948, scaffold0005:98723465|98724361, scaffold0022:2236045|2244011, scaffold0031:2255403|2256630, scaffold0014:40487613|40488232, scaffold0016:15149141|15151471, scaffold0011:33564560|33576228, scaffold0016:17384058|17385420, scaffold0021:25547727|25550360, scaffold0027:11894331|11899082, scaffold0003:12801892|12807002, scaffold0013:42561840|42562166, scaffold0004:60349036|60350239, scaffold0005:76369565|76372353, scaffold0007:4806189|4812729, scaffold0019:28950830|28955016, scaffold0037:1075679|1078010, scaffold0002:80176806|80187549, scaffold0008:30693890|30699752, scaffold0010:44528441|44528643, scaffold0021:15460613|15465531, scaffold0005:24674106|24678382, scaffold0007:72319461|72324163, scaffold0014:21678645|21691671, scaffold0023:23821338|23822121, scaffold0002:123034228|123035622, scaffold0004:61501086|61507757, scaffold0011:20892386|20904312, scaffold0013:66865915|66879203, scaffold0024:1773943|1774660, scaffold0037:640957|645348, scaffold0002:122495930|122500805, scaffold0004:21265229|21266608, scaffold0004:42276283|42278460, scaffold0006:1186871|1189302, scaffold0012:48228056|48230787, scaffold0007:91656590|91726421, scaffold0013:24995456|24999366, scaffold0010:11846754|11850423, scaffold0014:575431|577427, scaffold0019:34986397|34987381, scaffold0001:85502453|85516465, scaffold0005:20282496|20285858, scaffold0005:55349367|55349702, scaffold0005:91577526|91579073, scaffold0021:23389897|23394908, scaffold0024:14314160|14314912, scaffold0029:12010258|12010470, scaffold0002:48945760|48954394, scaffold0004:47805758|47806776, scaffold0012:64531052|64536422, scaffold0016:10444684|10451647, scaffold0004:52727592|52740446, scaffold0016:15199591|15200472, scaffold0008:34693509|34694167, scaffold0018:31582011|31582615, scaffold0022:32377375|32379652, scaffold0023:26652576|26656494, scaffold0007:58575570|58590320, scaffold0015:1366865|1367065, scaffold0006:910574|924354, scaffold0013:64798626|64809210, scaffold0005:91799558|91801163, scaffold0010:67601400|67625828, scaffold0013:817176|822392, scaffold0017:19781701|19787601, scaffold0007:80322379|80325779, scaffold0016:55566342|55568381, scaffold0032:4879735|4881253, scaffold0046:1893457|1899256, scaffold0002:22440422|22441237, scaffold0020:30588036|30607672, scaffold0001:149556616|149557010, scaffold0009:69312603|69313484, scaffold0019:21894324|21906805, scaffold0001:71167426|71172125, scaffold0003:108782440|108783299, scaffold0003:92820923|92831109, scaffold0010:71064253|71068119, scaffold0012:37095605|37100986, scaffold0015:1329859|1331363, scaffold0018:48143683|48153284, scaffold0013:29934936|29938190, scaffold0018:28272843|28274216, scaffold0024:3352382|3353428, scaffold0028:533884|536139, scaffold0008:33558244|33565233, scaffold0015:1977941|1980124, scaffold0015:2994532|2998122, scaffold0042:1405672|1416961, scaffold0004:104562964|104574544, scaffold0007:6785116|6785965, scaffold0015:57391528|57424737, scaffold0016:54224848|54239255, scaffold0020:28443800|28463478, scaffold0027:3334127|3336427, scaffold0013:12622032|12625531, scaffold0002:43877522|43884213, scaffold0015:12029274|12030753, scaffold0027:969680|973799, scaffold0032:6693926|6703237, scaffold0046:1570735|1571793, scaffold0007:14539747|14545830, scaffold0011:13623285|13626869, scaffold0021:176130|176841, scaffold0021:18382408|18385269, scaffold0007:86240298|86240767, scaffold0015:52582550|52585537, scaffold0016:13975766|13988416, scaffold0005:1008420|1010921, scaffold0007:37693424|37714385, scaffold0011:332730|334333, scaffold0014:1582000|1590726, scaffold0018:44641428|44646361, scaffold0019:30098231|30108333, scaffold0004:11580462|11596709, scaffold0008:55445125|55452021, scaffold0011:27410118|27412490, scaffold0013:3421305|3438267, scaffold0014:2815155|2830099, scaffold0018:22061645|22068096, scaffold0023:11014228|11024947, scaffold0003:100371917|100372877, scaffold0006:42537809|42539849, scaffold0008:35599838|35606225, scaffold0014:58122028|58122453, scaffold0017:14071870|14081070, scaffold0019:839042|849195, scaffold0022:2516309|2518310, scaffold0027:5445900|5467866, scaffold0037:3092852|3098325, scaffold0006:23341080|23355785, scaffold0012:1933702|1934518, scaffold0019:24459624|24460219, scaffold0002:1843052|1843304, scaffold0003:109193487|109193880, scaffold0005:81730470|81731220, scaffold0006:25415151|25417807, scaffold0006:34809949|34814900, scaffold0008:71694622|71695712, scaffold0010:1411553|1411972, scaffold0021:2368311|2368947, scaffold0021:34952811|34956792, scaffold0025:20925206|20928871, scaffold0034:4518315|4520142, scaffold0042:2171817|2179351, scaffold0003:108730605|108743184, scaffold0007:52582436|52588053, scaffold0007:90340007|90343305, scaffold0008:9994297|9997708, scaffold0014:40815484|40828293, scaffold0003:47838009|47851208, scaffold0004:79766550|79767862, scaffold0005:17717828|17719323, scaffold0008:34460370|34474842, scaffold0015:30377693|30382894, scaffold0026:8806957|8816042, scaffold0031:8512906|8513415, scaffold0032:7388064|7394517, scaffold0007:4945844|4946919, scaffold0007:93328201|93329338, scaffold0012:31958875|31961255, scaffold0013:66865915|66871573, scaffold0016:10752191|10755713, scaffold0028:451653|453928, scaffold0001:122258977|122260572, scaffold0001:42296697|42328921, scaffold0005:33473041|33473518, scaffold0014:41082136|41083583, scaffold0014:56522549|56532824, scaffold0024:22463400|22465895, scaffold0027:6051663|6052692, scaffold0005:80474870|80485580, scaffold0017:39603957|39606547, scaffold0023:9423480|9424170, scaffold0024:1028953|1031107, scaffold0024:1771837|1774660, scaffold0001:111857139|111858074, scaffold0008:11620200|11620960, scaffold0009:48751246|48759941, scaffold0014:5756924|5765758, scaffold0023:8335235|8336346, scaffold0024:6456622|6460475, scaffold0037:1671144|1671783, scaffold0040:2707709|2712205, scaffold0002:48945760|48946548, scaffold0002:54344695|54349128, scaffold0006:81314848|81362102, scaffold0007:5078368|5082003, scaffold0018:41797289|41798363, scaffold0005:21681224|21689816, scaffold0006:57991666|58001539, scaffold0007:71123832|71131674, scaffold0008:59946323|59950478, scaffold0010:67171268|67171815, scaffold0012:6949671|6956848, scaffold0013:3353250|3364916, scaffold0013:53617210|53618974, scaffold0015:39831151|39833912, scaffold0017:48830064|48832128, scaffold0027:4284939|4287022, scaffold0001:77706598|77728337, scaffold0002:146607|150576, scaffold0006:1281170|1282014, scaffold0007:5078368|5090940, scaffold0008:64560446|64561815, scaffold0013:70386613|70387850, scaffold0015:12021909|12030753, scaffold0002:113175200|113178048, scaffold0005:87734023|87734330, scaffold0006:57775293|57775898, scaffold0007:45260305|45261052, scaffold0014:1582000|1585796, scaffold0035:2959959|2961220, scaffold0002:116347201|116359600, scaffold0002:5260127|5263685, scaffold0008:64246830|64247137, scaffold0013:67392616|67421714, scaffold0013:68633661|68636682, scaffold0013:69875284|69882399, scaffold0031:7648670|7649062, scaffold0001:130894761|130909947, scaffold0003:63796655|63829483, scaffold0006:919747|924354, scaffold0011:46720187|46734093, scaffold0013:45793115|45800920, scaffold0020:28426210|28463478, scaffold0013:41676858|41698915, scaffold0013:44278016|44279703, scaffold0053:554655|557449, scaffold0003:105106119|105106769, scaffold0003:1475308|1491462, scaffold0006:68410968|68412819, scaffold0010:49254754|49264935, scaffold0014:1897071|1897922, scaffold0018:23245639|23265041, scaffold0001:108454018|108455427, scaffold0006:45938215|45938622, scaffold0032:8080316|8082171, scaffold0001:41501051|41501334, scaffold0005:90111933|90112497, scaffold0008:40325159|40338769, scaffold0012:11518144|11518474, scaffold0015:55790839|55794743, scaffold0017:2218343|2230010, scaffold0031:1468517|1469013, scaffold0037:2975309|2983285, scaffold0001:127574680|127574967, scaffold0001:80976640|80977465, scaffold0002:53134198|53136851, scaffold0002:86251952|86255957, scaffold0004:85617165|85618386, scaffold0005:99268367|99268748, scaffold0008:53917477|53921080, scaffold0010:53388959|53391696, scaffold0010:74415352|74416516, scaffold0011:76729228|76748498, scaffold0014:24825236|24828667, scaffold0015:790249|795580, scaffold0018:44646029|44646361, scaffold0020:34179899|34180183, scaffold0023:3627506|3627952, scaffold0029:4250386|4261622, scaffold0001:85363932|85366871, scaffold0006:58488647|58497893, scaffold0008:51750994|51789538, scaffold0013:69145353|69145614, scaffold0019:14857181|14883488, scaffold0027:1360645|1362866, scaffold0031:8239317|8240314, scaffold0046:2175625|2188919, scaffold0005:42525971|42526694, scaffold0008:59945867|59950478, scaffold0015:15944707|15950567, scaffold0021:23389385|23394908, scaffold0023:25026214|25026696, scaffold0030:11647099|11649380, scaffold0031:1508653|1508930, scaffold0001:161799928|161804345, scaffold0001:51337201|51338748, scaffold0004:57543127|57544085, scaffold0006:82964325|82967136, scaffold0012:21943099|21943413, scaffold0017:3056431|3065765, scaffold0017:52641597|52642397, scaffold0023:24999456|25008640, scaffold0046:2181633|2188919, scaffold0003:99375939|99376649, scaffold0007:12925125|12926020, scaffold0008:34460370|34462165, scaffold0011:53138384|53138882, scaffold0016:14773294|14791504, scaffold0016:1658437|1659087, scaffold0022:1022128|1025857, scaffold0025:22697484|22698635, scaffold0001:18349451|18359604, scaffold0003:3532426|3540257, scaffold0003:67582962|67584961, scaffold0008:20336020|20348840, scaffold0008:9183483|9192701, scaffold0009:59281989|59282352, scaffold0018:39197715|39199028, scaffold0019:36846179|36846965, scaffold0022:2765637|2789603, scaffold0027:3517979|3523833, scaffold0002:48945760|48950233, scaffold0003:112616320|112647810, scaffold0006:23980208|23984216, scaffold0008:51750994|51785839, scaffold0011:11624187|11624935, scaffold0015:13669618|13674857, scaffold0027:1473495|1475434, scaffold0031:1498986|1500172"
"3",TRUE,FALSE,81,"scaffold0005:99748511|99751242, scaffold0004:19987647|19988005, scaffold0011:5059168|5081106, scaffold0006:91848853|91864176, scaffold0001:138974187|138974965, scaffold0001:56826478|56832903, scaffold0001:59465041|59469120, scaffold0001:86890012|86895971, scaffold0001:124169788|124180275, scaffold0002:101743909|101762385, scaffold0003:53153388|53155613, scaffold0003:80977768|80979618, scaffold0004:2950168|2975521, scaffold0004:88529005|88538971, scaffold0005:7066327|7074576, scaffold0006:31805530|31805780, scaffold0006:56825500|56830353, scaffold0009:10495939|10498773, scaffold0009:11214201|11219124, scaffold0009:23754161|23757454, scaffold0009:24175062|24176252, scaffold0010:75588047|75588516, scaffold0010:76197195|76198500, scaffold0010:12530032|12535944, scaffold0011:9688940|9733625, scaffold0011:67603031|67607736, scaffold0012:12635430|12636577, scaffold0012:31160888|31161955, scaffold0012:68672490|68674278, scaffold0013:35648323|35652123, scaffold0015:28375476|28396408, scaffold0018:16079890|16082672, scaffold0019:19935574|19964333, scaffold0019:25563805|25655069, scaffold0020:39419153|39436781, scaffold0021:17413519|17415146, scaffold0024:21000642|21002160, scaffold0016:35758668|35795536, scaffold0010:3982498|3983852, scaffold0003:84836920|84837133, scaffold0018:38844009|38894113, scaffold0006:81083213|81090175, scaffold0016:35555237|35555641, scaffold0018:41484844|41485047, scaffold0011:7042179|7053035, scaffold0012:60626921|60632811, scaffold0013:55485194|55485890, scaffold0012:74063313|74067279, scaffold0024:184020|184551, scaffold0011:71012912|71015364, scaffold0011:77286333|77296704, scaffold0001:697840|704141, scaffold0009:9180531|9191294, scaffold0009:13524897|13543474, scaffold0001:55609859|55629274, scaffold0005:1725841|1738186, scaffold0005:26751813|26770370, scaffold0001:42124302|42130785, scaffold0001:80749424|80771039, scaffold0001:100759284|100759686, scaffold0002:5786571|5800822, scaffold0016:42954923|42968789, scaffold0003:92333815|92376444, scaffold0004:78230475|78236500, scaffold0002:79648674|79652293, scaffold0012:6683579|6687058, scaffold0012:21376673|21390713, scaffold0006:71520086|71534120, scaffold0008:37589277|37603673, scaffold0008:81658946|81661084, scaffold0008:14456160|14471315, scaffold0007:67077453|67094561, scaffold0007:88817667|88819956, scaffold0007:93962223|93965241, scaffold0002:95736788|95737115, scaffold0001:79236537|79238450, scaffold0023:23201718|23202226, scaffold0041:2401635|2403538, scaffold0002:30272099|30272437, scaffold0004:53306607|53316386, scaffold0003:108684559|108692448"
