"gene_id","new_gene_name","identity","evalue","bitscore","ref_species","ref_gene_id","original_name"
"ENSMPIG00001000500244","GPR183",90.582,0,684,"hsa","ENSG00000169508.7","novel_gene_10_627a1eab"
"ENSMPIG00001000700244","DOCK9",95.42,0,4181,"hsa","ENSG00000088387.22","novel_gene_2246_627a1eab"
"ENSMPIG00001002002243","UGGT2",84.412,0,2657,"hsa","ENSG00000102595.22","novel_gene_2249_627a1eab"
"ENSMPIG00001002002243","UGGT2",84.412,0,2657,"hsa","ENSG00000102595.22","novel_gene_2249_627a1eab"
"ENSMPIG00001002100244","UGGT2",84.412,0,2657,"hsa","ENSG00000102595.22","novel_gene_479_62831269"
"ENSMPIG00001002100244","UGGT2",84.412,0,2657,"hsa","ENSG00000102595.22","novel_gene_479_62831269"
"ENSMPIG00001002600244","RPS3A",81,7.78e-46,149,"hsa","ENSG00000145425.10","novel_gene_79_627a1eab"
"ENSMPIG00001002600244","RPS3A",81,7.78e-46,149,"hsa","ENSG00000292158.1","novel_gene_79_627a1eab"
"ENSMPIG00001002600244","RPS3A",81,5.65e-45,149,"mma","ENSMMUG00000002676.4","novel_gene_79_627a1eab"
"ENSMPIG00001002600244","RPS3A",81,5.65e-45,149,"hsa","ENSG00000145425.10","novel_gene_79_627a1eab"
"ENSMPIG00001003400244","Gpc5",61.863,5.41e-171,520,"mmu","ENSMUSG00000022112.15","novel_gene_2383_627a1eab"
"ENSMPIG00001009400244","KLHL1",97.196,0,1516,"hsa","ENSG00000150361.12","novel_gene_483_62831269"
"ENSMPIG00001010000244","PCDH9",99.353,0,2539,"hsa","ENSG00000184226.15","novel_gene_485_62831269"
"ENSMPIG00001010000244","PCDH9",99.272,0,2539,"mma","ENSMMUG00000005620.4","novel_gene_485_62831269"
"ENSMPIG00001011900244","DIAPH3",87.699,0,1962,"hsa","ENSG00000139734.19","novel_gene_486_62831269"
"ENSMPIG00001014100244","VWA8",95.775,4.04e-34,148,"hsa","ENSG00000102763.18","novel_gene_2384_627a1eab"
"ENSMPIG00001022300174","UNKNOWN",57.143,5.34e-53,170,"mma","ENSMMUG00000056375.1","novel_gene_606_627a1eab"
"ENSMPIG00001022300174","UNKNOWN",57.143,3.69e-52,170,"mma","ENSMMUG00000057223.1","novel_gene_606_627a1eab"
"ENSMPIG00001022300174","UNKNOWN",57.143,3.73e-52,170,"mma","ENSMMUG00000052467.1","novel_gene_606_627a1eab"
"ENSMPIG00001022300174","UNKNOWN",57.143,4.24e-52,170,"mma","ENSMMUG00000049561.1","novel_gene_606_627a1eab"
"ENSMPIG00001022300174","UNKNOWN",57.143,4.52e-52,170,"mma","ENSMMUG00000064366.1","novel_gene_606_627a1eab"
"ENSMPIG00001022806153","UNKNOWN",68.545,0,782,"mma","ENSMMUG00000052098.1","novel_gene_2279_627a1eab"
"ENSMPIG00001022900244","MIPEP",91.865,0,1374,"hsa","ENSG00000027001.10","novel_gene_2280_627a1eab"
"ENSMPIG00001023000244","MIPEP",91.865,0,1374,"hsa","ENSG00000027001.10","novel_gene_493_62831269"
"ENSMPIG00001024400114","UNKNOWN",65.549,2.11e-156,456,"mma","ENSMMUG00000050731.1","novel_gene_663_627a1eab"
"ENSMPIG00001024400114","UNKNOWN",65.244,7.28e-156,456,"mma","ENSMMUG00000060115.1","novel_gene_663_627a1eab"
"ENSMPIG00001025100244","NBEA",97.929,0,6004,"hsa","ENSG00000172915.20","novel_gene_2283_627a1eab"
"ENSMPIG00001026500174","UNKNOWN",57.857,1.95e-52,171,"mma","ENSMMUG00000052467.1","novel_gene_702_627a1eab"
"ENSMPIG00001026500174","UNKNOWN",57.857,2.2e-52,171,"mma","ENSMMUG00000064366.1","novel_gene_702_627a1eab"
"ENSMPIG00001026500174","UNKNOWN",57.857,2.29e-52,171,"mma","ENSMMUG00000057223.1","novel_gene_702_627a1eab"
"ENSMPIG00001026700084","UNKNOWN",57.576,4.03e-54,184,"mma","ENSMMUG00000052584.1","novel_gene_2391_627a1eab"
