"circ_id","seqnames","start","end","width","strand","source","type","score","phase","circ_type","bsj","fsj","junc_ratio","gene_id"
"scaffold0001:100759284|100759686","scaffold0001",100759284,100759686,402,"-","CIRIquant","circRNA",0.1047,NA,"exon",8,0,1,"ENSMPIG00001054300244,ENSMPIG00001054420243"
"scaffold0001:105448308|105451257","scaffold0001",105448308,105451257,2949,"-","CIRIquant","circRNA",0.1701,NA,"exon",13,28,0.481,"ENSMPIG00001056824241"
"scaffold0001:105535894|105552281","scaffold0001",105535894,105552281,16387,"-","CIRIquant","circRNA",0.1832,NA,"exon",14,0,1,"ENSMPIG00001056921243"
"scaffold0001:107430334|107431589","scaffold0001",107430334,107431589,1255,"-","CIRIquant","circRNA",0.0262,NA,"exon",2,4,0.5,"ENSMPIG00001058621243"
"scaffold0001:108454018|108455427","scaffold0001",108454018,108455427,1409,"-","CIRIquant","circRNA",0.7588,NA,"exon",58,10,0.921,"ENSMPIG00001059523243"
"scaffold0001:111739567|111741355","scaffold0001",111739567,111741355,1788,"-","CIRIquant","circRNA",0.1962,NA,"exon",15,47,0.39,"ENSMPIG00001062024241"
"scaffold0001:111857139|111858074","scaffold0001",111857139,111858074,935,"-","CIRIquant","circRNA",0.8765,NA,"exon",67,4,0.971,"ENSMPIG00001062124241"
"scaffold0001:112898553|112906290","scaffold0001",112898553,112906290,7737,"-","CIRIquant","circRNA",0.1177,NA,"exon",9,9,0.667,"ENSMPIG00001063010243"
"scaffold0001:113822631|113824795","scaffold0001",113822631,113824795,2164,"-","CIRIquant","circRNA",0.0523,NA,"exon",4,8,0.5,"ENSMPIG00001063524241"
"scaffold0001:113879748|113888329","scaffold0001",113879748,113888329,8581,"-","CIRIquant","circRNA",0.0523,NA,"exon",4,3,0.727,"ENSMPIG00001063524241"
"scaffold0001:114001179|114009040","scaffold0001",114001179,114009040,7861,"-","CIRIquant","circRNA",0.1439,NA,"exon",11,0,1,"ENSMPIG00001063620243"
"scaffold0001:114031253|114051769","scaffold0001",114031253,114051769,20516,"-","CIRIquant","circRNA",0.1177,NA,"exon",9,41,0.305,"ENSMPIG00001063620243"
"scaffold0001:117465316|117470129","scaffold0001",117465316,117470129,4813,"-","CIRIquant","circRNA",0.4448,NA,"exon",34,2,0.971,"ENSMPIG00001064421213"
"scaffold0001:117602102|117603101","scaffold0001",117602102,117603101,999,"-","CIRIquant","circRNA",0.1047,NA,"exon",8,13,0.552,"ENSMPIG00001064724241"
"scaffold0001:117824746|117825092","scaffold0001",117824746,117825092,346,"-","CIRIquant","circRNA",0.1962,NA,"exon",15,25,0.545,"ENSMPIG00001066321243"
"scaffold0001:118228378|118228920","scaffold0001",118228378,118228920,542,"+","CIRIquant","circRNA",1.6092,NA,"exon",123,137,0.642,"ENSMPIG00001067623243"
"scaffold0001:118672269|118672450","scaffold0001",118672269,118672450,181,"+","CIRIquant","circRNA",0.1047,NA,"exon",8,14,0.533,"ENSMPIG00001069324241"
"scaffold0001:118960435|118962496","scaffold0001",118960435,118962496,2061,"+","CIRIquant","circRNA",0.1962,NA,"exon",15,33,0.476,"ENSMPIG00001070924241"
"scaffold0001:118961931|118962496","scaffold0001",118961931,118962496,565,"+","CIRIquant","circRNA",0.3271,NA,"exon",25,7,0.877,"ENSMPIG00001070924241"
"scaffold0001:119366169|119366602","scaffold0001",119366169,119366602,433,"+","CIRIquant","circRNA",2.5642,NA,"exon",196,26,0.938,"ENSMPIG00001073223243"
"scaffold0001:122258977|122260572","scaffold0001",122258977,122260572,1595,"-","CIRIquant","circRNA",0.9027,NA,"exon",69,35,0.798,"ENSMPIG00001082324241"
"scaffold0001:123500740|123503462","scaffold0001",123500740,123503462,2722,"-","CIRIquant","circRNA",0.0523,NA,"exon",4,9,0.471,"ENSMPIG00001086624241"
"scaffold0001:123661364|123663810","scaffold0001",123661364,123663810,2446,"+","CIRIquant","circRNA",0.1047,NA,"exon",8,31,0.34,"ENSMPIG00001087214243"
"scaffold0001:123799937|123801342","scaffold0001",123799937,123801342,1405,"+","CIRIquant","circRNA",0.2224,NA,"exon",17,19,0.642,"ENSMPIG00001087620243"
"scaffold0001:123844056|123844720","scaffold0001",123844056,123844720,664,"-","CIRIquant","circRNA",0.3271,NA,"exon",25,0,1,"ENSMPIG00001087824241"
"scaffold0001:123844056|123847095","scaffold0001",123844056,123847095,3039,"-","CIRIquant","circRNA",0.157,NA,"exon",12,3,0.889,"ENSMPIG00001087824241"
"scaffold0001:124020877|124061537","scaffold0001",124020877,124061537,40660,"-","CIRIquant","circRNA",0.5102,NA,"exon",39,0,1,"ENSMPIG00001088217243"
"scaffold0001:124169788|124180275","scaffold0001",124169788,124180275,10487,"-","CIRIquant","circRNA",0.0654,NA,"exon",5,10,0.5,"ENSMPIG00001088500244,ENSMPIG00001088419243,ENSMPIG00001088300244"
"scaffold0001:124335401|124340252","scaffold0001",124335401,124340252,4851,"-","CIRIquant","circRNA",0.157,NA,"exon",12,28,0.462,"ENSMPIG00001088624243"
"scaffold0001:124356261|124359698","scaffold0001",124356261,124359698,3437,"-","CIRIquant","circRNA",0.0523,NA,"exon",4,0,1,"ENSMPIG00001088624243"
"scaffold0001:125218830|125236616","scaffold0001",125218830,125236616,17786,"-","CIRIquant","circRNA",0.1177,NA,"exon",9,1,0.947,"ENSMPIG00001090523243"
"scaffold0001:125236480|125270953","scaffold0001",125236480,125270953,34473,"-","CIRIquant","circRNA",0.1177,NA,"exon",9,8,0.692,"ENSMPIG00001090523243"
"scaffold0001:125539865|125543293","scaffold0001",125539865,125543293,3428,"+","CIRIquant","circRNA",0.5887,NA,"exon",45,6,0.938,"ENSMPIG00001091521243"
"scaffold0001:125544076|125545101","scaffold0001",125544076,125545101,1025,"+","CIRIquant","circRNA",1.6877,NA,"exon",129,34,0.884,"ENSMPIG00001091521243"
"scaffold0001:125926963|125931690","scaffold0001",125926963,125931690,4727,"+","CIRIquant","circRNA",0.2486,NA,"exon",19,9,0.809,"ENSMPIG00001093424241"
"scaffold0001:127574680|127574967","scaffold0001",127574680,127574967,287,"+","CIRIquant","circRNA",0.7326,NA,"exon",56,10,0.918,"ENSMPIG00001096022243"
