"circ_id","seqnames","start","end","width","strand","source","type","score","phase","circ_type","bsj","fsj","junc_ratio","gene_id","gene_name","gene_type"
"1:100007729|100007915","1",100007729,100007915,186,"-","CIRIquant","circRNA",0.4063,NA,"exon",15,0,1,"ENSMMUG00000008402","GABPB2","protein_coding"
"1:100169129|100201391","1",100169129,100201391,32262,"-","CIRIquant","circRNA",0.0961,NA,"exon",5,160,0.059,"ENSMMUG00000023235","SETDB1","protein_coding"
"1:100703499|100706628","1",100703499,100706628,3129,"-","CIRIquant","circRNA",0.0384,NA,"exon",2,77,0.049,"ENSMMUG00000007303","RPRD2","protein_coding"
"1:103657523|103659696","1",103657523,103659696,2173,"-","CIRIquant","circRNA",0.0192,NA,"exon",1,106,0.019,"ENSMMUG00000019640",NA,"protein_coding"
"1:106311979|106314354","1",106311979,106314354,2375,"-","CIRIquant","circRNA",0.0576,NA,"exon",3,126,0.045,"ENSMMUG00000008513","WDR3","protein_coding"
"1:106342693|106364395","1",106342693,106364395,21702,"+","CIRIquant","circRNA",0.0384,NA,"exon",2,103,0.037,"ENSMMUG00000008509","GDAP2","protein_coding"
"1:106829695|106868467","1",106829695,106868467,38772,"-","CIRIquant","circRNA",0.2882,NA,"exon",15,46,0.395,"ENSMMUG00000047035","MAN1A2","protein_coding"
"1:106849970|106868467","1",106849970,106868467,18497,"-","CIRIquant","circRNA",0.538,NA,"exon",28,0,1,"ENSMMUG00000047035","MAN1A2","protein_coding"
"1:106855779|106868467","1",106855779,106868467,12688,"-","CIRIquant","circRNA",0.2167,NA,"exon",8,0,1,"ENSMMUG00000047035","MAN1A2","protein_coding"
"1:109478241|109491082","1",109478241,109491082,12841,"+","CIRIquant","circRNA",0.2113,NA,"exon",11,3060,0.007,"ENSMMUG00000001974","CSDE1","protein_coding"
"1:109799272|109799473","1",109799272,109799473,201,"+","CIRIquant","circRNA",0.4758,NA,"exon",17,50,0.405,"ENSMMUG00000014620","TRIM33","protein_coding"
"1:110304225|110305395","1",110304225,110305395,1170,"-","CIRIquant","circRNA",0.2306,NA,"exon",12,24,0.5,"ENSMMUG00000019527","DCLRE1B","protein_coding"
"1:110387402|110392216","1",110387402,110392216,4814,"+","CIRIquant","circRNA",0.2498,NA,"exon",13,7,0.788,"ENSMMUG00000006786","PTPN22","protein_coding"
"1:111592884|111599248","1",111592884,111599248,6364,"+","CIRIquant","circRNA",0.0576,NA,"exon",3,35,0.146,"ENSMMUG00000007766","ST7L","protein_coding"
"1:111592884|111611519","1",111592884,111611519,18635,"+","CIRIquant","circRNA",0.0192,NA,"exon",1,124,0.016,"ENSMMUG00000007766","ST7L","protein_coding"
"1:111592884|111628246","1",111592884,111628246,35362,"+","CIRIquant","circRNA",0.0576,NA,"exon",3,0,1,"ENSMMUG00000007766","ST7L","protein_coding"
"1:111592884|111633204","1",111592884,111633204,40320,"+","CIRIquant","circRNA",0.1729,NA,"exon",9,0,1,"ENSMMUG00000007766","ST7L","protein_coding"
"1:111592884|111654330","1",111592884,111654330,61446,"+","CIRIquant","circRNA",0.0192,NA,"exon",1,130,0.015,"ENSMMUG00000007766","ST7L","protein_coding"
"1:113902955|113906163","1",113902955,113906163,3208,"-","CIRIquant","circRNA",0.0384,NA,"exon",2,18,0.182,"ENSMMUG00000004614","KCNC4","protein_coding"
"1:114972852|114974495","1",114972852,114974495,1643,"-","CIRIquant","circRNA",0.269,NA,"exon",14,467,0.057,"ENSMMUG00000017266",NA,"protein_coding"
"1:115302491|115309429","1",115302491,115309429,6938,"+","CIRIquant","circRNA",0.0192,NA,"exon",1,62,0.031,"ENSMMUG00000010159,ENSMMUG00000000390","AKNAD1,CLCC1","protein_coding,protein_coding"
"1:115302491|115313882","1",115302491,115313882,11391,"+","CIRIquant","circRNA",0.0961,NA,"exon",5,43,0.189,"ENSMMUG00000010159,ENSMMUG00000000390","AKNAD1,CLCC1","protein_coding,protein_coding"
"1:115308846|115313882","1",115308846,115313882,5036,"+","CIRIquant","circRNA",0.0384,NA,"exon",2,21,0.16,"ENSMMUG00000010159,ENSMMUG00000000390","AKNAD1,CLCC1","protein_coding,protein_coding"
"1:11550342|11557853","1",11550342,11557853,7511,"-","CIRIquant","circRNA",0.5959,NA,"exon",22,0,1,"ENSMMUG00000001060","RYR2","protein_coding"
"1:11622810|11687576","1",11622810,11687576,64766,"-","CIRIquant","circRNA",0.1729,NA,"exon",9,18,0.5,"ENSMMUG00000001060","RYR2","protein_coding"
"1:123137040|123157260","1",123137040,123157260,20220,"+","CIRIquant","circRNA",0.0576,NA,"exon",3,109,0.052,"ENSMMUG00000061839,ENSMMUG00000056702","Metazoa_SRP,DPH5","misc_RNA,protein_coding"
"1:123654865|123656037","1",123654865,123656037,1172,"-","CIRIquant","circRNA",1.0357,NA,"exon",37,0,1,"ENSMMUG00000019106","CDC14A","protein_coding"
"1:123941027|123951477","1",123941027,123951477,10450,"+","CIRIquant","circRNA",0.2113,NA,"exon",11,280,0.073,"ENSMMUG00000007706,ENSMMUG00000054630","DBT","protein_coding,protein_coding"
"1:124279167|124286513","1",124279167,124286513,7346,"-","CIRIquant","circRNA",0.0961,NA,"exon",5,115,0.08,"ENSMMUG00000021441","AGL","protein_coding"
"1:12481663|12486214","1",12481663,12486214,4551,"+","CIRIquant","circRNA",0.1537,NA,"exon",8,103,0.134,"ENSMMUG00000015135","HEATR1","protein_coding"
