"","gene_id","circ_id","seqnames","start","end","width","strand","source","type","score","phase","circ_type","bsj","fsj","junc_ratio","gene_name"
"1","ENSMPIG00001000124241","scaffold0001:67666|80271","scaffold0001",67666,80271,12605,"-","CIRIquant","circRNA",0.0262,NA,"exon",2,6,0.4,"TM9SF2"
"2","ENSMPIG00001000324241","scaffold0001:357530|362767","scaffold0001",357530,362767,5237,"-","CIRIquant","circRNA",0.2747,NA,"exon",21,1,0.977,"UBAC2"
"3","ENSMPIG00001000700244","scaffold0001:697840|704141","scaffold0001",697840,704141,6301,"+","CIRIquant","circRNA",0.314,NA,"exon",24,5,0.906,"novel_gene_2246_627a1eab"
"4","ENSMPIG00001000805243","scaffold0001:697840|704141","scaffold0001",697840,704141,6301,"+","CIRIquant","circRNA",0.314,NA,"exon",24,5,0.906,"DOCK9"
"5","ENSMPIG00001000916243","scaffold0001:697840|704141","scaffold0001",697840,704141,6301,"+","CIRIquant","circRNA",0.314,NA,"exon",24,5,0.906,"DOCK9"
"6","ENSMPIG00001001124241","scaffold0001:952498|952729","scaffold0001",952498,952729,231,"+","CIRIquant","circRNA",0.1177,NA,"exon",9,83,0.178,"STK24"
"7","ENSMPIG00001001300244","scaffold0001:1388250|1395817","scaffold0001",1388250,1395817,7567,"-","CIRIquant","circRNA",0.0392,NA,"exon",3,11,0.353,"evm.TU.scaffold0001.9"
"8","ENSMPIG00001002323233","scaffold0001:3305117|3320763","scaffold0001",3305117,3320763,15646,"-","CIRIquant","circRNA",0.0131,NA,"exon",1,6,0.25,"DNAJC3"
"9","ENSMPIG00001002523243","scaffold0001:3432964|3433301","scaffold0001",3432964,3433301,337,"-","CIRIquant","circRNA",0.0392,NA,"exon",3,4,0.6,"CLDN10"
"10","ENSMPIG00001002724241","scaffold0001:3842989|3843710","scaffold0001",3842989,3843710,721,"+","CIRIquant","circRNA",0.0916,NA,"exon",7,2,0.875,"ABCC4"
"11","ENSMPIG00001005324241","scaffold0001:16303594|16306413","scaffold0001",16303594,16306413,2819,"-","CIRIquant","circRNA",0.2878,NA,"exon",22,30,0.595,"NDFIP2"
"12","ENSMPIG00001005824241","scaffold0001:17070199|17079951","scaffold0001",17070199,17079951,9752,"+","CIRIquant","circRNA",0.1308,NA,"exon",10,0,1,"RNF219"
"13","ENSMPIG00001006323243","scaffold0001:17837041|17840087","scaffold0001",17837041,17840087,3046,"-","CIRIquant","circRNA",0.0392,NA,"exon",3,187,0.031,"SLAIN1"
"14","ENSMPIG00001006524241","scaffold0001:18267806|18274130","scaffold0001",18267806,18274130,6324,"+","CIRIquant","circRNA",0.0131,NA,"exon",1,6,0.25,"MYCBP2"
"15","ENSMPIG00001006623243","scaffold0001:18485335|18492615","scaffold0001",18485335,18492615,7280,"+","CIRIquant","circRNA",0.0654,NA,"exon",5,11,0.476,"FBXL3"
