"","circ_id","hsa1","hsa2","hsa3"
"1","1:10002262|10002439",NA,NA,4
"2","1:100901108|100901277",NA,NA,3
"3","1:100969308|100969518",NA,NA,2
"4","1:101096787|101096943",3,NA,NA
"5","1:102654823|102654995",NA,NA,3
"6","1:10275427|10278128",NA,3,NA
"7","1:103256012|103256307",NA,4,NA
"8","1:103497660|103497862",2,NA,NA
"9","1:10365099|10365648",NA,4,NA
"10","1:10417024|10417180",NA,2,NA
"11","1:10440346|10442441",NA,NA,2
"12","1:104476315|104476515",2,NA,NA
"13","1:10519075|10519249",NA,4,NA
"14","1:105723296|105723484",NA,2,NA
"15","1:105741708|105741876",2,NA,NA
"16","1:106003280|106003430",3,NA,NA
"17","1:106040936|106041109",NA,2,NA
"18","1:10662384|10662555",2,NA,NA
"19","1:10735710|10735913",NA,3,NA
"20","1:10740174|10740401",NA,4,NA
"21","1:10752020|10752214",NA,NA,3
"22","1:107596211|107617632",NA,2,NA
"23","1:108080590|108080887",NA,NA,2
"24","1:10849661|10849826",2,NA,NA
"25","1:108991253|109004715",NA,2,NA
"26","1:109230877|109231786",NA,4,NA
"27","1:109340723|109345878",NA,5,NA
"28","1:109342013|109345878",NA,2,NA
"29","1:109486366|109486651",NA,NA,4
"30","1:10973018|10974185",NA,2,NA
"31","1:109733362|109733536",NA,2,NA
"32","1:109886293|109886496",2,NA,NA
"33","1:110482155|110482361",2,NA,NA
"34","1:110605552|110605710",NA,2,NA
"35","1:110638199|110638424",NA,NA,3
"36","1:110686823|110687097",3,NA,NA
"37","1:111019104|111019261",NA,NA,2
"38","1:111809033|111809183",NA,NA,2
"39","1:111871608|111871851",NA,2,NA
"40","1:111887815|111888081",2,NA,NA
"41","1:112097427|112097596",NA,8,NA
"42","1:112228844|112229008",NA,2,NA
"43","1:112434354|112434527",NA,4,NA
"44","1:113191624|113191876",NA,5,NA
"45","1:11344065|11344264",NA,3,NA
"46","1:113665187|113665372",2,NA,NA
"47","1:113799271|113799438",NA,NA,2
"48","1:113829591|113834439",NA,3,NA
"49","1:113856275|113856441",NA,NA,3
"50","1:114011309|114011461",NA,2,NA
"51","1:114047655|114047913",2,NA,NA
"52","1:11421626|11421788",NA,3,NA
"53","1:114468722|114468887",NA,2,NA
"54","1:114651852|114652020",NA,NA,2
"55","1:1148083|1148244",NA,NA,2
"56","1:115740616|115740828",3,NA,NA
"57","1:116024673|116024953",NA,4,NA
"58","1:116118444|116118621",NA,NA,3
"59","1:11632584|11632740",NA,4,NA
"60","1:116765214|116765532",NA,6,NA
"61","1:1170080|1170266",2,NA,NA
"62","1:117034840|117035057",2,NA,NA
"63","1:117066331|117066523",NA,3,NA
"64","1:117402185|117405645",NA,5,NA
"65","1:117402185|117414831",NA,2,NA
"66","1:117506681|117506843",NA,3,NA
"67","1:117532333|117532494",NA,3,NA
"68","1:117671144|117671383",NA,NA,5
"69","1:11782545|11782751",4,NA,NA
"70","1:11794390|11794559",NA,2,NA
"71","1:118047472|118047641",NA,NA,4
"72","1:118171031|118171224",2,NA,NA
"73","1:11862546|11862731",NA,2,NA
"74","1:119433677|119433853",NA,4,NA
"75","1:119478504|119478654",NA,NA,7
"76","1:12001400|12002103",NA,4,NA
"77","1:12111602|12111836",NA,NA,2
"78","1:1223243|1223968",NA,27,17
"79","1:12385932|12386360",NA,2,NA
"80","1:12578717|12579412",NA,5,NA
"81","1:1278966|1279148",2,NA,NA
"82","1:13420639|13420808",NA,3,NA
"83","1:1343212|1343385",2,NA,NA
"84","1:13433485|13433642",NA,6,NA
"85","1:13539695|13539865",NA,2,NA
"86","1:13715540|13749487",NA,2,NA
"87","1:13778417|13782831",NA,10,NA
"88","1:14099236|14099605",3,NA,NA
"89","1:14260196|14260386",NA,NA,3
"90","1:14300734|14300924",NA,NA,9
"91","1:145839889|145841071",NA,5,NA
"92","1:14650969|14651149",NA,NA,2
"93","1:14695212|14695405",2,NA,NA
"94","1:147121044|147121195",2,NA,NA
"95","1:147183728|147183916",NA,4,NA
"96","1:147477170|147477329",NA,NA,2
"97","1:14764513|14764687",NA,4,NA
"98","1:14854387|14854548",NA,NA,2
"99","1:14903279|14903457",NA,3,NA
"100","1:14944356|14960875",NA,NA,3
"101","1:14960990|14961218",NA,5,NA
"102","1:149959683|149964349",NA,5,NA
"103","1:150508158|150510002",NA,NA,7
"104","1:151024610|151025673",NA,6,NA
"105","1:151024610|151027327",NA,6,NA
"106","1:151038503|151039026",NA,4,NA
"107","1:151051728|151051923",NA,NA,2
"108","1:151315572|151316509",NA,10,NA
"109","1:151525641|151527107",NA,NA,3
"110","1:151816183|151816340",NA,3,NA
"111","1:15184402|15184588",NA,NA,2
"112","1:152060570|152060747",2,NA,NA
