"","seqnames","start","end","width","strand","source","type","score","phase","circ_id","circ_type","bsj","fsj","junc_ratio","gene_id"
"1","scaffold0001",67667,77417,9751,"-","CIRIquant","circRNA",0.1018,NA,"scaffold0001:67667|77417","exon","7.000","7.000","0.667","ENSMPIG00001000124241"
"2","scaffold0001",67667,80271,12605,"-","CIRIquant","circRNA",0.0582,NA,"scaffold0001:67667|80271","exon","4.000","5.000","0.615","ENSMPIG00001000124241"
"3","scaffold0001",72192,74198,2007,"-","CIRIquant","circRNA",0.0145,NA,"scaffold0001:72192|74198","exon","1.000","25.000","0.074","ENSMPIG00001000124241"
"4","scaffold0001",72192,80271,8080,"-","CIRIquant","circRNA",0.0582,NA,"scaffold0001:72192|80271","exon","4.000","0.000","1.000","ENSMPIG00001000124241"
"5","scaffold0001",90232,93389,3158,"-","CIRIquant","circRNA",0.0291,NA,"scaffold0001:90232|93389","exon","2.000","1.000","0.800","ENSMPIG00001000124241"
"6","scaffold0001",147918,150773,2856,"-","CIRIquant","circRNA",0.0291,NA,"scaffold0001:147918|150773","intergenic","2.000","0.000","1.000",NA
"7","scaffold0001",357531,362767,5237,"-","CIRIquant","circRNA",0.8291,NA,"scaffold0001:357531|362767","exon","57.000","7.000","0.942","ENSMPIG00001000324241"
"8","scaffold0001",357531,366894,9364,"-","CIRIquant","circRNA",0.0291,NA,"scaffold0001:357531|366894","intron","2.000","8.000","0.333","ENSMPIG00001000324241"
"9","scaffold0001",495583,496985,1403,"+","CIRIquant","circRNA",0.0291,NA,"scaffold0001:495583|496985","intergenic","2.000","0.000","1.000",NA
"10","scaffold0001",495583,602209,106627,"+","CIRIquant","circRNA",0.0145,NA,"scaffold0001:495583|602209","intron","1.000","3.000","0.400","ENSMPIG00001000916243,ENSMPIG00001000700244,ENSMPIG00001000805243"
"11","scaffold0001",602093,632210,30118,"+","CIRIquant","circRNA",0.0436,NA,"scaffold0001:602093|632210","exon","3.000","12.000","0.333","ENSMPIG00001000916243,ENSMPIG00001000700244,ENSMPIG00001000805243"
"12","scaffold0001",623501,632210,8710,"+","CIRIquant","circRNA",0.0145,NA,"scaffold0001:623501|632210","exon","1.000","3.000","0.400","ENSMPIG00001000916243,ENSMPIG00001000700244,ENSMPIG00001000805243"
"13","scaffold0001",697841,704141,6301,"+","CIRIquant","circRNA",0.4218,NA,"scaffold0001:697841|704141","exon","29.000","11.000","0.841","ENSMPIG00001000916243,ENSMPIG00001000700244,ENSMPIG00001000805243"
"14","scaffold0001",697910,704141,6232,"+","CIRIquant","circRNA",0.1018,NA,"scaffold0001:697910|704141","exon","7.000","11.000","0.560","ENSMPIG00001000916243,ENSMPIG00001000700244,ENSMPIG00001000805243"
"15","scaffold0001",727671,727881,211,"+","CIRIquant","circRNA",0.0145,NA,"scaffold0001:727671|727881","exon","1.000","0.000","1.000","ENSMPIG00001000916243,ENSMPIG00001000700244,ENSMPIG00001000805243"
"16","scaffold0001",949537,959092,9556,"+","CIRIquant","circRNA",0.0436,NA,"scaffold0001:949537|959092","intron","3.000","0.000","1.000","ENSMPIG00001001124241"
"17","scaffold0001",952499,952729,231,"+","CIRIquant","circRNA",0.2327,NA,"scaffold0001:952499|952729","exon","16.000","76.000","0.296","ENSMPIG00001001124241"
