"","circ_id","mpi1","mpi2","mpi3"
"1","scaffold0001:100203689|100204207",13,2,2
"2","scaffold0001:100759284|100759686",9,8,2
"3","scaffold0001:101732347|101764456",5,10,8
"4","scaffold0001:101764318|101805092",12,2,3
"5","scaffold0001:102597334|102600962",8,21,18
"6","scaffold0001:105448308|105451257",20,15,17
"7","scaffold0001:105535894|105552281",8,10,7
"8","scaffold0001:106987476|107032325",21,21,29
"9","scaffold0001:107132937|107133577",9,7,4
"10","scaffold0001:107430334|107431589",2,28,6
"11","scaffold0001:107605756|107613704",7,44,30
"12","scaffold0001:108454018|108455427",13,14,8
"13","scaffold0001:108596631|108603647",13,9,12
"14","scaffold0001:111739567|111741355",11,29,12
"15","scaffold0001:111739567|111762816",35,48,22
"16","scaffold0001:111857139|111858074",99,94,52
"17","scaffold0001:112309819|112313243",11,9,8
"18","scaffold0001:112553618|112558183",57,162,63
"19","scaffold0001:112594017|112598110",10,10,12
"20","scaffold0001:112898553|112906290",6,3,18
"21","scaffold0001:113822631|113824795",4,9,5
"22","scaffold0001:113879748|113888329",2,11,13
"23","scaffold0001:114001179|114009040",10,29,7
"24","scaffold0001:114031253|114051769",11,19,3
"25","scaffold0001:114048277|114051769",365,641,348
"26","scaffold0001:117465316|117470129",6,24,17
"27","scaffold0001:117602102|117603101",11,14,14
"28","scaffold0001:117824746|117825092",10,7,12
"29","scaffold0001:118228378|118228920",123,215,249
"30","scaffold0001:118671994|118672450",6,3,5
"31","scaffold0001:118672269|118672450",14,5,10
"32","scaffold0001:118860224|118861072",4,3,10
"33","scaffold0001:118960435|118962496",13,11,8
"34","scaffold0001:118961931|118962496",36,23,59
"35","scaffold0001:119022478|119022663",304,405,404
"36","scaffold0001:119022478|119035045",3,19,12
"37","scaffold0001:119060497|119063412",7,4,6
"38","scaffold0001:119129705|119129931",19,17,3
"39","scaffold0001:119129705|119129953",75,13,17
"40","scaffold0001:119366169|119366602",155,232,195
"41","scaffold0001:119435139|119437963",2,31,7
"42","scaffold0001:122258977|122260572",98,133,98
"43","scaffold0001:123500740|123503462",2,7,8
"44","scaffold0001:123522444|123532285",3,8,2
"45","scaffold0001:123661364|123663810",7,15,9
"46","scaffold0001:123668201|123669978",40,32,16
"47","scaffold0001:123799937|123801342",19,26,10
"48","scaffold0001:123844056|123844720",30,27,21
"49","scaffold0001:123844056|123847095",15,6,7
"50","scaffold0001:124020877|124061537",30,60,22
"51","scaffold0001:124169788|124180275",5,17,12
"52","scaffold0001:124335401|124340252",2,14,5
"53","scaffold0001:124356261|124359698",6,3,8
"54","scaffold0001:124644057|124658646",17,9,6
"55","scaffold0001:124644057|124658650",4,7,6
"56","scaffold0001:124644958|124658646",6,2,2
"57","scaffold0001:124651552|124658646",13,14,13
"58","scaffold0001:124677768|124678085",26,44,6
"59","scaffold0001:125218830|125236616",4,13,8
"60","scaffold0001:125236480|125270953",9,6,6
"61","scaffold0001:125539865|125543293",18,46,54
"62","scaffold0001:125544076|125545101",3,10,33
"63","scaffold0001:125926963|125931690",20,8,12
"64","scaffold0001:127574680|127574967",45,118,48
"65","scaffold0001:127642581|127658369",12,47,31
"66","scaffold0001:127975613|127977748",42,61,24
"67","scaffold0001:127975613|127991019",6,3,6
"68","scaffold0001:129934719|129947171",11,7,8
"69","scaffold0001:130894761|130901439",3,9,2
"70","scaffold0001:130894761|130907439",19,29,20
"71","scaffold0001:130894761|130909947",35,59,48
"72","scaffold0001:130894761|130936361",8,20,14
"73","scaffold0001:131047382|131047708",380,444,538
"74","scaffold0001:131047443|131047708",35,53,27
"75","scaffold0001:132491412|132493314",41,34,34
"76","scaffold0001:132742113|132761787",11,2,4
"77","scaffold0001:132899165|132905086",2,15,10
"78","scaffold0001:134858795|134860652",27,36,13
"79","scaffold0001:135619079|135636636",9,10,4
"80","scaffold0001:135619079|135645544",2,5,3
"81","scaffold0001:135631281|135636636",4,10,6
"82","scaffold0001:135788150|135801926",11,2,3
"83","scaffold0001:135825647|135830169",10,5,23
"84","scaffold0001:135867472|135869069",9,8,6
"85","scaffold0001:136975285|136978985",7,19,2
"86","scaffold0001:138563207|138563990",5,27,2
"87","scaffold0001:138721564|138725952",2,16,14
"88","scaffold0001:138721564|138727145",4,7,19
"89","scaffold0001:138725831|138727145",11,15,9
"90","scaffold0001:138733646|138736090",2,9,4
"91","scaffold0001:1388250|1395817",5,15,4
"92","scaffold0001:138974187|138974965",23,6,31
