"","chrom","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSize","exonOffsets","readNumber","circType","geneName","isoformName","index","flankIntron","FPBcirc","FPBlinear","CIRCscore"
"1","scaffold0048",352762,354597,"circular_RNA/1",1,"+",352762,352762,"0,0,0",2,"94,127","0,1708",1,"circRNA","ENSMPIG00048000202243","ENSMPIG00048000202243.t1","9,10","scaffold0048:317482-352762|scaffold0048:354597-360213",0.143958042159,0.132441398787,1.0808517992
"2","scaffold0048",391651,394219,"circular_RNA/1",0,"+",391651,391651,"0,0,0",3,"130,106,206","0,1801,2362",1,"circRNA","ENSMPIG00048000202243","ENSMPIG00048000202243.t1","17,18,19","scaffold0048:390052-391651|scaffold0048:394219-438715",0.143958042159,0.132441398787,1.0808517992
"3","scaffold0048",438715,440295,"circular_RNA/71",1,"+",438715,438715,"0,0,0",3,"65,75,149","0,146,1431",71,"circRNA","ENSMPIG00048000202243","ENSMPIG00048000202243.t2","19,20,21","scaffold0048:394219-438715|scaffold0048:440295-457518",10.2210209933,0.132441398787,71.8261761007
"4","scaffold0048",457518,460924,"circular_RNA/3",0,"+",457518,457518,"0,0,0",3,"115,188,142","0,2368,3264",3,"circRNA","ENSMPIG00048000202243","ENSMPIG00048000202243.t2","22,23,24","scaffold0048:440295-457518|scaffold0048:460924-470885",0.431874126478,0.132441398787,3.10214677924
"5","scaffold0049",304921,326042,"circular_RNA/15",1,"+",304921,304921,"0,0,0",8,"136,145,119,92,117,171,109,171","0,4092,5717,5931,6139,7590,9323,20950",15,"circRNA","ENSMPIG00049000410243","ENSMPIG00049000410243.t1","2,3,4,5,6,7,8,9","scaffold0049:273827-304921|scaffold0049:326042-348954",2.15937063239,0,216.937063239
"6","scaffold0049",304921,314353,"circular_RNA/2",0,"+",304921,304921,"0,0,0",7,"136,145,119,92,117,171,109","0,4092,5717,5931,6139,7590,9323",2,"circRNA","ENSMPIG00049000410243","ENSMPIG00049000410243.t1","2,3,4,5,6,7,8","scaffold0049:273827-304921|scaffold0049:314353-325871",0.287916084319,0,29.7916084319
"7","scaffold0049",309013,314353,"circular_RNA/4",0,"+",309013,309013,"0,0,0",6,"145,119,92,117,171,109","0,1625,1839,2047,3498,5231",4,"circRNA","ENSMPIG00049000410243","ENSMPIG00049000410243.t1","3,4,5,6,7,8","scaffold0049:305057-309013|scaffold0049:314353-325871",0.575832168638,0,58.5832168638
"8","scaffold0049",469271,475422,"circular_RNA/59",1,"+",469271,469271,"0,0,0",4,"102,73,141,102","0,476,1167,6049",59,"circRNA","ENSMPIG00049000824241","ENSMPIG00049000824241.t1","6,7,8,9","scaffold0049:466804-469271|scaffold0049:475422-487869",8.49352448741,0.158353846375,50.5098319433
"9","scaffold0049",469271,488645,"circular_RNA/3",1,"+",469271,469271,"0,0,0",6,"102,73,141,102,137,55","0,476,1167,6049,18598,19319",3,"circRNA","ENSMPIG00049000824241","ENSMPIG00049000824241.t1","6,7,8,9,10,11","scaffold0049:466804-469271|scaffold0049:488645-496624",0.431874126478,0.158353846375,2.62467496878
"10","scaffold0049",475320,488645,"circular_RNA/2",0,"+",475320,475320,"0,0,0",3,"102,137,55","0,12549,13270",2,"circRNA","ENSMPIG00049000824241","ENSMPIG00049000824241.t1","9,10,11","scaffold0049:470579-475320|scaffold0049:488645-496624",0.287916084319,0.158353846375,1.76958287995
"11","scaffold0049",596245,602163,"circular_RNA/9",0,"-",596245,596245,"0,0,0",5,"162,105,91,106,49","0,1409,4746,5640,5869",9,"circRNA","ENSMPIG00049001022243","ENSMPIG00049001022243.t1","8,7,6,5,4","scaffold0049:588594-596245|scaffold0049:602163-611720",1.29562237944,0.223934732248,5.58113952081
"12","scaffold0049",911413,911597,"circular_RNA/1",1,"+",911413,911413,"0,0,0",1,"184","0",1,"circRNA","ENSMPIG00049001424241","ENSMPIG00049001424241.t1","2","scaffold0049:839702-911413|scaffold0049:911597-917744",0.143958042159,1.05569230917,0.144467629947
"13","scaffold0049",911413,917895,"circular_RNA/2",0,"+",911413,911413,"0,0,0",2,"184,151","0,6331",2,"circRNA","ENSMPIG00049001424241","ENSMPIG00049001424241.t1","2,3","scaffold0049:839702-911413|scaffold0049:917895-918877",0.287916084319,1.05569230917,0.279551688377
"14","scaffold0049",1581332,1591017,"circular_RNA/3",1,"+",1581332,1581332,"0,0,0",4,"84,66,58,87","0,5083,5391,9598",3,"circRNA","ENSMPIG00049001513243","ENSMPIG00049001513243.t1","9,10,11,12","scaffold0049:1569056-1581332|scaffold0049:1591017-1615784",0.431874126478,0.319211310875,1.34222036692
