"","circ_id","rsi1","rsi2","rsi3","rsi4"
"1","NW_017738920.1:1183486|1193368","1.000",NA,NA,NA
"2","NW_017738920.1:1196056|1197220",NA,NA,"1.000",NA
"3","NW_017738920.1:1199765|1205197","3.000","2.000",NA,NA
"4","NW_017738920.1:1202591|1205197","1.000",NA,NA,NA
"5","NW_017738920.1:1793682|1798795",NA,NA,"1.000",NA
"6","NW_017738920.1:1926501|1933968",NA,"4.000",NA,NA
"7","NW_017738920.1:1926501|1933977",NA,NA,NA,"1.000"
"8","NW_017738920.1:2062074|2063903","3.000","4.000",NA,NA
"9","NW_017738920.1:2070931|2079391",NA,"3.000",NA,NA
"10","NW_017738920.1:2077915|2103715",NA,NA,"4.000","2.000"
"11","NW_017738920.1:2095317|2139116","1.000",NA,NA,"6.000"
"12","NW_017738920.1:2099012|2139116",NA,NA,NA,"1.000"
"13","NW_017738920.1:2134511|2139116","5.000","1.000",NA,NA
"14","NW_017738920.1:2134511|2312640",NA,"1.000",NA,NA
"15","NW_017738920.1:217929|222573",NA,"2.000","1.000",NA
"16","NW_017738920.1:2343121|2376160",NA,NA,NA,"1.000"
"17","NW_017738920.1:2452716|2459205",NA,"1.000",NA,NA
"18","NW_017738920.1:2518885|2520314",NA,NA,NA,"5.000"
"19","NW_017738920.1:2520050|2522309",NA,"2.000",NA,"4.000"
"20","NW_017738920.1:3099553|3114478",NA,"3.000",NA,NA
"21","NW_017738920.1:3099553|3127038",NA,NA,NA,"3.000"
"22","NW_017738920.1:3110050|3122626","1.000",NA,NA,NA
"23","NW_017738920.1:3122490|3127038","1.000",NA,NA,NA
"24","NW_017738920.1:3122490|3135449",NA,"3.000",NA,NA
"25","NW_017738920.1:3122490|3135452","5.000","10.000","1.000",NA
"26","NW_017738920.1:3143874|3145707","1.000",NA,NA,NA
"27","NW_017738920.1:3159019|3172693","4.000","2.000",NA,"9.000"
"28","NW_017738920.1:3159019|3179011","21.000","38.000",NA,NA
"29","NW_017738920.1:3166949|3172693","4.000","2.000","4.000",NA
"30","NW_017738920.1:3166949|3179011","15.000","23.000","9.000","19.000"
"31","NW_017738920.1:3381236|3382308",NA,NA,"2.000",NA
"32","NW_017738920.1:3381236|3432605",NA,NA,"7.000",NA
"33","NW_017738920.1:3453988|3461331",NA,NA,NA,"4.000"
"34","NW_017738920.1:3506034|3511270","1.000",NA,NA,NA
"35","NW_017738920.1:3506034|3529664",NA,NA,"2.000",NA
"36","NW_017738920.1:3506034|3538867","3.000",NA,"3.000",NA
"37","NW_017738920.1:3509684|3538867",NA,NA,"1.000",NA
"38","NW_017738920.1:4321952|4402054",NA,"1.000",NA,NA
