"","seqnames","start","end","width","strand","source","type","score","phase","circ_id","circ_type","bsj","fsj","junc_ratio","gene_id","gene_name"
"1","NW_017738920.1",217930,222573,4644,"+","CIRIquant","circRNA",0.0163,NA,"NW_017738920.1:217930|222573","exon","1.000","0.000","1.000","gene-PRRX1","PRRX1"
"2","NW_017738920.1",1196057,1197220,1164,"+","CIRIquant","circRNA",0.0163,NA,"NW_017738920.1:1196057|1197220","exon","1.000","2.000","0.500","gene-SUCO","SUCO"
"3","NW_017738920.1",1793683,1798795,5113,"+","CIRIquant","circRNA",0.0163,NA,"NW_017738920.1:1793683|1798795","exon","1.000","8.000","0.200","gene-KLHL20","KLHL20"
"4","NW_017738920.1",2077916,2103715,25800,"+","CIRIquant","circRNA",0.065,NA,"NW_017738920.1:2077916|2103715","exon","4.000","8.000","0.500","gene-RABGAP1L","RABGAP1L"
"5","NW_017738920.1",3122491,3135452,12962,"-","CIRIquant","circRNA",0.0163,NA,"NW_017738920.1:3122491|3135452","exon","1.000","0.000","1.000","gene-RFWD2","RFWD2"
"6","NW_017738920.1",3166950,3172693,5744,"-","CIRIquant","circRNA",0.065,NA,"NW_017738920.1:3166950|3172693","exon","4.000","0.000","1.000","gene-RFWD2","RFWD2"
"7","NW_017738920.1",3166950,3179011,12062,"-","CIRIquant","circRNA",0.1463,NA,"NW_017738920.1:3166950|3179011","exon","9.000","22.000","0.450","gene-RFWD2","RFWD2"
"8","NW_017738920.1",3381237,3382308,1072,"+","CIRIquant","circRNA",0.0325,NA,"NW_017738920.1:3381237|3382308","exon","2.000","0.000","1.000","gene-PAPPA2","PAPPA2"
"9","NW_017738920.1",3381237,3432605,51369,"+","CIRIquant","circRNA",0.1138,NA,"NW_017738920.1:3381237|3432605","exon","7.000","7.000","0.667","gene-PAPPA2","PAPPA2"
"10","NW_017738920.1",3506035,3529664,23630,"+","CIRIquant","circRNA",0.0325,NA,"NW_017738920.1:3506035|3529664","exon","2.000","9.000","0.308","gene-PAPPA2","PAPPA2"
"11","NW_017738920.1",3506035,3538867,32833,"+","CIRIquant","circRNA",0.0488,NA,"NW_017738920.1:3506035|3538867","exon","3.000","1.000","0.857","gene-PAPPA2","PAPPA2"
"12","NW_017738920.1",3509685,3538867,29183,"+","CIRIquant","circRNA",0.0163,NA,"NW_017738920.1:3509685|3538867","exon","1.000","21.000","0.087","gene-PAPPA2","PAPPA2"
"13","NW_017738920.1",4463208,4470399,7192,"-","CIRIquant","circRNA",0.0325,NA,"NW_017738920.1:4463208|4470399","exon","2.000","85.000","0.045","gene-SEC16B","SEC16B"
"14","NW_017738920.1",4696948,4705998,9051,"+","CIRIquant","circRNA",0.325,NA,"NW_017738920.1:4696948|4705998","exon","20.000","3.000","0.930","gene-RASAL2","RASAL2"
"15","NW_017738920.1",4696948,4786143,89196,"+","CIRIquant","circRNA",0.0163,NA,"NW_017738920.1:4696948|4786143","exon","1.000","5.000","0.286","gene-RASAL2","RASAL2"
"16","NW_017738920.1",5709737,5726042,16306,"+","CIRIquant","circRNA",0.0325,NA,"NW_017738920.1:5709737|5726042","exon","2.000","0.000","1.000","gene-CEP350","CEP350"
"17","NW_017738920.1",6012992,6035280,22289,"-","CIRIquant","circRNA",0.1625,NA,"NW_017738920.1:6012992|6035280","exon","10.000","4.000","0.833","gene-ACBD6","ACBD6"
"18","NW_017738921.1",399263,403675,4413,"+","CIRIquant","circRNA",0.0488,NA,"NW_017738921.1:399263|403675","exon","3.000","0.000","1.000","gene-DUSP10","DUSP10"
"19","NW_017738921.1",2843672,2853304,9633,"+","CIRIquant","circRNA",0.0488,NA,"NW_017738921.1:2843672|2853304","exon","3.000","7.000","0.462","gene-GPATCH2","GPATCH2"
"20","NW_017738921.1",4333094,4339325,6232,"-","CIRIquant","circRNA",0.065,NA,"NW_017738921.1:4333094|4339325","exon","4.000","14.000","0.364","gene-KCTD3","KCTD3"
"21","NW_017738921.1",6604930,6634765,29836,"-","CIRIquant","circRNA",0.0325,NA,"NW_017738921.1:6604930|6634765","intergenic","2.000","2.000","0.667",NA,NA
"22","NW_017738921.1",6720982,6777720,56739,"-","CIRIquant","circRNA",0.0163,NA,"NW_017738921.1:6720982|6777720","intergenic","1.000","0.000","1.000",NA,NA
