"circ_id","gene_id","gene_name","width","strand","type","mpi1_ID","mpi1_length","mpi1_state","mpi2_ID","mpi2_length","mpi2_state","mpi3_ID","mpi3_length","mpi3_state"
"scaffold0001:119366170|119366602","ENSMPIG00001073223243","AC023055.1",433,"+","exon","mpi1_3035",227,"Full","mpi2_1759",227,"Full","mpi3_2921",227,"Full"
"scaffold0001:139016259|139026238","ENSMPIG00001103002243","novel_gene_2345_627a1eab",9980,"+","exon","mpi1_3524",369,"Break","mpi2_2034",499,"Break","mpi3_3416",556,"Full"
"scaffold0002:7550373|7550683","ENSMPIG00002011024243","U2AF1L5",311,"-","exon","mpi1_82",311,"Full","mpi2_45",227,"Full","mpi3_80",227,"Full"
"scaffold0002:7550373|7550683","ENSMPIG00002011024243","U2AF1L5",311,"-","exon","mpi1_82",227,"Full","mpi2_45",227,"Full","mpi3_80",227,"Full"
"scaffold0002:7898353|7899470","ENSMPIG00002011724241","RRP1B",1118,"+","exon","mpi1_264",193,"Full","mpi2_154",193,"Full","mpi3_261",193,"Full"
"scaffold0004:48853609|48853940","ENSMPIG00004051124241","LYSMD2",332,"-","exon","mpi1_418",332,"Full","mpi2_230",332,"Full","mpi3_407",332,"Full"
"scaffold0005:53523282|53527618","ENSMPIG00005055622223","PRMT9",4337,"-","exon","mpi1_1046",343,"Full","mpi2_630",343,"Full","mpi3_1014",343,"Full"
"scaffold0005:53523282|53527618","ENSMPIG00005055622223","PRMT9",4337,"-","exon","mpi1_1046",343,"Full","mpi2_630",378,"Full","mpi3_1014",343,"Full"
"scaffold0007:91656591|91656785","ENSMPIG00007082100244","novel_gene_158_62831269",195,"+","exon","mpi1_2168",195,"Full","mpi2_1260",195,"Full","mpi3_2069",195,"Full"
"scaffold0007:91656591|91742312","ENSMPIG00007082100244","novel_gene_158_62831269",85722,"+","exon","mpi1_2024",456,"Full","mpi2_1176",456,"Full","mpi3_1929",456,"Full"
"scaffold0008:61326494|61328303","ENSMPIG00008059023233","MPPE1",1810,"-","exon","mpi1_370",213,"Full","mpi2_2605",213,"Full","mpi3_368",213,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",423,"Full","mpi3_3909",423,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",423,"Full","mpi3_3909",250,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",423,"Full","mpi3_3909",322,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",423,"Full","mpi3_3909",359,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",423,"Full","mpi3_3909",269,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",359,"Full","mpi3_3909",423,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",359,"Full","mpi3_3909",250,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",359,"Full","mpi3_3909",322,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",359,"Full","mpi3_3909",359,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",359,"Full","mpi3_3909",269,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",322,"Full","mpi3_3909",423,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",322,"Full","mpi3_3909",250,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",322,"Full","mpi3_3909",322,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",322,"Full","mpi3_3909",359,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",423,"Full","mpi2_4759",322,"Full","mpi3_3909",269,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",423,"Full","mpi3_3909",423,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",423,"Full","mpi3_3909",250,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",423,"Full","mpi3_3909",322,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",423,"Full","mpi3_3909",359,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",423,"Full","mpi3_3909",269,"Full"
"scaffold0009:22152576|22153103","ENSMPIG00009017423233","AL590764.2",528,"-","exon","mpi1_4008",359,"Full","mpi2_4759",359,"Full","mpi3_3909",423,"Full"
