"","chrom","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSize","exonOffsets","readNumber","circType","geneName","isoformName","index","flankIntron","FPBcirc","FPBlinear","CIRCscore"
"1","20",2948024,2948196,"circular_RNA/2",1,"+",2948024,2948024,"0,0,0",1,"172","0",2,"ciRNA","ENSG00000132670","ENST00000399903","3","20:2948024-2964271",0.0922951956802,0.0880999595129,1.04276491232
"2","20",13569506,13587370,"circular_RNA/4",1,"-",13569506,13569506,"0,0,0",3,"80,85,121","0,11390,17743",4,"circRNA","ENSG00000089123","ENST00000480436","7,6,5","20:13559114-13569506|20:13587370-13623445",0.18459039136,0.0283985217478,5.06765319348
"3","20",19956614,19960811,"circular_RNA/1",0,"+",19956614,19956614,"0,0,0",2,"193,112","0,4085",1,"circRNA","ENSG00000132669","ENST00000255006","5,6","20:19935199-19956614|20:19960811-19964951",0.0461475978401,0,5.61475978401
"4","20",30350139,30350331,"circular_RNA/1",1,"-",30350139,30350139,"0,0,0",1,"192","0",1,"ciRNA","ENSG00000231934","ENST00000670409","3","20:30324826-30350331",0.0461475978401,0,5.61475978401
"5","20",32788853,32792770,"circular_RNA/4",1,"+",32788853,32788853,"0,0,0",3,"159,108,145","0,2747,3772",4,"circRNA","ENSG00000088305","ENST00000696231","7,8,9","20:32787451-32788853|20:32792770-32795314",0.18459039136,0.0593326257944,2.80662082433
"6","20",33619516,33623296,"circular_RNA/2",1,"+",33619516,33619516,"0,0,0",2,"90,182","0,3598",2,"circRNA","ENSG00000078699","ENST00000342704","4,5","20:33611335-33619516|20:33623296-33624763",0.0922951956802,0.00839047233456,5.56240175996
"7","20",41112781,41114155,"circular_RNA/3",0,"+",41112781,41112781,"0,0,0",2,"144,186","0,1188",3,"circRNA","ENSG00000198900","ENST00000361337","14,15","20:41101353-41112781|20:41114155-41115370",0.13844279352,0.114154584131,1.19562877649
"8","20",41512845,41514952,"circular_RNA/1",0,"-",41512845,41512845,"0,0,0",2,"150,148","0,1959",1,"circRNA","ENSG00000124177","ENST00000373233","5,4","20:41499357-41512845|20:41514952-41533049",0.0461475978401,0.00769126630668,3.17374668759
"9","20",41512845,41533570,"circular_RNA/1",0,"-",41512845,41512845,"0,0,0",3,"150,148,521","0,1959,20204",1,"circRNA","ENSG00000124177","ENST00000373233","5,4,3","20:41499357-41512845|20:41533570-41551304",0.0461475978401,0.00769126630668,3.17374668759
"10","20",45802057,45802220,"circular_RNA/1",0,"+",45802057,45802057,"0,0,0",1,"163","0",1,"ciRNA","ENSG00000101457","ENST00000372622","7","20:45802057-45803332",0.0461475978401,0.0692213967601,0.708742841408
"11","20",48953555,48963898,"circular_RNA/1",1,"+",48953555,48953555,"0,0,0",2,"235,69","0,10274",1,"circRNA","ENSG00000124198","ENST00000371917","6,7","20:48952884-48953555|20:48963898-48965871",0.0461475978401,0.0388611350232,1.1491259426
"12","20",50581460,50581646,"circular_RNA/2",1,"+",50581460,50581460,"0,0,0",1,"186","0",2,"ciRNA","ENSG00000196396","ENST00000541713","8","20:50581460-50582691",0.0922951956802,0.133315282649,0.713777301272
"13","20",55468214,55469111,"circular_RNA/2",1,"+",55468214,55468214,"0,0,0",1,"897","0",2,"ciRNA","ENSG00000235166","ENST00000667361","7","20:55468214-55664974",0.0922951956802,0,10.229519568
"14","20",58438944,58441083,"circular_RNA/3",1,"+",58438944,58438944,"0,0,0",2,"81,177","0,1962",3,"circRNA","ENSG00000124164","ENST00000475243","4,5","20:58434705-58438944|20:58441083-58444076",0.13844279352,0.0461475978401,2.64379598113
"15","20",62286582,62289330,"circular_RNA/1",1,"+",62286582,62286582,"0,0,0",2,"129,124","0,2624",1,"circRNA","ENSG00000130703","ENST00000644535","12,13","20:62286488-62286582|20:62289330-62291702",0.0461475978401,0,5.61475978401
"16","21",10552716,10552869,"circular_RNA/1",1,"+",10552716,10552716,"0,0,0",1,"153","0",1,"ciRNA","ENSG00000273840","ENST00000612267","17","21:10552716-10559493",0.0461475978401,0.00148863218839,4.88723086608
"17","21",15014343,15043574,"circular_RNA/3",0,"-",15014343,15014343,"0,0,0",2,"123,80","0,29151",3,"circRNA","ENSG00000180530","ENST00000318948","3,2","21:14968526-15014343|21:15043574-15064744",0.13844279352,0,14.844279352
"18","21",15762890,15766141,"circular_RNA/1",0,"+",15762890,15762890,"0,0,0",2,"78,145","0,3106",1,"circRNA","ENSG00000155313","ENST00000400183","2,3","21:15730438-15762890|21:15766141-15777903",0.0461475978401,0,5.61475978401
"19","21",36247516,36248568,"circular_RNA/1",0,"+",36247516,36247516,"0,0,0",2,"112,189","0,863",1,"circRNA","ENSG00000142197","ENST00000693273","19,20","21:36246677-36247516|21:36248568-36251161",0.0461475978401,0.0282013097912,1.46978200871
"20","21",36263545,36270157,"circular_RNA/1",1,"+",36263545,36263545,"0,0,0",3,"105,67,145","0,202,6467",1,"circRNA","ENSG00000142197","ENST00000691173","25,26,27","21:36260732-36263545|21:36270157-36277020",0.0461475978401,0.0282013097912,1.46978200871
"21","21",41225695,41225851,"circular_RNA/2",1,"+",41225695,41225695,"0,0,0",1,"156","0",2,"ciRNA","ENSG00000182240","ENST00000470864","1","21:41225695-41226265",0.0922951956802,0.0646066369761,1.37112728607
"22","21",41488393,41489593,"circular_RNA/1",0,"-",41488393,41488393,"0,0,0",2,"120,87","0,1113",1,"circRNA","ENSG00000184012","ENST00000679263","5,4","21:41480602-41488393|21:41489593-41494355",0.0461475978401,0,5.61475978401
"23","21",42883605,42886959,"circular_RNA/1",1,"+",42883605,42883605,"0,0,0",2,"190,159","0,3195",1,"circRNA","ENSG00000160194","ENST00000460259","2,3","21:42879865-42883605|21:42886959-42896926",0.0461475978401,0.13844279352,0.378244012449
"24","21",43417365,43417542,"circular_RNA/1",1,"-",43417365,43417365,"0,0,0",1,"177","0",1,"ciRNA","ENSG00000142178","ENST00000270162","13","21:43417117-43417542",0.0461475978401,0.0177490760923,2.02340422626
"25","21",44401897,44402630,"circular_RNA/4",1,"+",44401897,44401897,"0,0,0",1,"733","0",4,"ciRNA","ENSG00000142185","ENST00000300482","17","21:44401897-44405141",0.18459039136,0,19.459039136
"26","21",44424939,44425105,"circular_RNA/2",1,"+",44424939,44424939,"0,0,0",1,"166","0",2,"ciRNA","ENSG00000142185","ENST00000300482","25","21:44424939-44425669",0.0922951956802,0,10.229519568
"27","21",44424939,44425119,"circular_RNA/1",1,"+",44424939,44424939,"0,0,0",1,"180","0",1,"ciRNA","ENSG00000142185","ENST00000300482","25","21:44424939-44425669",0.0461475978401,0,5.61475978401
"28","21",46349011,46349820,"circular_RNA/4",1,"+",46349011,46349011,"0,0,0",2,"175,137","0,672",4,"circRNA","ENSG00000160299","ENST00000466474","7,8","21:46347512-46349011|21:46349820-46353103",0.18459039136,0.0461475978401,3.4656939717
"29","21",46412992,46413112,"circular_RNA/1",1,"+",46412992,46412992,"0,0,0",1,"120","0",1,"ciRNA","ENSG00000160299","ENST00000359568","29","21:46412992-46416068",0.0461475978401,0.0461475978401,1
