"","chrom","start","end","name","n_reads","strand","n_uniq","uniq_bridges","best_qual_left","best_qual_right","tissues","tiss_counts","edits","anchor_overlap","breakpoints","signal","strandmatch","category"
"1","NW_017739630.1",1042128,1051712,"rsi_circ_000001",7,"+",6,7,40,40,"my_test_rsi2",7,1,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,UNAMBIGUOUS_BP"
"2","NW_017739137.1",1443645,1445353,"rsi_circ_000002",22,"-",16,22,40,40,"my_test_rsi2",22,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"3","NW_017739003.1",7564450,7569952,"rsi_circ_000004",3,"+",3,3,40,40,"my_test_rsi2",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"4","NW_017739049.1",2837525,2843018,"rsi_circ_000005",8,"-",5,8,40,40,"my_test_rsi2",8,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"5","NW_017739607.1",212727,212883,"rsi_circ_000011",5,"-",4,5,40,40,"my_test_rsi2",5,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"6","NW_017739300.1",160389,161903,"rsi_circ_000012",646,"+",130,637,40,40,"my_test_rsi2",646,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"7","NW_017739405.1",2931796,2951458,"rsi_circ_000013",4,"+",3,4,40,40,"my_test_rsi2",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"8","NW_017739979.1",121716,150710,"rsi_circ_000016",2,"+",1,2,40,40,"my_test_rsi2",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"9","NW_017739418.1",1418950,1465877,"rsi_circ_000017",3,"-",2,3,37,35,"my_test_rsi2",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"10","NW_017739128.1",212918,222405,"rsi_circ_000018",3,"-",1,3,40,40,"my_test_rsi2",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"11","NW_017739145.1",321708,328385,"rsi_circ_000019",4,"+",2,4,40,40,"my_test_rsi2",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"12","NW_017739160.1",1288850,1289682,"rsi_circ_000020",23,"+",14,23,40,40,"my_test_rsi2",23,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"13","NW_017739845.1",198128,213650,"rsi_circ_000021",3,"-",2,3,40,40,"my_test_rsi2",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"14","NW_017739014.1",2625706,2634103,"rsi_circ_000023",2,"-",1,2,40,40,"my_test_rsi2",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"15","NW_017739010.1",3543740,3545140,"rsi_circ_000024",3,"+",2,3,40,40,"my_test_rsi2",3,1,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,UNAMBIGUOUS_BP"
"16","NW_017739437.1",696020,718689,"rsi_circ_000026",2,"-",2,2,40,40,"my_test_rsi2",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"17","NW_017739367.1",438052,441106,"rsi_circ_000027",6,"+",3,6,40,40,"my_test_rsi2",6,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"18","NW_017739151.1",1075470,1076794,"rsi_circ_000028",2,"-",1,2,5,40,"my_test_rsi2",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"19","NW_017738920.1",6778010,6780643,"rsi_circ_000029",5,"+",3,5,40,40,"my_test_rsi2",5,1,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,UNAMBIGUOUS_BP"
"20","NW_017738989.1",1225783,1271802,"rsi_circ_000032",9,"+",7,6,40,40,"my_test_rsi2",9,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"21","NW_017739162.1",4084123,4096218,"rsi_circ_000034",2,"+",2,2,40,40,"my_test_rsi2",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"22","NW_017738922.1",3527449,3531132,"rsi_circ_000035",8,"-",4,6,40,40,"my_test_rsi2",8,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"23","NW_017739029.1",541098,543657,"rsi_circ_000036",4,"-",4,4,40,40,"my_test_rsi2",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"24","NW_017738971.1",7444799,7447810,"rsi_circ_000037",16,"+",7,16,40,40,"my_test_rsi2",16,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"25","NW_017739015.1",5343200,5354654,"rsi_circ_000038",18,"+",9,18,40,40,"my_test_rsi2",18,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"26","NW_017739574.1",70168,99022,"rsi_circ_000041",8,"-",6,7,40,40,"my_test_rsi2",8,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"27","NW_017739609.1",691800,692128,"rsi_circ_000042",2,"+",1,2,5,40,"my_test_rsi2",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"28","NW_017739014.1",2633919,2658028,"rsi_circ_000043",5,"-",1,5,40,35,"my_test_rsi2",5,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"29","NW_017739298.1",1463383,1481721,"rsi_circ_000045",4,"+",1,4,40,5,"my_test_rsi2",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"30","NW_017739372.1",1091452,1104432,"rsi_circ_000046",6684,"-",635,6441,40,40,"my_test_rsi2",6684,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"31","NW_017739536.1",272889,284036,"rsi_circ_000047",10,"-",6,10,40,40,"my_test_rsi2",10,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
