,gene_id,gene_name,circ_id,mpi1_width,mpi1_strand,mpi1_circtype,mpi2_width,mpi2_strand,mpi2_circtype,mpi3_width,mpi3_strand,mpi3_circtype,circ_id,
1,ENSMPIG00007082100244,novel_gene_158_62831269,scaffold0007:91656591|91656785,195,+,exon,195,+,exon,195,+,exon,scaffold0007,91656591|91656785
2,ENSMPIG00022013800244,novel_gene_314_62831269,scaffold0022:7463354|7463572,219,-,exon,219,-,exon,219,-,exon,scaffold0022,7463354|7463572
3,ENSMPIG00053000814143,PUDP,scaffold0053:494821|495039,219,-,exon,219,-,exon,219,-,exon,scaffold0053,494821|495039
4,ENSMPIG00012033400244,evm.TU.scaffold0012.390,scaffold0012:35400164|35400390,227,-,exon,227,-,exon,227,-,exon,scaffold0012,35400164|35400390
5,ENSMPIG00029020923243,BCL2L12,scaffold0029:6092717|6092982,266,+,exon,266,+,exon,266,+,exon,scaffold0029,6092717|6092982
6,ENSMPIG00010011024241,BCL10,scaffold0010:16921947|16922235,289,+,exon,289,+,exon,289,+,exon,scaffold0010,16921947|16922235
7,ENSMPIG00002011024243,U2AF1L5,scaffold0002:7550373|7550683,311,-,exon,311,-,exon,311,-,exon,scaffold0002,7550373|7550683
8,ENSMPIG00004051124241,LYSMD2,scaffold0004:48853609|48853940,332,-,exon,332,-,exon,332,-,exon,scaffold0004,48853609|48853940
9,ENSMPIG00013061700244,evm.TU.scaffold0013.692,scaffold0013:69712537|69712935,399,-,exon,399,-,exon,399,-,exon,scaffold0013,69712537|69712935
10,ENSMPIG00001073223243,AC023055.1,scaffold0001:119366170|119366602,433,+,exon,433,+,exon,433,+,exon,scaffold0001,119366170|119366602
11,ENSMPIG00031010820243,SLC28A1,scaffold0031:8634185|8634675,491,+,exon,491,+,exon,491,+,exon,scaffold0031,8634185|8634675
12,ENSMPIG00009017423233,AL590764.2,scaffold0009:22152576|22153103,528,-,exon,528,-,exon,528,-,exon,scaffold0009,22152576|22153103
13,ENSMPIG00008074500244,novel_gene_489_62831269,scaffold0008:78465787|78466437,651,+,exon,651,+,exon,651,+,exon,scaffold0008,78465787|78466437
14,ENSMPIG00028006800244,novel_gene_270_627a1eab,scaffold0028:13178839|13179749,911,-,exon,911,-,exon,911,-,exon,scaffold0028,13178839|13179749
,ENSMPIG00002011724241,RRP1B,scaffold0002:7898353|7899470,1118,+,exon,1118,+,exon,1118,+,exon,scaffold0002,7898353|7899470
,ENSMPIG00031004623233,FAM169B,scaffold0031:2255404|2256630,1227,+,exon,1227,+,exon,1227,+,exon,scaffold0031,2255404|2256630
,ENSMPIG00017083923243,EHBP1L1,scaffold0017:51614025|51615290,1266,-,exon,1266,-,exon,1266,-,exon,scaffold0017,51614025|51615290
,ENSMPIG00020004723233,RWDD4,scaffold0020:7539294|7540648,1355,-,exon,1355,-,exon,1355,-,exon,scaffold0020,7539294|7540648
,ENSMPIG00008059023233,MPPE1,scaffold0008:61326494|61328303,1810,-,exon,1810,-,exon,1810,-,exon,scaffold0008,61326494|61328303
,ENSMPIG00044001400244,evm.TU.scaffold0044.28,scaffold0044:1866419|1868457,2039,-,exon,2039,-,exon,2039,-,exon,scaffold0044,1866419|1868457
,ENSMPIG00012047300244,evm.TU.scaffold0012.538,scaffold0012:48228057|48230787,2731,+,exon,2731,+,exon,2731,+,exon,scaffold0012,48228057|48230787
,ENSMPIG00005055622223,PRMT9,scaffold0005:53523282|53527618,4337,-,exon,4337,-,exon,4337,-,exon,scaffold0005,53523282|53527618
,ENSMPIG00022006417243,ZNF181,scaffold0022:2236046|2244011,7966,-,exon,7966,-,exon,7966,-,exon,scaffold0022,2236046|2244011
,ENSMPIG00012042418243,CHN1,scaffold0012:43199956|43209627,9672,+,exon,9672,+,exon,9672,+,exon,scaffold0012,43199956|43209627
,ENSMPIG00001103002243,novel_gene_2345_627a1eab,scaffold0001:139016259|139026238,9980,+,exon,9980,+,exon,9980,+,exon,scaffold0001,139016259|139026238
,ENSMPIG00028006800244,novel_gene_270_627a1eab,scaffold0028:12896623|12908373,11751,-,exon,11751,-,exon,11751,-,exon,scaffold0028,12896623|12908373
,ENSMPIG00010083600244,evm.TU.scaffold0010.931,scaffold0010:75678218|75692986,14769,+,exon,14769,+,exon,14769,+,exon,scaffold0010,75678218|75692986
,ENSMPIG00012058623233,DARS,scaffold0012:75275652|75292341,16690,+,exon,16690,+,exon,16690,+,exon,scaffold0012,75275652|75292341
,ENSMPIG00007082100244,novel_gene_158_62831269,scaffold0007:91656591|91742312,85722,+,exon,85722,+,exon,85722,+,exon,scaffold0007,91656591|91742312
