"Image_ID","Circle_ID","Chr","start","end","total_exp","isoform_number","isoform_exp","isoform_length","isoform_state","isoform_cirexon"
"mpi2_1","scaffold0002:4141344|4190473","scaffold0002",4141344,4190473,37,1,37,276,"Break","4141344-4141429,0-0,4190285-4190473,"
"mpi2_2","scaffold0020:2369379|2371046","scaffold0020",2369379,2371046,16,1,16,365,"Full","2369379-2369558,2370862-2371046,"
"mpi2_3","scaffold0010:52892545|52895316","scaffold0010",52892545,52895316,12,1,12,324,"Full","52892545-52892712,52895161-52895316,"
"mpi2_4","scaffold0018:44641429|44646361","scaffold0018",44641429,44646361,103,1,103,757,"Full","44641429-44641589,44642217-44642313,44644827-44644993,44646030-44646361,"
"mpi2_6","scaffold0017:56025369|56027187","scaffold0017",56025369,56027187,22,1,22,361,"Full","56025369-56025510,56025738-56025824,56027056-56027187,"
"mpi2_9","scaffold0019:28059755|28059934","scaffold0019",28059755,28059934,10,1,10,180,"Full","28059755-28059934,"
"mpi2_10","scaffold0020:34179900|34180183","scaffold0020",34179900,34180183,75,1,75,284,"Full","34179900-34180183,"
"mpi2_11","scaffold0011:5185703|5204580","scaffold0011",5185703,5204580,34,1,34,214,"Full","5185703-5185807,5204472-5204580,"
"mpi2_12","scaffold0016:894006|895382","scaffold0016",894006,895382,14,1,14,106,"Full","894006-894011,895283-895382,"
"mpi2_13","scaffold0019:42450872|42451298","scaffold0019",42450872,42451298,631,3,412,228,"Full","42450872-42450970,42451170-42451298,"
"mpi2_13","scaffold0019:42450872|42451298","scaffold0019",42450872,42451298,631,3,128,427,"Full","42450872-42451298,"
"mpi2_13","scaffold0019:42450872|42451298","scaffold0019",42450872,42451298,631,3,89,217,"Full","42450872-42450970,42451181-42451298,"
"mpi2_14","scaffold0004:62154878|62173286","scaffold0004",62154878,62173286,11,1,11,372,"Break","62154878-62154974,62155824-62155906,0-0,62173096-62173286,"
"mpi2_15","scaffold0004:47953941|47985946","scaffold0004",47953941,47985946,16,1,16,255,"Break","47953941-47954075,0-0,47984180-47984218,47985867-47985946,"
"mpi2_16","scaffold0006:1496733|1508492","scaffold0006",1496733,1508492,10,1,10,388,"Full","1496733-1496845,1499607-1499684,1506402-1506505,1508400-1508492,"
"mpi2_17","scaffold0023:3213458|3214490","scaffold0023",3213458,3214490,110,1,110,219,"Full","3213458-3213563,3214378-3214490,"
"mpi2_18","scaffold0004:83513464|83514755","scaffold0004",83513464,83514755,10,1,10,301,"Full","83513464-83513530,83514522-83514755,"
"mpi2_19","scaffold0003:92857733|92860163","scaffold0003",92857733,92860163,16,1,16,314,"Full","92857733-92857845,92859963-92860163,"
"mpi2_20","scaffold0032:1922869|1923308","scaffold0032",1922869,1923308,13,1,13,260,"Full","1922869-1923017,1923198-1923308,"
"mpi2_21","scaffold0005:98772064|98778767","scaffold0005",98772064,98778767,40,1,40,286,"Full","98772064-98772141,98772841-98772885,98775261-98775362,98778707-98778767,"
"mpi2_22","scaffold0007:92174760|92204084","scaffold0007",92174760,92204084,10,1,10,320,"Full","92174760-92174920,92203926-92204084,"
"mpi2_23","scaffold0001:69215900|69239461","scaffold0001",69215900,69239461,28,2,19,365,"Full","69215900-69215992,69218611-69218643,69228644-69228675,69228774-69228849,69236231-69236278,69239379-69239461,"
"mpi2_23","scaffold0001:69215900|69239461","scaffold0001",69215900,69239461,28,2,8,317,"Full","69215900-69215992,69218611-69218643,69228644-69228675,69228774-69228849,69239379-69239461,"
"mpi2_24","scaffold0003:90282835|90283527","scaffold0003",90282835,90283527,23,1,23,148,"Full","90282835-90282903,90283449-90283527,"
"mpi2_25","scaffold0005:1008421|1010921","scaffold0005",1008421,1010921,52,1,52,76,"Break","1008421-1008489,0-0,1010916-1010921,"
"mpi2_26","scaffold0009:69384231|69385872","scaffold0009",69384231,69385872,26,1,26,107,"Break","69384231-69384236,0-0,69385773-69385872,"
"mpi2_27","scaffold0004:47801791|47805903","scaffold0004",47801791,47805903,49,1,49,308,"Full","47801791-47801953,47805759-47805903,"
"mpi2_28","scaffold0003:70893986|70895773","scaffold0003",70893986,70895773,11,1,11,344,"Full","70893986-70894092,70895537-70895773,"
"mpi2_29","scaffold0014:1949229|1991649","scaffold0014",1949229,1991649,11,1,11,261,"Full","1949229-1949385,1991546-1991649,"
"mpi2_30","scaffold0005:3184615|3189288","scaffold0005",3184615,3189288,882,1,882,340,"Full","3184615-3184739,3187614-3187754,3189215-3189288,"
"mpi2_31","scaffold0008:20320719|20383304","scaffold0008",20320719,20383304,10,1,10,392,"Full","20320719-20320803,20336021-20336100,20348734-20348840,20383185-20383304,"
"mpi2_32","scaffold0006:70806628|70817906","scaffold0006",70806628,70817906,15,1,15,496,"Full","70806628-70806751,70813287-70813457,70814278-70814383,70817812-70817906,"
"mpi2_33","scaffold0001:98691034|98695936","scaffold0001",98691034,98695936,14,1,14,289,"Full","98691034-98691169,98693120-98693224,98695889-98695936,"
"mpi2_34","scaffold0006:8886691|8887158","scaffold0006",8886691,8887158,24,1,24,282,"Full","8886691-8886756,8886943-8887158,"
"mpi2_35","scaffold0015:15944708|15946897","scaffold0015",15944708,15946897,32,2,28,274,"Full","15944708-15944823,15946740-15946897,"
"mpi2_35","scaffold0015:15944708|15946897","scaffold0015",15944708,15946897,32,2,3,224,"Full","15944708-15944773,15946740-15946897,"
"mpi2_36","scaffold0006:8886691|8887150","scaffold0006",8886691,8887150,62,1,62,274,"Full","8886691-8886756,8886943-8887150,"
"mpi2_37","scaffold0006:63656403|63665409","scaffold0006",63656403,63665409,10,1,10,281,"Full","63656403-63656469,63657055-63657167,63665309-63665409,"
"mpi2_38","scaffold0008:51750995|51785839","scaffold0008",51750995,51785839,96,4,70,472,"Full","51750995-51751103,51761564-51761622,51769645-51769696,51775438-51775532,51785360-51785440,51785764-51785839,"
"mpi2_38","scaffold0008:51750995|51785839","scaffold0008",51750995,51785839,96,4,14,413,"Full","51750995-51751103,51769645-51769696,51775438-51775532,51785360-51785440,51785764-51785839,"
"mpi2_38","scaffold0008:51750995|51785839","scaffold0008",51750995,51785839,96,4,6,383,"Full","51750995-51751103,51769645-51769696,51775468-51775532,51785360-51785440,51785764-51785839,"
"mpi2_38","scaffold0008:51750995|51785839","scaffold0008",51750995,51785839,96,4,5,442,"Full","51750995-51751103,51761564-51761622,51769645-51769696,51775468-51775532,51785360-51785440,51785764-51785839,"
"mpi2_39","scaffold0007:86240299|86240767","scaffold0007",86240299,86240767,114,1,114,469,"Full","86240299-86240767,"
"mpi2_40","scaffold0006:1546530|1560093","scaffold0006",1546530,1560093,13,1,13,411,"Break","1546530-1546613,1551126-1551246,0-0,1559889-1560093,"
"mpi2_41","scaffold0014:55297731|55298863","scaffold0014",55297731,55298863,13,1,13,156,"Full","55297731-55297792,55298770-55298863,"
"mpi2_42","scaffold0015:43203476|43204005","scaffold0015",43203476,43204005,22,1,22,315,"Full","43203476-43203705,43203921-43204005,"
"mpi2_43","scaffold0037:2044731|2051215","scaffold0037",2044731,2051215,22,1,22,356,"Full","2044731-2044797,2049168-2049340,2051100-2051215,"
"mpi2_44","scaffold0028:13093108|13098053","scaffold0028",13093108,13098053,35,1,35,225,"Full","13093108-13093234,13097956-13098053,"
"mpi2_45","scaffold0002:7550373|7550683","scaffold0002",7550373,7550683,252,1,252,227,"Full","7550373-7550465,7550550-7550683,"
"mpi2_46","scaffold0003:66043656|66051001","scaffold0003",66043656,66051001,18,1,18,207,"Full","66043656-66043775,66050915-66051001,"
"mpi2_47","scaffold0002:1463538|1466476","scaffold0002",1463538,1466476,17,1,17,302,"Full","1463538-1463692,1466330-1466476,"
"mpi2_48","scaffold0019:24459625|24460219","scaffold0019",24459625,24460219,128,1,128,404,"Full","24459625-24459835,24460027-24460219,"
"mpi2_49","scaffold0014:40198916|40201271","scaffold0014",40198916,40201271,13,1,13,209,"Full","40198916-40198921,40200805-40200891,40201156-40201271,"
"mpi2_50","scaffold0003:38044974|38047810","scaffold0003",38044974,38047810,17,1,17,242,"Full","38044974-38045096,38047692-38047810,"
"mpi2_51","scaffold0001:18485336|18492615","scaffold0001",18485336,18492615,27,1,27,179,"Break","18485336-18485341,0-0,18492444-18492615,"
"mpi2_52","scaffold0031:8634185|8634675","scaffold0031",8634185,8634675,147,1,147,367,"Full","8634185-8634353,8634478-8634675,"
"mpi2_53","scaffold0024:6319075|6321968","scaffold0024",6319075,6321968,12,1,12,181,"Full","6319075-6319191,6321905-6321968,"
"mpi2_54","scaffold0002:59641519|59660836","scaffold0002",59641519,59660836,99,2,84,245,"Full","59641519-59641569,59660643-59660836,"
"mpi2_54","scaffold0002:59641519|59660836","scaffold0002",59641519,59660836,99,2,14,277,"Full","59641519-59641601,59660643-59660836,"
"mpi2_55","scaffold0008:35683052|35695015","scaffold0008",35683052,35695015,34,1,34,253,"Break","35683052-35683122,35685042-35685152,0-0,35694946-35695015,"
"mpi2_56","scaffold0015:12373130|12379447","scaffold0015",12373130,12379447,12,1,12,285,"Break","12373130-12373210,0-0,12379245-12379447,"
"mpi2_57","scaffold0015:52582551|52594425","scaffold0015",52582551,52594425,157,1,157,402,"Full","52582551-52582693,52585376-52585537,52594329-52594425,"
"mpi2_58","scaffold0003:104099482|104101523","scaffold0003",104099482,104101523,40,1,40,238,"Full","104099482-104099559,104101364-104101523,"
"mpi2_59","scaffold0012:26193419|26216044","scaffold0012",26193419,26216044,18,1,18,121,"Break","26193419-26193532,0-0,26216039-26216044,"
"mpi2_60","scaffold0032:8095321|8098577","scaffold0032",8095321,8098577,27,1,27,268,"Break","8095321-8095581,0-0,8098572-8098577,"
"mpi2_61","scaffold0003:93389288|93393321","scaffold0003",93389288,93393321,41,1,41,231,"Full","93389288-93389388,93393192-93393321,"
"mpi2_62","scaffold0002:7475910|7477099","scaffold0002",7475910,7477099,54,3,30,236,"Full","7475910-7475978,7476538-7476597,7476993-7477099,"
"mpi2_62","scaffold0002:7475910|7477099","scaffold0002",7475910,7477099,54,3,14,317,"Full","7475910-7475978,7476457-7476597,7476993-7477099,"
"mpi2_62","scaffold0002:7475910|7477099","scaffold0002",7475910,7477099,54,3,9,265,"Full","7475910-7475978,7476509-7476597,7476993-7477099,"
"mpi2_63","scaffold0021:35127926|35133507","scaffold0021",35127926,35133507,10,1,10,114,"Break","35127926-35127931,0-0,35133401-35133507,"
"mpi2_64","scaffold0022:4130401|4133881","scaffold0022",4130401,4133881,42,1,42,382,"Full","4130401-4130540,4133640-4133881,"
"mpi2_65","scaffold0014:33889996|33906791","scaffold0014",33889996,33906791,317,1,317,279,"Full","33889996-33890124,33906642-33906791,"
"mpi2_66","scaffold0001:70764583|70778248","scaffold0001",70764583,70778248,10,1,10,304,"Break","70764583-70764760,0-0,70778124-70778248,"
