circ_id,seqnames,start,end,width,strand,source,type,score,phase,circ_type,bsj,fsj,junc_ratio,gene_id
scaffold0015:57420918|57424737,scaffold0015,57420918,57424737,3819,-,CIRIquant,circRNA,81.1397,NA,exon,6202,0,1,ENSMPIG00015057424241
scaffold0009:22152575|22153103,scaffold0009,22152575,22153103,528,-,CIRIquant,circRNA,58.0224,NA,exon,4435,260,0.972,ENSMPIG00009017423233
scaffold0017:40646435|40663218,scaffold0017,40646435,40663218,16783,+,CIRIquant,circRNA,42.2968,NA,exon,3233,0,1,ENSMPIG00017066823243
scaffold0005:1311107|1313160,scaffold0005,1311107,1313160,2053,-,CIRIquant,circRNA,35.8339,NA,exon,2739,569,0.906,ENSMPIG00005002922243
scaffold0014:17165216|17165879,scaffold0014,17165216,17165879,663,-,CIRIquant,circRNA,25.6554,NA,exon,1961,0,1,ENSMPIG00014018524241
scaffold0004:100366548|100366917,scaffold0004,100366548,100366917,369,+,CIRIquant,circRNA,21.8222,NA,exon,1668,121,0.965,ENSMPIG00004098420243
scaffold0008:31909937|31913027,scaffold0008,31909937,31913027,3090,+,CIRIquant,circRNA,20.8279,NA,exon,1592,15,0.995,ENSMPIG00008035416243
scaffold0002:80313128|80314435,scaffold0002,80313128,80314435,1307,-,CIRIquant,circRNA,18.9178,NA,exon,1446,0,1,ENSMPIG00002062224241
scaffold0015:1290213|1292416,scaffold0015,1290213,1292416,2203,+,CIRIquant,circRNA,16.7853,NA,exon,1283,16,0.994,ENSMPIG00015004323243
scaffold0015:57420918|57422412,scaffold0015,57420918,57422412,1494,-,CIRIquant,circRNA,13.8547,NA,exon,1059,0,1,ENSMPIG00015057424241
scaffold0023:3183412|3183661,scaffold0023,3183412,3183661,249,-,CIRIquant,circRNA,11.2512,NA,exon,860,0,1,ENSMPIG00023002522243
scaffold0006:76683755|76689652,scaffold0006,76683755,76689652,5897,+,CIRIquant,circRNA,10.4663,NA,exon,800,46,0.972,ENSMPIG00006052724243
scaffold0001:76016262|76019887,scaffold0001,76016262,76019887,3625,-,CIRIquant,circRNA,9.1318,NA,exon,698,0,1,ENSMPIG00001039123233
scaffold0004:95927172|95944154,scaffold0004,95927172,95944154,16982,-,CIRIquant,circRNA,9.0533,NA,exon,692,19,0.986,ENSMPIG00004092820243
scaffold0002:126337958|126338769,scaffold0002,126337958,126338769,811,+,CIRIquant,circRNA,8.6478,NA,exon,661,17,0.987,ENSMPIG00002085622243
scaffold0005:3251985|3253986,scaffold0005,3251985,3253986,2001,-,CIRIquant,circRNA,8.5823,NA,exon,656,109,0.923,ENSMPIG00005006724241
scaffold0007:94828509|94843654,scaffold0007,94828509,94843654,15145,+,CIRIquant,circRNA,7.6796,NA,exon,587,125,0.904,ENSMPIG00007085424243
scaffold0015:49469884|49470456,scaffold0015,49469884,49470456,572,+,CIRIquant,circRNA,7.6404,NA,exon,584,63,0.949,ENSMPIG00015054224241
scaffold0012:43199955|43209627,scaffold0012,43199955,43209627,9672,+,CIRIquant,circRNA,7.6142,NA,exon,582,197,0.855,ENSMPIG00012042418243
scaffold0002:123947217|123947884,scaffold0002,123947217,123947884,667,+,CIRIquant,circRNA,7.0647,NA,exon,540,0,1,ENSMPIG00002084323243
scaffold0003:7357665|7366728,scaffold0003,7357665,7366728,9063,-,CIRIquant,circRNA,6.9731,NA,exon,533,0,1,ENSMPIG00003006624241
scaffold0005:59679880|59697626,scaffold0005,59679880,59697626,17746,-,CIRIquant,circRNA,6.8162,NA,exon,521,0,1,ENSMPIG00005059524241
scaffold0027:876625|877778,scaffold0027,876625,877778,1153,+,CIRIquant,circRNA,6.8031,NA,exon,520,524,0.665,ENSMPIG00027003722243
scaffold0005:29628116|29629583,scaffold0005,29628116,29629583,1467,-,CIRIquant,circRNA,6.633,NA,exon,507,193,0.84,ENSMPIG00005034424241
scaffold0023:24176556|24181472,scaffold0023,24176556,24181472,4916,+,CIRIquant,circRNA,6.5152,NA,exon,498,23,0.977,ENSMPIG00023037624241
scaffold0009:42172036|42175594,scaffold0009,42172036,42175594,3558,-,CIRIquant,circRNA,6.2143,NA,exon,475,35,0.964,ENSMPIG00009028913243
