"","circ_id","mmu1","mmu2","mmu3"
"1","1:100406082|100412463",NA,"2.000",NA
"2","1:10104232|10105388",NA,"1.000",NA
"3","1:10115300|10117751",NA,NA,"2.000"
"4","1:10145084|10152571",NA,"1.000","4.000"
"5","1:10145084|10156177","2.000",NA,NA
"6","1:10152477|10166238","5.000",NA,NA
"7","1:102455233|102455394",NA,"2.000",NA
"8","1:10258981|10259903","4.000","1.000","7.000"
"9","1:105383746|105384133",NA,NA,"4.000"
"10","1:105383746|105384292",NA,NA,"2.000"
"11","1:105474388|105493975",NA,NA,"2.000"
"12","1:105512713|105516866",NA,NA,"5.000"
"13","1:105647176|105655713",NA,NA,"5.000"
"14","1:105712799|105737180",NA,NA,"1.000"
"15","1:105747594|105755460",NA,"1.000","6.000"
"16","1:105752724|105755460",NA,NA,"7.000"
"17","1:105928660|105933816",NA,"2.000",NA
"18","1:105928660|105939544","4.000",NA,"3.000"
"19","1:105928660|105951488",NA,NA,"3.000"
"20","1:105933744|105943823",NA,NA,"1.000"
"21","1:105939431|105947635","2.000",NA,NA
"22","1:105949455|105951488",NA,NA,"2.000"
"23","1:106209092|106214846",NA,"2.000",NA
"24","1:106291970|106314251",NA,"1.000",NA
"25","1:106303890|106308152",NA,"2.000","1.000"
"26","1:108942079|108942477",NA,"1.000",NA
"27","1:11131549|11138339",NA,NA,"6.000"
"28","1:11335902|11336383","2.000",NA,NA
"29","1:118232420|118237596",NA,NA,"2.000"
"30","1:118466995|118518279","2.000",NA,NA
"31","1:118470831|118479886",NA,NA,"1.000"
"32","1:119495525|119506807","1.000",NA,NA
"33","1:119526734|119537016","3.000",NA,"1.000"
"34","1:119535716|119537016",NA,NA,"4.000"
"35","1:119543075|119551698",NA,NA,"2.000"
"36","1:119545093|119549694","2.000",NA,NA
"37","1:119669084|119693211","3.000",NA,NA
"38","1:119669084|119693652",NA,NA,"3.000"
"39","1:119692760|119701001",NA,NA,"5.000"
"40","1:119700778|119730207","1.000",NA,NA
"41","1:121234592|121247701","1.000",NA,NA
"42","1:121247325|121247701",NA,"1.000","1.000"
"43","1:121373368|121390914","3.000",NA,NA
"44","1:121383799|121390914",NA,"1.000","6.000"
"45","1:121389192|121390914",NA,NA,"3.000"
"46","1:121403760|121409806",NA,NA,"2.000"
"47","1:121409724|121411069",NA,NA,"1.000"
"48","1:125494204|125498365",NA,"1.000",NA
"49","1:125500049|125507064",NA,NA,"2.000"
"50","1:125502402|125503996",NA,"1.000",NA
"51","1:127200543|127248502",NA,"2.000",NA
"52","1:127234370|127248502","1.000",NA,NA
"53","1:127325243|127339997",NA,NA,"2.000"
"54","1:127719341|127727290",NA,"1.000",NA
"55","1:127719341|127729413","2.000",NA,"2.000"
"56","1:127719341|127731396",NA,NA,"2.000"
"57","1:127801816|127817025",NA,"2.000",NA
"58","1:127801816|127818833",NA,NA,"2.000"
"59","1:127816892|127818833","3.000","4.000","5.000"
"60","1:127837587|127846026",NA,NA,"1.000"
"61","1:127852464|127855858","8.000","5.000","1.000"
"62","1:127865934|127866417","1.000",NA,NA
"63","1:127915733|127927197",NA,NA,"1.000"
"64","1:128079480|128081136",NA,NA,"1.000"
"65","1:128079480|128095744","1.000",NA,NA
"66","1:128109574|128109901",NA,NA,"1.000"
"67","1:128109574|128109949","1.000",NA,NA
"68","1:128121196|128139096",NA,NA,"5.000"
"69","1:128179939|128183974","1.000",NA,"2.000"
"70","1:128183169|128183974",NA,"1.000",NA
"71","1:128183169|128188625","3.000",NA,NA
"72","1:128186568|128187274",NA,NA,"1.000"
"73","1:128188567|128194151","4.000",NA,"1.000"
