"","chrom","start","end","name","n_reads","strand","n_uniq","uniq_bridges","best_qual_left","best_qual_right","tissues","tiss_counts","edits","anchor_overlap","breakpoints","signal","strandmatch","category"
"1","scaffold0005",5997834,5998922,"hsa_circ_000001",8,"-",3,6,5,35,"my_test_mpi3",8,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"2","scaffold0005",59061874,59080521,"hsa_circ_000002",4,"-",3,4,40,40,"my_test_mpi3",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"3","scaffold0017",50225412,50226136,"hsa_circ_000003",3,"+",1,3,5,5,"my_test_mpi3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"4","scaffold0030",6464296,6464946,"hsa_circ_000004",9,"-",3,4,5,5,"my_test_mpi3",9,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"5","scaffold0031",6427403,6428019,"hsa_circ_000005",6,"-",3,6,40,35,"my_test_mpi3",6,1,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,UNAMBIGUOUS_BP"
"6","scaffold0008",13853589,13860108,"hsa_circ_000007",4,"-",2,4,40,40,"my_test_mpi3",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"7","scaffold0006",63665308,63678247,"hsa_circ_000008",2,"+",2,2,40,40,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"8","scaffold0008",42483469,42499768,"hsa_circ_000009",11,"+",5,11,40,40,"my_test_mpi3",11,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"9","scaffold0008",81658946,81661084,"hsa_circ_000010",14,"-",9,7,40,5,"my_test_mpi3",14,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"10","scaffold0011",59728726,59729905,"hsa_circ_000011",40,"-",15,38,40,40,"my_test_mpi3",40,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"11","scaffold0008",80054198,80054673,"hsa_circ_000012",3,"-",2,3,5,40,"my_test_mpi3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"12","scaffold0018",46989433,46999616,"hsa_circ_000013",3,"+",2,2,5,40,"my_test_mpi3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"13","scaffold0001",122118063,122118305,"hsa_circ_000014",2,"+",1,2,5,5,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"14","scaffold0011",57712032,57712252,"hsa_circ_000015",4,"-",1,4,5,40,"my_test_mpi3",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"15","scaffold0014",9320175,9326178,"hsa_circ_000016",8,"+",2,5,40,40,"my_test_mpi3",8,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"16","scaffold0011",510879,511950,"hsa_circ_000017",4,"+",3,4,40,40,"my_test_mpi3",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"17","scaffold0008",30067944,30068137,"hsa_circ_000018",8,"+",4,8,5,40,"my_test_mpi3",8,1,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,UNAMBIGUOUS_BP"
"18","scaffold0003",9931664,9939740,"hsa_circ_000019",2,"+",2,2,40,40,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"19","scaffold0005",78945441,78948629,"hsa_circ_000020",4,"-",1,4,5,5,"my_test_mpi3",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"20","scaffold0003",34211685,34215580,"hsa_circ_000021",2,"+",1,2,40,40,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"21","scaffold0001",105448308,105451257,"hsa_circ_000022",17,"-",9,17,40,40,"my_test_mpi3",17,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"22","scaffold0004",76398691,76432772,"hsa_circ_000023",2,"+",1,2,40,5,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"23","scaffold0012",20143433,20155767,"hsa_circ_000024",6,"+",3,6,40,40,"my_test_mpi3",6,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"24","scaffold0015",1508800,1509024,"hsa_circ_000025",3,"-",1,3,40,40,"my_test_mpi3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"25","scaffold0017",19868455,19872631,"hsa_circ_000026",3,"+",1,3,5,40,"my_test_mpi3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"26","scaffold0011",53923086,53927874,"hsa_circ_000027",2,"-",2,2,40,40,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"27","scaffold0002",132748464,132756355,"hsa_circ_000028",4,"+",2,4,40,40,"my_test_mpi3",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"28","scaffold0031",8266789,8268182,"hsa_circ_000029",2,"-",2,2,40,40,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"29","scaffold0011",38209832,38212327,"hsa_circ_000030",40,"-",13,40,40,40,"my_test_mpi3",40,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"30","scaffold0008",55497301,55510453,"hsa_circ_000031",7,"+",5,6,40,40,"my_test_mpi3",7,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"31","scaffold0029",7980735,7982879,"hsa_circ_000032",45,"+",20,43,40,40,"my_test_mpi3",45,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"32","scaffold0005",2341633,2342066,"hsa_circ_000033",3,"-",1,3,5,40,"my_test_mpi3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"33","scaffold0031",4608810,4612084,"hsa_circ_000034",12,"+",5,12,40,40,"my_test_mpi3",12,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"34","scaffold0018",43554913,43558996,"hsa_circ_000035",2,"-",1,2,40,40,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"35","scaffold0016",4477149,4491592,"hsa_circ_000037",6,"-",2,6,40,40,"my_test_mpi3",6,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"36","scaffold0019",29037018,29038954,"hsa_circ_000038",2,"+",2,2,40,40,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"37","scaffold0008",34533742,34535098,"hsa_circ_000039",4,"+",3,4,40,40,"my_test_mpi3",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"38","scaffold0006",44845623,44856058,"hsa_circ_000040",2,"+",1,2,40,40,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"39","scaffold0010",74886740,74887421,"hsa_circ_000041",6,"-",4,6,40,40,"my_test_mpi3",6,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"40","scaffold0030",1447758,1448720,"hsa_circ_000042",18,"-",6,18,40,40,"my_test_mpi3",18,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"41","scaffold0027",4393817,4395891,"hsa_circ_000043",3,"-",2,1,40,5,"my_test_mpi3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"42","scaffold0019",21408749,21418761,"hsa_circ_000044",3,"-",2,3,5,40,"my_test_mpi3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"43","scaffold0013",66865915,66868664,"hsa_circ_000045",24,"-",13,24,40,40,"my_test_mpi3",24,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"44","scaffold0013",67074437,67078246,"hsa_circ_000046",5,"+",4,3,40,40,"my_test_mpi3",5,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"45","scaffold0017",14078262,14079780,"hsa_circ_000047",2,"+",1,2,5,40,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"46","scaffold0007",60585608,60606509,"hsa_circ_000048",12,"-",8,12,40,40,"my_test_mpi3",12,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"47","scaffold0001",51271571,51276794,"hsa_circ_000049",7,"-",3,7,40,40,"my_test_mpi3",7,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"48","scaffold0004",30242018,30243984,"hsa_circ_000050",5,"+",3,4,40,40,"my_test_mpi3",5,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"49","scaffold0023",11927214,11929988,"hsa_circ_000051",22,"+",19,21,40,40,"my_test_mpi3",22,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"50","scaffold0015",10075709,10080441,"hsa_circ_000052",2,"+",1,2,40,40,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"51","scaffold0012",16644002,16652728,"hsa_circ_000053",3,"-",2,3,40,40,"my_test_mpi3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"52","scaffold0004",39900872,39903447,"hsa_circ_000054",2,"-",1,2,40,5,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"53","scaffold0019",2206806,2212522,"hsa_circ_000055",2,"+",1,2,35,5,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"54","scaffold0029",6092716,6092982,"hsa_circ_000056",117,"+",57,91,35,40,"my_test_mpi3",117,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"55","scaffold0023",3636023,3644542,"hsa_circ_000057",2,"-",2,2,40,5,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"56","scaffold0023",8335235,8338574,"hsa_circ_000058",4,"-",2,4,40,40,"my_test_mpi3",4,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"57","scaffold0034",4169939,4170357,"hsa_circ_000059",6,"+",1,6,5,5,"my_test_mpi3",6,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"58","scaffold0031",3188691,3189745,"hsa_circ_000060",3,"-",1,3,40,40,"my_test_mpi3",3,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"59","scaffold0027",6236585,6236763,"hsa_circ_000061",2,"+",2,2,5,40,"my_test_mpi3",2,1,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,UNAMBIGUOUS_BP"
"60","scaffold0031",4589267,4590905,"hsa_circ_000062",14,"+",9,14,40,40,"my_test_mpi3",14,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"61","scaffold0019",9944349,9944551,"hsa_circ_000063",2,"-",2,2,40,5,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"62","scaffold0002",5786571,5800822,"hsa_circ_000064",2,"-",1,2,5,5,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"63","scaffold0033",6227042,6230642,"hsa_circ_000065",6,"-",4,6,40,40,"my_test_mpi3",6,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"64","scaffold0002",24158988,24194105,"hsa_circ_000066",10,"-",4,10,35,40,"my_test_mpi3",10,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"65","scaffold0002",55480371,55492675,"hsa_circ_000067",2,"-",1,2,40,5,"my_test_mpi3",2,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
"66","scaffold0023",16415519,16415793,"hsa_circ_000068",4,"+",2,4,40,40,"my_test_mpi3",4,1,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,UNAMBIGUOUS_BP"
"67","scaffold0004",95468780,95472399,"hsa_circ_000069",12,"-",3,10,40,40,"my_test_mpi3",12,0,0,1,"GTAG",NA,"ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP"
