"","circ_id","hsa1","hsa2","hsa3"
"1","1:10275427|10278128",NA,3,NA
"2","1:10365099|10365648",NA,4,NA
"3","1:10371140|10375373",NA,NA,1
"4","1:10440346|10442441",NA,NA,4
"5","1:10467189|10469338",NA,NA,1
"6","1:107596211|107617632",NA,2,NA
"7","1:108991253|109004715",NA,2,NA
"8","1:109230877|109231786",NA,2,NA
"9","1:109340723|109345878",NA,6,NA
"10","1:109342013|109345878",NA,1,NA
"11","1:113829591|113834439",NA,3,NA
"12","1:114720343|114720538",1,NA,NA
"13","1:11535644|11535809",NA,NA,1
"14","1:117402185|117405645",NA,5,NA
"15","1:117402185|117414831",1,5,NA
"16","1:117402185|117420649",NA,9,NA
"17","1:117911993|117918736",NA,1,NA
"18","1:12001400|12002103",NA,2,NA
"19","1:1223243|1223968",NA,25,NA
"20","1:12578717|12579412",NA,8,1
"21","1:13715540|13749487",NA,2,NA
"22","1:13778417|13782831",NA,5,NA
"23","1:145839889|145841071",NA,5,NA
"24","1:147252622|147256562",NA,NA,3
"25","1:148126828|148143686",NA,NA,1
"26","1:149077696|149077882",NA,1,NA
"27","1:149081964|149098706",NA,1,NA
"28","1:149655698|149669310",NA,1,NA
"29","1:149959683|149964349",NA,7,NA
"30","1:150968201|150968394",NA,8,NA
"31","1:151024610|151025673",1,7,4
"32","1:151024610|151027327",NA,6,NA
"33","1:151038503|151039026",NA,4,NA
"34","1:151242122|151242567",NA,NA,1
"35","1:151315572|151316509",NA,5,NA
"36","1:151525641|151527107",NA,NA,3
"37","1:153951827|153952017",1,NA,NA
"38","1:154172907|154173201",NA,2,NA
"39","1:154234590|154235291",NA,25,9
"40","1:154251040|154251653",NA,2,NA
"41","1:15456793|15457020",NA,NA,1
"42","1:155042856|155043242",NA,1,NA
"43","1:155218651|155218847",2,NA,NA
"44","1:155675009|155679512",NA,1,3
"45","1:155676547|155679512",NA,36,4
"46","1:155921374|155923687",NA,4,NA
