"circ_id","seqnames","start","end","width","strand","source","type","score","phase","circ_type","bsj","fsj","junc_ratio","gene_id","gene_name","gene_type"
"1:10275427|10278128","1",10275427,10278128,2701,"+","CIRIquant","circRNA",0.0399,NA,"exon",3,5,0.545,"ENSG00000054523","KIF1B","protein_coding"
"1:10365099|10365648","1",10365099,10365648,549,"+","CIRIquant","circRNA",0.0531,NA,"exon",4,1,0.889,"ENSG00000054523","KIF1B","protein_coding"
"1:10440346|10442441","1",10440346,10442441,2095,"+","CIRIquant","circRNA",0.0532,NA,"exon",4,10,0.444,"ENSG00000251503,ENSG00000175279","CENPS-CORT,CENPS","protein_coding,protein_coding"
"1:107596211|107617632","1",107596211,107617632,21421,"-","CIRIquant","circRNA",0.0266,NA,"exon",2,10,0.286,"ENSG00000134215","VAV3","protein_coding"
"1:108991253|109004715","1",108991253,109004715,13462,"-","CIRIquant","circRNA",0.0266,NA,"exon",2,7,0.364,"ENSG00000085433","WDR47","protein_coding"
"1:109230877|109231786","1",109230877,109231786,909,"+","CIRIquant","circRNA",0.0266,NA,"exon",2,39,0.093,"ENSG00000031698","SARS1","protein_coding"
"1:109340723|109345878","1",109340723,109345878,5155,"-","CIRIquant","circRNA",0.0664,NA,"exon",5,10,0.5,"ENSG00000134243","SORT1","protein_coding"
"1:113829591|113834439","1",113829591,113834439,4848,"-","CIRIquant","circRNA",0.0399,NA,"exon",3,5,0.545,"ENSG00000134242","PTPN22","protein_coding"
"1:117402185|117405645","1",117402185,117405645,3460,"+","CIRIquant","circRNA",0.0664,NA,"exon",5,41,0.196,"ENSG00000198162","MAN1A2","protein_coding"
"1:117402185|117414831","1",117402185,117414831,12646,"+","CIRIquant","circRNA",0.0138,NA,"exon",1,4,0.333,"ENSG00000198162","MAN1A2","protein_coding"
"1:12001400|12002103","1",12001400,12002103,703,"+","CIRIquant","circRNA",0.0266,NA,"exon",2,44,0.083,"ENSG00000116688","MFN2","protein_coding"
"1:1223243|1223968","1",1223243,1223968,725,"-","CIRIquant","circRNA",0.3188,NA,"exon",24,41,0.539,"ENSG00000078808","SDF4","protein_coding"
"1:12578717|12579412","1",12578717,12579412,695,"-","CIRIquant","circRNA",0.1063,NA,"exon",8,17,0.485,"ENSG00000162496,ENSG00000276830","DHRS3,MIR6730","protein_coding,miRNA"
"1:13715540|13749487","1",13715540,13749487,33947,"+","CIRIquant","circRNA",0.0266,NA,"exon",2,4,0.5,"ENSG00000116731","PRDM2","protein_coding"
"1:13778417|13782831","1",13778417,13782831,4414,"+","CIRIquant","circRNA",0.0664,NA,"exon",5,9,0.526,"ENSG00000116731","PRDM2","protein_coding"
"1:145839889|145841071","1",145839889,145841071,1182,"+","CIRIquant","circRNA",0.093,NA,"exon",7,18,0.438,"ENSG00000186141","POLR3C","protein_coding"
"1:149959683|149964349","1",149959683,149964349,4666,"-","CIRIquant","circRNA",0.0797,NA,"exon",6,24,0.333,"ENSG00000264522","OTUD7B","protein_coding"
"1:151024610|151025673","1",151024610,151025673,1063,"+","CIRIquant","circRNA",0.0138,NA,"exon",1,11,0.154,"ENSG00000143363","PRUNE1","protein_coding"
"1:151024610|151027327","1",151024610,151027327,2717,"+","CIRIquant","circRNA",0.0797,NA,"exon",6,14,0.462,"ENSG00000143363","PRUNE1","protein_coding"
"1:151038503|151039026","1",151038503,151039026,523,"+","CIRIquant","circRNA",0.0531,NA,"exon",4,51,0.136,"ENSG00000163141","BNIPL","protein_coding"
"1:151315572|151316509","1",151315572,151316509,937,"-","CIRIquant","circRNA",0.0664,NA,"exon",5,38,0.208,"ENSG00000143393","PI4KB","protein_coding"
"1:151525641|151527107","1",151525641,151527107,1466,"+","CIRIquant","circRNA",0.0399,NA,"exon",3,11,0.353,"ENSG00000143375","CGN","protein_coding"
"1:154234590|154235291","1",154234590,154235291,701,"+","CIRIquant","circRNA",0.3587,NA,"exon",27,26,0.675,"ENSG00000143569","UBAP2L","protein_coding"
"1:154251040|154251653","1",154251040,154251653,613,"+","CIRIquant","circRNA",0.0266,NA,"exon",2,7,0.364,"ENSG00000143569","UBAP2L","protein_coding"
"1:155676547|155679512","1",155676547,155679512,2965,"-","CIRIquant","circRNA",0.3985,NA,"exon",30,65,0.48,"ENSG00000163374","YY1AP1","protein_coding"
"1:155921374|155923687","1",155921374,155923687,2313,"-","CIRIquant","circRNA",0.0531,NA,"exon",4,15,0.348,"ENSG00000132680","KHDC4","protein_coding"
"1:15638306|15643650","1",15638306,15643650,5344,"+","CIRIquant","circRNA",0.0399,NA,"exon",3,16,0.273,"ENSG00000197312","DDI2","protein_coding"
