NO.,circ_id,gene_id,gene_name,length,strand,type,state
1,scaffold0007:91656591|91656785,ENSMPIG00007082100244,novel_gene_158_62831269,195,+,exon,Full
2,scaffold0022:7463354|7463572,ENSMPIG00022013800244,novel_gene_314_62831269,219,-,exon,Full
3,scaffold0053:494821|495039,ENSMPIG00053000814143,PUDP,219,-,exon,Full
4.1,scaffold0012:35400164|35400390,ENSMPIG00012033400244,evm.TU.scaffold0012.390,227,-,exon,Full
4.2,scaffold0012:35400164|35400390,ENSMPIG00012033400244,evm.TU.scaffold0012.390,173,-,exon,Full
5.1,scaffold0029:6092717|6092982,ENSMPIG00029020923243,BCL2L12,266,+,exon,Full
5.2,scaffold0029:6092717|6092982,ENSMPIG00029020923243,BCL2L12,179,+,exon,Full
6,scaffold0010:16921947|16922235,ENSMPIG00010011024241,BCL10,289,+,exon,Full
7.1,scaffold0002:7550373|7550683,ENSMPIG00002011024243,U2AF1L5,311,-,exon,Full
7.2,scaffold0002:7550373|7550683,ENSMPIG00002011024243,U2AF1L5,227,-,exon,Full
8,scaffold0004:48853609|48853940,ENSMPIG00004051124241,LYSMD2,332,-,exon,Full
9,scaffold0013:69712537|69712935,ENSMPIG00013061700244,evm.TU.scaffold0013.692,304,-,exon,Full
10,scaffold0001:119366170|119366602,ENSMPIG00001073223243,AC023055.1,227,+,exon,Full
11,scaffold0031:8634185|8634675,ENSMPIG00031010820243,SLC28A1,367,+,exon,Full
12.1,scaffold0009:22152576|22153103,ENSMPIG00009017423233,AL590764.2,423,-,exon,Full
12.2,scaffold0009:22152576|22153103,ENSMPIG00009017423233,AL590764.2,359,-,exon,Full
12.3,scaffold0009:22152576|22153103,ENSMPIG00009017423233,AL590764.2,322,-,exon,Full
12.4,scaffold0009:22152576|22153103,ENSMPIG00009017423233,AL590764.2,269,-,exon,Full
12.5,scaffold0009:22152576|22153103,ENSMPIG00009017423233,AL590764.2,250,-,exon,Full
13,scaffold0002:7898353|7899470,ENSMPIG00002011724241,RRP1B,193,+,exon,Full
14.1,scaffold0031:2255404|2256630,ENSMPIG00031004623233,FAM169B,322,+,exon,Full
14.2,scaffold0031:2255404|2256630,ENSMPIG00031004623233,FAM169B,231,+,exon,Full
15.1,scaffold0017:51614025|51615290,ENSMPIG00017083923243,EHBP1L1,530,-,exon,Full
15.2,scaffold0017:51614025|51615290,ENSMPIG00017083923243,EHBP1L1,522,-,exon,Full
16,scaffold0020:7539294|7540648,ENSMPIG00020004723233,RWDD4,376,-,exon,Full
17,scaffold0008:61326494|61328303,ENSMPIG00008059023233,MPPE1,213,-,exon,Full
18,scaffold0044:1866419|1868457,ENSMPIG00044001400244,evm.TU.scaffold0044.28,396,-,exon,Full
19,scaffold0012:48228057|48230787,ENSMPIG00012047300244,evm.TU.scaffold0012.538,346,+,exon,Full
20.1,scaffold0005:53523282|53527618,ENSMPIG00005055622223,PRMT9,378,-,exon,Full
20.2,scaffold0005:53523282|53527618,ENSMPIG00005055622223,PRMT9,343,-,exon,Full
21,scaffold0022:2236046|2244011,ENSMPIG00022006417243,ZNF181,429,-,exon,Full
22,scaffold0012:43199956|43209627,ENSMPIG00012042418243,CHN1,237,+,exon,Full
23,scaffold0001:139016259|139026238,ENSMPIG00001103002243,novel_gene_2345_627a1eab,556,+,exon,Full
24,scaffold0028:12896623|12908373,ENSMPIG00028006800244,novel_gene_270_627a1eab,256,-,exon,Full
25.1,scaffold0012:75275652|75292341,ENSMPIG00012058623233,DARS,482,+,exon,Full
25.2,scaffold0012:75275652|75292341,ENSMPIG00012058623233,DARS,418,+,exon,Full
25.3,scaffold0012:75275652|75292341,ENSMPIG00012058623233,DARS,327,+,exon,Full
25.4,scaffold0012:75275652|75292341,ENSMPIG00012058623233,DARS,294,+,exon,Full
25.5,scaffold0012:75275652|75292341,ENSMPIG00012058623233,DARS,254,+,exon,Full
26,scaffold0007:91656591|91742312,ENSMPIG00007082100244,novel_gene_158_62831269,456,+,exon,Full
