"","seqnames","start","end","width","strand","source","type","score","phase","circ_id","circ_type","bsj","fsj","junc_ratio","gene_id"
"1","scaffold0001",80537,80704,168,"-","CIRIquant","circRNA",0.0158,NA,"scaffold0001:80537|80704","exon","1.000","30.000","0.062","ENSMFUG00001000405243"
"2","scaffold0001",175891,176964,1074,"+","CIRIquant","circRNA",0.0316,NA,"scaffold0001:175891|176964","exon","2.000","182.000","0.022","ENSMFUG00001001021213"
"3","scaffold0001",182280,185366,3087,"-","CIRIquant","circRNA",0.0948,NA,"scaffold0001:182280|185366","exon","6.000","94.000","0.113","ENSMFUG00001001224241"
"4","scaffold0001",239455,239871,417,"+","CIRIquant","circRNA",0.2527,NA,"scaffold0001:239455|239871","exon","16.000","259.000","0.110","ENSMFUG00001001620243"
"5","scaffold0001",257437,259830,2394,"-","CIRIquant","circRNA",0.1264,NA,"scaffold0001:257437|259830","intron","8.000","22.000","0.421","ENSMFUG00001001722243"
"6","scaffold0001",259668,264227,4560,"-","CIRIquant","circRNA",0.0158,NA,"scaffold0001:259668|264227","exon","1.000","82.000","0.024","ENSMFUG00001001722243"
"7","scaffold0001",265468,272027,6560,"-","CIRIquant","circRNA",0.0632,NA,"scaffold0001:265468|272027","exon","4.000","12.000","0.400","ENSMFUG00001001722243"
"8","scaffold0001",267623,272027,4405,"-","CIRIquant","circRNA",0.1264,NA,"scaffold0001:267623|272027","exon","8.000","158.000","0.092","ENSMFUG00001001722243"
"9","scaffold0001",271875,283531,11657,"-","CIRIquant","circRNA",0.0474,NA,"scaffold0001:271875|283531","intron","3.000","47.000","0.113","ENSMFUG00001001722243"
"10","scaffold0001",274859,277076,2218,"-","CIRIquant","circRNA",18.3058,NA,"scaffold0001:274859|277076","exon","1159.000","387.000","0.857","ENSMFUG00001001722243"
"11","scaffold0001",274859,278776,3918,"-","CIRIquant","circRNA",0.1264,NA,"scaffold0001:274859|278776","exon","8.000","44.000","0.267","ENSMFUG00001001722243"
"12","scaffold0001",283323,289797,6475,"-","CIRIquant","circRNA",0.0316,NA,"scaffold0001:283323|289797","intron","2.000","66.000","0.057","ENSMFUG00001001722243"
"13","scaffold0001",289555,301795,12241,"-","CIRIquant","circRNA",0.0474,NA,"scaffold0001:289555|301795","intron","3.000","43.000","0.122","ENSMFUG00001001722243"
"14","scaffold0001",413308,416231,2924,"+","CIRIquant","circRNA",0.0632,NA,"scaffold0001:413308|416231","exon","4.000","49.000","0.140","ENSMFUG00001002223243"
"15","scaffold0001",429791,433082,3292,"+","CIRIquant","circRNA",0.3949,NA,"scaffold0001:429791|433082","exon","25.000","31.000","0.617","ENSMFUG00001002424241"
"16","scaffold0001",441308,442391,1084,"+","CIRIquant","circRNA",0.2211,NA,"scaffold0001:441308|442391","exon","14.000","65.000","0.301","ENSMFUG00001002424241"
"17","scaffold0001",442094,442391,298,"+","CIRIquant","circRNA",0.0632,NA,"scaffold0001:442094|442391","exon","4.000","0.000","1.000","ENSMFUG00001002424241"
"18","scaffold0001",468884,469653,770,"-","CIRIquant","circRNA",0.0632,NA,"scaffold0001:468884|469653","exon","4.000","237.000","0.033","ENSMFUG00001002622223"
"19","scaffold0001",469513,470099,587,"-","CIRIquant","circRNA",0.0632,NA,"scaffold0001:469513|470099","exon","4.000","345.000","0.023","ENSMFUG00001002622223"
"20","scaffold0001",469513,470898,1386,"-","CIRIquant","circRNA",0.2369,NA,"scaffold0001:469513|470898","intron","15.000","117.000","0.204","ENSMFUG00001002622223"
"21","scaffold0001",491349,491643,295,"-","CIRIquant","circRNA",0.1737,NA,"scaffold0001:491349|491643","exon","11.000","16.000","0.579","ENSMFUG00001002824241"
