"circ_id","seqnames","start","end","width","strand","source","type","score","phase","circ_type","bsj","fsj","junc_ratio","gene_id","gene_name","gene_type"
"1:10104232|10105388","1",10104232,10105388,1156,"-","CIRIquant","circRNA",0.0203,NA,"exon",1,1,0.667,"ENSMUSG00000025917","Cops5","protein_coding"
"1:10115300|10117751","1",10115300,10117751,2451,"+","CIRIquant","circRNA",0.0483,NA,"exon",2,0,1,"ENSMUSG00000056763","Cspp1","protein_coding"
"1:10145084|10152571","1",10145084,10152571,7487,"+","CIRIquant","circRNA",0.0203,NA,"exon",1,3,0.4,"ENSMUSG00000056763","Cspp1","protein_coding"
"1:10145084|10156177","1",10145084,10156177,11093,"+","CIRIquant","circRNA",0.059,NA,"exon",2,0,1,"ENSMUSG00000056763","Cspp1","protein_coding"
"1:10152477|10166238","1",10152477,10166238,13761,"+","CIRIquant","circRNA",0.1476,NA,"exon",5,3,0.769,"ENSMUSG00000056763","Cspp1","protein_coding"
"1:10258981|10259903","1",10258981,10259903,922,"-","CIRIquant","circRNA",0.1181,NA,"exon",4,7,0.533,"ENSMUSG00000067851","Arfgef1","protein_coding"
"1:105647176|105655713","1",105647176,105655713,8537,"+","CIRIquant","circRNA",0.1207,NA,"exon",5,8,0.556,"ENSMUSG00000026319","Relch","protein_coding"
"1:105752724|105755460","1",105752724,105755460,2736,"+","CIRIquant","circRNA",0.169,NA,"exon",7,55,0.203,"ENSMUSG00000026321","Tnfrsf11a","protein_coding"
"1:105928660|105933816","1",105928660,105933816,5156,"+","CIRIquant","circRNA",0.0407,NA,"exon",2,12,0.25,"ENSMUSG00000038866","Zcchc2","protein_coding"
"1:105928660|105939544","1",105928660,105939544,10884,"+","CIRIquant","circRNA",0.1181,NA,"exon",4,7,0.533,"ENSMUSG00000038866","Zcchc2","protein_coding"
"1:105949455|105951488","1",105949455,105951488,2033,"+","CIRIquant","circRNA",0.0483,NA,"exon",2,0,1,"ENSMUSG00000038866","Zcchc2","protein_coding"
"1:106209092|106214846","1",106209092,106214846,5754,"+","CIRIquant","circRNA",0.0407,NA,"exon",2,13,0.235,"ENSMUSG00000044340","Phlpp1","protein_coding"
"1:106303890|106308152","1",106303890,106308152,4262,"+","CIRIquant","circRNA",0.0407,NA,"exon",2,0,1,"ENSMUSG00000044340","Phlpp1","protein_coding"
"1:119526734|119537016","1",119526734,119537016,10282,"-","CIRIquant","circRNA",0.0886,NA,"exon",3,0,1,"ENSMUSG00000026383","Epb41l5","protein_coding"
"1:119535716|119537016","1",119535716,119537016,1300,"-","CIRIquant","circRNA",0.0966,NA,"exon",4,10,0.444,"ENSMUSG00000026383","Epb41l5","protein_coding"
"1:119545093|119549694","1",119545093,119549694,4601,"-","CIRIquant","circRNA",0.059,NA,"exon",2,5,0.444,"ENSMUSG00000026383","Epb41l5","protein_coding"
"1:121373368|121390914","1",121373368,121390914,17546,"+","CIRIquant","circRNA",0.0886,NA,"exon",3,6,0.5,"ENSMUSG00000026339","Ccdc93","protein_coding"
"1:127325243|127339997","1",127325243,127339997,14754,"+","CIRIquant","circRNA",0.0483,NA,"exon",2,0,1,"ENSMUSG00000103390,ENSMUSG00000036155","Gm38301,Mgat5","TEC,protein_coding"
"1:127719341|127727290","1",127719341,127727290,7949,"+","CIRIquant","circRNA",0.0203,NA,"exon",1,2,0.5,"ENSMUSG00000026349","Ccnt2","protein_coding"
"1:127719341|127729413","1",127719341,127729413,10072,"+","CIRIquant","circRNA",0.059,NA,"exon",2,5,0.444,"ENSMUSG00000026349","Ccnt2","protein_coding"
"1:127852464|127855858","1",127852464,127855858,3394,"+","CIRIquant","circRNA",0.2361,NA,"exon",8,6,0.727,"ENSMUSG00000036104","Rab3gap1","protein_coding"
"1:127915733|127927197","1",127915733,127927197,11464,"-","CIRIquant","circRNA",0.0241,NA,"exon",1,5,0.286,"ENSMUSG00000036086","Zranb3","protein_coding"
"1:128186568|128187274","1",128186568,128187274,706,"+","CIRIquant","circRNA",0.0241,NA,"exon",1,6,0.25,"ENSMUSG00000026353","Ubxn4","protein_coding"
"1:128265852|128281307","1",128265852,128281307,15455,"-","CIRIquant","circRNA",0.0483,NA,"exon",2,6,0.4,"ENSMUSG00000026355","Mcm6","protein_coding"
"1:130633113|130635938","1",130633113,130635938,2825,"-","CIRIquant","circRNA",0.1207,NA,"exon",5,17,0.37,"ENSMUSG00000026409,ENSMUSG00000101904","Pfkfb2,Gm29427","protein_coding,protein_coding"
"1:131085928|131088361","1",131085928,131088361,2433,"+","CIRIquant","circRNA",0.0724,NA,"exon",3,12,0.333,"ENSMUSG00000026427","Eif2d","protein_coding"
"1:131283248|131284643","1",131283248,131284643,1395,"-","CIRIquant","circRNA",0.061,NA,"exon",3,2,0.75,"ENSMUSG00000026425","Srgap2","protein_coding"
"1:13226593|13237330","1",13226593,13237330,10737,"-","CIRIquant","circRNA",0.0483,NA,"exon",2,3,0.571,"ENSMUSG00000005886","Ncoa2","protein_coding"
"1:13230384|13237330","1",13230384,13237330,6946,"-","CIRIquant","circRNA",0.1476,NA,"exon",5,10,0.5,"ENSMUSG00000005886","Ncoa2","protein_coding"
"1:132417325|132418323","1",132417325,132418323,998,"+","CIRIquant","circRNA",0.0203,NA,"exon",1,3,0.4,"ENSMUSG00000026439","Rbbp5","protein_coding"
"1:13291530|13294937","1",13291530,13294937,3407,"-","CIRIquant","circRNA",0.4272,NA,"exon",21,26,0.618,"ENSMUSG00000005886","Ncoa2","protein_coding"
"1:13291530|13356249","1",13291530,13356249,64719,"-","CIRIquant","circRNA",1.0626,NA,"exon",36,12,0.857,"ENSMUSG00000103495,ENSMUSG00000005886","Gm37409,Ncoa2","TEC,protein_coding"
"1:13291530|13369946","1",13291530,13369946,78416,"-","CIRIquant","circRNA",0.0483,NA,"exon",2,0,1,"ENSMUSG00000102639,ENSMUSG00000103495,ENSMUSG00000005886,ENSMUSG00000104170","Gm38223,Gm37409,Ncoa2,Gm37702","TEC,TEC,protein_coding,TEC"
"1:133021393|133022572","1",133021393,133022572,1179,"+","CIRIquant","circRNA",0.061,NA,"exon",3,1,0.857,"ENSMUSG00000026447","Pik3c2b","protein_coding"
"1:133212617|133213124","1",133212617,133213124,507,"+","CIRIquant","circRNA",0.0966,NA,"exon",4,0,1,"ENSMUSG00000041757","Plekha6","protein_coding"
"1:133573464|133575267","1",133573464,133575267,1803,"-","CIRIquant","circRNA",0.1207,NA,"exon",5,3,0.769,"ENSMUSG00000102976,ENSMUSG00000094410","Zc3h11a,Zbed6","protein_coding,protein_coding"
"1:134395388|134411591","1",134395388,134411591,16203,"+","CIRIquant","circRNA",0.0483,NA,"exon",2,15,0.211,"ENSMUSG00000026455","Klhl12","protein_coding"
"1:134532179|134533613","1",134532179,134533613,1434,"+","CIRIquant","circRNA",0.0966,NA,"exon",4,7,0.533,"ENSMUSG00000042207","Kdm5b","protein_coding"
"1:134535425|134541749","1",134535425,134541749,6324,"+","CIRIquant","circRNA",0.0724,NA,"exon",3,0,1,"ENSMUSG00000042207","Kdm5b","protein_coding"
"1:134547297|134548760","1",134547297,134548760,1463,"+","CIRIquant","circRNA",0.059,NA,"exon",2,18,0.182,"ENSMUSG00000042207","Kdm5b","protein_coding"
"1:134797805|134807483","1",134797805,134807483,9678,"-","CIRIquant","circRNA",0.0295,NA,"exon",1,4,0.333,"ENSMUSG00000073557","Ppp1r12b","protein_coding"
"1:135199266|135205275","1",135199266,135205275,6009,"-","CIRIquant","circRNA",0.1207,NA,"exon",5,8,0.556,"ENSMUSG00000041926","Rnpep","protein_coding"
"1:135232167|135236936","1",135232167,135236936,4769,"-","CIRIquant","circRNA",0.169,NA,"exon",7,23,0.378,"ENSMUSG00000062580","Timm17a","protein_coding"
"1:135321873|135327941","1",135321873,135327941,6068,"-","CIRIquant","circRNA",0.0407,NA,"exon",2,4,0.5,"ENSMUSG00000041879","Ipo9","protein_coding"
"1:135346974|135348091","1",135346974,135348091,1117,"-","CIRIquant","circRNA",0.0203,NA,"exon",1,5,0.286,"ENSMUSG00000041879","Ipo9","protein_coding"
"1:135708900|135711168","1",135708900,135711168,2268,"+","CIRIquant","circRNA",0.059,NA,"exon",2,4,0.5,"ENSMUSG00000026418","Tnni1","protein_coding"
"1:136352532|136361603","1",136352532,136361603,9071,"+","CIRIquant","circRNA",0.0295,NA,"exon",1,4,0.333,"ENSMUSG00000026404","Ddx59","protein_coding"
"1:138460474|138472081","1",138460474,138472081,11607,"-","CIRIquant","circRNA",0.1207,NA,"exon",5,5,0.667,"ENSMUSG00000026393","Nek7","protein_coding"
"1:138460474|138489523","1",138460474,138489523,29049,"-","CIRIquant","circRNA",0.0483,NA,"exon",2,16,0.2,"ENSMUSG00000026393,ENSMUSG00000102651","Nek7,Gm37080","protein_coding,TEC"
"1:138471940|138489523","1",138471940,138489523,17583,"-","CIRIquant","circRNA",0.0295,NA,"exon",1,13,0.133,"ENSMUSG00000026393,ENSMUSG00000102651","Nek7,Gm37080","protein_coding,TEC"
"1:138967737|138990709","1",138967737,138990709,22972,"+","CIRIquant","circRNA",0.061,NA,"exon",3,3,0.667,"ENSMUSG00000056268","Dennd1b","protein_coding"
"1:138981083|138990709","1",138981083,138990709,9626,"+","CIRIquant","circRNA",0.7674,NA,"exon",26,24,0.684,"ENSMUSG00000056268","Dennd1b","protein_coding"
"1:139008910|139038223","1",139008910,139038223,29313,"+","CIRIquant","circRNA",0.2066,NA,"exon",7,23,0.378,"ENSMUSG00000056268","Dennd1b","protein_coding"
"1:143491040|143493178","1",143491040,143493178,2138,"-","CIRIquant","circRNA",0.0483,NA,"exon",2,4,0.5,"ENSMUSG00000026361","Cdc73","protein_coding"
"1:143543362|143553593","1",143543362,143553593,10231,"-","CIRIquant","circRNA",0.1771,NA,"exon",6,5,0.706,"ENSMUSG00000026361","Cdc73","protein_coding"
"1:149776850|149797887","1",149776850,149797887,21037,"-","CIRIquant","circRNA",0.0886,NA,"exon",3,6,0.5,"ENSMUSG00000056220","Pla2g4a","protein_coding"
"1:150303870|150305296","1",150303870,150305296,1426,"+","CIRIquant","circRNA",0.2066,NA,"exon",7,1,0.933,"ENSMUSG00000006005","Tpr","protein_coding"
"1:151225126|151226860","1",151225126,151226860,1734,"+","CIRIquant","circRNA",0.0724,NA,"exon",3,35,0.146,"ENSMUSG00000023150","Ivns1abp","protein_coding"
"1:151260067|151276924","1",151260067,151276924,16857,"-","CIRIquant","circRNA",0.0483,NA,"exon",2,5,0.444,"ENSMUSG00000052748","Swt1","protein_coding"
"1:151348822|151354376","1",151348822,151354376,5554,"-","CIRIquant","circRNA",0.0886,NA,"exon",3,10,0.375,"ENSMUSG00000026484","Rnf2","protein_coding"
"1:151791232|151882518","1",151791232,151882518,91286,"-","CIRIquant","circRNA",0.0966,NA,"exon",4,24,0.25,"ENSMUSG00000032666","1700025G04Rik","protein_coding"
"1:151856176|151882518","1",151856176,151882518,26342,"-","CIRIquant","circRNA",0.1017,NA,"exon",5,4,0.714,"ENSMUSG00000032666","1700025G04Rik","protein_coding"
