"circ_id","gene_name","gene_id","mpi1","mpi2","mpi3"
"scaffold0001:100759284|100759686","novel_gene_2402_627a1eab","ENSMPIG00001054300244","8.000","8.000","1.000"
"scaffold0001:117824746|117825092","MBD6","ENSMPIG00001066321243","15.000","22.000","23.000"
"scaffold0001:118960435|118962496","CS","ENSMPIG00001070924241","15.000","11.000","8.000"
"scaffold0001:119366169|119366602","AC023055.1","ENSMPIG00001073223243","196.000","286.000","225.000"
"scaffold0001:124169788|124180275","novel_gene_2420_627a1eab","ENSMPIG00001088300244","5.000","13.000","11.000"
"scaffold0001:124169788|124180275","evm.TU.scaffold0001.967","ENSMPIG00001088500244","5.000","13.000","11.000"
"scaffold0001:127975613|127977748","novel_gene_530_62831269","ENSMPIG00001096400244","73.000","106.000","55.000"
"scaffold0001:138563207|138563990","evm.TU.scaffold0001.1115","ENSMPIG00001102500244","2.000","13.000","2.000"
"scaffold0001:1388250|1395817","evm.TU.scaffold0001.9","ENSMPIG00001001300244","3.000","28.000","4.000"
"scaffold0001:138974187|138974965","evm.TU.scaffold0001.1121","ENSMPIG00001103200244","14.000","8.000","19.000"
"scaffold0001:138974187|138974965","novel_gene_2345_627a1eab","ENSMPIG00001103002243","14.000","8.000","19.000"
"scaffold0001:153610351|153611733","VWF","ENSMPIG00001121522243","7.000","16.000","1.000"
"scaffold0001:42124302|42130785","novel_gene_2384_627a1eab","ENSMPIG00001014100244","3.000","4.000","7.000"
"scaffold0001:51271571|51276794","SLC25A15","ENSMPIG00001020620243","8.000","4.000","5.000"
"scaffold0001:55609859|55629274","novel_gene_493_62831269","ENSMPIG00001023000244","6.000","3.000","2.000"
"scaffold0001:55609859|55629274","novel_gene_2280_627a1eab","ENSMPIG00001022900244","6.000","3.000","2.000"
"scaffold0001:56826478|56832903","evm.TU.scaffold0001.273","ENSMPIG00001023600244","2.000","16.000","7.000"
"scaffold0001:59465041|59469120","evm.TU.scaffold0001.293","ENSMPIG00001025302243","29.000","21.000","14.000"
"scaffold0001:59465041|59469120","novel_gene_2283_627a1eab","ENSMPIG00001025100244","29.000","21.000","14.000"
"scaffold0001:64958020|64960231","PROSER1","ENSMPIG00001028424241","29.000","55.000","18.000"
"scaffold0001:65321431|65321678","CCNA1","ENSMPIG00001029124241","1.000","3.000","2.000"
"scaffold0001:697840|704141","novel_gene_2246_627a1eab","ENSMPIG00001000700244","24.000","25.000","29.000"
"scaffold0001:71167426|71172125","CENPJ","ENSMPIG00001034724241","86.000","72.000","74.000"
"scaffold0001:79236537|79238450","novel_gene_499_62831269","ENSMPIG00001042100244","1.000","9.000","1.000"
"scaffold0001:80749424|80771039","novel_gene_2398_627a1eab","ENSMPIG00001043000244","1.000","9.000","4.000"
"scaffold0001:84288167|84296665","C12orf4","ENSMPIG00001046823233","7.000","10.000","4.000"
"scaffold0001:86890012|86895971","evm.TU.scaffold0001.553","ENSMPIG00001048900234","8.000","35.000","23.000"
"scaffold0002:101743909|101762385","evm.TU.scaffold0002.824","ENSMPIG00002070100244","12.000","24.000","20.000"
"scaffold0002:101743909|101762385","novel_gene_134_62831269","ENSMPIG00002069900244","12.000","24.000","20.000"
"scaffold0002:116347201|116359600","SEPT10","ENSMPIG00002079023243","62.000","80.000","13.000"
"scaffold0002:1272028|1273910","MIS18A","ENSMPIG00002002822223","3.000","4.000","13.000"
"scaffold0002:1916877|1918661","CRYZL1","ENSMPIG00002004524241","34.000","26.000","19.000"
"scaffold0002:30272099|30272437","novel_gene_60_62831269","ENSMPIG00002024400244","5.000","3.000","3.000"
"scaffold0002:32984178|32985895","ECT2","ENSMPIG00002027124241","7.000","10.000","13.000"
"scaffold0002:41882389|41882839","KLHL6","ENSMPIG00002030424241","33.000","60.000","77.000"
"scaffold0002:45010400|45010763","evm.TU.scaffold0002.441","ENSMPIG00002035405243","8.000","8.000","8.000"
"scaffold0002:4715051|4729699","ERG","ENSMPIG00002007324241","5.000","5.000","7.000"
"scaffold0002:53443615|53443972","FBXO45","ENSMPIG00002041423243","11.000","15.000","14.000"
"scaffold0002:53472120|53472614","WDR53","ENSMPIG00002041522223","43.000","29.000","12.000"
"scaffold0002:5786571|5800822","novel_gene_26_62831269","ENSMPIG00002008400244","15.000","11.000","5.000"
"scaffold0002:58562350|58564141","HCLS1","ENSMPIG00002048321243","12.000","43.000","35.000"
"scaffold0002:66151773|66152502","NEPRO","ENSMPIG00002052923233","13.000","16.000","23.000"
"scaffold0002:71418753|71427452","BBX","ENSMPIG00002057024241","21.000","32.000","39.000"
"scaffold0002:7550372|7550683","U2AF1L5","ENSMPIG00002011024243","277.000","351.000","326.000"
"scaffold0002:7898352|7899470","RRP1B","ENSMPIG00002011724241","159.000","228.000","172.000"
"scaffold0002:79648674|79652293","novel_gene_310_627a1eab","ENSMPIG00002061600244","12.000","4.000","5.000"
"scaffold0002:8965398|8967325","POFUT2","ENSMPIG00002014222243","25.000","73.000","64.000"
"scaffold0002:95736788|95737115","novel_gene_476_62831269","ENSMPIG00002068000244","8.000","11.000","8.000"
"scaffold0003:103170145|103170443","AC004754.1","ENSMPIG00003083423233","48.000","28.000","55.000"
"scaffold0003:108684559|108692448","novel_gene_916_627a1eab","ENSMPIG00003097400244","21.000","4.000","24.000"
"scaffold0003:108684559|108692448","evm.TU.scaffold0003.1169","ENSMPIG00003097500244","21.000","4.000","24.000"
"scaffold0003:109097941|109106356","DCTN5","ENSMPIG00003097923233","31.000","31.000","17.000"
"scaffold0003:111768605|111769953","ACSM3","ENSMPIG00003101621243","12.000","14.000","6.000"
"scaffold0003:34139258|34147467","TRAPPC13","ENSMPIG00003020024241","6.000","11.000","7.000"
"scaffold0003:34918482|34944456","novel_gene_140_627a1eab","ENSMPIG00003020500244","51.000","20.000","10.000"
"scaffold0003:36844065|36855987","CCDC125","ENSMPIG00003021524243","8.000","12.000","4.000"
"scaffold0003:53153388|53155613","evm.TU.scaffold0003.416","ENSMPIG00003032500234","4.000","7.000","3.000"
"scaffold0003:53153388|53155613","KIAA0825","ENSMPIG00003032623233","4.000","7.000","3.000"
"scaffold0003:68561330|68566010","SEMA6A","ENSMPIG00003039622243","14.000","5.000","12.000"
"scaffold0003:78362507|78364650","ISOC1","ENSMPIG00003044124241","10.000","15.000","11.000"
"scaffold0003:80977768|80979618","CUTL1","ENSMPIG00003051709243","1.000","8.000","1.000"
"scaffold0003:80977768|80979618","evm.TU.scaffold0003.642","ENSMPIG00003051600244","1.000","8.000","1.000"
"scaffold0003:84836920|84837133","novel_gene_339_627a1eab","ENSMPIG00003057300244","30.000","32.000","37.000"
"scaffold0003:84836920|84837133","novel_gene_135_62831269","ENSMPIG00003057201243","30.000","32.000","37.000"
"scaffold0003:8544278|8553716","C7","ENSMPIG00003007620233","20.000","41.000","17.000"
"scaffold0003:87645990|87648481","CCP110","ENSMPIG00003059624241","16.000","28.000","15.000"
"scaffold0003:92333815|92376444","novel_gene_263_62831269","ENSMPIG00003062800244","7.000","8.000","1.000"
"scaffold0003:98278535|98278846","ALG1","ENSMPIG00003066524241","6.000","3.000","1.000"
"scaffold0004:17344596|17345241","AL121594.1","ENSMPIG00004010024243","15.000","13.000","23.000"
"scaffold0004:19987647|19988005","AKAP6","ENSMPIG00004012202233","3.000","8.000","7.000"
"scaffold0004:19987647|19988005","novel_gene_70_627a1eab","ENSMPIG00004012100234","3.000","8.000","7.000"
"scaffold0004:2117777|2139336","novel_gene_570_627a1eab","ENSMPIG00004001100244","74.000","95.000","91.000"
"scaffold0004:2950168|2975521","evm.TU.scaffold0004.14","ENSMPIG00004001400244","1.000","2.000","2.000"
"scaffold0004:30206929|30207918","CHD8","ENSMPIG00004024923243","11.000","8.000","10.000"
"scaffold0004:40026082|40059437","EXD1","ENSMPIG00004039520203","6.000","4.000","3.000"
"scaffold0004:41278616|41281382","HAUS2","ENSMPIG00004042022223","2.000","4.000","6.000"
"scaffold0004:41805445|41806647","CCNDBP1","ENSMPIG00004042623233","17.000","38.000","24.000"
