"","chrom","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSize","exonOffsets","readNumber","circType","geneName","isoformName","index","flankIntron","FPBcirc","FPBlinear","CIRCscore"
"1","scaffold0079",114921,130257,"circular_RNA/7",0,"-",114921,114921,"0,0,0",6,"83,84,151,110,99,163","0,2335,2785,4254,11915,15173",7,"circRNA","ENSMFUG00079000423243","ENSMFUG00079000423243.t2","8,7,6,5,4,3","scaffold0079:101754-114921|scaffold0079:130257-134450",0.413544820362,0.260637491825,1.56498945326
"2","scaffold0079",130094,134579,"circular_RNA/17",1,"-",130094,130094,"0,0,0",2,"163,129","0,4356",17,"circRNA","ENSMFUG00079000423243","ENSMFUG00079000423243.t2","3,2","scaffold0079:126935-130094|scaffold0079:134579-134902",1.00432313517,0.260637491825,3.74790324995
"3","scaffold0079",203937,208075,"circular_RNA/6",0,"-",203937,203937,"0,0,0",2,"200,268","0,3870",6,"circRNA","ENSMFUG00079000622243","ENSMFUG00079000622243.t1","11,10","scaffold0079:197770-203937|scaffold0079:208075-213003",0.354466988882,0.974784219426,0.370098323767
"4","scaffold0079",203937,213110,"circular_RNA/4",0,"-",203937,203937,"0,0,0",3,"200,268,107","0,3870,9066",4,"circRNA","ENSMFUG00079000622243","ENSMFUG00079000622243.t1","11,10,9","scaffold0079:197770-203937|scaffold0079:213110-214284",0.236311325921,0.974784219426,0.250117052104
"5","scaffold0079",203937,214485,"circular_RNA/28",0,"-",203937,203937,"0,0,0",4,"200,268,107,201","0,3870,9066,10347",28,"circRNA","ENSMFUG00079000622243","ENSMFUG00079000622243.t1","11,10,9,8","scaffold0079:197770-203937|scaffold0079:214485-215907",1.65417928145,0.974784219426,1.68989231206
"6","scaffold0079",203937,216042,"circular_RNA/5",0,"-",203937,203937,"0,0,0",5,"200,268,107,201,135","0,3870,9066,10347,11970",5,"circRNA","ENSMFUG00079000622243","ENSMFUG00079000622243.t1","11,10,9,8,7","scaffold0079:197770-203937|scaffold0079:216042-223499",0.295389157402,0.974784219426,0.310107687936
"7","scaffold0079",213003,214485,"circular_RNA/72",0,"-",213003,213003,"0,0,0",2,"107,201","0,1281",72,"circRNA","ENSMFUG00079000622243","ENSMFUG00079000622243.t1","9,8","scaffold0079:208075-213003|scaffold0079:214485-215907",4.25360386658,0.974784219426,4.32948028865
"8","scaffold0079",215907,225752,"circular_RNA/40",0,"-",215907,215907,"0,0,0",4,"135,33,115,73","0,7592,7725,9772",40,"circRNA","ENSMFUG00079000622243","ENSMFUG00079000622243.t1","7,6,5,4","scaffold0079:214485-215907|scaffold0079:225752-230100",2.36311325921,0.974784219426,2.40977994204
"9","scaffold0079",215907,230221,"circular_RNA/59",0,"-",215907,215907,"0,0,0",5,"135,33,115,73,121","0,7592,7725,9772,14193",59,"circRNA","ENSMFUG00079000622243","ENSMFUG00079000622243.t1","7,6,5,4,3","scaffold0079:214485-215907|scaffold0079:230221-236845",3.48559205734,0.974784219426,3.54960202284
"10","scaffold0079",223499,230221,"circular_RNA/2",1,"-",223499,223499,"0,0,0",4,"33,115,73,121","0,133,2180,6601",2,"circRNA","ENSMFUG00079000622243","ENSMFUG00079000622243.t1","6,5,4,3","scaffold0079:216042-223499|scaffold0079:230221-236845",0.118155662961,0.974784219426,0.130135780441
