"","chrom","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSize","exonOffsets","readNumber","circType","geneName","isoformName","index","flankIntron","FPBcirc","FPBlinear","CIRCscore"
"1","NW_017739486.1",117831,142361,"circular_RNA/17",1,"-",117831,117831,"0,0,0",9,"178,63,86,85,118,136,134,177,210","0,5748,7609,8424,11566,12906,14846,15229,24320",17,"circRNA","gene-UNKL","rna-XM_019713157.1","10,9,8,7,6,5,4,3,2","NW_017739486.1:111620-117831|NW_017739486.1:142361-143103",0.928892972485,0.38638825326,2.3686195662
"2","NW_017739486.1",117831,142258,"circular_RNA/5",0,"-",117831,117831,"0,0,0",9,"178,63,86,85,118,136,134,177,107","0,5748,7609,8424,11566,12906,14846,15229,24320",5,"circRNA","gene-UNKL","rna-XM_019713159.1","10,9,8,7,6,5,4,3,2","NW_017739486.1:111620-117831|NW_017739486.1:142258-143103",0.273203815437,0.38638825326,0.714460666046
"3","NW_017739358.1",366749,368002,"circular_RNA/24",0,"+",366749,366749,"0,0,0",2,"139,166","0,1087",24,"circRNA","gene-STAU1","rna-XM_019756158.1","6,7","NW_017739358.1:364819-366749|NW_017739358.1:368002-377414",1.3113783141,0.830539598927,1.57205956244
"4","NW_017739358.1",463919,478689,"circular_RNA/2",1,"-",463919,463919,"0,0,0",13,"170,41,100,148,159,129,152,172,85,206,112,184,109","0,272,2905,4160,4970,6068,7254,8009,8284,11054,11805,13882,14661",2,"circRNA","gene-ARFGEF2","rna-XM_019756154.1","25,24,23,22,21,20,19,18,17,16,15,14,13","NW_017739358.1:460185-463919|NW_017739358.1:478689-479834",0.109281526175,0.49608061224,0.23569669197
"5","NW_017739358.1",727831,729053,"circular_RNA/2",0,"+",727831,727831,"0,0,0",2,"93,149","0,1073",2,"circRNA","gene-PREX1","rna-XM_019756164.1","17,18","NW_017739358.1:726204-727831|NW_017739358.1:729053-730726",0.109281526175,0.0854637576494,1.24949540131
"6","NW_017739358.1",732574,737833,"circular_RNA/3",1,"+",732574,732574,"0,0,0",6,"137,121,188,162,211,277","0,821,3020,3497,4334,4982",3,"circRNA","gene-PREX1","rna-XM_019756164.1","20,21,22,23,24,25","NW_017739358.1:730812-732574|NW_017739358.1:737833-740015",0.163922289262,0.0854637576494,1.82186720431
"7","NW_017739358.1",746028,752824,"circular_RNA/4",1,"+",746028,746028,"0,0,0",5,"42,221,100,144,115","0,1102,4168,6436,6681",4,"circRNA","gene-PREX1","rna-XM_019756164.1","31,32,33,34,35","NW_017739358.1:744400-746028|NW_017739358.1:752824-754326",0.218563052349,0.0854637576494,2.39423900731
"8","NW_017739245.1",91245,92212,"circular_RNA/6",0,"+",91245,91245,"0,0,0",2,"152,217","0,750",6,"circRNA","gene-CLK3","rna-XM_019750998.1","6,7","NW_017739245.1:87921-91245|NW_017739245.1:92212-94079",0.327844578524,1.02451430789,0.326573132868
"9","NW_017739245.1",91245,97565,"circular_RNA/2",0,"+",91245,91245,"0,0,0",6,"152,217,97,67,117,167","0,750,2834,3202,5338,6153",2,"circRNA","gene-CLK3","rna-XM_019750998.1","6,7,8,9,10,11","NW_017739245.1:87921-91245|NW_017739245.1:97565-98569",0.109281526175,1.02451430789,0.115301958866
"10","NW_017739245.1",94079,94514,"circular_RNA/4",0,"+",94079,94079,"0,0,0",2,"97,67","0,368",4,"circRNA","gene-CLK3","rna-XM_019750998.1","8,9","NW_017739245.1:92212-94079|NW_017739245.1:94514-96583",0.218563052349,1.02451430789,0.220937545867
"11","NW_017739245.1",121322,121658,"circular_RNA/4",0,"-",121322,121322,"0,0,0",1,"336","0",4,"circRNA","gene-EDC3","rna-XM_019751002.1","5","NW_017739245.1:109662-121322|NW_017739245.1:121658-133893",0.218563052349,0.482660073938,0.463936625759
"12","NW_017739245.1",650033,661400,"circular_RNA/3",0,"-",650033,650033,"0,0,0",5,"95,93,174,170,574","0,951,4845,8417,10793",3,"circRNA","gene-SIN3A","rna-XM_019750985.1","19,18,17,16,15","NW_017739245.1:645930-650033|NW_017739245.1:661400-662751",0.163922289262,0.226759166812,0.734595798777
"13","NW_017739245.1",658450,661400,"circular_RNA/1",0,"-",658450,658450,"0,0,0",2,"170,574","0,2376",1,"circRNA","gene-SIN3A","rna-XM_019750985.1","16,15","NW_017739245.1:655052-658450|NW_017739245.1:661400-662751",0.0546407630873,0.226759166812,0.273023274907
"14","NW_017739245.1",681656,686037,"circular_RNA/1",1,"-",681656,681656,"0,0,0",2,"180,222","0,4159",1,"circRNA","gene-SIN3A","rna-XM_019750985.1","3,2","NW_017739245.1:677376-681656|NW_017739245.1:686037-688562",0.0546407630873,0.226759166812,0.273023274907
"15","NW_017739820.1",88842,94645,"circular_RNA/18",0,"+",88842,88842,"0,0,0",4,"67,99,207,153","0,3198,4043,5650",18,"circRNA","gene-HUWE1","rna-XM_019718905.1","4,5,6,7","NW_017739820.1:64314-88842|NW_017739820.1:94645-114913",0.983533735572,0.184988607561,5.0953424818
"16","NW_017739820.1",143596,145935,"circular_RNA/7",0,"+",143596,143596,"0,0,0",4,"107,178,92,212","0,399,1448,2127",7,"circRNA","gene-HUWE1","rna-XM_019718905.1","21,22,23,24","NW_017739820.1:126024-143596|NW_017739820.1:145935-151110",0.382485341611,0.184988607561,2.01286293861
"17","NW_017739820.1",199791,200965,"circular_RNA/10",0,"+",199791,199791,"0,0,0",3,"99,134,169","0,686,1005",10,"circRNA","gene-HUWE1","rna-XM_019718905.1","54,55,56","NW_017739820.1:198977-199791|NW_017739820.1:200965-202270",0.546407630873,0.184988607561,2.85353917766
"18","NW_017739356.1",504708,511341,"circular_RNA/15",1,"+",504708,504708,"0,0,0",5,"200,122,214,180,147","0,821,1270,4173,6486",15,"circRNA","gene-LOC109460554","rna-XM_019756062.1","50,51,52,53,54","NW_017739356.1:503525-504708|NW_017739356.1:511341-512689",0.81961144631,0.0920659432841,8.12819065416
"19","NW_017739356.1",523567,525325,"circular_RNA/5",0,"+",523567,523567,"0,0,0",3,"229,266,101","0,830,1657",5,"circRNA","gene-LOC109460554","rna-XM_019756062.1","61,62,63","NW_017739356.1:518168-523567|NW_017739356.1:525325-529060",0.273203815437,0.0920659432841,2.77471413406
"20","NW_017739356.1",575341,576865,"circular_RNA/1",1,"-",575341,575341,"0,0,0",2,"179,115","0,1409",1,"circRNA","gene-SMURF1","rna-XM_019756012.1","14,13","NW_017739356.1:573641-575341|NW_017739356.1:576865-584704",0.0546407630873,0.0667831548845,0.841861254393
"21","NW_017739356.1",2252898,2253236,"circular_RNA/4",0,"+",2252898,2252898,"0,0,0",1,"338","0",4,"circRNA","gene-CDC42SE2","rna-XM_019756133.1","3","NW_017739356.1:2226039-2252898|NW_017739356.1:2253236-2281856",0.218563052349,0.0655689157048,3.02456440214
"22","NW_017739356.1",2323968,2339316,"circular_RNA/2",0,"-",2323968,2323968,"0,0,0",5,"192,221,24,124,212","0,6867,10384,12748,15136",2,"circRNA","gene-RAPGEF6","rna-XM_019756039.1","22,21,20,19,18","NW_017739356.1:2321537-2323968|NW_017739356.1:2339316-2346867",0.109281526175,0.0619261981656,1.65838775324
"23","NW_017739356.1",2416071,2466182,"circular_RNA/4",1,"-",2416071,2416071,"0,0,0",5,"144,70,84,57,71","0,20373,45042,48864,50040",4,"circRNA","gene-RAPGEF6","rna-XM_019756030.1","6,5,4,3,2","NW_017739356.1:2391217-2416071|NW_017739356.1:2466182-2490384",0.218563052349,0.0619261981656,3.17774410685
"24","NW_017739356.1",2519640,2539663,"circular_RNA/1",0,"-",2519640,2519640,"0,0,0",8,"169,1417,170,147,86,202,136,72","0,1120,5755,7061,11618,15308,17262,19951",1,"circRNA","gene-FNIP1","rna-XM_019756043.1","14,13,12,11,10,9,8,7","NW_017739356.1:2505148-2519640|NW_017739356.1:2539663-2548725",0.0546407630873,0.160708126727,0.378662482722
"25","NW_017739356.1",3542026,3551669,"circular_RNA/4",1,"-",3542026,3542026,"0,0,0",5,"87,45,795,127,92","0,4037,5464,8960,9551",4,"circRNA","gene-AFF4","rna-XM_019756073.1","6,5,4,3,2","NW_017739356.1:3528111-3542026|NW_017739356.1:3551669-3572434",0.218563052349,0.135300937169,1.5730321965
"26","NW_017739146.1",1404116,1404269,"circular_RNA/1",0,"-",1404116,1404116,"0,0,0",1,"153","0",1,"circRNA","gene-TMPRSS2","rna-XM_019745778.1","13","NW_017739146.1:1402720-1404116|NW_017739146.1:1404269-1404758",0.0546407630873,2.58492840759,0.0249104225374
"27","NW_017739146.1",2416749,2417643,"circular_RNA/3",1,"-",2416749,2416749,"0,0,0",2,"113,157","0,737",3,"circRNA","gene-WDR4","rna-XM_019745670.1","3,2","NW_017739146.1:2414785-2416749|NW_017739146.1:2417643-2423121",0.163922289262,1.03817449866,0.165928754691
"28","NW_017739146.1",2496953,2498944,"circular_RNA/5",1,"+",2496953,2496953,"0,0,0",2,"172,171","0,1820",5,"circRNA","gene-PKNOX1","rna-XM_019745678.1","4,5","NW_017739146.1:2494911-2496953|NW_017739146.1:2498944-2504138",0.273203815437,0.0655689157048,3.7476231172
"29","NW_017739146.1",2835486,2859848,"circular_RNA/6",0,"-",2835486,2835486,"0,0,0",5,"104,118,133,150,104","0,9889,19244,21085,24258",6,"circRNA","gene-HSF2BP","rna-XM_019745744.1","7,6,5,4,3","NW_017739146.1:2806066-2835486|NW_017739146.1:2859848-2870825",0.327844578524,0.368825150839,0.891821933617
"30","NW_017739146.1",2845375,2859848,"circular_RNA/26",0,"-",2845375,2845375,"0,0,0",4,"118,133,150,104","0,9355,11196,14369",26,"circRNA","gene-HSF2BP","rna-XM_019745744.1","6,5,4,3","NW_017739146.1:2835590-2845375|NW_017739146.1:2859848-2870825",1.42065984027,0.368825150839,3.77657037053
"31","NW_017739146.1",2854730,2856721,"circular_RNA/1",0,"-",2854730,2854730,"0,0,0",2,"133,150","0,1841",1,"circRNA","gene-HSF2BP","rna-XM_019745744.1","5,4","NW_017739146.1:2845493-2854730|NW_017739146.1:2856721-2859744",0.0546407630873,0.368825150839,0.170634824388
"32","NW_017739146.1",2854730,2859848,"circular_RNA/23",0,"-",2854730,2854730,"0,0,0",3,"133,150,104","0,1841,5014",23,"circRNA","gene-HSF2BP","rna-XM_019745744.1","5,4,3","NW_017739146.1:2845493-2854730|NW_017739146.1:2859848-2870825",1.25673755101,0.368825150839,3.343858105
"33","NW_017739146.1",3123831,3128516,"circular_RNA/11",0,"+",3123831,3123831,"0,0,0",2,"82,136","0,4549",11,"circRNA","gene-TRAPPC10","rna-XM_019745722.1","1,2","None|NW_017739146.1:3128516-3139455",0.601048393961,0.825682642208,0.731196704465
