"circ_id","seqnames","start","end","width","strand","source","type","score","phase","circ_type","bsj","fsj","junc_ratio","gene_id","gene_name"
"NW_017738920.1:2070931|2079391","NW_017738920.1",2070931,2079391,8460,"+","CIRIquant","circRNA",0.0496,NA,"exon",3,3,0.667,"gene-RABGAP1L","RABGAP1L"
"NW_017738920.1:2077915|2103715","NW_017738920.1",2077915,2103715,25800,"+","CIRIquant","circRNA",0.065,NA,"exon",4,8,0.5,"gene-RABGAP1L","RABGAP1L"
"NW_017738920.1:2095317|2139116","NW_017738920.1",2095317,2139116,43799,"+","CIRIquant","circRNA",0.016,NA,"exon",1,0,1,"gene-RABGAP1L","RABGAP1L"
"NW_017738920.1:2134511|2139116","NW_017738920.1",2134511,2139116,4605,"+","CIRIquant","circRNA",0.0802,NA,"exon",5,4,0.714,"gene-RABGAP1L","RABGAP1L"
"NW_017738920.1:217929|222573","NW_017738920.1",217929,222573,4644,"+","CIRIquant","circRNA",0.0331,NA,"exon",2,0,1,"gene-PRRX1","PRRX1"
"NW_017738920.1:3099553|3114478","NW_017738920.1",3099553,3114478,14925,"-","CIRIquant","circRNA",0.0496,NA,"exon",3,10,0.375,"gene-RFWD2","RFWD2"
"NW_017738920.1:3099553|3127038","NW_017738920.1",3099553,3127038,27485,"-","CIRIquant","circRNA",0.0442,NA,"exon",3,5,0.545,"gene-RFWD2","RFWD2"
"NW_017738920.1:3122490|3135452","NW_017738920.1",3122490,3135452,12962,"-","CIRIquant","circRNA",0.0802,NA,"exon",5,0,1,"gene-RFWD2","RFWD2"
"NW_017738920.1:3159019|3172693","NW_017738920.1",3159019,3172693,13674,"-","CIRIquant","circRNA",0.0641,NA,"exon",4,23,0.258,"gene-RFWD2","RFWD2"
"NW_017738920.1:3166949|3172693","NW_017738920.1",3166949,3172693,5744,"-","CIRIquant","circRNA",0.0641,NA,"exon",4,0,1,"gene-RFWD2","RFWD2"
"NW_017738920.1:3166949|3179011","NW_017738920.1",3166949,3179011,12062,"-","CIRIquant","circRNA",0.2405,NA,"exon",15,38,0.441,"gene-RFWD2","RFWD2"
"NW_017738920.1:3506034|3529664","NW_017738920.1",3506034,3529664,23630,"+","CIRIquant","circRNA",0.0325,NA,"exon",2,9,0.308,"gene-PAPPA2","PAPPA2"
"NW_017738920.1:3506034|3538867","NW_017738920.1",3506034,3538867,32833,"+","CIRIquant","circRNA",0.0481,NA,"exon",3,6,0.5,"gene-PAPPA2","PAPPA2"
"NW_017738920.1:4696947|4705998","NW_017738920.1",4696947,4705998,9051,"+","CIRIquant","circRNA",1.3631,NA,"exon",85,0,1,"gene-RASAL2","RASAL2"
"NW_017738920.1:4696947|4762780","NW_017738920.1",4696947,4762780,65833,"+","CIRIquant","circRNA",0.0165,NA,"exon",1,10,0.167,"gene-RASAL2","RASAL2"
"NW_017738920.1:4696947|4786143","NW_017738920.1",4696947,4786143,89196,"+","CIRIquant","circRNA",0.0331,NA,"exon",2,1,0.8,"gene-RASAL2","RASAL2"
"NW_017738920.1:5034260|5040967","NW_017738920.1",5034260,5040967,6707,"+","CIRIquant","circRNA",0.0331,NA,"exon",2,0,1,"gene-RALGPS2","RALGPS2"
"NW_017738920.1:525355|528990","NW_017738920.1",525355,528990,3635,"+","CIRIquant","circRNA",0.0641,NA,"exon",4,0,1,"gene-PRRC2C","PRRC2C"
"NW_017738920.1:570825|571466","NW_017738920.1",570825,571466,641,"+","CIRIquant","circRNA",0.0331,NA,"exon",2,0,1,"gene-PRRC2C","PRRC2C"
"NW_017738920.1:5709736|5733673","NW_017738920.1",5709736,5733673,23937,"+","CIRIquant","circRNA",0.0321,NA,"exon",2,1,0.8,"gene-CEP350","CEP350"
"NW_017738920.1:6636816|6637252","NW_017738920.1",6636816,6637252,436,"+","CIRIquant","circRNA",0.0481,NA,"exon",3,12,0.333,"gene-CACNA1E","CACNA1E"
"NW_017738920.1:6693529|6721236","NW_017738920.1",6693529,6721236,27707,"+","CIRIquant","circRNA",0.2085,NA,"exon",13,2,0.929,"gene-CACNA1E","CACNA1E"
"NW_017738920.1:6778010|6780643","NW_017738920.1",6778010,6780643,2633,"+","CIRIquant","circRNA",0.0993,NA,"exon",6,0,1,"gene-CACNA1E","CACNA1E"
"NW_017738920.1:7728121|7748641","NW_017738920.1",7728121,7748641,20520,"+","CIRIquant","circRNA",0.0165,NA,"exon",1,4,0.333,"gene-LAMC1","LAMC1"
