"","circ_id","mpi1","mpi2","mpi3"
"1","scaffold0001:100759284|100759686",7,9,1
"2","scaffold0001:105448308|105451257",14,15,12
"3","scaffold0001:105535894|105552281",31,54,18
"4","scaffold0001:106780112|106781528",2,6,4
"5","scaffold0001:107430334|107431589",2,21,4
"6","scaffold0001:108099482|108114190",9,13,8
"7","scaffold0001:108454018|108455427",65,75,43
"8","scaffold0001:108912748|108913051",4,4,4
"9","scaffold0001:109818424|109818717",2,1,3
"10","scaffold0001:111739567|111741355",21,60,18
"11","scaffold0001:111857139|111858074",68,87,48
"12","scaffold0001:112309819|112313243",11,12,19
"13","scaffold0001:112898553|112906290",9,7,10
"14","scaffold0001:113822631|113824795",4,9,3
"15","scaffold0001:113879748|113888329",4,8,9
"16","scaffold0001:114001179|114009040",12,35,17
"17","scaffold0001:114031253|114051769",10,14,3
"18","scaffold0001:114048277|114051769",264,462,266
"19","scaffold0001:117465316|117470129",34,50,25
"20","scaffold0001:117602102|117603101",8,14,10
"21","scaffold0001:117824746|117825092",15,23,25
"22","scaffold0001:118228378|118228920",124,249,235
"23","scaffold0001:118231287|118231567",17,1,17
"24","scaffold0001:118266196|118270966",4,1,6
"25","scaffold0001:118671994|118672450",6,6,4
"26","scaffold0001:118672269|118672450",8,5,9
"27","scaffold0001:118688176|118688660",1,5,2
"28","scaffold0001:118703999|118711819",15,5,8
"29","scaffold0001:118707043|118711819",3,3,2
"30","scaffold0001:118960435|118962496",16,12,8
"31","scaffold0001:118961931|118962496",25,17,45
"32","scaffold0001:119366169|119366602",199,302,226
"33","scaffold0001:122258977|122260572",69,101,71
"34","scaffold0001:123500740|123503462",3,8,7
"35","scaffold0001:123661364|123663810",8,9,16
"36","scaffold0001:123799937|123801342",18,33,14
"37","scaffold0001:123844056|123844720",32,21,17
"38","scaffold0001:123844056|123847095",11,5,6
"39","scaffold0001:124020877|124061537",38,55,30
"40","scaffold0001:124029715|124061537",12,7,4
"41","scaffold0001:124169788|124180275",5,13,9
"42","scaffold0001:124328373|124338904",11,9,12
"43","scaffold0001:124335401|124338904",34,37,9
"44","scaffold0001:124335401|124340252",10,20,11
"45","scaffold0001:124343583|124344375",9,3,6
"46","scaffold0001:124354956|124361556",53,27,29
"47","scaffold0001:124354956|124370056",37,88,73
"48","scaffold0001:124356261|124359698",4,6,9
"49","scaffold0001:124356261|124361556",3,5,5
"50","scaffold0001:124359594|124361556",16,25,12
"51","scaffold0001:124366067|124370056",6,9,17
"52","scaffold0001:124369145|124370056",23,48,36
"53","scaffold0001:124644057|124645829",14,23,11
"54","scaffold0001:125218830|125236616",7,19,6
"55","scaffold0001:125236480|125270953",9,5,7
"56","scaffold0001:125539865|125543293",45,51,54
"57","scaffold0001:125544076|125545101",172,171,242
"58","scaffold0001:125767603|125767982",1,22,11
"59","scaffold0001:125926963|125931690",19,6,7
"60","scaffold0001:125931135|125931690",3,2,11
"61","scaffold0001:127574680|127574967",79,136,66
"62","scaffold0001:127975613|127977748",65,97,49
"63","scaffold0001:127975613|127991019",6,7,8
"64","scaffold0001:128373083|128385463",7,2,1
"65","scaffold0001:129934719|129947171",18,17,5
"66","scaffold0001:130894761|130901439",2,9,6
"67","scaffold0001:130894761|130907439",52,46,34
"68","scaffold0001:130894761|130909947",64,129,80
"69","scaffold0001:130894761|130936361",10,12,9
"70","scaffold0001:130959980|130965996",9,5,5
"71","scaffold0001:132742113|132761787",7,1,3
"72","scaffold0001:132899165|132905086",1,13,7
"73","scaffold0001:134858795|134860652",34,47,30
"74","scaffold0001:135619079|135636636",5,9,3
"75","scaffold0001:135631281|135636636",2,6,4
"76","scaffold0001:135788150|135801926",10,3,3
"77","scaffold0001:135825647|135830169",11,10,18
"78","scaffold0001:135845539|135852014",6,5,7
"79","scaffold0001:135867472|135869069",6,8,4
"80","scaffold0001:135951570|135955310",3,4,20
"81","scaffold0001:136107219|136108931",23,24,10
"82","scaffold0001:136107219|136112728",3,9,11
"83","scaffold0001:136975285|136978985",6,19,3
"84","scaffold0001:138555281|138563990",2,1,1
"85","scaffold0001:138563207|138563990",11,35,6
"86","scaffold0001:138721564|138725952",2,13,8
"87","scaffold0001:138721564|138727145",4,5,17
"88","scaffold0001:138725831|138727145",13,20,9
"89","scaffold0001:1388250|1395817",3,24,2
"90","scaffold0001:138974187|138974965",15,10,22
"91","scaffold0001:139016258|139026238",137,177,108
"92","scaffold0001:139230664|139232049",2,3,5
"93","scaffold0001:140365548|140381596",5,13,2
"94","scaffold0001:141278416|141313879",4,3,6
"95","scaffold0001:142311025|142311285",15,25,21
"96","scaffold0001:142421747|142440956",2,7,29
"97","scaffold0001:144239970|144247472",3,7,1
"98","scaffold0001:144239970|144261504",8,21,7
"99","scaffold0001:144239970|144271731",1,1,1
"100","scaffold0001:144243189|144261504",48,41,15
"101","scaffold0001:144247347|144261504",9,2,6
"102","scaffold0001:144261396|144271731",4,13,10
"103","scaffold0001:146613406|146633487",5,3,3
"104","scaffold0001:147791740|147793445",13,26,10
"105","scaffold0001:148976133|148977455",10,7,4
"106","scaffold0001:149201529|149202037",8,5,8
"107","scaffold0001:149201530|149202037",3,7,9
"108","scaffold0001:149201533|149202037",5,3,1
"109","scaffold0001:149201534|149202037",9,2,1
"110","scaffold0001:149556616|149557010",90,68,24
"111","scaffold0001:149664633|149669297",3,3,5
"112","scaffold0001:151771285|151773587",145,131,153
"113","scaffold0001:151773080|151773587",184,224,232
"114","scaffold0001:152158216|152160426",10,12,8
"115","scaffold0001:152734229|152734408",3,3,1
"116","scaffold0001:153194515|153196051",14,3,7
"117","scaffold0001:153213212|153214233",6,3,10
"118","scaffold0001:153215238|153215618",26,28,24
"119","scaffold0001:153366848|153367010",16,8,4
"120","scaffold0001:153366848|153367037",9,3,1
"121","scaffold0001:153610351|153611733",10,16,1
"122","scaffold0001:153682378|153684155",45,24,13
"123","scaffold0001:154571119|154576172",9,11,13
"124","scaffold0001:154863719|154866283",4,4,4
"125","scaffold0001:155440189|155440969",6,8,18
"126","scaffold0001:155912951|155923845",9,6,5
"127","scaffold0001:157301414|157311532",10,17,11
"128","scaffold0001:157398184|157414727",7,2,3
"129","scaffold0001:157423363|157425214",6,2,5
"130","scaffold0001:159521768|159522335",23,8,17
"131","scaffold0001:159524585|159530018",30,34,48
"132","scaffold0001:159820109|159831719",2,2,5
"133","scaffold0001:160934571|160935544",14,16,4
"134","scaffold0001:161036418|161039361",8,1,4
"135","scaffold0001:161038961|161039361",5,7,7
"136","scaffold0001:161209006|161210771",2,2,3
"137","scaffold0001:161628623|161629994",10,9,7
"138","scaffold0001:161757436|161758806",24,26,7
"139","scaffold0001:161757436|161760484",111,166,55
"140","scaffold0001:161757436|161762892",7,1,6
"141","scaffold0001:161757436|161766403",1,6,3
"142","scaffold0001:161798395|161804345",15,29,8
"143","scaffold0001:161799928|161804345",70,66,43
"144","scaffold0001:162978690|162979774",15,15,12
"145","scaffold0001:16303594|16306413",26,22,13
"146","scaffold0001:163451434|163458660",2,19,26
"147","scaffold0001:17070199|17079951",10,16,7
"148","scaffold0001:17837041|17840087",4,8,6
"149","scaffold0001:17837041|17864064",155,286,136
"150","scaffold0001:18267806|18274130",1,6,6
"151","scaffold0001:18277056|18277881",1,12,9
"152","scaffold0001:18287215|18295139",4,8,15
"153","scaffold0001:18287215|18302982",9,13,8
"154","scaffold0001:18307507|18314052",7,12,6
"155","scaffold0001:18349451|18351898",2,3,2
"156","scaffold0001:18349451|18359604",55,53,36
"157","scaffold0001:18349451|18366856",3,11,3
"158","scaffold0001:18485335|18492615",5,27,9
"159","scaffold0001:18489190|18492615",136,175,130
"160","scaffold0001:19784223|19791491",55,97,31
"161","scaffold0001:19986563|19992984",2,1,2
"162","scaffold0001:3305117|3320763",1,5,3
"163","scaffold0001:33564409|33567314",7,8,3
"164","scaffold0001:3432964|3433301",3,25,6
"165","scaffold0001:357530|362767",19,31,58
"166","scaffold0001:3842989|3843710",4,2,5
"167","scaffold0001:41501051|41501334",60,127,102
"168","scaffold0001:41501051|41509720",9,35,17
"169","scaffold0001:41718818|41739363",8,7,3
"170","scaffold0001:41718818|41743422",24,25,22
"171","scaffold0001:41733236|41739363",4,8,6
"172","scaffold0001:41733236|41743422",2,2,1
"173","scaffold0001:41739243|41743422",5,15,6
"174","scaffold0001:41776339|41777007",17,42,26
"175","scaffold0001:41777963|41786392",5,7,2
"176","scaffold0001:42012013|42021660",6,17,7
"177","scaffold0001:42124302|42130785",3,4,7
"178","scaffold0001:42203863|42219201",4,14,5
"179","scaffold0001:42296697|42314870",22,5,4
"180","scaffold0001:42296697|42328921",78,73,51
"181","scaffold0001:42303657|42310430",11,10,4
"182","scaffold0001:42303657|42328921",14,10,6
"183","scaffold0001:42676028|42678605",5,10,1
"184","scaffold0001:45505235|45507628",36,65,22
"185","scaffold0001:45909504|45912258",18,27,19
"186","scaffold0001:45969783|45970685",18,16,11
"187","scaffold0001:45977343|45978402",10,18,11
"188","scaffold0001:46022135|46029151",28,55,25
"189","scaffold0001:46838733|46862392",2,7,2
"190","scaffold0001:46930312|46938345",36,40,21
"191","scaffold0001:47615168|47615902",32,35,14
"192","scaffold0001:47623755|47627295",1,4,9
"193","scaffold0001:47654252|47655522",9,8,7
"194","scaffold0001:47755607|47764524",1,6,4
"195","scaffold0001:48112233|48112935",45,69,39
"196","scaffold0001:49591830|49604071",28,12,17
"197","scaffold0001:49594653|49604071",197,305,224
"198","scaffold0001:50503913|50509883",26,30,39
"199","scaffold0001:50503913|50527067",11,8,7
"200","scaffold0001:51004551|51015098",56,112,112
"201","scaffold0001:51012916|51015098",6,4,4
"202","scaffold0001:51050589|51051555",232,294,349
"203","scaffold0001:51271571|51276794",8,4,5
"204","scaffold0001:51337201|51338748",54,88,49
"205","scaffold0001:52669334|52682174",4,11,5
"206","scaffold0001:53407124|53407573",11,43,24
"207","scaffold0001:53407124|53424794",10,11,4
"208","scaffold0001:53423650|53424794",2,2,1
"209","scaffold0001:53529512|53536494",4,6,2
"210","scaffold0001:53757439|53761354",119,150,107
"211","scaffold0001:53770102|53778569",26,55,32
"212","scaffold0001:53771965|53783002",7,6,6
"213","scaffold0001:53773448|53778569",1,7,6
"214","scaffold0001:53782872|53785435",20,10,10
"215","scaffold0001:54079329|54080594",42,31,19
"216","scaffold0001:54502354|54508422",1,5,4
"217","scaffold0001:54533455|54545947",10,10,15
"218","scaffold0001:55609859|55629274",6,10,4
"219","scaffold0001:55747432|55751506",1,4,3
"220","scaffold0001:55809198|55812481",12,18,31
"221","scaffold0001:56826478|56832903",2,16,7
"222","scaffold0001:58150638|58150963",152,259,220
"223","scaffold0001:59465041|59469120",30,22,13
"224","scaffold0001:59465041|59476372",14,5,5
"225","scaffold0001:59577124|59578052",3,8,8
"226","scaffold0001:59577124|59606081",3,3,3
"227","scaffold0001:59708400|59716191",10,10,12
"228","scaffold0001:59708400|59732866",2,7,16
"229","scaffold0001:61404368|61415077",2,4,4
"230","scaffold0001:61540017|61540318",6,6,9
"231","scaffold0001:62455875|62458675",27,34,31
"232","scaffold0001:64958020|64960231",43,69,32
"233","scaffold0001:65321431|65321678",1,3,2
"234","scaffold0001:65389247|65393309",6,3,2
"235","scaffold0001:65389247|65402566",10,19,12
"236","scaffold0001:65393185|65400669",4,3,1
"237","scaffold0001:65393185|65402566",28,23,16
"238","scaffold0001:65400474|65402566",190,283,426
"239","scaffold0001:65402235|65402566",3,17,19
"240","scaffold0001:65752928|65756416",10,25,5
"241","scaffold0001:66702032|66720121",9,31,35
"242","scaffold0001:66716737|66720121",12,4,7
"243","scaffold0001:67666|80271",2,4,4
"244","scaffold0001:69317784|69355228",4,12,2
"245","scaffold0001:69350400|69355228",21,25,15
"246","scaffold0001:69350400|69366506",26,66,21
"247","scaffold0001:69350400|69380566",18,22,12
"248","scaffold0001:69380439|69386658",7,2,4
"249","scaffold0001:69412335|69412656",21,30,17
"250","scaffold0001:69412335|69442416",10,12,6
"251","scaffold0001:69656915|69658863",4,11,12
"252","scaffold0001:697840|704141",23,25,29
"253","scaffold0001:697909|704141",2,10,7
"254","scaffold0001:69863894|69864755",23,21,26
"255","scaffold0001:69899646|69916596",16,33,26
"256","scaffold0001:69916513|69922220",18,29,30
"257","scaffold0001:70767388|70767942",3,11,17
"258","scaffold0001:71167426|71172125",84,75,76
"259","scaffold0001:71303269|71307588",16,22,4
"260","scaffold0001:71440634|71443309",1,13,9
"261","scaffold0001:71530409|71549117",52,55,28
"262","scaffold0001:71537237|71541501",147,258,149
"263","scaffold0001:71537237|71549117",168,162,92
"264","scaffold0001:71541405|71549117",12,18,6
"265","scaffold0001:71600528|71602339",11,11,13
"266","scaffold0001:71779625|71780485",1,3,5
"267","scaffold0001:71796849|71800575",39,51,40
"268","scaffold0001:71828409|71829138",1,1,9
"269","scaffold0001:71860511|71863143",2,6,1
"270","scaffold0001:72355896|72362633",1,14,2
"271","scaffold0001:74239457|74241411",9,6,3
"272","scaffold0001:74239457|74250096",4,5,3
"273","scaffold0001:75899723|75914544",17,24,4
"274","scaffold0001:75909892|75914544",16,45,14
"275","scaffold0001:75956312|76019887",23,25,12
"276","scaffold0001:76016262|76019887",719,895,690
