"circ_id","seqnames","start","end","width","strand","source","type","score","phase","circ_type","bsj","fsj","junc_ratio","gene_id"
"scaffold0001:100323660|100333636","scaffold0001",100323660,100333636,9976,"-","CIRIquant","circRNA",0.1434,NA,"exon",2,1,0.8,"ENSMFUG00001127523243"
"scaffold0001:100325417|100333636","scaffold0001",100325417,100333636,8219,"-","CIRIquant","circRNA",0.0316,NA,"exon",2,18,0.182,"ENSMFUG00001127523243"
"scaffold0001:100328795|100333636","scaffold0001",100328795,100333636,4841,"-","CIRIquant","circRNA",0.8427,NA,"exon",4,3,0.727,"ENSMFUG00001127523243"
"scaffold0001:100330609|100333636","scaffold0001",100330609,100333636,3027,"-","CIRIquant","circRNA",1.0534,NA,"exon",5,0,1,"ENSMFUG00001127523243"
"scaffold0001:100957916|100972382","scaffold0001",100957916,100972382,14466,"-","CIRIquant","circRNA",0.6453,NA,"exon",9,9,0.667,"ENSMFUG00001127724241"
"scaffold0001:100957916|100976911","scaffold0001",100957916,100976911,18995,"-","CIRIquant","circRNA",0.0632,NA,"exon",4,5,0.615,"ENSMFUG00001127724241"
"scaffold0001:100957916|100977439","scaffold0001",100957916,100977439,19523,"-","CIRIquant","circRNA",1.0755,NA,"exon",15,3,0.909,"ENSMFUG00001127724241"
"scaffold0001:100976805|101024700","scaffold0001",100976805,101024700,47895,"-","CIRIquant","circRNA",0.8427,NA,"exon",4,0,1,"ENSMFUG00001127724241"
"scaffold0001:101022399|101024700","scaffold0001",101022399,101024700,2301,"-","CIRIquant","circRNA",2.0076,NA,"exon",28,4,0.933,"ENSMFUG00001127724241"
"scaffold0001:101024527|101024700","scaffold0001",101024527,101024700,173,"-","CIRIquant","circRNA",1.1472,NA,"exon",16,8,0.8,"ENSMFUG00001127724241"
"scaffold0001:101348677|101355544","scaffold0001",101348677,101355544,6867,"+","CIRIquant","circRNA",0.2868,NA,"exon",4,0,1,"ENSMFUG00001128224241"
"scaffold0001:101359696|101368117","scaffold0001",101359696,101368117,8421,"+","CIRIquant","circRNA",4.302,NA,"exon",60,0,1,"ENSMFUG00001128224241"
"scaffold0001:101364606|101368117","scaffold0001",101364606,101368117,3511,"+","CIRIquant","circRNA",0.4214,NA,"exon",2,3,0.571,"ENSMFUG00001128224241"
"scaffold0001:101841551|101845416","scaffold0001",101841551,101845416,3865,"-","CIRIquant","circRNA",0.0717,NA,"exon",1,2,0.5,"ENSMFUG00001128922243"
"scaffold0001:101842598|101845416","scaffold0001",101842598,101845416,2818,"-","CIRIquant","circRNA",1.2641,NA,"exon",6,0,1,"ENSMFUG00001128922243"
"scaffold0001:101842598|101849632","scaffold0001",101842598,101849632,7034,"-","CIRIquant","circRNA",0.0717,NA,"exon",1,0,1,"ENSMFUG00001128922243"
"scaffold0001:102720304|102765433","scaffold0001",102720304,102765433,45129,"+","CIRIquant","circRNA",0.2151,NA,"exon",3,3,0.667,"ENSMFUG00001129500244,ENSMFUG00001129701243,ENSMFUG00001129419243,ENSMFUG00001129600244"
"scaffold0001:102765233|102765433","scaffold0001",102765233,102765433,200,"+","CIRIquant","circRNA",0.2151,NA,"exon",3,0,1,"ENSMFUG00001129500244,ENSMFUG00001129419243,ENSMFUG00001129701243,ENSMFUG00001129600244"
"scaffold0001:102892235|102898697","scaffold0001",102892235,102898697,6462,"+","CIRIquant","circRNA",0.5019,NA,"exon",7,1,0.933,"ENSMFUG00001129500244,ENSMFUG00001129701243,ENSMFUG00001129419243,ENSMFUG00001129600244"
"scaffold0001:103001728|103005493","scaffold0001",103001728,103005493,3765,"+","CIRIquant","circRNA",0.0717,NA,"exon",1,1,0.667,"ENSMFUG00001129500244,ENSMFUG00001129701243,ENSMFUG00001129419243,ENSMFUG00001129600244"
"scaffold0001:103001728|103006841","scaffold0001",103001728,103006841,5113,"+","CIRIquant","circRNA",0.0632,NA,"exon",4,4,0.667,"ENSMFUG00001129500244,ENSMFUG00001129701243,ENSMFUG00001129419243,ENSMFUG00001129600244"
"scaffold0001:103595638|103605121","scaffold0001",103595638,103605121,9483,"-","CIRIquant","circRNA",0.5019,NA,"exon",7,0,1,"ENSMFUG00001130301243,ENSMFUG00001130223243"
"scaffold0001:103620482|103623075","scaffold0001",103620482,103623075,2593,"-","CIRIquant","circRNA",3.8001,NA,"exon",53,0,1,"ENSMFUG00001130301243,ENSMFUG00001130223243"
"scaffold0001:103794219|103795726","scaffold0001",103794219,103795726,1507,"+","CIRIquant","circRNA",0.5019,NA,"exon",7,6,0.7,"ENSMFUG00001130522243"
"scaffold0001:103794219|103797295","scaffold0001",103794219,103797295,3076,"+","CIRIquant","circRNA",1.5057,NA,"exon",21,5,0.894,"ENSMFUG00001130522243"
"scaffold0001:103795560|103797295","scaffold0001",103795560,103797295,1735,"+","CIRIquant","circRNA",1.2189,NA,"exon",17,16,0.68,"ENSMFUG00001130522243"
"scaffold0001:103825074|103825376","scaffold0001",103825074,103825376,302,"+","CIRIquant","circRNA",14.6268,NA,"exon",204,4,0.99,"ENSMFUG00001130722243"
"scaffold0001:103825074|103841091","scaffold0001",103825074,103841091,16017,"+","CIRIquant","circRNA",1.2189,NA,"exon",17,0,1,"ENSMFUG00001130722243"
"scaffold0001:103825074|103854606","scaffold0001",103825074,103854606,29532,"+","CIRIquant","circRNA",1.5774,NA,"exon",22,0,1,"ENSMFUG00001130722243"
"scaffold0001:103825074|103868986","scaffold0001",103825074,103868986,43912,"+","CIRIquant","circRNA",0.2151,NA,"exon",3,0,1,"ENSMFUG00001130722243"
"scaffold0001:103840995|103845464","scaffold0001",103840995,103845464,4469,"+","CIRIquant","circRNA",11.7588,NA,"exon",164,0,1,"ENSMFUG00001130722243"
"scaffold0001:103840995|103854606","scaffold0001",103840995,103854606,13611,"+","CIRIquant","circRNA",7.3851,NA,"exon",103,0,1,"ENSMFUG00001130722243"
"scaffold0001:103840995|103868986","scaffold0001",103840995,103868986,27991,"+","CIRIquant","circRNA",5.8077,NA,"exon",81,24,0.871,"ENSMFUG00001130722243"
"scaffold0001:103845267|103845464","scaffold0001",103845267,103845464,197,"+","CIRIquant","circRNA",0.1434,NA,"exon",2,83,0.046,"ENSMFUG00001130722243"
"scaffold0001:103845267|103854606","scaffold0001",103845267,103854606,9339,"+","CIRIquant","circRNA",27.8912,NA,"exon",389,0,1,"ENSMFUG00001130722243"
"scaffold0001:103845267|103868986","scaffold0001",103845267,103868986,23719,"+","CIRIquant","circRNA",15.1287,NA,"exon",211,0,1,"ENSMFUG00001130722243"
"scaffold0001:103854521|103868986","scaffold0001",103854521,103868986,14465,"+","CIRIquant","circRNA",0.4214,NA,"exon",2,0,1,"ENSMFUG00001130722243"
"scaffold0001:103951214|103954158","scaffold0001",103951214,103954158,2944,"-","CIRIquant","circRNA",0.8427,NA,"exon",4,5,0.615,"ENSMFUG00001130823243"
"scaffold0001:103966825|103968872","scaffold0001",103966825,103968872,2047,"-","CIRIquant","circRNA",0.1434,NA,"exon",2,1,0.8,"ENSMFUG00001130823243"
"scaffold0001:104032169|104035819","scaffold0001",104032169,104035819,3650,"-","CIRIquant","circRNA",0.1106,NA,"exon",7,1,0.933,"ENSMFUG00001130919193"
"scaffold0001:104106010|104109085","scaffold0001",104106010,104109085,3075,"-","CIRIquant","circRNA",0.4302,NA,"exon",6,3,0.8,"ENSMFUG00001130919193"
"scaffold0001:104638971|104642078","scaffold0001",104638971,104642078,3107,"+","CIRIquant","circRNA",1.3623,NA,"exon",19,4,0.905,"ENSMFUG00001131423243"
"scaffold0001:104639424|104642078","scaffold0001",104639424,104642078,2654,"+","CIRIquant","circRNA",0.8427,NA,"exon",4,0,1,"ENSMFUG00001131423243"
"scaffold0001:104802779|104803134","scaffold0001",104802779,104803134,355,"-","CIRIquant","circRNA",0.2151,NA,"exon",3,0,1,"ENSMFUG00001131623233"
"scaffold0001:105534966|105547478","scaffold0001",105534966,105547478,12512,"+","CIRIquant","circRNA",0.2151,NA,"exon",3,5,0.545,"ENSMFUG00001132424241"
"scaffold0001:105545379|105547478","scaffold0001",105545379,105547478,2099,"+","CIRIquant","circRNA",11.6154,NA,"exon",162,0,1,"ENSMFUG00001132424241"
"scaffold0001:105547907|105552060","scaffold0001",105547907,105552060,4153,"+","CIRIquant","circRNA",0.5019,NA,"exon",7,0,1,"ENSMFUG00001132424241"
"scaffold0001:105573217|105576786","scaffold0001",105573217,105576786,3569,"+","CIRIquant","circRNA",0.717,NA,"exon",10,0,1,"ENSMFUG00001132424241"
"scaffold0001:105597843|105599822","scaffold0001",105597843,105599822,1979,"+","CIRIquant","circRNA",0.7887,NA,"exon",11,0,1,"ENSMFUG00001132424241"
"scaffold0001:105597843|105612030","scaffold0001",105597843,105612030,14187,"+","CIRIquant","circRNA",0.717,NA,"exon",10,0,1,"ENSMFUG00001132424241"
"scaffold0001:10569361|10579892","scaffold0001",10569361,10579892,10531,"+","CIRIquant","circRNA",0.6453,NA,"exon",9,4,0.818,"ENSMFUG00001026620243"
"scaffold0001:10569361|10593086","scaffold0001",10569361,10593086,23725,"+","CIRIquant","circRNA",0.2868,NA,"exon",4,0,1,"ENSMFUG00001026620243"
"scaffold0001:10569361|10628132","scaffold0001",10569361,10628132,58771,"+","CIRIquant","circRNA",0.2151,NA,"exon",3,0,1,"ENSMFUG00001026620243"
"scaffold0001:105745949|105746243","scaffold0001",105745949,105746243,294,"-","CIRIquant","circRNA",0.5019,NA,"exon",7,4,0.778,"ENSMFUG00001132723233"
"scaffold0001:105783425|105784007","scaffold0001",105783425,105784007,582,"-","CIRIquant","circRNA",0.2151,NA,"exon",3,0,1,"ENSMFUG00001132723233"
"scaffold0001:105834688|105840238","scaffold0001",105834688,105840238,5550,"-","CIRIquant","circRNA",0.717,NA,"exon",10,0,1,"ENSMFUG00001132801233"
"scaffold0001:105890423|105893432","scaffold0001",105890423,105893432,3009,"-","CIRIquant","circRNA",0.5736,NA,"exon",8,12,0.571,"ENSMFUG00001132924243"
"scaffold0001:105890423|105895155","scaffold0001",105890423,105895155,4732,"-","CIRIquant","circRNA",0.9321,NA,"exon",13,3,0.897,"ENSMFUG00001132924243"
"scaffold0001:105890423|105899374","scaffold0001",105890423,105899374,8951,"-","CIRIquant","circRNA",0.1434,NA,"exon",2,3,0.571,"ENSMFUG00001132924243"
"scaffold0001:105893249|105895155","scaffold0001",105893249,105895155,1906,"-","CIRIquant","circRNA",0.3585,NA,"exon",5,5,0.667,"ENSMFUG00001132924243"
"scaffold0001:105894572|105897363","scaffold0001",105894572,105897363,2791,"-","CIRIquant","circRNA",0.0316,NA,"exon",2,38,0.095,"ENSMFUG00001132924243"
"scaffold0001:105949103|105949636","scaffold0001",105949103,105949636,533,"-","CIRIquant","circRNA",0.8427,NA,"exon",4,2,0.8,"ENSMFUG00001132924243"
"scaffold0001:106050669|106052678","scaffold0001",106050669,106052678,2009,"-","CIRIquant","circRNA",0.1579,NA,"exon",10,2,0.909,"ENSMFUG00001133220243"
"scaffold0001:106050669|106058053","scaffold0001",106050669,106058053,7384,"-","CIRIquant","circRNA",0.8604,NA,"exon",12,0,1,"ENSMFUG00001133220243"
"scaffold0001:106090615|106093140","scaffold0001",106090615,106093140,2525,"-","CIRIquant","circRNA",0.079,NA,"exon",5,0,1,"ENSMFUG00001133220243"
