"","circ_id","mfu1","mfu2","mfu3"
"1","scaffold0001:100323660|100333636",2,NA,8
"2","scaffold0001:100325417|100333636",NA,2,NA
"3","scaffold0001:100328795|100333636",NA,NA,4
"4","scaffold0001:100330609|100333636",NA,NA,5
"5","scaffold0001:100516943|100531553",NA,2,NA
"6","scaffold0001:100526565|100531553",4,NA,NA
"7","scaffold0001:100957916|100972382",9,6,NA
"8","scaffold0001:100957916|100976911",NA,5,6
"9","scaffold0001:100957916|100977439",16,6,1
"10","scaffold0001:100976805|101024700",NA,NA,4
"11","scaffold0001:100987898|101024700",11,9,6
"12","scaffold0001:101022399|101024700",26,19,15
"13","scaffold0001:101024527|101024700",16,1,NA
"14","scaffold0001:101208885|101209671",NA,NA,1
"15","scaffold0001:101348677|101355544",4,NA,5
"16","scaffold0001:101359696|101368117",60,NA,11
"17","scaffold0001:101364606|101368117",NA,NA,2
"18","scaffold0001:101841551|101845416",1,1,NA
"19","scaffold0001:101842598|101845416",NA,NA,7
"20","scaffold0001:101842598|101849632",1,NA,NA
"21","scaffold0001:102720304|102765433",3,NA,NA
"22","scaffold0001:102765233|102765433",3,NA,NA
"23","scaffold0001:102823526|102846556",4,NA,NA
"24","scaffold0001:102892235|102898697",7,20,NA
"25","scaffold0001:103001728|103005493",1,NA,6
"26","scaffold0001:103001728|103006841",NA,4,NA
"27","scaffold0001:103451409|103539125",2,1,NA
"28","scaffold0001:103451409|103544502",2,1,NA
"29","scaffold0001:103538610|103546102",NA,1,NA
"30","scaffold0001:103538610|103565118",2,NA,NA
"31","scaffold0001:103570304|103585793",NA,2,NA
"32","scaffold0001:103585620|103605121",4,NA,NA
"33","scaffold0001:103588893|103591355",8,2,NA
"34","scaffold0001:103591238|103605121",6,NA,NA
"35","scaffold0001:103595638|103596396",4,NA,NA
"36","scaffold0001:103595638|103605121",14,NA,NA
"37","scaffold0001:103620482|103623075",55,33,31
"38","scaffold0001:103620482|103630165",6,4,NA
"39","scaffold0001:103620482|103631182",NA,2,NA
"40","scaffold0001:103775955|103797295",1,NA,NA
"41","scaffold0001:103794219|103795726",76,11,23
"42","scaffold0001:103794219|103797295",21,11,16
"43","scaffold0001:103795560|103797295",17,NA,NA
"44","scaffold0001:103825074|103825376",211,143,170
"45","scaffold0001:103825074|103841091",22,1,12
"46","scaffold0001:103825074|103854606",29,16,16
"47","scaffold0001:103825074|103868986",3,15,3
"48","scaffold0001:103840995|103845464",201,72,88
"49","scaffold0001:103840995|103854606",108,55,60
"50","scaffold0001:103840995|103868986",77,26,33
"51","scaffold0001:103845267|103845464",2,NA,NA
"52","scaffold0001:103845267|103854606",393,174,212
"53","scaffold0001:103845267|103868986",205,153,103
"54","scaffold0001:103854521|103868986",NA,NA,5
"55","scaffold0001:103950481|103951355",8,3,NA
"56","scaffold0001:103951214|103954158",NA,NA,4
"57","scaffold0001:103966825|103968872",2,16,NA
"58","scaffold0001:104032169|104035819",NA,NA,4
"59","scaffold0001:104032169|104044011",11,NA,NA
"60","scaffold0001:104043873|104050786",NA,NA,2
"61","scaffold0001:104049463|104050786",6,NA,2
"62","scaffold0001:104057137|104070473",5,NA,1
"63","scaffold0001:104062031|104070473",2,NA,NA
"64","scaffold0001:104078822|104086288",NA,3,NA
"65","scaffold0001:104078822|104090905",1,NA,NA
"66","scaffold0001:104078822|104104354",2,NA,NA
"67","scaffold0001:104083157|104086288",NA,3,NA
"68","scaffold0001:104083157|104090905",1,NA,NA
"69","scaffold0001:104083157|104096397",NA,NA,1
"70","scaffold0001:104083157|104104354",1,NA,NA
"71","scaffold0001:104106010|104109085",16,16,17
"72","scaffold0001:104106010|104111047",87,23,34
"73","scaffold0001:104106010|104112538",54,26,31
"74","scaffold0001:104108886|104111047",1725,686,897
"75","scaffold0001:104108886|104112538",1473,643,871
"76","scaffold0001:104158108|104161427",2,14,6
"77","scaffold0001:104194040|104201101",18,NA,3
"78","scaffold0001:104194040|104202885",1,NA,NA
"79","scaffold0001:104467803|104470280",1,NA,NA
"80","scaffold0001:104467803|104472989",2,NA,NA
"81","scaffold0001:104633005|104642078",NA,NA,20
"82","scaffold0001:104638971|104642078",16,1,12
"83","scaffold0001:104639424|104642078",NA,NA,4
"84","scaffold0001:104802779|104803134",NA,6,12
"85","scaffold0001:10484385|10593086",1,NA,NA
"86","scaffold0001:105534966|105547478",3,NA,NA
"87","scaffold0001:105545379|105547478",241,115,86
"88","scaffold0001:105547907|105548839",11,5,NA
"89","scaffold0001:105547907|105549646",4,2,NA
"90","scaffold0001:105547907|105552060",8,NA,NA
"91","scaffold0001:105559275|105576786",1,NA,NA
"92","scaffold0001:105564913|105576786",3,NA,NA
"93","scaffold0001:105566585|105576786",5,1,NA
"94","scaffold0001:105573217|105576786",11,NA,NA
"95","scaffold0001:105597843|105599822",14,1,7
"96","scaffold0001:105597843|105612030",9,NA,NA
