tool,top_circ_id,top_is_circAcc1_ACACA,top_mean_reads,second_circ_id,second_mean_reads,top_vs_second_fold,best_ACACA_circ_id,best_ACACA_rank,best_ACACA_mean_reads
CIRCexplorer3,11:84083904|84086513,True,938.0,1:87291825|87307730,290.333,3.231,11:84083904|84086513,1,938.0
CIRIquant,11:84083904|84086513,True,886.0,7:99584368|99604747,270.0,3.281,11:84083904|84086513,1,886.0
find_circ,11:84083904|84086513,True,267.333,8:85498412|85498944,195.667,1.366,11:84083904|84086513,1,267.333
