"gene_name","hsa","hsa_n_circs","mfu","mfu_n_circs","mma","mma_n_circs","mmu","mmu_n_circs","mpi","mpi_n_circs","rsi","rsi_n_circs"
"DHRS3","1:12578717|12579412",1,"scaffold0027:20236532|20238012",1,"",0,"",0,"scaffold0010:72755111|72760656",1,"",0
"KCTD3","1:215586494|215595471",1,"scaffold0036:3823712|3828392",1,"",0,"1:188706262|188710849",1,"",0,"",0
"RNF19B","1:32948221|32949774",1,"scaffold0027:4819976|4821525;scaffold0027:4819976|4829271;scaffold0027:4823678|4829271",3,"",0,"",0,"",0,"NW_017738987.1:2235418|2239267",1
"FGGY","1:59339957|59378837",1,"scaffold0010:7848241|7868002;scaffold0010:7848241|7891383",2,"",0,"",0,"",0,"NW_017739104.1:2461959|2482713",1
"PDCD11","10:103438014|103438808",1,"scaffold0011:44317106|44317801",1,"",0,"",0,"scaffold0014:16635491|16635980",1,"",0
"EIF3A","10:119038237|119038439",1,"",0,"",0,"19:60751502|60752671;19:60752469|60752671",2,"",0,"NW_017738957.1:17704870|17706094;NW_017738957.1:17708703|17710194",2
"CUL2","10:35060873|35071339",1,"scaffold0034:2952545|2956224",1,"",0,"",0,"scaffold0004:2117777|2139336",1,"",0
"TEAD1","11:12764178|12764434",1,"",0,"",0,"7:112358590|112358846",1,"",0,"NW_017738926.1:4560914|4561170;NW_017738926.1:4677459|4680842",2
"RSF1","11:77683709|77693611",1,"scaffold0008:29542735|29545599;scaffold0008:29545410|29545599",2,"",0,"",0,"scaffold0017:10188645|10190138;scaffold0017:10188645|10201360;scaffold0017:10240961|10244229;scaffold0017:10248029|10248218",4,"",0
"GCN1","12:120154969|120155719",1,"",0,"",0,"5:115726992|115727384",1,"scaffold0023:3951998|3952852",1,"",0
"DYNC1H1","14:102040235|102040673",1,"scaffold0026:2313792|2314390",1,"",0,"12:110617924|110618628",1,"",0,"",0
"ZFYVE26","14:67767703|67769730",1,"",0,"",0,"12:79310546|79311207",1,"scaffold0004:78172499|78174823",1,"",0
"MAP3K9","14:70742350|70742591",1,"scaffold0026:24542637|24588358",1,"",0,"",0,"scaffold0004:80457494|80496462",1,"",0
"CEP128","14:80497468|80530886",1,"scaffold0026:16731060|16738915;scaffold0026:16731060|16747093;scaffold0026:16731060|16780852;scaffold0026:16735069|16747093;scaffold0026:16735069|16780852;scaffold0026:16774303|16802082;scaffold0026:16780700|16802082;scaffold0026:16833631|16842542;scaffold0026:16837417|16842542;scaffold0026:16990076|16994169",10,"",0,"",0,"scaffold0004:88529005|88538971;scaffold0004:88640375|88660723;scaffold0004:88663743|88665134",3,"",0
"RMDN3","15:40744046|40745259",1,"scaffold0015:8479790|8481428;scaffold0015:8479790|8487587;scaffold0015:8481142|8481428",3,"",0,"",0,"scaffold0004:39566228|39567273",1,"",0
"MAP2K1","15:66435026|66436892",1,"",0,"",0,"",0,"scaffold0004:61501086|61502892;scaffold0004:61501086|61507757",2,"NW_017738959.1:959596|969253;NW_017738959.1:986763|989745;NW_017738959.1:986763|994090",3
"FARSA","19:12928341|12928847",1,"",0,"19:12514635|12515141",1,"8:85590686|85591181",1,"",0,"",0
"SAFB2","19:5604582|5604936",1,"scaffold0005:51280393|51286358;scaffold0005:51289485|51291109;scaffold0005:51290978|51295360",3,"",0,"",0,"scaffold0005:80474870|80475223;scaffold0005:80474870|80485580",2,"",0
"HNRNPM","19:8455404|8463686",1,"scaffold0005:65074868|65086728;scaffold0005:65074868|65094172;scaffold0005:65080607|65094172;scaffold0005:65085579|65094172",4,"",0,"",0,"",0,"NW_017739452.1:504151|517326",1
"ZC3H6","2:112299848|112300029",1,"scaffold0021:33260789|33267063",1,"",0,"",0,"",0,"NW_017739536.1:51853|60729;NW_017739536.1:60548|60729",2
"RHBDD1","2:226906792|226914351",1,"scaffold0004:7192048|7202013",1,"",0,"",0,"scaffold0012:27735178|27737047;scaffold0012:27735178|27773264;scaffold0012:27762829|27773264",3,"",0
"ATAD2B","2:23823257|23823569",1,"scaffold0031:11663380|11666138;scaffold0031:11663380|11672083;scaffold0031:11666062|11672083;scaffold0031:11671971|11676245;scaffold0031:11671971|11677948;scaffold0031:11676070|11680675",6,"",0,"12:4987386|4995022;12:4994905|5004657",2,"",0,"",0
"OSBPL2","20:62286582|62289330",1,"scaffold0042:1343264|1348375",1,"",0,"",0,"",0,"NW_017739293.1:1229684|1234132;NW_017739293.1:1231667|1234132",2
"DOP1B","21:36247516|36248568",1,"scaffold0003:94437718|94439479",1,"",0,"",0,"scaffold0002:3370331|3371816;scaffold0002:3370331|3373819",2,"",0
"PDIA5","3:123124065|123130616",1,"scaffold0003:50341592|50344769",1,"",0,"",0,"",0,"NW_017739064.1:1719530|1744171",1
"SMARCA5","4:143543508|143543972",1,"scaffold0005:22125431|22125892",1,"",0,"",0,"",0,"NW_017738992.1:3084924|3085396",1
"RELL1","4:37631384|37638504",1,"",0,"",0,"5:64082077|64095376;5:64082077|64097105",2,"",0,"NW_017739097.1:5495488|5510150",1
"TBC1D1","4:38089931|38103157",1,"scaffold0018:15748993|15753874",1,"",0,"",0,"scaffold0006:23334440|23341191;scaffold0006:23334440|23355785;scaffold0006:23341080|23351612;scaffold0006:23341080|23355785;scaffold0006:23401188|23403741;scaffold0006:23401188|23417524",6,"",0
"FCHO2","5:73074741|73077493",1,"",0,"6:69883942|69903301;6:69900535|69903301",2,"",0,"scaffold0003:38201955|38211631",1,"",0
"TRIM35","8:27294079|27294310",1,"scaffold0005:47057463|47060250",1,"",0,"",0,"scaffold0005:76369565|76372353;scaffold0005:76372122|76372353",2,"",0
"RAB11FIP1","8:37877108|37877551",1,"scaffold0029:22578672|22584432",1,"",0,"",0,"",0,"NW_017739180.1:940403|945957",1
"LPAR1","9:110972072|110973558",1,"scaffold0007:53707943|53708691",1,"",0,"",0,"",0,"NW_017739211.1:2716960|2717708;NW_017739211.1:2716960|2739000",2
"CAMSAP1","9:135881632|135883078",1,"scaffold0007:71652065|71662701",1,"",0,"2:25855674|25856960",1,"",0,"",0
"ZMYM2","",0,"scaffold0001:103620482|103623075",1,"",0,"",0,"scaffold0001:71779625|71780485;scaffold0001:71796849|71800575",2,"NW_017739212.1:1372459|1379141;NW_017739212.1:1372459|1380783;NW_017739212.1:1372459|1393986;NW_017739212.1:1372459|1400932;NW_017739212.1:1424858|1429658",5
"ZMYM5","",0,"scaffold0001:103794219|103795726;scaffold0001:103794219|103797295",2,"",0,"",0,"scaffold0001:71600528|71602339",1,"NW_017739212.1:1300327|1313300",1
"PARP4","",0,"scaffold0001:104106010|104109085",1,"",0,"",0,"scaffold0001:71303269|71307588",1,"NW_017739212.1:1091125|1094243;NW_017739212.1:1094554|1099047",2
"SLC41A2","",0,"scaffold0001:13366171|13373232;scaffold0001:13380987|13385909",2,"",0,"10:83117233|83119733;10:83133017|83140239",2,"scaffold0001:161628623|161629994",1,"",0
