"circ_id","mpi1","mpi2","mpi3"
"scaffold0001:105535895|105552281",28,54,17
"scaffold0001:105545042|105552281",26,44,14
"scaffold0001:106987477|107032325",54,64,55
"scaffold0001:107605757|107613704",36,58,29
"scaffold0001:108454019|108455427",59,74,42
"scaffold0001:111739568|111741355",21,57,20
"scaffold0001:111739568|111762816",48,76,20
"scaffold0001:111857140|111858074",65,83,44
"scaffold0001:112309820|112313243",12,12,14
"scaffold0001:112553619|112558183",51,154,75
"scaffold0001:112594018|112598110",13,14,14
"scaffold0001:113802722|113810698",17,38,10
"scaffold0001:114001180|114009040",12,30,17
"scaffold0001:117465317|117470129",34,51,24
"scaffold0001:117824747|117825092",14,22,21
"scaffold0001:118228379|118228920",114,217,218
"scaffold0001:118961932|118962496",25,13,40
"scaffold0001:119022479|119022663",222,289,270
"scaffold0001:119366170|119366602",198,301,213
"scaffold0001:119386022|119403372",72,85,56
"scaffold0001:119399047|119405562",52,58,69
"scaffold0001:122258978|122260572",70,103,72
"scaffold0001:123668202|123669978",63,45,32
"scaffold0001:123799938|123801342",16,33,14
"scaffold0001:123844057|123844720",30,21,13
"scaffold0001:124020878|124061537",44,57,31
"scaffold0001:124335402|124340252",15,16,12
"scaffold0001:124354957|124361556",53,38,28
"scaffold0001:124354957|124370056",37,96,70
"scaffold0001:124359595|124361556",19,27,16
"scaffold0001:124644058|124645829",15,16,12
"scaffold0001:125539866|125543293",45,52,52
"scaffold0001:125544077|125545101",157,163,223
"scaffold0001:127574681|127574967",66,122,56
"scaffold0001:127642582|127658369",10,42,24
"scaffold0001:127975614|127977748",68,99,49
"scaffold0001:130894762|130907439",55,44,34
"scaffold0001:130894762|130909947",58,132,78
"scaffold0001:131047383|131047708",510,669,673
"scaffold0001:131047444|131047708",102,193,100
"scaffold0001:132491413|132493314",37,27,23
"scaffold0001:134858796|134860652",29,48,27
"scaffold0001:135825648|135830169",11,10,18
"scaffold0001:136107220|136108931",23,24,11
"scaffold0001:139016259|139026238",135,176,109
"scaffold0001:142311026|142311285",15,23,22
"scaffold0001:144243190|144261504",45,31,13
"scaffold0001:149556617|149557010",84,60,25
"scaffold0001:151771286|151773587",139,128,148
"scaffold0001:151773081|151773587",172,224,228
"scaffold0001:153048491|153050521",12,27,29
"scaffold0001:153048862|153050521",10,70,43
"scaffold0001:153215239|153215618",23,29,27
"scaffold0001:155321576|155331146",27,16,22
"scaffold0001:159524586|159530018",31,34,50
"scaffold0001:161438771|161466284",13,12,15
"scaffold0001:161757437|161760484",104,170,50
"scaffold0001:161799929|161804345",61,60,41
"scaffold0001:162978691|162979774",14,20,11
"scaffold0001:16303595|16306413",25,19,14
"scaffold0001:163333175|163333491",10,20,21
"scaffold0001:17837042|17864064",146,274,127
"scaffold0001:18349452|18359604",54,54,32
"scaffold0001:18396656|18399791",168,185,144
"scaffold0001:18489191|18492615",128,159,124
"scaffold0001:19784224|19793616",40,28,24
"scaffold0001:357531|362767",21,29,56
"scaffold0001:41501052|41501334",55,126,106
"scaffold0001:41718819|41743422",22,27,22
"scaffold0001:41776340|41777007",13,43,27
"scaffold0001:42296698|42328921",78,73,57
"scaffold0001:42676029|42678605",13,27,20
"scaffold0001:43450754|43457042",23,20,15
"scaffold0001:43450754|43457047",294,400,235
"scaffold0001:45505236|45507628",35,56,23
"scaffold0001:45909505|45912258",18,25,19
"scaffold0001:45969784|45970685",17,16,11
"scaffold0001:45977344|45978402",10,12,10
"scaffold0001:46022136|46029151",25,54,21
"scaffold0001:46930313|46938345",30,37,19
"scaffold0001:47615169|47615902",31,35,14
"scaffold0001:48112234|48112932",22,28,19
"scaffold0001:48112234|48112935",41,65,38
"scaffold0001:49591831|49604071",28,12,21
"scaffold0001:49594654|49599541",15,18,13
"scaffold0001:49594654|49604071",182,295,213
"scaffold0001:49621304|49631709",30,42,29
"scaffold0001:50503914|50509883",28,30,38
"scaffold0001:51004552|51015098",53,110,111
"scaffold0001:51337202|51338748",51,84,49
"scaffold0001:51516699|51519480",20,31,23
"scaffold0001:51518312|51519480",44,57,40
"scaffold0001:53757440|53761354",114,146,101
"scaffold0001:53770103|53778569",22,57,32
"scaffold0001:54079330|54080594",38,32,20
"scaffold0001:54533456|54545947",10,12,15
"scaffold0001:58150639|58150963",141,253,221
"scaffold0001:59465042|59469120",29,21,12
"scaffold0001:62138932|62141138",181,163,184
"scaffold0001:62138932|62185302",22,16,20
"scaffold0001:62184346|62185302",146,271,173
"scaffold0001:62455876|62458675",23,29,26
"scaffold0001:64943263|64960231",74,103,48
"scaffold0001:64958021|64960231",45,65,37
"scaffold0001:65190931|65191187",19,49,10
"scaffold0001:65393186|65402566",27,23,16
"scaffold0001:65400475|65402566",176,271,419
"scaffold0001:69098116|69099959",53,99,42
"scaffold0001:69218611|69239461",35,107,66
"scaffold0001:69228644|69239461",50,110,74
"scaffold0001:69350401|69355228",21,26,13
"scaffold0001:69350401|69366506",28,69,22
"scaffold0001:69350401|69380566",20,23,11
"scaffold0001:69409489|69412656",20,26,27
"scaffold0001:69412336|69412656",22,34,17
"scaffold0001:697841|704141",25,28,26
"scaffold0001:69863895|69864755",22,23,19
"scaffold0001:69899647|69916596",17,24,29
"scaffold0001:69916514|69922220",22,31,33
"scaffold0001:70764583|70767942",51,54,60
"scaffold0001:70764614|70767942",49,100,37
"scaffold0001:71167427|71172125",94,74,77
"scaffold0001:71530410|71549117",52,55,23
"scaffold0001:71537238|71541501",144,256,134
"scaffold0001:71537238|71549117",161,155,87
"scaffold0001:71796850|71800575",35,39,39
"scaffold0001:74177851|74181131",34,21,24
"scaffold0001:75909893|75914544",15,40,12
"scaffold0001:75956313|76019887",23,22,12
"scaffold0001:76001770|76018274",28,27,34
"scaffold0001:76001770|76019887",217,199,168
"scaffold0001:76016263|76019887",711,877,669
"scaffold0001:76977714|76991625",20,21,10
"scaffold0001:77664440|77667095",12,33,32
"scaffold0001:77706599|77728337",59,73,39
"scaffold0001:78653076|78653636",48,80,56
"scaffold0001:80168311|80172437",16,14,15
"scaffold0001:80205926|80206182",45,52,22
"scaffold0001:80326776|80327068",22,59,20
"scaffold0001:80332224|80334542",15,13,14
"scaffold0001:81169838|81171364",31,26,30
"scaffold0001:81588336|81589629",13,25,24
"scaffold0001:84993475|84999013",11,23,26
"scaffold0001:85363933|85366871",59,53,27
"scaffold0001:85502454|85516465",104,97,65
"scaffold0001:85536997|85540585",16,26,10
"scaffold0001:952499|952729",14,10,16
"scaffold0001:952499|959092",60,74,34
"scaffold0001:981937|988058",10,12,23
"scaffold0002:100107415|100165637",123,101,63
"scaffold0002:100126679|100165637",129,250,103
"scaffold0002:100135524|100165637",1144,2008,610
"scaffold0002:101077772|101081547",495,895,819
"scaffold0002:101077772|101107423",12,23,24
"scaffold0002:101107300|101120534",24,30,13
"scaffold0002:101129973|101138973",11,26,13
"scaffold0002:102476184|102479041",105,116,70
"scaffold0002:103459528|103484878",23,33,13
"scaffold0002:103563980|103577581",13,19,11
"scaffold0002:103563980|103584618",13,41,21
"scaffold0002:104913822|104923818",45,49,31
"scaffold0002:110000626|110004641",202,255,98
"scaffold0002:110000641|110004641",43,52,35
"scaffold0002:113004234|113006743",187,213,216
"scaffold0002:113032184|113036163",14,38,35
"scaffold0002:113175201|113178048",61,32,37
"scaffold0002:113214718|113219610",38,39,18
"scaffold0002:113316249|113316558",208,236,203
"scaffold0002:113410742|113444637",17,14,13
"scaffold0002:113440626|113458981",314,627,263
"scaffold0002:114281170|114282779",218,217,362
"scaffold0002:114281170|114297485",13,10,18
"scaffold0002:114281170|114303224",10,27,29
"scaffold0002:114309069|114314225",20,20,15
"scaffold0002:114464151|114466167",24,26,32
"scaffold0002:115108103|115109835",21,29,13
"scaffold0002:115122346|115124451",39,86,41
"scaffold0002:115122346|115135702",27,74,25
"scaffold0002:115430762|115433092",63,113,52
"scaffold0002:116347202|116359600",59,71,11
"scaffold0002:122144340|122148076",13,18,13
"scaffold0002:1221833|1222125",48,35,30
"scaffold0002:122495931|122500805",104,39,40
"scaffold0002:123034229|123035622",97,107,59
"scaffold0002:123947218|123947884",559,632,477
"scaffold0002:126305746|126317382",31,15,22
"scaffold0002:126337959|126338769",637,709,603
"scaffold0002:132589768|132592866",10,19,10
"scaffold0002:132729214|132735638",19,24,31
"scaffold0002:1416927|1417831",28,13,23
"scaffold0002:1463538|1466476",25,17,18
"scaffold0002:146608|150576",63,68,90
"scaffold0002:146608|153116",37,63,19
"scaffold0002:1661771|1664299",113,164,126
"scaffold0002:1661771|1669518",19,12,17
"scaffold0002:1727747|1730266",29,55,45
"scaffold0002:18383108|18394216",38,55,39
"scaffold0002:1843053|1843304",74,57,222
"scaffold0002:1916878|1918661",37,23,26
"scaffold0002:1916878|1920370",16,12,17
"scaffold0002:19611186|19620414",17,24,10
"scaffold0002:19693273|19694242",39,73,34
"scaffold0002:199474|202172",45,52,41
"scaffold0002:199474|202918",27,16,22
"scaffold0002:202740|207976",31,36,56
"scaffold0002:22440423|22441237",84,171,115
"scaffold0002:232001|232948",112,158,131
