"","chrom","start","end","name","score","strand","thickStart","thickEnd","itemRgb","exonCount","exonSize","exonOffsets","readNumber","circType","geneName","isoformName","index","flankIntron","FPBcirc","FPBlinear","CIRCscore"
"1","NW_017739486.1",117831,142361,"circular_RNA/2",1,"-",117831,117831,"0,0,0",9,"178,63,86,85,118,136,134,177,210","0,5748,7609,8424,11566,12906,14846,15229,24320",2,"circRNA","gene-UNKL","rna-XM_019713157.1","10,9,8,7,6,5,4,3,2","NW_017739486.1:111620-117831|NW_017739486.1:142361-143103",0.332671751405,0.796035976577,0.425132080159
"2","NW_017739486.1",308200,333999,"circular_RNA/1",1,"+",308200,308200,"0,0,0",5,"347,194,154,84,49","0,11052,16861,22326,25750",1,"circRNA","gene-CRAMP1","rna-XM_019713172.1","2,3,4,5,6","NW_017739486.1:306232-308200|NW_017739486.1:333999-342089",0.166335875703,0.357622132761,0.479666102742
"3","NW_017739486.1",319252,325215,"circular_RNA/3",1,"+",319252,319252,"0,0,0",2,"194,154","0,5809",3,"circRNA","gene-CRAMP1","rna-XM_019713172.1","3,4","NW_017739486.1:308547-319252|NW_017739486.1:325215-330526",0.499007627108,0.357622132761,1.38459461971
"4","NW_017739486.1",480552,484354,"circular_RNA/1",1,"-",480552,480552,"0,0,0",4,"109,118,65,176","0,978,3036,3626",1,"circRNA","gene-HAGH","rna-XM_019713090.1","6,5,4,3","NW_017739486.1:477090-480552|NW_017739486.1:484354-486941",0.166335875703,1.99603050843,0.0879028882971
"5","NW_017739486.1",876059,877777,"circular_RNA/3",0,"-",876059,876059,"0,0,0",4,"154,103,192,156","0,401,736,1562",3,"circRNA","gene-RNPS1","rna-XM_019713146.1","6,5,4,3","NW_017739486.1:873553-876059|NW_017739486.1:877777-878018",0.499007627108,1.59207195315,0.317718331007
"6","NW_017739488.1",119963,122147,"circular_RNA/2",1,"-",119963,119963,"0,0,0",2,"87,169","0,2015",2,"circRNA","gene-LOC109435428","rna-XM_019713342.1","3,2","NW_017739488.1:92543-119963|NW_017739488.1:122147-153944",0.332671751405,0.166335875703,1.94329004259
"7","NW_017739358.1",353100,377513,"circular_RNA/1",1,"+",353100,353100,"0,0,0",7,"71,289,125,157,139,166,99","0,6507,8440,11562,13649,14736,24314",1,"circRNA","gene-STAU1","rna-XM_019756158.1","2,3,4,5,6,7,8","NW_017739358.1:345169-353100|NW_017739358.1:377513-381478",0.166335875703,0.427720823236,0.402850096094
"8","NW_017739358.1",366749,368002,"circular_RNA/42",1,"+",366749,366749,"0,0,0",2,"139,166","0,1087",42,"circRNA","gene-STAU1","rna-XM_019756158.1","6,7","NW_017739358.1:364819-366749|NW_017739358.1:368002-377414",6.98610677951,0.427720823236,15.9830339525
"9","NW_017739358.1",366749,377513,"circular_RNA/1",1,"+",366749,366749,"0,0,0",3,"139,166,99","0,1087,10665",1,"circRNA","gene-STAU1","rna-XM_019756158.1","6,7,8","NW_017739358.1:364819-366749|NW_017739358.1:377513-381478",0.166335875703,0.427720823236,0.402850096094
"10","NW_017739358.1",475724,481692,"circular_RNA/1",1,"-",475724,475724,"0,0,0",6,"112,184,109,140,100,235","0,2077,2856,4110,4971,5733",1,"circRNA","gene-ARFGEF2","rna-XM_019756154.1","15,14,13,12,11,10","NW_017739358.1:475179-475724|NW_017739358.1:481692-482953",0.166335875703,1.2037464689,0.145282297598
"11","NW_017739464.1",770543,772081,"circular_RNA/2",0,"-",770543,770543,"0,0,0",3,"156,99,194","0,390,1344",2,"circRNA","gene-RALGAPA2","rna-XM_019712540.1","23,22,21","NW_017739464.1:743959-770543|NW_017739464.1:772081-787652",0.332671751405,0.278612591802,1.18730700302
"12","NW_017739245.1",91245,92212,"circular_RNA/3",1,"+",91245,91245,"0,0,0",2,"152,217","0,750",3,"circRNA","gene-CLK3","rna-XM_019750998.1","6,7","NW_017739245.1:87921-91245|NW_017739245.1:92212-94079",0.499007627108,0.623759533885,0.803155771066
"13","NW_017739245.1",121322,121658,"circular_RNA/1",1,"-",121322,121322,"0,0,0",1,"336","0",1,"circRNA","gene-EDC3","rna-XM_019751002.1","5","NW_017739245.1:109662-121322|NW_017739245.1:121658-133893",0.166335875703,0.546532163023,0.316847591962
"14","NW_017739245.1",341251,345633,"circular_RNA/1",0,"-",341251,341251,"0,0,0",3,"123,122,117","0,1890,4265",1,"circRNA","gene-LOC109457833","rna-XM_019751022.1","4,3,2","NW_017739245.1:339417-341251|NW_017739245.1:345633-350793",0.166335875703,0.748511440662,0.232476224154
"15","NW_017739245.1",650033,661400,"circular_RNA/4",0,"-",650033,650033,"0,0,0",5,"95,93,174,170,574","0,951,4845,8417,10793",4,"circRNA","gene-SIN3A","rna-XM_019750985.1","19,18,17,16,15","NW_017739245.1:645930-650033|NW_017739245.1:661400-662751",0.665343502811,0.407522895472,1.61750052544
"16","NW_017739245.1",658450,661400,"circular_RNA/2",0,"-",658450,658450,"0,0,0",2,"170,574","0,2376",2,"circRNA","gene-SIN3A","rna-XM_019750985.1","16,15","NW_017739245.1:655052-658450|NW_017739245.1:661400-662751",0.332671751405,0.407522895472,0.820725653901
"17","NW_017739245.1",806709,809421,"circular_RNA/7",1,"-",806709,806709,"0,0,0",2,"148,163","0,2549",7,"circRNA","gene-SNUPN","rna-XM_019750990.1","3,2","NW_017739245.1:801965-806709|NW_017739245.1:809421-811764",1.16435112992,0.784154842599,1.47874327137
