circ_id,mmu1,mmu2,mmu3,mean_reads,sum_reads,n_detected_reps,tool,is_circAcc1_ACACA,rank
11:84083904|84086513,446.0,685.0,1683.0,938.0,2814.0,3,CIRCexplorer3,True,1
1:87291825|87307730,133.0,131.0,607.0,290.3333333333333,871.0,3,CIRCexplorer3,False,2
7:99584368|99604747,240.0,107.0,475.0,274.0,822.0,3,CIRCexplorer3,False,3
7:144198444|144204291,,118.0,293.0,205.5,411.0,2,CIRCexplorer3,False,4
6:119897070|119897989,171.0,87.0,328.0,195.33333333333334,586.0,3,CIRCexplorer3,False,5
8:85498412|85498944,164.0,48.0,353.0,188.33333333333334,565.0,3,CIRCexplorer3,False,6
11:8468198|8469570,92.0,81.0,276.0,149.66666666666666,449.0,3,CIRCexplorer3,False,7
15:88695499|88696362,100.0,41.0,288.0,143.0,429.0,3,CIRCexplorer3,False,8
14:72889455|72921211,60.0,62.0,294.0,138.66666666666666,416.0,3,CIRCexplorer3,False,9
5:118731397|118731635,79.0,57.0,200.0,112.0,336.0,3,CIRCexplorer3,False,10
2:139884013|139899419,70.0,56.0,194.0,106.66666666666667,320.0,3,CIRCexplorer3,False,11
4:9635900|9639347,84.0,55.0,162.0,100.33333333333333,301.0,3,CIRCexplorer3,False,12
8:79844803|79863292,86.0,28.0,170.0,94.66666666666667,284.0,3,CIRCexplorer3,False,13
6:47553469|47554601,66.0,56.0,161.0,94.33333333333333,283.0,3,CIRCexplorer3,False,14
5:147387462|147391998,53.0,57.0,168.0,92.66666666666667,278.0,3,CIRCexplorer3,False,15
1:155049731|155073181,73.0,22.0,176.0,90.33333333333333,271.0,3,CIRCexplorer3,False,16
17:74213004|74214740,38.0,52.0,179.0,89.66666666666667,269.0,3,CIRCexplorer3,False,17
16:10934658|10946567,70.0,30.0,164.0,88.0,264.0,3,CIRCexplorer3,False,18
3:51215470|51233456,42.0,30.0,182.0,84.66666666666667,254.0,3,CIRCexplorer3,False,19
7:120490818|120491276,43.0,47.0,156.0,82.0,246.0,3,CIRCexplorer3,False,20
11:84083904|84086513,442.0,581.0,1635.0,886.0,2658.0,3,CIRIquant,True,1
7:99584368|99604747,236.0,111.0,463.0,270.0,810.0,3,CIRIquant,False,2
1:87291825|87307730,128.0,104.0,555.0,262.3333333333333,787.0,3,CIRIquant,False,3
8:85498412|85498944,186.0,57.0,352.0,198.33333333333334,595.0,3,CIRIquant,False,4
6:119897070|119897989,167.0,71.0,312.0,183.33333333333334,550.0,3,CIRIquant,False,5
11:8468198|8469570,80.0,82.0,266.0,142.66666666666666,428.0,3,CIRIquant,False,6
15:88695499|88696362,90.0,38.0,280.0,136.0,408.0,3,CIRIquant,False,7
5:118731397|118731635,,54.0,197.0,125.5,251.0,2,CIRIquant,False,8
14:72889455|72921211,,57.0,179.0,118.0,236.0,2,CIRIquant,False,9
17:43156216|43163419,98.0,10.0,181.0,96.33333333333333,289.0,3,CIRIquant,False,10
6:47553469|47554601,61.0,57.0,147.0,88.33333333333333,265.0,3,CIRIquant,False,11
7:144198444|144204291,136.0,107.0,18.0,87.0,261.0,3,CIRIquant,False,12
8:79844803|79863292,82.0,26.0,148.0,85.33333333333333,256.0,3,CIRIquant,False,13
18:67491779|67493312,31.0,,138.0,84.5,169.0,2,CIRIquant,False,14
5:147387462|147391998,55.0,57.0,139.0,83.66666666666667,251.0,3,CIRIquant,False,15
1:155049731|155073181,73.0,18.0,160.0,83.66666666666667,251.0,3,CIRIquant,False,16
3:51215470|51233456,40.0,30.0,173.0,81.0,243.0,3,CIRIquant,False,17
7:120490818|120491276,43.0,46.0,151.0,80.0,240.0,3,CIRIquant,False,18
16:10934658|10946567,69.0,30.0,140.0,79.66666666666667,239.0,3,CIRIquant,False,19
4:9635900|9639347,53.0,43.0,133.0,76.33333333333333,229.0,3,CIRIquant,False,20
11:84083904|84086513,93.0,223.0,486.0,267.3333333333333,802.0,3,find_circ,True,1
8:85498412|85498944,187.0,46.0,354.0,195.66666666666666,587.0,3,find_circ,False,2
5:118731397|118731635,82.0,54.0,213.0,116.33333333333333,349.0,3,find_circ,False,3
6:119897070|119897989,116.0,50.0,177.0,114.33333333333333,343.0,3,find_circ,False,4
11:8468198|8469570,66.0,57.0,208.0,110.33333333333333,331.0,3,find_circ,False,5
15:88695499|88696362,67.0,35.0,227.0,109.66666666666667,329.0,3,find_circ,False,6
7:120490818|120491276,58.0,54.0,168.0,93.33333333333333,280.0,3,find_circ,False,7
14:72889455|72921211,33.0,39.0,196.0,89.33333333333333,268.0,3,find_circ,False,8
7:99584368|99604747,76.0,35.0,151.0,87.33333333333333,262.0,3,find_circ,False,9
8:79844803|79863292,71.0,29.0,155.0,85.0,255.0,3,find_circ,False,10
16:10934658|10946567,69.0,29.0,147.0,81.66666666666667,245.0,3,find_circ,False,11
6:47553469|47554601,52.0,45.0,134.0,77.0,231.0,3,find_circ,False,12
