"","circ_id","rsi1","rsi2","rsi3","rsi4"
"1","NW_017738920.1:1793682|1798795",NA,NA,1,NA
"2","NW_017738920.1:2070931|2079391",NA,3,NA,NA
"3","NW_017738920.1:2077915|2103715",NA,NA,3,NA
"4","NW_017738920.1:2095317|2139116",1,NA,NA,6
"5","NW_017738920.1:2134511|2139116",5,NA,NA,NA
"6","NW_017738920.1:217929|222573",NA,3,1,NA
"7","NW_017738920.1:2520050|2522309",NA,1,NA,NA
"8","NW_017738920.1:3099553|3114478",NA,3,NA,NA
"9","NW_017738920.1:3099553|3127038",NA,NA,NA,3
"10","NW_017738920.1:3110050|3122626",1,NA,NA,NA
"11","NW_017738920.1:3122490|3127038",1,NA,NA,NA
"12","NW_017738920.1:3122490|3135452",5,11,NA,NA
"13","NW_017738920.1:3122490|3145707",NA,NA,1,NA
"14","NW_017738920.1:3159019|3172693",NA,2,8,11
"15","NW_017738920.1:3166949|3172693",3,2,NA,NA
"16","NW_017738920.1:3166949|3179011",32,44,15,19
"17","NW_017738920.1:3506034|3529664",1,NA,2,NA
"18","NW_017738920.1:3506034|3538867",NA,NA,4,NA
"19","NW_017738920.1:4696947|4705998",89,NA,NA,NA
"20","NW_017738920.1:4696947|4762780",3,1,NA,NA
"21","NW_017738920.1:4696947|4786143",NA,2,1,NA
"22","NW_017738920.1:5034260|5040967",NA,2,NA,NA
"23","NW_017738920.1:5034260|5066698",2,NA,NA,NA
"24","NW_017738920.1:525355|528990",4,NA,NA,NA
"25","NW_017738920.1:5456178|5456413",NA,NA,NA,1
"26","NW_017738920.1:570825|571466",NA,2,NA,NA
"27","NW_017738920.1:5709736|5733673",2,NA,NA,NA
"28","NW_017738920.1:5718323|5722317",NA,NA,NA,5
"29","NW_017738920.1:6263899|6267587",NA,NA,NA,1
"30","NW_017738920.1:6636816|6637252",4,8,NA,NA
"31","NW_017738920.1:6693529|6721236",11,15,NA,NA
"32","NW_017738920.1:6778010|6780643",NA,6,NA,NA
"33","NW_017738920.1:7564454|7568107",NA,NA,NA,1
"34","NW_017738920.1:7728121|7748641",NA,1,NA,NA
"35","NW_017738920.1:772983|774424",NA,9,NA,NA
"36","NW_017738920.1:7739531|7740140",NA,NA,NA,1
"37","NW_017738920.1:8030427|8041449",NA,NA,NA,4
"38","NW_017738921.1:1003792|1021126",2,NA,NA,NA
"39","NW_017738921.1:1221416|1227456",NA,NA,NA,1
"40","NW_017738921.1:1228330|1245248",NA,2,NA,NA
"41","NW_017738921.1:1251418|1256207",NA,1,NA,NA
"42","NW_017738921.1:1256207|1256626",2,NA,NA,NA
"43","NW_017738921.1:2843671|2853304",NA,NA,3,NA
"44","NW_017738921.1:5694517|5742544",NA,2,NA,NA
