"","seqnames","start","end","width","strand","source","type","score","phase","circ_id","circ_type","bsj","fsj","junc_ratio","gene_id","gene_name","gene_type"
"1","1",5159232,5168356,9125,"+","CIRIquant","circRNA",0.2952,NA,"1:5159232|5168356","exon","10.000","15.000","0.571","ENSMUSG00000033793","Atp6v1h","protein_coding"
"2","1",5159232,5171346,12115,"+","CIRIquant","circRNA",0.4132,NA,"1:5159232|5171346","exon","14.000","30.000","0.483","ENSMUSG00000033793","Atp6v1h","protein_coding"
"3","1",5652172,5652387,216,"-","CIRIquant","circRNA",0.0886,NA,"1:5652172|5652387","intergenic","3.000","4.000","0.600",NA,NA,NA
"4","1",6298164,6304623,6460,"+","CIRIquant","circRNA",0.059,NA,"1:6298164|6304623","exon","2.000","0.000","1.000","ENSMUSG00000025907","Rb1cc1","protein_coding"
"5","1",6300183,6304623,4441,"+","CIRIquant","circRNA",0.059,NA,"1:6300183|6304623","exon","2.000","4.000","0.500","ENSMUSG00000025907","Rb1cc1","protein_coding"
"6","1",7190418,7190839,422,"+","CIRIquant","circRNA",0.0886,NA,"1:7190418|7190839","exon","3.000","6.000","0.500","ENSMUSG00000051285","Pcmtd1","protein_coding"
"7","1",7190418,7217963,27546,"+","CIRIquant","circRNA",0.1476,NA,"1:7190418|7217963","exon","5.000","4.000","0.714","ENSMUSG00000051285","Pcmtd1","protein_coding"
"8","1",10145085,10156177,11093,"+","CIRIquant","circRNA",0.059,NA,"1:10145085|10156177","exon","2.000","0.000","1.000","ENSMUSG00000056763","Cspp1","protein_coding"
"9","1",10152478,10166238,13761,"+","CIRIquant","circRNA",0.1476,NA,"1:10152478|10166238","exon","5.000","3.000","0.769","ENSMUSG00000056763","Cspp1","protein_coding"
"10","1",10258982,10259903,922,"-","CIRIquant","circRNA",0.1181,NA,"1:10258982|10259903","exon","4.000","7.000","0.533","ENSMUSG00000067851","Arfgef1","protein_coding"
"11","1",11335903,11336383,481,"+","CIRIquant","circRNA",0.059,NA,"1:11335903|11336383","exon","2.000","1.000","0.800","ENSMUSG00000048960","Prex2","protein_coding"
"12","1",13230385,13237330,6946,"-","CIRIquant","circRNA",0.1476,NA,"1:13230385|13237330","exon","5.000","10.000","0.500","ENSMUSG00000005886","Ncoa2","protein_coding"
"13","1",13291531,13356249,64719,"-","CIRIquant","circRNA",1.0626,NA,"1:13291531|13356249","exon","36.000","12.000","0.857","ENSMUSG00000103495,ENSMUSG00000005886","Gm37409,Ncoa2","TEC,protein_coding"
"14","1",16533259,16556374,23116,"-","CIRIquant","circRNA",0.1476,NA,"1:16533259|16556374","exon","5.000","23.000","0.303","ENSMUSG00000025920","Stau2","protein_coding"
"15","1",16652151,16655655,3505,"-","CIRIquant","circRNA",0.1181,NA,"1:16652151|16655655","exon","4.000","1.000","0.889","ENSMUSG00000025939","Ube2w","protein_coding"
"16","1",24246467,24253673,7207,"+","CIRIquant","circRNA",0.2657,NA,"1:24246467|24253673","exon","9.000","351.000","0.049","ENSMUSG00000026147","Col9a1","protein_coding"
"17","1",30859162,30860395,1234,"-","CIRIquant","circRNA",0.2361,NA,"1:30859162|30860395","exon","8.000","4.000","0.800","ENSMUSG00000048874","Phf3","protein_coding"
"18","1",30859764,30863600,3837,"-","CIRIquant","circRNA",0.059,NA,"1:30859764|30863600","exon","2.000","3.000","0.571","ENSMUSG00000048874","Phf3","protein_coding"
"19","1",31102920,31106145,3226,"+","CIRIquant","circRNA",0.059,NA,"1:31102920|31106145","antisense","2.000","0.000","1.000","ENSMUSG00000086727","4931428L18Rik","protein_coding"
"20","1",33551097,33572444,21348,"-","CIRIquant","circRNA",0.059,NA,"1:33551097|33572444","exon","2.000","0.000","1.000","ENSMUSG00000026134","Prim2","protein_coding"
"21","1",33667476,33669514,2039,"-","CIRIquant","circRNA",0.059,NA,"1:33667476|33669514","exon","2.000","0.000","1.000","ENSMUSG00000026134","Prim2","protein_coding"
"22","1",34867848,34875894,8047,"-","CIRIquant","circRNA",0.1181,NA,"1:34867848|34875894","exon","4.000","13.000","0.381","ENSMUSG00000037503","Fam168b","protein_coding"
"23","1",36240786,36269821,29036,"-","CIRIquant","circRNA",0.059,NA,"1:36240786|36269821","exon","2.000","7.000","0.364","ENSMUSG00000037470","Uggt1","protein_coding"
"24","1",36737415,36737676,262,"-","CIRIquant","circRNA",0.0295,NA,"1:36737415|36737676","exon","1.000","15.000","0.118","ENSMUSG00000037351","Actr1b","protein_coding"
"25","1",37495671,37503615,7945,"-","CIRIquant","circRNA",0.1181,NA,"1:37495671|37503615","exon","4.000","1.000","0.889","ENSMUSG00000026110","Mgat4a","protein_coding"
"26","1",37529341,37537821,8481,"-","CIRIquant","circRNA",0.0886,NA,"1:37529341|37537821","exon","3.000","2.000","0.750","ENSMUSG00000026110","Mgat4a","protein_coding"
"27","1",37973516,37973659,144,"-","CIRIquant","circRNA",0.059,NA,"1:37973516|37973659","antisense","2.000","7.000","0.364","ENSMUSG00000087374","Gm15457","lncRNA"
"28","1",38146649,38147548,900,"-","CIRIquant","circRNA",0.1181,NA,"1:38146649|38147548","exon","4.000","6.000","0.571","ENSMUSG00000026082","Rev1","protein_coding"
"29","1",39251490,39251641,152,"-","CIRIquant","circRNA",0.0295,NA,"1:39251490|39251641","antisense","1.000","1.000","0.667","ENSMUSG00000026077","Npas2","protein_coding"
"30","1",39290031,39302456,12426,"+","CIRIquant","circRNA",0.0886,NA,"1:39290031|39302456","intron","3.000","0.000","1.000","ENSMUSG00000026077","Npas2","protein_coding"
"31","1",39326549,39339814,13266,"+","CIRIquant","circRNA",0.4428,NA,"1:39326549|39339814","exon","15.000","8.000","0.789","ENSMUSG00000026077","Npas2","protein_coding"
"32","1",39428389,39442004,13616,"-","CIRIquant","circRNA",0.0886,NA,"1:39428389|39442004","exon","3.000","21.000","0.222","ENSMUSG00000003134","Tbc1d8","protein_coding"
"33","1",39430198,39431335,1138,"-","CIRIquant","circRNA",0.1476,NA,"1:39430198|39431335","exon","5.000","38.000","0.208","ENSMUSG00000003134","Tbc1d8","protein_coding"
"34","1",39594559,39604413,9855,"-","CIRIquant","circRNA",0.059,NA,"1:39594559|39604413","exon","2.000","2.000","0.667","ENSMUSG00000048234","Rnf149","protein_coding"
"35","1",39599774,39604413,4640,"-","CIRIquant","circRNA",0.1476,NA,"1:39599774|39604413","exon","5.000","3.000","0.769","ENSMUSG00000048234","Rnf149","protein_coding"
"36","1",40382188,40385037,2850,"+","CIRIquant","circRNA",0.059,NA,"1:40382188|40385037","exon","2.000","6.000","0.400","ENSMUSG00000070942","Il1rl2","protein_coding"
"37","1",40639930,40642112,2183,"+","CIRIquant","circRNA",0.059,NA,"1:40639930|40642112","exon","2.000","4.000","0.500","ENSMUSG00000026065","Slc9a4","protein_coding"
"38","1",40639930,40642230,2301,"+","CIRIquant","circRNA",0.059,NA,"1:40639930|40642230","exon","2.000","11.000","0.267","ENSMUSG00000026065","Slc9a4","protein_coding"
"39","1",40642013,40649547,7535,"+","CIRIquant","circRNA",0.059,NA,"1:40642013|40649547","exon","2.000","9.000","0.308","ENSMUSG00000026065","Slc9a4","protein_coding"
"40","1",43106634,43115112,8479,"-","CIRIquant","circRNA",0.059,NA,"1:43106634|43115112","exon","2.000","2.000","0.667","ENSMUSG00000070939","Tgfbrap1","protein_coding"
"41","1",43548781,43572953,24173,"+","CIRIquant","circRNA",0.2361,NA,"1:43548781|43572953","exon","8.000","50.000","0.242","ENSMUSG00000066877","Nck2","protein_coding"
"42","1",51859300,51902593,43294,"-","CIRIquant","circRNA",0.059,NA,"1:51859300|51902593","exon","2.000","2.000","0.667","ENSMUSG00000101724,ENSMUSG00000018417","Gm29453,Myo1b","lncRNA,protein_coding"
"43","1",54762173,54769033,6861,"-","CIRIquant","circRNA",0.0295,NA,"1:54762173|54769033","exon","1.000","1.000","0.667","ENSMUSG00000052331","Ankrd44","protein_coding"
"44","1",54802804,54806143,3340,"-","CIRIquant","circRNA",0.1476,NA,"1:54802804|54806143","exon","5.000","1.000","0.909","ENSMUSG00000052331","Ankrd44","protein_coding"
"45","1",55100434,55106757,6324,"+","CIRIquant","circRNA",0.059,NA,"1:55100434|55106757","exon","2.000","2.000","0.667","ENSMUSG00000025981,ENSMUSG00000101122","Coq10b,Gm17971","protein_coding,processed_pseudogene"
"46","1",55379632,55388094,8463,"-","CIRIquant","circRNA",0.0295,NA,"1:55379632|55388094","exon","1.000","10.000","0.167","ENSMUSG00000025977","Boll","protein_coding"
"47","1",57800448,57800596,149,"+","CIRIquant","circRNA",0.059,NA,"1:57800448|57800596","intergenic","2.000","5.000","0.444",NA,NA,NA
"48","1",57939793,57962583,22791,"+","CIRIquant","circRNA",0.0295,NA,"1:57939793|57962583","exon","1.000","1.000","0.667","ENSMUSG00000038305","Spats2l","protein_coding"
"49","1",58456172,58456542,371,"-","CIRIquant","circRNA",0.3542,NA,"1:58456172|58456542","exon","12.000","1.000","0.960","ENSMUSG00000026034","Clk1","protein_coding"
"50","1",58863074,58872933,9860,"+","CIRIquant","circRNA",0.0295,NA,"1:58863074|58872933","exon","1.000","22.000","0.083","ENSMUSG00000026029","Casp8","protein_coding"
"51","1",60121196,60121808,613,"-","CIRIquant","circRNA",0.1476,NA,"1:60121196|60121808","exon","5.000","9.000","0.526","ENSMUSG00000026019","Wdr12","protein_coding"
"52","1",60233663,60234335,673,"+","CIRIquant","circRNA",0.1476,NA,"1:60233663|60234335","exon","5.000","4.000","0.714","ENSMUSG00000073664","Nbeal1","protein_coding"
"53","1",60263784,60286943,23160,"+","CIRIquant","circRNA",0.0295,NA,"1:60263784|60286943","exon","1.000","7.000","0.222","ENSMUSG00000073664","Nbeal1","protein_coding"
"54","1",60532697,60537693,4997,"-","CIRIquant","circRNA",0.0295,NA,"1:60532697|60537693","exon","1.000","5.000","0.286","ENSMUSG00000026014","Raph1","protein_coding"
"55","1",60802138,60804551,2414,"+","CIRIquant","circRNA",0.0886,NA,"1:60802138|60804551","exon","3.000","11.000","0.353","ENSMUSG00000026012","Cd28","protein_coding"
"56","1",62255582,62292545,36964,"+","CIRIquant","circRNA",0.0295,NA,"1:62255582|62292545","intron","1.000","3.000","0.400","ENSMUSG00000052062,ENSMUSG00000102359","Pard3b,Gm38351","protein_coding,TEC"
"57","1",62822453,62825475,3023,"+","CIRIquant","circRNA",0.0886,NA,"1:62822453|62825475","exon","3.000","4.000","0.600","ENSMUSG00000025969","Nrp2","protein_coding"
"58","1",64117863,64118493,631,"-","CIRIquant","circRNA",0.059,NA,"1:64117863|64118493","intron","2.000","0.000","1.000","ENSMUSG00000025959","Klf7","protein_coding"
"59","1",64117866,64118493,628,"-","CIRIquant","circRNA",0.4132,NA,"1:64117866|64118493","exon","14.000","14.000","0.667","ENSMUSG00000025959","Klf7","protein_coding"
"60","1",64590008,64615488,25481,"+","CIRIquant","circRNA",0.1476,NA,"1:64590008|64615488","exon","5.000","0.000","1.000","ENSMUSG00000025958","Creb1","protein_coding"
