"","circ_id","rsi1","rsi2","rsi3","rsi4"
"1","NW_017738920.1:1196056|1197220",NA,NA,2,NA
"2","NW_017738920.1:1202591|1205197",NA,4,NA,NA
"3","NW_017738920.1:1926501|1933968",NA,4,NA,NA
"4","NW_017738920.1:2062074|2063903",3,2,NA,NA
"5","NW_017738920.1:2070931|2079391",NA,3,NA,NA
"6","NW_017738920.1:2077915|2103715",NA,NA,2,2
"7","NW_017738920.1:2095317|2103715",3,NA,NA,NA
"8","NW_017738920.1:2095317|2139116",NA,NA,NA,6
"9","NW_017738920.1:2134511|2139116",5,NA,NA,NA
"10","NW_017738920.1:217929|222573",NA,3,NA,NA
"11","NW_017738920.1:3099553|3114478",NA,3,NA,NA
"12","NW_017738920.1:3099553|3127038",NA,NA,NA,3
"13","NW_017738920.1:3122490|3135452",5,5,NA,NA
"14","NW_017738920.1:3159019|3172693",NA,NA,3,2
"15","NW_017738920.1:3166949|3172693",3,NA,NA,NA
"16","NW_017738920.1:3166949|3179011",5,10,4,NA
"17","NW_017738920.1:3381236|3382308",NA,NA,3,NA
"18","NW_017738920.1:3381236|3432605",NA,NA,6,NA
"19","NW_017738920.1:3453988|3461331",NA,NA,NA,8
"20","NW_017738920.1:3506034|3529664",NA,NA,4,NA
"21","NW_017738920.1:3506034|3538867",NA,NA,4,NA
"22","NW_017738920.1:4463182|4470399",3,NA,NA,NA
"23","NW_017738920.1:4467235|4470399",NA,4,NA,NA
"24","NW_017738920.1:4514846|4523031",NA,2,NA,NA
"25","NW_017738920.1:4514846|4523181",NA,2,NA,NA
"26","NW_017738920.1:4696947|4705998",106,80,33,49
"27","NW_017738920.1:4696947|4762780",3,NA,NA,NA
"28","NW_017738920.1:4696947|4786143",NA,2,NA,NA
"29","NW_017738920.1:5034260|5040967",NA,2,NA,NA
"30","NW_017738920.1:525355|528990",4,NA,NA,NA
"31","NW_017738920.1:5426141|5427927",NA,2,NA,NA
"32","NW_017738920.1:570825|571466",NA,2,NA,NA
"33","NW_017738920.1:5709736|5726042",NA,NA,2,NA
"34","NW_017738920.1:5709736|5733673",2,NA,NA,NA
"35","NW_017738920.1:5867507|5867838",NA,2,NA,NA
"36","NW_017738920.1:5867681|5868692",2,NA,NA,NA
"37","NW_017738920.1:6024386|6035280",4,NA,NA,NA
"38","NW_017738920.1:6520906|6523477",NA,4,NA,2
"39","NW_017738920.1:6636816|6637252",3,3,NA,NA
"40","NW_017738920.1:6636816|6721236",NA,NA,NA,3
"41","NW_017738920.1:6693529|6721236",12,16,NA,NA
"42","NW_017738920.1:6778010|6780643",NA,5,NA,10
"43","NW_017738920.1:7263973|7264210",NA,NA,6,NA
"44","NW_017738920.1:7728121|7748641",NA,2,NA,NA
"45","NW_017738920.1:772983|774424",NA,9,NA,NA
"46","NW_017738920.1:8130343|8185640",4,2,NA,NA
"47","NW_017738920.1:8130343|8223569",3,NA,NA,NA
"48","NW_017738920.1:8185080|8185640",NA,2,NA,2
"49","NW_017738921.1:1221416|1227456",NA,NA,NA,2
"50","NW_017738921.1:1228330|1245248",NA,2,NA,NA
"51","NW_017738921.1:1255832|1258670",NA,2,NA,NA
"52","NW_017738921.1:2370888|2372216",2,NA,NA,NA
"53","NW_017738921.1:266539|268602",NA,2,NA,NA
"54","NW_017738921.1:2843671|2853304",NA,NA,3,NA
"55","NW_017738921.1:399262|403675",NA,NA,3,NA
"56","NW_017738921.1:5694517|5742544",NA,2,NA,NA
"57","NW_017738921.1:5734912|5742544",NA,3,NA,NA
"58","NW_017738921.1:6619466|6634765",6,NA,NA,NA
"59","NW_017738921.1:6774943|6775635",NA,NA,6,NA
"60","NW_017738921.1:7113406|7120022",NA,8,NA,9
"61","NW_017738922.1:1057564|1058632",16,4,11,NA
"62","NW_017738922.1:1057564|1078294",2,NA,NA,NA
"63","NW_017738922.1:1057564|1089302",NA,NA,NA,3
"64","NW_017738922.1:214945|218372",NA,NA,NA,5
"65","NW_017738922.1:3297367|3331751",NA,7,NA,NA
"66","NW_017738922.1:3304096|3331751",NA,NA,NA,6
"67","NW_017738922.1:3357893|3359653",NA,4,NA,3
"68","NW_017738922.1:3357893|3373065",NA,2,NA,NA
"69","NW_017738922.1:3383794|3392571",NA,6,NA,NA
"70","NW_017738922.1:3447300|3475127",NA,5,NA,NA
"71","NW_017738922.1:3496159|3505456",2,3,NA,NA
"72","NW_017738922.1:3527449|3531132",5,8,2,2
"73","NW_017738922.1:5045702|5051718",NA,2,NA,NA
"74","NW_017738922.1:5071212|5092058",2,NA,NA,NA
"75","NW_017738922.1:5071318|5093791",NA,3,NA,NA
"76","NW_017738922.1:5071320|5085450",NA,4,NA,3
"77","NW_017738922.1:5834126|5874515",NA,NA,2,NA
"78","NW_017738922.1:6919728|6961404",NA,NA,2,NA
"79","NW_017738922.1:6938137|6976295",2,NA,NA,NA
"80","NW_017738922.1:6938244|6938685",NA,4,NA,NA
"81","NW_017738922.1:6942596|6976295",NA,4,NA,NA
"82","NW_017738922.1:6950527|6976295",NA,NA,6,NA
"83","NW_017738922.1:6956229|6976295",3,NA,NA,2
"84","NW_017738922.1:6960797|6976295",3,NA,NA,NA
"85","NW_017738922.1:6960797|6983494",NA,NA,6,NA
"86","NW_017738922.1:6964441|6976295",NA,2,NA,NA
"87","NW_017738922.1:6969031|6976295",NA,2,11,NA
"88","NW_017738922.1:7281563|7298216",NA,NA,2,16
"89","NW_017738922.1:7890113|7890270",2,NA,NA,NA
"90","NW_017738923.1:10426962|10429391",6,10,4,NA
"91","NW_017738923.1:11207816|11215232",NA,2,NA,NA
"92","NW_017738923.1:11902277|11909531",NA,5,NA,NA
"93","NW_017738923.1:11902277|11919100",NA,NA,NA,2
"94","NW_017738923.1:11902277|11951897",NA,2,NA,NA
"95","NW_017738923.1:11947978|11951897",4,NA,2,NA
"96","NW_017738923.1:11947978|11974235",NA,2,NA,NA
