"","circ_id","mfu1","mfu2","mfu3"
"1","scaffold0001:100315302|100318708",4,NA,NA
"2","scaffold0001:100320599|100321192",NA,7,NA
"3","scaffold0001:100323660|100333633",NA,NA,3
"4","scaffold0001:100323660|100333636",2,NA,16
"5","scaffold0001:100325417|100333636",NA,4,NA
"6","scaffold0001:100328795|100333633",13,NA,NA
"7","scaffold0001:100328795|100333636",NA,NA,4
"8","scaffold0001:100330609|100333636",NA,NA,10
"9","scaffold0001:100346204|100351171",NA,4,NA
"10","scaffold0001:100512960|100513302",6,NA,NA
"11","scaffold0001:100513833|100514737",NA,NA,2
"12","scaffold0001:100531444|100543235",15,NA,NA
"13","scaffold0001:100784303|100786670",4,NA,NA
"14","scaffold0001:100957916|100972382",14,6,NA
"15","scaffold0001:100957916|100976911",NA,9,11
"16","scaffold0001:100957916|100977439",14,NA,2
"17","scaffold0001:100976805|100988067",NA,NA,6
"18","scaffold0001:100976805|101024700",NA,NA,4
"19","scaffold0001:101011461|101022560",NA,NA,2
"20","scaffold0001:101011461|101024700",NA,10,NA
"21","scaffold0001:101022399|101024700",30,18,12
"22","scaffold0001:101024527|101024700",23,2,NA
"23","scaffold0001:101237457|101257372",NA,6,NA
"24","scaffold0001:101348677|101355544",6,NA,8
"25","scaffold0001:101359696|101368117",57,NA,13
"26","scaffold0001:101359700|101368117",6,NA,NA
"27","scaffold0001:101364606|101368117",NA,NA,2
"28","scaffold0001:101841551|101845416",2,2,NA
"29","scaffold0001:101842598|101845416",NA,NA,7
"30","scaffold0001:101842598|101849632",2,NA,NA
"31","scaffold0001:101858220|101858393",NA,2,NA
"32","scaffold0001:101910607|101924908",10,NA,8
"33","scaffold0001:102720304|102765433",6,NA,NA
"34","scaffold0001:102748191|102749903",NA,3,NA
"35","scaffold0001:102758173|102765433",NA,8,NA
"36","scaffold0001:102765233|102765433",6,NA,NA
"37","scaffold0001:102892235|102898697",4,16,NA
"38","scaffold0001:102941697|102951462",NA,2,NA
"39","scaffold0001:103001728|103005493",2,NA,6
"40","scaffold0001:103001728|103006841",NA,8,NA
"41","scaffold0001:103582593|103596396",3,NA,NA
"42","scaffold0001:103585616|103605117",4,NA,NA
"43","scaffold0001:103591234|103605117",6,NA,NA
"44","scaffold0001:103595638|103596396",8,NA,NA
"45","scaffold0001:103595638|103605121",15,NA,NA
"46","scaffold0001:103606504|103623075",9,NA,NA
"47","scaffold0001:103620482|103623075",63,48,29
