"","seqnames","start","end","width","strand","source","type","score","phase","circ_id","circ_type","bsj","fsj","junc_ratio","gene_id","gene_name","gene_type"
"1","1",1847475,1852256,4782,"+","CIRIquant","circRNA",1.1196,NA,"1:1847475|1852256","intron","40.000","53.000","0.602","ENSMMUG00000004566","ZNF124","protein_coding"
"2","1",1847529,1852256,4728,"+","CIRIquant","circRNA",0.8677,NA,"1:1847529|1852256","intron","31.000","0.000","1.000","ENSMMUG00000004566","ZNF124","protein_coding"
"3","1",2085708,2091882,6175,"+","CIRIquant","circRNA",0.3639,NA,"1:2085708|2091882","exon","13.000","0.000","1.000","ENSMMUG00000016408","AHCTF1","protein_coding"
"4","1",2739482,2753580,14099,"+","CIRIquant","circRNA",0.3919,NA,"1:2739482|2753580","intron","14.000","0.000","1.000","ENSMMUG00000005777","SMYD3","protein_coding"
"5","1",3324506,3326013,1508,"+","CIRIquant","circRNA",0.8677,NA,"1:3324506|3326013","intron","31.000","0.000","1.000","ENSMMUG00000005777","SMYD3","protein_coding"
"6","1",4691388,4699392,8005,"+","CIRIquant","circRNA",1.0637,NA,"1:4691388|4699392","exon","38.000","175.000","0.303","ENSMMUG00000000016","ADSS2","protein_coding"
"7","1",5709774,5720573,10800,"-","CIRIquant","circRNA",0.9237,NA,"1:5709774|5720573","exon","33.000","0.000","1.000","ENSMMUG00000019994","SDCCAG8","protein_coding"
"8","1",16564591,16584716,20126,"+","CIRIquant","circRNA",1.4835,NA,"1:16564591|16584716","exon","53.000","22.000","0.828","ENSMMUG00000012068","SIPA1L2","protein_coding"
"9","1",23382804,23383926,1123,"+","CIRIquant","circRNA",1.5675,NA,"1:23382804|23383926","exon","56.000","339.000","0.248","ENSMMUG00000053859","UCK2","protein_coding"
"10","1",30695789,30712105,16317,"-","CIRIquant","circRNA",0.3359,NA,"1:30695789|30712105","exon","12.000","2.000","0.923","ENSMMUG00000054261",NA,"lncRNA"
"11","1",30695789,30717086,21298,"-","CIRIquant","circRNA",0.7558,NA,"1:30695789|30717086","intron","27.000","27.000","0.667","ENSMMUG00000054261",NA,"lncRNA"
